elapsed_s,i,j,k,real
1.27225,0.1188083,-0.0046510175,0.0024730265,0.9928489
1.28205,0.11879368,-0.0045236275,0.0025464296,0.99287194
1.29195,0.11878984,-0.00446146,0.0025731921,0.9929253
1.30205,0.118814945,-0.0044184513,0.0026634037,0.99290144
1.31195,0.11885088,-0.0044406056,0.0027070045,0.9929079
1.32195,0.118824616,-0.0044665188,0.0028039217,0.9928876
1.33175,0.11885762,-0.0044957437,0.0027638674,0.9928744
1.34185,0.11889351,-0.0045179278,0.002807498,0.99288094
1.35225,0.11896916,-0.004624486,0.0028678477,0.9928406
1.36215,0.11898292,-0.0046825744,0.0029049516,0.9928906
1.37185,0.11899255,-0.004730683,0.0030454695,0.99287677
1.38215,0.11901304,-0.004843928,0.003139466,0.99289334
1.39195,0.11902642,-0.004954286,0.0032531917,0.9928262
1.40205,0.11894205,-0.0049939863,0.0033001006,0.99284303
1.41205,0.118955836,-0.0050520524,0.0033372045,0.9928931
1.42205,0.11890443,-0.0051210113,0.0033439696,0.9928967
1.43185,0.11886849,-0.005098857,0.0033003688,0.9928902
1.44155,0.11881712,-0.0051677823,0.003307134,0.99289364
1.45185,0.11876571,-0.0052367225,0.0033139288,0.9928972
1.46185,0.11866759,-0.0052183457,0.0033236742,0.99286395
1.47185,0.11858316,-0.0052580833,0.0033704937,0.9928807
1.48215,0.118462875,-0.005275611,0.003373742,0.9928911
1.49175,0.118404806,-0.005289357,0.0033236742,0.99292815
1.50175,0.11834669,-0.0053031407,0.0032735765,0.9929653
1.51185,0.11824557,-0.005291853,0.003199637,0.9929122
1.52175,0.118216775,-0.005272556,0.0031362474,0.9929893
1.53195,0.11816704,-0.0051923282,0.0030556023,0.9929327
1.54175,0.11813111,-0.0051701777,0.003011942,0.99292624
1.55185,0.11810225,-0.0051509105,0.0029485524,0.99300337
1.56195,0.11803332,-0.005099535,0.0029450357,0.9930102
1.57185,0.11805546,-0.0050636195,0.0029515922,0.9929666
1.58165,0.118022464,-0.0050343946,0.0029916167,0.99297976
1.59125,0.11803795,-0.004943285,0.0029412508,0.9929698
1.60155,0.11806713,-0.0049103014,0.0029279888,0.9930099
1.61175,0.11805336,-0.0048522092,0.002890855,0.99295974
1.62175,0.118046716,-0.0047970004,0.0028339922,0.99299335
1.63175,0.11797779,-0.004745625,0.0028304458,0.9930002
1.64165,0.117964,-0.0046875514,0.0027933419,0.9929501
1.65165,0.11795726,-0.0046324134,0.002736479,0.9929836
1.66175,0.11788542,-0.00458806,0.0026492774,0.99297065
1.67155,0.11784279,-0.004510738,0.002548784,0.99299765
1.68165,0.11780689,-0.0044885464,0.0025052428,0.99299115
1.69175,0.1177488,-0.0045023113,0.0024551153,0.99302834
1.70155,0.11771286,-0.004480157,0.0024115443,0.9930218
1.71175,0.11767692,-0.0044580027,0.0023678541,0.99301535
1.72175,0.11767692,-0.0044580027,0.0023678541,0.99301535
1.73165,0.117643915,-0.0044287853,0.0024079978,0.9930285
1.74115,0.117643915,-0.0044287853,0.0024079978,0.9930285
1.75165,0.11770613,-0.0044250153,0.0023546517,0.9930554
1.76155,0.11770613,-0.0044250153,0.0023546517,0.9930554
1.7715499,0.11772828,-0.004389107,0.0023611784,0.9930118
1.78145,0.11776422,-0.0044112615,0.0024047196,0.99301827
1.79165,0.11780689,-0.0044885464,0.0025052428,0.99299115
1.80135,0.11780689,-0.0044885464,0.0025052428,0.99299115
1.81145,0.11784279,-0.004510738,0.002548784,0.99299765
1.82145,0.11784573,-0.0045036636,0.0026325285,0.9930175
1.83155,0.11791466,-0.004555043,0.0026360154,0.9930107
1.84155,0.11792135,-0.004610222,0.0026928782,0.9929771
1.85115,0.11792135,-0.004610222,0.0026928782,0.9929771
1.86165,0.11792135,-0.004610222,0.0026928782,0.9929771
1.87135,0.11795726,-0.0046324134,0.002736479,0.9929836
1.88125,0.11790591,-0.00470132,0.002743274,0.99298716
1.89175,0.11790591,-0.00470132,0.002743274,0.99298716
1.90135,0.11790591,-0.00470132,0.002743274,0.99298716
1.91145,0.11787002,-0.0046791285,0.0026996732,0.9929806
1.92125,0.117932215,-0.0046753585,0.0026463568,0.9930075
1.93125,0.11789626,-0.0046532005,0.002602756,0.9930009
1.94135,0.11792551,-0.004620176,0.0025894642,0.99304104
1.95125,0.117944725,-0.0045913346,0.0025122762,0.9929776
1.96135,0.1179631,-0.004493192,0.0025455952,0.99298745
1.97145,0.11799904,-0.004515335,0.002589196,0.99299383
1.98145,0.117936835,-0.004519101,0.0026425421,0.992967
1.99125,0.11797278,-0.004541263,0.0026860833,0.99297357
2.00085,0.11800198,-0.0045082755,0.002672851,0.9930137
2.01135,0.117988184,-0.0044502094,0.0026357174,0.99296355
2.02145,0.118021175,-0.004479427,0.002595663,0.99295026
2.03125,0.118057124,-0.0045015775,0.0026392937,0.99295676
2.04125,0.118128955,-0.004545927,0.0027264655,0.9929698
2.05125,0.11808056,-0.004607763,0.0028169155,0.99299306
2.06125,0.11812314,-0.0046851225,0.0029173791,0.99296594
2.07125,0.118132815,-0.00473319,0.0030579567,0.9929523
