elapsed_s,i,j,k,real
129.29,0.016444437,-0.026966155,0.6504519,0.75881916
129.3002,0.01630877,-0.027231809,0.6502222,0.7590388
129.3102,0.016114201,-0.027434379,0.64992607,0.7593137
129.3204,0.01589588,-0.027727265,0.6495358,0.75962055
129.3303,0.015529358,-0.02798442,0.64904016,0.7600742
129.3402,0.015108385,-0.02823946,0.64841735,0.76058424
129.3503,0.014539721,-0.028648144,0.64775455,0.7611315
129.3603,0.013847959,-0.028995095,0.6470829,0.7617361
129.3703,0.013185664,-0.029376836,0.6464468,0.7622522
129.3802,0.012422042,-0.029674007,0.64596164,0.7626776
129.3902,0.011625829,-0.029946227,0.6455087,0.76301104
129.4,0.010823058,-0.03021854,0.6451776,0.7633492
129.4103,0.010143086,-0.030369774,0.6447946,0.76361763
129.4202,0.009519519,-0.030455645,0.64447355,0.7639461
129.4302,0.008988409,-0.030510934,0.64412814,0.7642417
129.4406,0.0085452795,-0.030474586,0.6438195,0.76450306
129.4501,0.0081586465,-0.030379431,0.64357734,0.7647027
129.4603,0.0078515075,-0.030260328,0.64355904,0.7647565
129.4703,0.0075064558,-0.030180564,0.6436967,0.7646653
129.4802,0.0071820905,-0.030020382,0.64399666,0.7643619
129.4903,0.0067229,-0.029869325,0.64453816,0.76394546
129.5001,0.0061918483,-0.029668488,0.64526606,0.7633498
129.51,0.0057133827,-0.029537393,0.64618653,0.76258147
129.5202,0.005156592,-0.029363053,0.6474198,0.7615167
129.53,0.004713242,-0.02925397,0.6488467,0.76034045
129.5401,0.0041133296,-0.029183319,0.65036017,0.7590776
129.5497,0.0036134871,-0.029139573,0.6517251,0.7578412
129.5602,0.0029635131,-0.029121105,0.65304583,0.75675744
129.5701,0.0023353407,-0.029211216,0.6539916,0.75591016
129.58,0.0016352185,-0.029376227,0.65458506,0.7553901
129.5901,0.0009786615,-0.029620511,0.6549586,0.7550802
129.6003,0.00024264038,-0.029888652,0.6551085,0.75491613
129.61,-0.0005466908,-0.030212319,0.6551287,0.7548724
129.6201,-0.0014546672,-0.030535078,0.65507925,0.75488704
129.6302,-0.0023287602,-0.030947043,0.65499955,0.75493616
129.6401,-0.003199665,-0.031355664,0.65485686,0.75504375
129.6501,-0.004067293,-0.031760953,0.6546508,0.75521
129.6597,-0.004907501,-0.032262005,0.65454113,0.7552933
129.6701,-0.0058445246,-0.03273937,0.6545214,0.75528675
129.6802,-0.0068445406,-0.033282198,0.65456134,0.7552248
129.6901,-0.007847714,-0.033828333,0.6546645,0.75510424
129.7001,0.008848514,0.034496367,-0.65476745,-0.7549903
129.7101,0.00984399,0.0351001,-0.65474635,-0.7549293
129.72,0.010736243,0.035720877,-0.6545092,-0.75507534
129.7301,0.011678559,0.036393836,-0.65407896,-0.75540036
129.7401,0.012490624,0.036990225,-0.65346354,-0.75595933
129.7502,0.013292912,0.03758324,-0.65266323,-0.7565723
129.7601,0.013970151,0.03817051,-0.65180624,-0.7572441
129.7696,0.0146801025,0.038726266,-0.650977,-0.7579458
129.7801,0.015504191,0.039342057,-0.6500171,-0.75870687
129.7902,0.016300889,0.04005362,-0.64915335,-0.7593851
129.8002,0.017161781,0.04076639,-0.64834726,-0.76006526
129.8102,0.01798788,0.04144969,-0.64745265,-0.76071024
129.8201,0.018756256,0.042131826,-0.6466223,-0.76135737
129.83,0.01949207,0.042838905,-0.6457595,-0.7620965
129.84,0.020163624,0.04354472,-0.64483917,-0.76283354
129.8502,0.020800453,0.044221014,-0.6438303,-0.763535
129.8601,0.021405855,0.04485806,-0.642787,-0.7643862
129.87,0.0220395,0.045524515,-0.64171034,-0.7652681
129.8797,0.022702632,0.0461627,-0.6406028,-0.76611674
129.8898,0.023278544,0.046834566,-0.639595,-0.7668793
129.9,0.023928333,0.047517575,-0.6388343,-0.76746815
129.9101,0.02475197,0.04819144,-0.63847375,-0.76773477
129.9198,0.025530752,0.048883975,-0.63843465,-0.7676475
129.93,0.026416097,0.049556196,-0.63867044,-0.7674165
129.94,0.027457519,0.05045625,-0.639058,-0.76698893
129.95,0.028539322,0.051273838,-0.6396019,-0.76641
129.96,0.029745817,0.052280013,-0.64026314,-0.76578426
129.9699,0.03110364,0.053260326,-0.64088684,-0.76512516
129.9799,0.032671243,0.054334603,-0.6414674,-0.7644996
129.9895,0.034236833,0.05534792,-0.6419873,-0.76386875
130.0,0.03602119,0.0563334,-0.6425859,-0.7632696
130.01,0.037627548,0.057074796,-0.64319706,-0.76259696
130.0199,0.039271485,0.057540987,-0.6438364,-0.761941
130.0299,0.040880356,0.057656605,-0.64425445,-0.7615334
130.04,0.04225963,0.05735029,-0.64421314,-0.7614837
130.0498,0.04315235,0.05665553,-0.6440677,-0.7616544
130.05971,0.04366084,0.05543665,-0.643976,-0.7617687
130.07,0.044043478,0.053458158,-0.6441103,-0.761759
130.0801,0.04406657,0.050535727,-0.64460826,-0.76155967
130.0901,0.04347138,0.046465613,-0.645708,-0.7608935
130.0995,0.042341493,0.041393667,-0.6473076,-0.75991756
130.11,0.040425085,0.034435887,-0.649518,-0.75849676
130.1199,0.037994444,0.026072389,-0.6518865,-0.7568846
130.1298,0.035002522,0.016561883,-0.6541911,-0.7553619
130.14,-0.031212196,-0.005861143,0.6559805,0.7540626
130.15,-0.026735121,0.005049431,0.6568298,0.7535433
130.1599,-0.021087624,0.016535386,0.65671164,0.7536003
130.17,-0.014604432,0.027823325,0.6558844,0.7541926
130.1799,-0.007230061,0.03902313,0.6544212,0.7550725
130.19,0.00055161066,0.049945686,0.6522935,0.75630957
130.1999,0.00862431,0.06046998,0.64943147,0.7579692
130.2096,0.016197495,0.0698391,0.6460416,0.75991535
130.2194,0.023679122,0.07866751,0.6422721,0.7620598
130.2298,0.031055156,0.086999565,0.63837785,0.7641037
130.24,0.037939273,0.09438802,0.63489586,0.7658464
130.2499,0.044269744,0.10120061,0.63169944,0.7673242
130.2599,0.049857307,0.1072991,0.6283685,0.7688652
130.2699,0.055258457,0.11294803,0.6246824,0.7706312
130.2798,0.06049557,0.11781105,0.6209175,0.7726196
130.2898,0.065812275,0.12206274,0.61703515,0.77457535
130.3,0.071119264,0.12581362,0.6135266,0.77632725
130.31,0.07616969,0.12904899,0.6104462,0.77769434
130.3194,0.08070456,0.13170283,0.60808545,0.77869093
130.3297,0.085323125,0.13400514,0.6060157,0.77938086
130.3399,0.08965784,0.13571137,0.60433394,0.77990305
130.3498,0.09395783,0.13689072,0.6029296,0.7803108
130.3601,0.098037444,0.13784096,0.60173434,0.7805244
130.3698,0.1016671,0.13864411,0.60101473,0.7804574
130.3797,0.105101004,0.13956498,0.60107005,0.7798318
130.3898,0.10827109,0.14046723,0.6020887,0.7784172
130.3997,0.11151027,0.14138956,0.60411793,0.77624404
130.4097,0.11523623,0.14244586,0.607314,0.7730067
130.4199,0.119399816,0.14334302,0.6121442,0.7684018
130.4298,0.12419161,0.14402384,0.61849606,0.76242834
130.4398,0.13015285,0.1438601,0.626784,0.7545856
130.4499,0.1371148,0.14280707,0.63674104,0.74523264
130.4597,0.14503318,0.14067437,0.6481242,0.7342484
130.4695,0.15327637,0.13785794,0.6594145,0.7229306
130.4794,0.16161898,0.13462682,0.6695504,0.7123567
130.4895,0.16894005,0.13181722,0.67624784,0.704781
130.4998,0.1752418,0.13100085,0.6759203,0.7037473
130.5099,0.17884293,0.13175991,0.6728322,0.70564336
130.5199,0.18190761,0.1332696,0.66860664,0.7085878
130.5297,0.1847794,0.13531795,0.66377485,0.71193945
130.5397,0.18778276,0.1378695,0.65857583,0.71549517
130.5497,0.19175169,0.14114967,0.6521817,0.71970195
130.5598,0.19558915,0.1447771,0.6452522,0.72414523
130.5697,0.19877839,0.14873184,0.6383159,0.72866195
130.5794,0.20134881,0.15278932,0.6320754,0.7324953
130.5895,0.20312925,0.15685031,0.62631977,0.7361318
130.5998,0.20390682,0.16032013,0.6212577,0.73939687
130.6098,0.20393597,0.162665,0.6168945,0.7425031
130.6198,0.20338643,0.16374722,0.61295587,0.74566185
130.6297,0.20258573,0.16371758,0.60955733,0.7487166
130.6398,0.20161735,0.1627154,0.6068055,0.7513887
130.6498,0.20062797,0.1609586,0.60473835,0.7536987
130.6592,0.1996781,0.158628,0.6033005,0.75557375
130.6695,0.19873092,0.15550175,0.60210735,0.75743926
130.6797,0.19783849,0.15169309,0.6012907,0.7591109
130.6892,0.1971721,0.1476223,0.60092896,0.7603856
130.6997,0.19653559,0.14271173,0.60031295,0.7619405
130.7097,0.19533637,0.13870798,0.5990041,0.76406276
130.7197,0.193078,0.13652176,0.5973927,0.7662588
130.7297,0.19116457,0.13604268,0.59556454,0.7682332
130.7398,0.18978372,0.13677117,0.5924584,0.7708297
130.7497,0.18829596,0.13793765,0.5883093,0.7741892
130.7596,0.18662535,0.13946334,0.5834296,0.77802217
130.7696,0.1846496,0.1401809,0.5788435,0.7817256
130.7798,0.18180457,0.13849667,0.576573,0.78435904
130.7895,0.1786819,0.13526903,0.5772584,0.7851974
130.7993,0.17578332,0.13098603,0.5799057,0.78457546
130.8095,0.17335449,0.12644573,0.58302087,0.7835569
130.8197,0.17033024,0.12135804,0.5860325,0.7828081
130.8297,0.16784862,0.11706372,0.5888989,0.7818282
130.8397,0.164765,0.113386616,0.5913546,0.7811664
130.8496,0.16107309,0.110503264,0.59286374,0.781252
130.8598,0.15725248,0.108028576,0.5931747,0.78212726
130.8697,0.15342066,0.105659716,0.593078,0.78325677
130.8792,0.14978704,0.10367347,0.5925564,0.7845948
130.8896,0.14576429,0.1014134,0.59197694,0.786098
130.8998,0.14164753,0.098872304,0.59154785,0.78752995
130.9092,0.13763815,0.09606993,0.59150386,0.78862345
130.9196,0.1330778,0.09239355,0.5918013,0.7895925
130.9298,0.12863202,0.08858777,0.59229445,0.7903925
130.9396,0.12418547,0.08465679,0.5928506,0.7911404
130.9495,0.11980239,0.08060187,0.59341216,0.79183394
130.9596,0.11523572,0.076414905,0.59402907,0.79241425
130.9696,0.1105059,0.07218942,0.5948544,0.7929125
130.9796,0.10559254,0.067831784,0.5957351,0.79329735
130.9895,0.100457296,0.06349217,0.5967625,0.7935337
130.9997,0.09510366,0.058990907,0.5979337,0.79369205
131.0096,0.089627065,0.054544915,0.5991008,0.7937861
131.0193,0.08427206,0.050277695,0.60021836,0.7937466
131.0297,0.0784606,0.045725446,0.6014036,0.7936937
131.0396,0.072843246,0.04143395,0.60228527,0.79386055
131.0496,0.067252606,0.037281036,0.6026078,0.7943048
131.0592,0.061775815,0.033239707,0.602466,0.79506236
131.0693,0.056087993,0.029030753,0.60174906,0.7961743
131.0795,0.050393384,0.024866752,0.6005636,0.79754144
131.0897,0.044772625,0.020713918,0.59913105,0.7990824
131.0996,0.039431166,0.016720656,0.59756,0.80064046
131.1097,0.03410838,0.012615531,0.5956773,0.8023765
131.1196,0.029036606,0.008640512,0.593623,0.80416036
131.1292,0.024428206,0.004767781,0.59144,0.80596495
131.1396,0.019758081,0.0006340358,0.5887846,0.8080412
131.1497,0.0154512655,-0.0033771065,0.5861535,0.8099897
131.1595,0.011488264,-0.0072725182,0.5839166,0.8117022
131.1698,0.00759839,-0.011157134,0.5820346,0.81303
131.1795,0.0041564563,-0.014693139,0.5808064,0.8138745
131.1895,0.0008776401,-0.01805926,0.5799043,0.8144163
131.1995,-0.002021908,-0.021148415,0.57924044,0.8148607
131.2094,-0.0044951853,-0.024049511,0.578541,0.8152328
131.2196,-0.0063503324,-0.026556378,0.57755905,0.8158797
131.2295,-0.007792553,-0.028830357,0.57619494,0.81671417
131.2392,-0.00881353,-0.030659521,0.57478666,0.817707
131.2494,-0.0095531,-0.03213687,0.5737135,0.81832665
131.2594,-0.010209304,-0.03319268,0.5738022,0.8182637
131.2694,-0.011022078,-0.034024347,0.5750461,0.8173449
131.2798,-0.012260945,-0.034787986,0.57739854,0.8156071
131.2896,-0.013687016,-0.03536636,0.58033895,0.81342226
131.2995,-0.015222566,-0.03548195,0.58402354,0.81081223
131.3095,-0.016952919,-0.035492465,0.58789045,0.8079585
131.3195,-0.01862151,-0.03537988,0.59169996,0.80509615
131.3294,-0.020102477,-0.035006694,0.5953279,0.8024578
131.3394,-0.021159334,-0.03400909,0.59879243,0.79990256
131.3493,-0.021750046,-0.032087803,0.6023457,0.7973014
131.3595,-0.021802774,-0.028670538,0.6061513,0.794477
131.3696,-0.02129786,-0.02378888,0.6104253,0.7914085
131.3794,-0.020256916,-0.017478723,0.61501706,0.78800035
131.3892,-0.018569928,-0.009933321,0.61964464,0.78458905
131.3995,-0.015975965,-0.0010191896,0.62395114,0.7812765
131.4096,-0.012774654,0.00807439,0.6270984,0.77876806
131.4196,-0.00889498,0.017172372,0.628963,0.7771906
131.4295,-0.0041863974,0.026117232,0.62964964,0.77640384
131.4395,0.0013458875,0.034844667,0.6292824,0.77635473
131.4493,0.007709486,0.043297134,0.62773716,0.77710277
131.4591,0.014589967,0.050970946,0.62536883,0.7785046
131.4694,0.022356395,0.058361147,0.62195444,0.7805255
131.4794,0.03063653,0.065460265,0.61759603,0.7831695
131.4896,0.038734864,0.072408594,0.61210304,0.7864519
131.499,0.045734294,0.07864548,0.6062664,0.78997284
131.5094,0.05242425,0.08498554,0.59988177,0.79380405
131.5195,0.05787497,0.09084832,0.5939974,0.79718924
131.5294,0.062547654,0.096281566,0.5885409,0.8002762
131.5394,0.066898346,0.10125574,0.5835726,0.8029165
131.5495,0.071141705,0.10575889,0.57966524,0.8048264
131.5589,0.075185746,0.11006181,0.576724,0.80595714
131.5691,0.079472035,0.11474137,0.5742722,0.80662745
131.5794,0.08356258,0.119538605,0.5725951,0.8067391
131.5895,0.08751682,0.124201074,0.57182455,0.8061271
131.5993,0.09168732,0.12872928,0.57222813,0.80467933
131.6089,0.0960168,0.13293926,0.5738025,0.8024056
131.6194,0.10108432,0.13754463,0.57690614,0.79873097
131.6293,0.10612145,0.14182475,0.5812948,0.7941735
131.6395,0.111502305,0.14615563,0.5872835,0.78820527
