elapsed_s,i,j,k,real
3.22995,0.0012268475,-0.020950984,0.029624432,0.99931055
3.24005,0.0011938452,-0.020921761,0.029664457,0.9993238
3.24985,0.0012189294,-0.020878771,0.029754609,0.99929994
3.25995,0.0012189294,-0.020878771,0.029754609,0.99929994
3.26985,0.0011859257,-0.020849548,0.029794723,0.9993133
3.27995,0.0011529229,-0.020820323,0.029834777,0.99932647
3.29025,0.0011780066,-0.020777332,0.029924989,0.9993027
3.29995,0.0011780066,-0.020777332,0.029924989,0.9993027
3.31005,0.0011450043,-0.020748109,0.029965073,0.999316
3.31985,0.0010827868,-0.020751897,0.030018419,0.9992891
3.32965,0.0010497845,-0.020722676,0.030058473,0.9993025
3.34005,0.0010167817,-0.020693451,0.030098498,0.9993156
3.34975,0.0009837556,-0.020664247,0.030138582,0.999329
3.35975,0.000972901,-0.020599104,0.030185193,0.9992987
3.36935,0.00093989866,-0.02056988,0.030225247,0.999312
3.37985,0.00093989866,-0.02056988,0.030225247,0.999312
3.38995,0.0009582918,-0.020471716,0.030258536,0.99932176
3.39985,0.000889373,-0.020420324,0.03025499,0.9993285
3.40985,0.00086013554,-0.020453356,0.030268282,0.9992885
3.41975,0.0008534356,-0.020398173,0.030211419,0.999322
3.42965,0.0008204328,-0.020368949,0.030251473,0.9993353
3.43965,0.00078448467,-0.020346787,0.030207872,0.99932873
3.44965,0.0007514823,-0.020317564,0.030247957,0.9993421
3.45965,0.0007377346,-0.020259496,0.030210823,0.9992919
3.46975,0.00066878507,-0.020208111,0.030207306,0.9992988
3.47935,0.0006357813,-0.020178888,0.03024739,0.9993119
3.4895499,0.0005998658,-0.020156715,0.03020382,0.99930555
3.49965,0.0005601486,-0.020072337,0.030186981,0.9993523
3.50965,0.00049120747,-0.020020964,0.030183464,0.9993591
3.51985,0.00047746487,-0.019962857,0.03014636,0.99930906
3.5297499,0.0003726082,-0.01988931,0.030099243,0.99930936
3.53965,0.0003658845,-0.019834146,0.03004238,0.9993429
3.54965,0.00029697642,-0.019782765,0.030038804,0.9993496
3.55975,0.00022511324,-0.019738432,0.029951632,0.99933666
3.56945,0.00015617209,-0.019687057,0.029948086,0.9993434
3.57955,8.7254215e-05,-0.019635662,0.029944569,0.9993502
3.58945,-1.7635059e-05,-0.019562125,0.029897451,0.9993505
3.59975,-5.3540803e-05,-0.019539963,0.02985391,0.99934405
3.6094499,-0.00020689052,-0.019528292,0.029897183,0.9993675
3.61965,-0.0002427958,-0.019506134,0.029853582,0.99936104
3.62915,-0.0003739735,-0.019458529,0.029903442,0.999341
3.63935,-0.00044291466,-0.019407153,0.029899895,0.99934787
3.6496499,-0.0005632164,-0.019424666,0.029903144,0.99935806
3.65955,-0.0006943736,-0.019377083,0.029952914,0.99933815
3.66965,-0.00076331524,-0.019325709,0.029949397,0.9993449
3.67965,-0.00082932226,-0.019267257,0.030029595,0.99937147
3.68955,-0.0008915486,-0.019271038,0.030082941,0.9993446
3.6993499,-0.0009867689,-0.019245606,0.030176312,0.9993311
3.70955,-0.0010197717,-0.019216381,0.030216396,0.99934435
3.71945,-0.0010857773,-0.019157933,0.030296534,0.99937093
3.72955,-0.0011839522,-0.019139547,0.03030631,0.9993376
3.73895,-0.0012169355,-0.019110348,0.030346364,0.99935097
3.74925,-0.0012791627,-0.019114126,0.03039971,0.99932414
3.75935,-0.0014325036,-0.019102465,0.030443013,0.9993477
3.76935,-0.0014655055,-0.019073242,0.030483127,0.999361
3.77965,-0.0015277229,-0.019077033,0.030536413,0.9993342
3.78945,-0.0016258992,-0.019058648,0.030546218,0.99930084
3.79945,-0.0016589006,-0.019029424,0.030586272,0.9993142
3.80935,-0.0017499914,-0.019013967,0.03057623,0.9993645
3.81945,-0.0018481342,-0.018995576,0.030586034,0.99933124
3.82915,-0.0018840707,-0.018973427,0.030542403,0.99932474
3.83925,-0.0019170749,-0.0189442,0.030582458,0.9993379
3.84925,-0.001985983,-0.018892817,0.030578941,0.9993447
3.85925,-0.0020511462,-0.018903669,0.030548632,0.99929816
3.86935,-0.0020841477,-0.018874446,0.030588686,0.99931145
3.87925,-0.0021200734,-0.018852264,0.030545056,0.9993049
3.8889499,-0.0021238746,-0.018790055,0.030571878,0.99935836
3.89925,-0.0021927836,-0.018738672,0.030568361,0.9993651
3.90935,-0.0021706359,-0.018702757,0.030574888,0.9993215
3.91905,-0.0022036373,-0.018673532,0.030614942,0.99933475
3.92935,-0.0022366405,-0.018644309,0.030654997,0.99934816
3.93935,-0.0022504157,-0.01858621,0.030617923,0.999298
3.94925,-0.0022541955,-0.018523982,0.030644685,0.9993514
3.95915,-0.0022901432,-0.01850182,0.030601114,0.9993448
3.96925,-0.0023590517,-0.018450439,0.030597538,0.9993516
3.97925,-0.0023368928,-0.01841453,0.030604035,0.999308
3.98905,-0.002372841,-0.01839237,0.030560493,0.9993015
3.99895,-0.0024125348,-0.01830797,0.030543655,0.9993483
4.00925,-0.002445538,-0.01827875,0.03058374,0.9993616
4.01905,-0.002481475,-0.018256597,0.030540168,0.9993552
4.02905,-0.00251739,-0.018234428,0.030496538,0.9993486
4.03865,-0.002557117,-0.018150037,0.03047973,0.9993955
4.04895,-0.00257086,-0.018091932,0.030442655,0.99934536
4.05905,-0.0026397924,-0.018040568,0.030439109,0.9993522
4.06905,-0.0027087433,-0.017989181,0.030435622,0.99935895
4.07895,-0.0028398791,-0.017941577,0.030485362,0.99933887
4.08885,-0.0029088194,-0.017890202,0.030481845,0.99934566
4.09895,-0.0029777605,-0.017838826,0.030478299,0.9993525
4.10895,-0.0030466886,-0.017787421,0.030474812,0.99935925
4.11895,-0.0030642329,-0.017667107,0.0304645,0.9993625
4.12905,-0.0031331512,-0.017615713,0.030460984,0.9993692
4.13875,-0.0032313163,-0.01759734,0.030470729,0.9993359
4.14855,-0.003300258,-0.017545966,0.030467212,0.9993427
4.15905,-0.0034051142,-0.017472422,0.030420095,0.99934304
4.16895,-0.0034740227,-0.017421039,0.030416548,0.9993497
4.17875,-0.0035788883,-0.017347481,0.03036943,0.9993501
4.18925,-0.0036700014,-0.017332042,0.030359417,0.99940044
4.19885,-0.0037710792,-0.017320724,0.030285478,0.9993473
4.20895,-0.0038400302,-0.017269338,0.030281901,0.9993541
4.21875,-0.0039448864,-0.017195793,0.030234784,0.9993544
4.2287498,-0.004013805,-0.017144399,0.030231297,0.99936116
4.23875,-0.004046808,-0.017115174,0.030271351,0.9993745
4.24875,-0.004144972,-0.0170968,0.030281097,0.9993412
4.25885,-0.004213914,-0.017045427,0.03027758,0.9993479
4.26885,-0.004279909,-0.01698699,0.030357718,0.9993745
4.27895,-0.004342137,-0.01699077,0.030411065,0.9993477
