elapsed_s,i,j,k,real
137.9235,-0.012777204,-0.009764167,-0.9924383,-0.12134914
137.9334,-0.012744457,-0.009795648,-0.99246603,-0.12137903
137.9436,-0.012744457,-0.009795648,-0.99246603,-0.12137903
137.9534,-0.0127433175,-0.0098533295,-0.9924685,-0.12131486
137.9636,-0.0127433175,-0.0098533295,-0.9924685,-0.12131486
137.9735,-0.0127433175,-0.0098533295,-0.9924685,-0.12131486
137.9836,-0.012710603,-0.00988481,-0.9924962,-0.121344775
137.9935,-0.012710603,-0.00988481,-0.9924962,-0.121344775
138.0036,-0.012742055,-0.0099175405,-0.9924663,-0.12137252
138.0137,-0.012742055,-0.0099175405,-0.9924663,-0.12137252
138.0236,-0.012681171,-0.009913074,-0.9924653,-0.12131148
138.0336,-0.012681171,-0.009913074,-0.9924653,-0.12131148
138.0432,-0.012710668,-0.009878281,-0.9925007,-0.12122296
138.0533,-0.012710668,-0.009878281,-0.9925007,-0.12122296
138.0636,-0.012710668,-0.009878281,-0.9925007,-0.12122296
138.0735,-0.012682404,-0.009848863,-0.99246746,-0.12125382
138.0836,-0.012712622,-0.009945804,-0.99243546,-0.12133923
138.0934,-0.012773565,-0.009950271,-0.9924364,-0.12140024
138.1036,-0.012740696,-0.009988251,-0.99245965,-0.121551946
138.1135,-0.012740572,-0.009994825,-0.99245507,-0.121673785
138.1235,-0.012711104,-0.010029618,-0.9924196,-0.12176232
138.13339,-0.012681546,-0.010064381,-0.99238414,-0.121850826
138.1434,-0.012742459,-0.010068848,-0.9923851,-0.12191181
138.1532,-0.012742459,-0.010068848,-0.9923851,-0.12191181
138.1635,-0.012741291,-0.010126529,-0.9923875,-0.12184767
138.1735,-0.012742554,-0.010062348,-0.99238974,-0.12179007
138.1835,-0.012709933,-0.010087269,-0.992422,-0.121698126
138.1936,-0.012710028,-0.010080726,-0.9924265,-0.12157632
138.2035,-0.012647974,-0.010133911,-0.992428,-0.12145116
138.2134,-0.012676238,-0.010163329,-0.9924612,-0.121420234
138.2236,-0.01270655,-0.010253726,-0.99243367,-0.12138378
138.2336,-0.01270655,-0.010253726,-0.99243367,-0.12138378
138.2435,-0.012705317,-0.010317937,-0.9924315,-0.12144146
138.2535,-0.012733426,-0.010353856,-0.99246025,-0.121532366
138.2633,-0.012732221,-0.010418064,-0.99245805,-0.12158999
138.2734,-0.01273541,-0.0104213925,-0.9923949,-0.12164863
138.2836,-0.012702693,-0.010452874,-0.9924226,-0.12167854
138.2935,-0.0127624385,-0.01051499,-0.99242604,-0.12167538
138.3035,-0.012733035,-0.010543254,-0.9923951,-0.12164208
138.3134,-0.012731836,-0.010600937,-0.9923974,-0.121577926
138.3235,-0.0126992455,-0.010625902,-0.99242973,-0.12148605
138.3334,-0.012698076,-0.01068354,-0.9924322,-0.12142189
138.3435,-0.012696906,-0.010741221,-0.9924345,-0.121357694
138.3533,-0.012664286,-0.010766173,-0.9924668,-0.12126578
138.3634,-0.012663117,-0.01082381,-0.9924692,-0.12120161
138.373,-0.012661977,-0.01088149,-0.9924716,-0.121137455
138.38339,-0.012690211,-0.01091091,-0.9925048,-0.12110655
138.3935,-0.012660808,-0.010939173,-0.9924739,-0.12107328
138.4034,-0.012692289,-0.010971903,-0.99244404,-0.12110103
138.4136,-0.012659543,-0.011003355,-0.99247175,-0.12113092
138.4234,-0.0127192885,-0.011065471,-0.99247515,-0.12112777
138.4333,-0.012686572,-0.0110969525,-0.9925029,-0.121157676
138.4435,-0.012688621,-0.011157947,-0.9924421,-0.1211521
138.4533,-0.012655969,-0.011182869,-0.9924744,-0.12106022
138.4634,-0.012626568,-0.011211133,-0.99244344,-0.12102693
138.4734,-0.012593918,-0.0112360995,-0.9924757,-0.12093505
138.4829,-0.012622211,-0.011265501,-0.992509,-0.12090414
138.4933,-0.012592777,-0.011293735,-0.99247813,-0.12087088
138.5034,-0.012588265,-0.011354635,-0.99253917,-0.12086988
138.5134,-0.012619747,-0.01138735,-0.99250925,-0.120897636
138.5236,-0.012587031,-0.011418831,-0.99253696,-0.12092752
138.5335,-0.012590249,-0.011422142,-0.99247384,-0.12098615
138.5432,-0.012588984,-0.0114863245,-0.99247164,-0.1210438
138.5533,-0.01258892,-0.011492899,-0.99246705,-0.12116559
138.5634,-0.01258892,-0.011492899,-0.99246705,-0.12116559
138.5735,-0.012527913,-0.01149496,-0.9924615,-0.121226415
138.5834,-0.012526678,-0.011559142,-0.99245936,-0.12128403
138.5931,-0.012526678,-0.011559142,-0.99245936,-0.12128403
138.6034,-0.012465764,-0.011554646,-0.9924584,-0.121223055
138.6134,-0.012526743,-0.011552613,-0.992464,-0.12116222
138.6235,-0.012495232,-0.011519884,-0.9924939,-0.121134505
138.6335,-0.012526837,-0.011546069,-0.9924685,-0.12104041
138.6433,-0.012465984,-0.011541601,-0.99246746,-0.12097941
138.6535,-0.012433333,-0.011566553,-0.9924997,-0.120887496
138.6632,-0.012434568,-0.011502358,-0.992502,-0.12082984
138.6732,-0.012373682,-0.011497862,-0.99250096,-0.120768875
138.6834,-0.012342231,-0.011465131,-0.9925308,-0.12074112
138.6934,-0.012342231,-0.011465131,-0.9925308,-0.12074112
138.7031,-0.012342231,-0.011465131,-0.9925308,-0.12074112
138.7132,-0.012342231,-0.011465131,-0.9925308,-0.12074112
138.7233,-0.012374977,-0.01143368,-0.99250305,-0.12071122
138.7333,-0.012343495,-0.011400949,-0.99253297,-0.12068347
138.7429,-0.012283847,-0.011332273,-0.9925341,-0.120564826
138.7533,-0.0123755215,-0.011237735,-0.9925728,-0.12047965
138.7634,-0.0123473825,-0.011201818,-0.99254394,-0.12038873
138.7733,-0.012287638,-0.0111396685,-0.99254066,-0.12039189
138.7833,-0.012288901,-0.011075458,-0.9925428,-0.12033426
138.7933,-0.012290041,-0.011017777,-0.9925405,-0.12039843
138.8031,-0.012258466,-0.010991621,-0.9925658,-0.120492496
138.8132,-0.012259666,-0.010933938,-0.9925634,-0.1205567
138.8233,-0.012231277,-0.010911035,-0.9925255,-0.120709375
138.8331,-0.012263897,-0.010886083,-0.9924934,-0.12080131
138.8434,-0.012232352,-0.010859913,-0.9925187,-0.12089535
138.8527,-0.012265001,-0.010834976,-0.9924865,-0.12098727
