elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.6585501,1960,-1263,-932,646,-664,-2772,1165,-2690
1.6590501,1960,-1263,-932,646,-664,-2772,1166,-2690
1.6595502,1960,-1263,-932,646,-664,-2771,1166,-2689
1.6600502,1960,-1263,-932,646,-664,-2772,1166,-2690
1.6605501,1960,-1263,-932,646,-664,-2771,1166,-2690
1.6610502,1960,-1263,-932,646,-665,-2771,1166,-2690
1.6615502,1960,-1262,-932,646,-664,-2772,1166,-2689
1.6620501,1960,-1262,-932,645,-664,-2771,1166,-2690
1.6625501,1960,-1262,-932,645,-663,-2771,1165,-2689
1.6630502,1960,-1263,-932,645,-664,-2771,1166,-2689
1.6635501,1960,-1262,-932,645,-663,-2771,1165,-2689
1.6640501,1960,-1262,-932,645,-664,-2771,1165,-2689
1.6645502,1960,-1263,-932,646,-664,-2772,1165,-2690
1.6650501,1960,-1263,-932,646,-665,-2772,1166,-2691
1.6655501,1961,-1263,-932,646,-664,-2771,1165,-2691
1.6660502,1961,-1263,-932,646,-664,-2771,1166,-2690
1.6665502,1960,-1263,-932,646,-664,-2771,1166,-2690
1.6670501,1961,-1263,-932,646,-665,-2771,1166,-2691
1.6675502,1961,-1263,-932,646,-664,-2771,1165,-2691
1.6680502,1960,-1263,-932,646,-664,-2771,1166,-2691
1.6685501,1961,-1263,-931,646,-664,-2771,1166,-2691
1.6690501,1961,-1263,-931,645,-665,-2771,1165,-2690
1.6695502,1960,-1263,-931,645,-664,-2771,1166,-2691
1.6701502,1961,-1263,-932,646,-664,-2772,1165,-2690
1.6706501,1961,-1263,-932,645,-664,-2771,1165,-2691
1.6711502,1961,-1263,-931,645,-664,-2772,1166,-2691
1.6716502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6721501,1961,-1263,-931,645,-664,-2771,1166,-2691
1.6726501,1961,-1263,-931,645,-664,-2771,1166,-2690
1.6731502,1961,-1263,-931,645,-664,-2771,1165,-2690
1.6736501,1960,-1263,-931,645,-664,-2771,1166,-2690
1.6741501,1961,-1263,-931,645,-664,-2771,1166,-2690
