elapsed_s,i,j,k,real
0.13654988,-0.013321145,-0.009252429,-0.044058233,0.99887824
0.14664987,-0.013321145,-0.009252429,-0.044058233,0.99887824
0.15664987,-0.013332209,-0.009222524,-0.044149175,0.9989217
0.16654986,-0.013322705,-0.009266388,-0.04417862,0.9988926
0.17654987,-0.013322705,-0.009266388,-0.04417862,0.9988926
0.18604986,-0.013286656,-0.009263017,-0.04427512,0.99886894
0.19664986,-0.013270926,-0.009314602,-0.044357598,0.9989073
0.20654987,-0.013288187,-0.009276984,-0.044395536,0.9988834
0.21644987,-0.013252137,-0.009273615,-0.04449205,0.9988598
0.22674987,-0.013253737,-0.00928759,-0.044612393,0.9988741
0.23634987,-0.013227219,-0.009240439,-0.044679403,0.99887985
0.24644987,-0.013191124,-0.009237117,-0.044775918,0.99885625
0.25644988,-0.013192711,-0.009251064,-0.044896275,0.9988705
0.26634988,-0.013192711,-0.009251064,-0.044896275,0.9988705
0.27634987,-0.013156634,-0.0092477035,-0.04499282,0.9988469
0.28644988,-0.013086252,-0.009191052,-0.045088917,0.99888194
0.29634988,-0.013094031,-0.009197259,-0.0451563,0.9988289
0.30634987,-0.013067487,-0.00915012,-0.045223325,0.9988343
0.31624988,-0.012987639,-0.009137254,-0.045348912,0.99884033
0.32644987,-0.013004901,-0.009099637,-0.04538685,0.9988164
0.33584988,-0.01300646,-0.009113594,-0.045507252,0.9988308
0.34614986,-0.012970421,-0.009110252,-0.045603737,0.99880713
0.35624987,-0.012943893,-0.009063074,-0.045670778,0.9988128
0.36624986,-0.012945453,-0.009077031,-0.045791164,0.99882704
0.37644988,-0.012865551,-0.009064186,-0.04591678,0.99883294
0.38644987,-0.012867167,-0.009078125,-0.046037138,0.9988473
0.39644986,-0.012848388,-0.009037165,-0.04617156,0.9987998
0.40634987,-0.012768485,-0.009024317,-0.046297163,0.9988057
0.41614985,-0.0127873365,-0.009000649,-0.046455458,0.9987961
0.42624986,-0.012707433,-0.008987805,-0.046581075,0.99880207
0.43624988,-0.012709059,-0.00900177,-0.04670149,0.9988164
0.44574988,-0.012663469,-0.009042245,-0.04682742,0.9987636
0.45614988,-0.012682309,-0.009018546,-0.04698579,0.99875414
0.46614987,-0.012600873,-0.008991733,-0.046990976,0.9987457
0.47614986,-0.012519393,-0.008964969,-0.04699613,0.9987372
0.48644987,-0.0124755865,-0.008955447,-0.047025234,0.9987666
0.49604988,-0.01243021,-0.008932032,-0.046933874,0.9987818
0.5060499,-0.01243021,-0.008932032,-0.046933874,0.9987818
0.5161499,-0.012375265,-0.008952379,-0.046872064,0.9987678
0.52604985,-0.012384805,-0.008908534,-0.04684265,0.998797
0.5362499,-0.012347189,-0.008891271,-0.04681869,0.99875903
0.5460499,-0.012329908,-0.0089289285,-0.046780765,0.99878293
0.55614984,-0.012312618,-0.008966556,-0.046742827,0.99880683
0.5660499,-0.0123110125,-0.008952646,-0.04662244,0.9987925
0.5761499,-0.0123110125,-0.008952646,-0.04662244,0.9987925
0.5861499,-0.012265645,-0.008929164,-0.04653108,0.99880755
0.5955499,-0.012220261,-0.008905724,-0.04643984,0.9988226
0.60584986,-0.012182642,-0.00888846,-0.04641591,0.99878484
0.61594987,-0.012192117,-0.008844608,-0.046386436,0.99881387
0.6260499,-0.012174865,-0.0088822525,-0.046348497,0.9988378
0.6361499,-0.012174865,-0.0088822525,-0.046348497,0.9988378
0.64594984,-0.012137219,-0.008865002,-0.046324566,0.99879986
0.65614986,-0.012137219,-0.008865002,-0.046324566,0.99879986
0.6660499,-0.012137219,-0.008865002,-0.046324566,0.99879986
0.67584985,-0.012093412,-0.008855479,-0.046353653,0.9988293
0.68584985,-0.012093412,-0.008855479,-0.046353653,0.9988293
0.69604987,-0.012083899,-0.008899314,-0.046383142,0.99880016
0.70564985,-0.012083899,-0.008899314,-0.046383142,0.99880016
0.7159499,-0.012040064,-0.008889802,-0.04641226,0.9988297
0.72604984,-0.012040064,-0.008889802,-0.04641226,0.9988297
0.73584986,-0.012002437,-0.008872511,-0.046388313,0.9987918
0.74544984,-0.011949117,-0.0089068245,-0.04644689,0.9987921
0.75594985,-0.011949117,-0.0089068245,-0.04644689,0.9987921
0.7658499,-0.011931826,-0.008944452,-0.04640895,0.998816
0.7758499,-0.011922342,-0.008988276,-0.046438426,0.99878687
0.78584987,-0.011878507,-0.008978764,-0.046467528,0.99881643
0.79584986,-0.011923902,-0.009002235,-0.046558827,0.99880135
0.8057499,-0.0118705835,-0.009036547,-0.04661739,0.9988016
0.81584984,-0.011861088,-0.009080345,-0.04664685,0.9987725
0.8257499,-0.011817234,-0.00907087,-0.046675965,0.9988019
0.83564985,-0.011763942,-0.009105174,-0.04673451,0.9988023
0.8456499,-0.011754421,-0.00914898,-0.04676397,0.9987732
0.8553499,-0.0117560085,-0.009162928,-0.046884388,0.9987876
0.8656499,-0.011702678,-0.009197213,-0.046942934,0.998788
0.87584984,-0.011666611,-0.0091938805,-0.047039434,0.9987644
0.88564986,-0.011650908,-0.009245455,-0.047121927,0.99880266
0.89574987,-0.011642955,-0.009303248,-0.04727178,0.998788
0.90574986,-0.011606926,-0.009299933,-0.047368266,0.9987644
0.91574985,-0.011608466,-0.009313834,-0.047488645,0.9987787
0.9257499,-0.011562913,-0.009354329,-0.04761462,0.9987262
0.93554986,-0.011564484,-0.0093683135,-0.047735035,0.9987405
0.94564986,-0.011528434,-0.009364943,-0.04783152,0.9987169
0.9555499,-0.011529993,-0.0093789,-0.04795193,0.99873114
0.96544987,-0.011531608,-0.009392837,-0.04807231,0.99874556
0.97574985,-0.011522096,-0.009436673,-0.048101746,0.9987164
0.9856499,-0.011486018,-0.009433312,-0.04819826,0.9986929
0.9956499,-0.011514135,-0.009494438,-0.04825165,0.9987018
1.0050498,-0.011470327,-0.009484915,-0.04828073,0.9987312
1.0156499,-0.011434287,-0.009481573,-0.04837723,0.99870765
1.0256499,-0.011434287,-0.009481573,-0.04837723,0.99870765
1.0355499,-0.011390451,-0.00947206,-0.048406318,0.9987371
1.0454499,-0.011398201,-0.009478278,-0.048473716,0.99868405
