elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
1.7164499,704,130,-303,2106,-990,-218,-2128,-42
1.7169499,704,130,-303,2106,-990,-218,-2128,-42
1.7174499,704,130,-303,2106,-990,-218,-2128,-42
1.7179499,704,130,-303,2106,-990,-218,-2128,-42
1.7184498,704,130,-303,2106,-990,-218,-2128,-42
1.7189499,704,130,-303,2106,-990,-218,-2128,-42
1.7194499,704,130,-303,2106,-990,-217,-2128,-42
1.7199498,704,131,-302,2106,-990,-218,-2129,-42
1.7204499,704,131,-302,2106,-989,-218,-2129,-42
1.7209499,704,131,-303,2106,-989,-218,-2129,-42
1.7214499,704,130,-302,2106,-989,-218,-2128,-42
1.7219499,704,130,-303,2106,-989,-217,-2129,-42
1.7224499,703,130,-303,2106,-989,-218,-2128,-42
1.7229499,704,131,-303,2106,-989,-218,-2128,-42
1.7234498,704,130,-303,2106,-989,-218,-2129,-42
1.7239499,704,130,-302,2106,-990,-218,-2128,-42
1.7244499,704,131,-303,2106,-989,-217,-2128,-42
1.7249498,704,130,-303,2106,-990,-218,-2128,-42
1.7254499,704,131,-302,2106,-990,-217,-2128,-42
1.7259499,704,130,-303,2106,-989,-217,-2128,-42
1.7264498,704,131,-303,2106,-990,-218,-2128,-42
1.7269499,704,130,-303,2106,-989,-217,-2128,-42
1.7274499,704,130,-303,2106,-989,-217,-2128,-42
1.7279499,704,131,-303,2106,-990,-218,-2128,-42
1.72845,704,131,-303,2106,-990,-218,-2128,-42
1.7289499,704,131,-302,2106,-990,-218,-2128,-42
1.7294499,704,130,-302,2106,-990,-218,-2128,-42
1.7299498,704,130,-303,2106,-990,-218,-2128,-42
1.7304499,703,130,-303,2106,-990,-218,-2128,-42
1.7309499,704,130,-303,2106,-990,-218,-2128,-42
1.7314498,704,130,-303,2106,-990,-218,-2128,-42
1.7319499,704,130,-303,2106,-989,-218,-2128,-42
1.7324499,704,130,-303,2106,-989,-218,-2128,-42
1.7329499,704,130,-303,2106,-990,-218,-2128,-42
1.7334499,704,130,-303,2105,-989,-218,-2128,-43
1.7339499,704,130,-303,2106,-989,-218,-2127,-42
1.7344499,704,130,-303,2105,-989,-218,-2128,-42
1.7349498,704,130,-303,2106,-990,-218,-2128,-42
1.7354499,704,130,-303,2106,-990,-218,-2128,-42
1.7359499,704,130,-303,2106,-990,-218,-2128,-42
1.7364498,704,131,-303,2106,-989,-218,-2128,-42
1.7369499,704,130,-303,2106,-990,-218,-2129,-42
1.7374499,704,130,-302,2106,-989,-218,-2128,-42
1.7379498,704,131,-303,2106,-989,-218,-2129,-42
1.7384499,704,130,-302,2106,-990,-218,-2129,-42
1.7389499,704,130,-303,2106,-990,-218,-2128,-42
1.7394499,704,130,-303,2106,-990,-218,-2128,-42
1.73995,704,130,-303,2106,-990,-218,-2128,-42
1.7404499,704,130,-303,2106,-990,-217,-2128,-42
1.7409499,704,130,-303,2107,-990,-218,-2128,-42
1.7414498,704,130,-302,2106,-990,-218,-2128,-42
1.7419499,704,130,-303,2106,-990,-218,-2128,-42
1.7424499,704,130,-303,2106,-990,-218,-2128,-42
1.7429498,704,130,-303,2106,-990,-217,-2128,-42
1.7434499,705,130,-303,2106,-990,-218,-2128,-42
1.7440499,705,130,-303,2106,-990,-218,-2128,-42
1.7445499,705,130,-303,2106,-989,-218,-2128,-42
1.7450498,704,130,-303,2106,-989,-218,-2128,-42
1.7455499,704,130,-303,2106,-990,-218,-2128,-42
1.7460499,705,130,-303,2106,-990,-218,-2128,-42
1.7465498,704,130,-302,2106,-989,-218,-2128,-42
1.7470499,704,131,-303,2106,-990,-218,-2128,-42
1.7475499,704,131,-303,2106,-990,-218,-2128,-42
1.7480499,704,131,-303,2106,-990,-218,-2128,-42
1.7485499,704,130,-303,2106,-990,-218,-2128,-42
1.7490499,704,131,-303,2106,-989,-218,-2128,-42
1.7495499,704,130,-303,2106,-989,-218,-2128,-42
1.7500498,704,130,-303,2106,-989,-217,-2128,-42
1.7505499,704,130,-303,2106,-989,-218,-2128,-42
1.7510499,704,130,-303,2106,-989,-218,-2128,-42
1.7515498,704,131,-303,2106,-989,-218,-2128,-42
1.7520499,704,130,-303,2105,-989,-217,-2128,-42
1.7525499,704,130,-303,2106,-989,-217,-2128,-42
1.7530499,704,130,-303,2105,-989,-217,-2128,-42
1.7535499,704,130,-303,2106,-989,-218,-2128,-42
1.7540499,704,130,-302,2106,-989,-218,-2128,-42
1.7545499,704,131,-302,2106,-990,-217,-2128,-42
1.75505,704,130,-303,2106,-990,-217,-2128,-42
1.7555499,704,130,-303,2106,-990,-218,-2128,-43
1.7560499,704,130,-303,2106,-990,-218,-2128,-42
1.7565498,704,130,-303,2106,-990,-217,-2128,-42
1.7570499,704,130,-303,2106,-990,-218,-2128,-42
1.7575499,704,130,-303,2106,-990,-218,-2128,-42
1.7580498,704,130,-303,2106,-989,-217,-2128,-42
1.7585499,704,130,-303,2106,-989,-218,-2128,-42
1.7590499,704,130,-302,2106,-989,-218,-2128,-42
1.7595499,704,130,-303,2106,-989,-218,-2128,-42
1.7600499,704,130,-303,2106,-989,-218,-2128,-42
1.7605499,704,130,-303,2106,-989,-218,-2128,-42
1.7610499,704,131,-303,2106,-989,-218,-2128,-42
1.7615498,704,130,-303,2106,-990,-218,-2128,-42
1.7620499,704,130,-303,2105,-989,-217,-2129,-42
1.7625499,704,130,-303,2106,-990,-218,-2128,-42
1.7630498,704,130,-303,2106,-990,-218,-2128,-42
1.7635499,704,130,-302,2106,-990,-218,-2128,-42
1.7640499,704,130,-303,2106,-990,-218,-2128,-42
1.7645499,704,131,-302,2106,-989,-218,-2128,-42
1.7650499,704,130,-303,2106,-989,-218,-2128,-42
1.7655499,704,130,-302,2106,-989,-218,-2128,-42
1.7660499,704,130,-303,2106,-989,-218,-2128,-42
1.7665498,704,131,-303,2106,-989,-218,-2128,-42
1.7670499,704,130,-302,2106,-989,-218,-2128,-42
1.7675499,704,130,-302,2106,-989,-218,-2128,-42
1.7680498,704,130,-303,2106,-989,-218,-2128,-42
1.7685499,704,130,-302,2105,-989,-218,-2128,-42
1.7690499,704,130,-302,2106,-989,-218,-2129,-42
1.7695498,704,130,-302,2106,-989,-218,-2128,-42
1.7700499,704,130,-302,2106,-990,-218,-2128,-42
1.7705499,704,130,-303,2106,-990,-218,-2128,-42
1.7710499,704,131,-303,2106,-990,-218,-2128,-42
1.7715499,704,130,-303,2106,-990,-218,-2128,-42
1.7720499,704,130,-303,2106,-989,-218,-2128,-42
1.7725499,704,130,-303,2106,-989,-218,-2128,-42
1.7730498,704,130,-303,2106,-990,-218,-2128,-42
1.7735499,704,131,-303,2106,-990,-218,-2128,-42
1.7740499,704,130,-302,2106,-990,-218,-2127,-42
1.7745498,704,130,-303,2107,-990,-218,-2128,-42
1.7750499,704,130,-302,2106,-990,-218,-2128,-42
