elapsed_s,i,j,k,real
23.8591,-0.17915717,-0.206788,-0.6882215,-0.67190635
23.8691,-0.17772649,-0.20655507,-0.6873985,-0.6732086
23.8792,-0.17632759,-0.2058189,-0.68705356,-0.6741742
23.8892,-0.17511249,-0.2048299,-0.6873111,-0.67448723
23.8993,-0.1738284,-0.20361769,-0.6882279,-0.6742486
23.9091,-0.17237791,-0.20247272,-0.6896757,-0.67349684
23.9191,-0.17074484,-0.20163962,-0.69136226,-0.6724678
23.9291,-0.16862416,-0.20115426,-0.6931918,-0.6712532
23.9393,-0.16649055,-0.20140798,-0.69463104,-0.6701931
23.9492,-0.16470079,-0.20203522,-0.69508415,-0.66999567
23.9592,-0.16380355,-0.20229152,-0.6946775,-0.6706326
23.9693,-0.16321298,-0.20221613,-0.6937353,-0.6716977
23.9791,-0.16273579,-0.20204462,-0.69269025,-0.67294824
23.989,-0.16234139,-0.20185515,-0.691694,-0.6741258
23.9992,-0.16144362,-0.2019202,-0.6904448,-0.6756229
24.0093,-0.16028696,-0.2020292,-0.68929124,-0.67703265
24.0192,-0.15770605,-0.20214167,-0.6881133,-0.6787995
24.0292,-0.1532264,-0.20217288,-0.6869198,-0.6809735
24.0391,-0.14673515,-0.20202029,-0.6857642,-0.6836405
24.0492,-0.13979226,-0.20217538,-0.6845032,-0.68636334
24.0588,-0.13391082,-0.20310782,-0.6826956,-0.68901896
24.069,-0.12935832,-0.20494004,-0.68058085,-0.6914794
24.0792,-0.12883656,-0.20632367,-0.68160796,-0.6901121
24.0891,-0.1303137,-0.20716295,-0.685725,-0.6854584
24.0992,-0.13324754,-0.2069413,-0.692235,-0.67840093
24.1091,-0.13695559,-0.2044147,-0.6986016,-0.6718257
24.1192,-0.14026654,-0.19949743,-0.70474875,-0.6662617
24.1289,-0.14051515,-0.19314921,-0.7089718,-0.6635338
24.1389,-0.13781704,-0.18779184,-0.7111815,-0.6632706
24.149,-0.13330108,-0.18260713,-0.71263397,-0.6640698
24.1591,-0.12715948,-0.17687854,-0.7139472,-0.665464
24.1692,-0.12020324,-0.17096366,-0.71468616,-0.66748345
24.1791,-0.11335942,-0.16509923,-0.7145835,-0.6702792
24.1889,-0.10678312,-0.15923938,-0.7139788,-0.67339885
24.1989,-0.10098922,-0.15373847,-0.7125735,-0.6770878
24.2091,-0.09543373,-0.14799625,-0.71082044,-0.6809758
24.2186,-0.09025662,-0.14251073,-0.70903516,-0.6846473
24.2288,-0.08458514,-0.13654456,-0.7069571,-0.6887519
24.239,-0.07865459,-0.13033698,-0.7048124,-0.69283277
24.2491,-0.072752245,-0.12377635,-0.70282316,-0.69677925
