elapsed_s,i,j,k,real
1.7213,0.02959436,0.0059963646,0.74055135,0.67126304
1.7314,0.029544417,0.0059708897,0.7406167,0.67125636
1.7413,0.029482238,0.005907707,0.7407113,0.6712135
1.7513,0.029482694,0.005914646,0.7407645,0.6711459
1.7612,0.029508166,0.005864704,0.74075764,0.6710806
1.7716,0.02948317,0.005921602,0.74081755,0.67107826
1.7814,0.029470937,0.005883894,0.7408469,0.67104226
1.7915,0.029425839,0.0058896425,0.74076205,0.67108595
1.8012999,0.029425839,0.0058896425,0.74076205,0.67108595
1.8113999,0.029425358,0.005882686,0.74070895,0.6711537
1.8212999,0.029424908,0.0058757477,0.74065566,0.6712214
1.8313,0.029436687,0.0059065167,0.7405732,0.67132497
1.8413,0.02947349,0.005880405,0.74043095,0.67143095
1.8514,0.029529916,0.0058984873,0.74038017,0.67155856
1.8613,0.029484339,0.00589728,0.7402421,0.67167
1.8712,0.029508354,0.005965757,0.7401305,0.67180955
1.8813,0.029545609,0.0059465836,0.74004126,0.67184794
1.8914,0.02955739,0.005977354,0.73995876,0.6719516
1.9013,0.029569145,0.0060081063,0.73987633,0.67205524
1.9111999,0.02961334,0.0059884805,0.7398548,0.6721468
1.9212999,0.029662805,0.006007,0.7397363,0.6722211
1.9311999,0.0296746,0.0060377433,0.73965394,0.6723248
1.9412,0.029711857,0.0060185716,0.7395648,0.67236316
1.9512999,0.029768715,0.0060435752,0.73956704,0.67242306
1.9612,0.029768262,0.0060366355,0.739514,0.6724907
1.9713,0.02980597,0.0060244026,0.739478,0.6724614
1.9812,0.029818203,0.0060621104,0.73944867,0.67249745
1.9911,0.029805517,0.006017464,0.7394249,0.67252904
2.0012,0.029792827,0.005972816,0.73940086,0.67256063
2.0111,0.029792376,0.0059658773,0.7393478,0.6726282
2.0212,0.029766986,0.0058766073,0.7393,0.6726916
2.0311,0.02974161,0.005787314,0.73925227,0.6727549
2.0412,0.029728469,0.005735728,0.7391753,0.6728542
2.0511,0.029645761,0.0056144744,0.739072,0.67292523
2.0611,0.02962037,0.005525204,0.7390243,0.6729886
2.0713,0.029582309,0.0053912625,0.73895276,0.67308354
2.0809999,0.029462345,0.0052891816,0.73893857,0.6731163
2.0911999,0.029436955,0.005199912,0.7388909,0.6731795
2.1011999,0.029367385,0.0051302435,0.7388647,0.67315125
2.1111,0.029304756,0.0050601233,0.738906,0.67317617
2.1213,0.029304756,0.0050601233,0.738906,0.67317617
2.1312,0.029292522,0.005022413,0.73893535,0.6731402
2.1411,0.029292975,0.0050293533,0.7389886,0.6730726
2.151,0.029292975,0.0050293533,0.7389886,0.6730726
2.1613,0.029317897,0.0051117083,0.73898315,0.6730768
2.171,0.029330133,0.0051494176,0.7389538,0.6731129
2.181,0.029380074,0.005174892,0.7388885,0.67311966
2.191,0.029391853,0.0052056606,0.738806,0.67322326
2.2010999,0.0293914,0.005198722,0.73875296,0.67329097
2.2112,0.02940365,0.005236406,0.73872364,0.67332697
2.221,0.029447822,0.0052167624,0.7387021,0.6734184
2.231,0.029435117,0.00517214,0.7386783,0.67345005
2.2412,0.029422428,0.0051274924,0.7386543,0.6734817
2.2511,0.029409742,0.0050828457,0.7386304,0.6735133
2.2612,0.029352408,0.0050508855,0.738575,0.6735212
2.2712,0.029340198,0.005013195,0.7386043,0.67348516
2.2811,0.02923292,0.00495576,0.738614,0.6734862
2.2907999,0.02924561,0.005000408,0.738638,0.6734545
2.3009999,0.029246064,0.005007346,0.73869115,0.67338693
2.3109,0.02925875,0.0050519938,0.73871493,0.6733553
2.3209,0.029259203,0.0050589326,0.7387681,0.67328763
2.3309,0.029259656,0.005065871,0.73882127,0.6732199
2.341,0.029272344,0.005110518,0.7388451,0.6731883
2.351,0.029285485,0.005162104,0.7389221,0.6730891
2.3606,0.029285934,0.0051690415,0.7389753,0.6730213
2.3709,0.029260939,0.0052259415,0.7390351,0.673019
2.3812,0.02928633,0.00531521,0.73908293,0.6729557
2.391,0.029299019,0.0053598573,0.7391068,0.6729241
2.4009,0.02932439,0.0054491516,0.7391546,0.67286074
2.4111,0.029324746,0.0055953264,0.7392621,0.6727952
2.4208999,0.029337432,0.0056399736,0.73928595,0.67276347
2.4307,0.029362826,0.005729244,0.7393338,0.67270017
2.4408998,0.029375512,0.0057738903,0.73935765,0.6726686
2.4509,0.029400432,0.0058562467,0.73935217,0.67267287
2.461,0.02933031,0.0059188753,0.73932725,0.67271435
2.471,0.02933031,0.0059188753,0.73932725,0.67271435
2.4809,0.029297922,0.005969288,0.7392663,0.6727265
2.4908,0.029285152,0.0060638525,0.7392969,0.6727602
2.5004,0.029240504,0.006076539,0.7392652,0.67273635
2.511,0.029227719,0.006171129,0.73929584,0.6727699
2.5211,0.02919576,0.0062284633,0.739288,0.6727144
2.5309,0.029207993,0.006266171,0.73925877,0.6727504
2.5409,0.029182987,0.006323029,0.7393186,0.672748
2.5509999,0.029163262,0.0064180708,0.73928154,0.6727286
2.5609,0.029150475,0.0065126596,0.73931205,0.6727622
2.5705,0.029130744,0.006607661,0.739275,0.6727427
2.5809999,0.029073307,0.0067149377,0.7392739,0.67275244
2.591,0.029097775,0.006790355,0.7392154,0.6728244
2.6007,0.029039929,0.0068906834,0.7391612,0.67290187
2.6109,0.0290644,0.006966102,0.73910266,0.67297393
2.621,0.029044194,0.007054187,0.73901236,0.673022
2.6308,0.02906866,0.0071296035,0.73895377,0.67309403
2.6405,0.029093582,0.007211959,0.73894835,0.6730983
2.6509,0.029061113,0.0074015837,0.7389418,0.6731125
2.6608999,0.02909872,0.007528586,0.7389604,0.6730852
2.6708999,0.029029053,0.007598154,0.7389886,0.673059
2.681,0.02907934,0.0077697616,0.7390309,0.67300004
2.6907,0.029034592,0.007921686,0.7390536,0.67297816
2.7008,0.029072218,0.008048663,0.73907214,0.6729509
2.7103,0.02900255,0.008118233,0.73910034,0.67292464
2.7206,0.029052394,0.008282943,0.7390894,0.6729334
2.7308,0.028994992,0.00839017,0.73908836,0.6729432
2.7407,0.029019915,0.0084725255,0.73908293,0.6729476
2.7507,0.029012423,0.008605276,0.73901653,0.672964
2.7609,0.029011844,0.008737557,0.73901784,0.6730336
2.7707,0.029017057,0.00891493,0.73897547,0.67301846
2.7804,0.029054213,0.009034995,0.7389407,0.67305887
2.7906,0.029116282,0.009237371,0.73890054,0.6731036
2.8009,0.029103493,0.009331959,0.73893106,0.6731372
2.8108,0.029108254,0.009502396,0.7388355,0.67318964
2.8207,0.029158095,0.009667106,0.7388246,0.6731984
2.8308,0.029207477,0.009824837,0.73876065,0.67327476
2.8408,0.029199531,0.009950648,0.7386411,0.6733589
2.8504,0.029211253,0.010120646,0.738613,0.67346454
2.8604999,0.029215995,0.010291105,0.7385174,0.673517
2.8706,0.029252699,0.010404231,0.73842967,0.67362505
2.8806,0.029289417,0.01051733,0.7383417,0.67373306
2.8906,0.029325642,0.0106235,0.73820055,0.6739087
2.9008,0.029317696,0.010749311,0.7380811,0.6739929
2.9106998,0.029341703,0.010817748,0.7379693,0.67413247
2.9201999,0.029390639,0.010968581,0.7378522,0.67427653
2.9307,0.029370006,0.011049744,0.7377088,0.6743923
2.9407,0.029406698,0.011162828,0.73762095,0.6745002
2.9506,0.029443402,0.011275953,0.737533,0.6746083
2.9606,0.02943498,0.01139481,0.73736036,0.6747601
2.9707,0.0294717,0.01150791,0.7372724,0.674868
2.9807,0.029533397,0.011564136,0.7371247,0.6749785
2.9903,0.029557388,0.011632597,0.737013,0.6751181
3.0004,0.029606342,0.011783405,0.7368958,0.6752621
3.0107,0.029630333,0.011851866,0.73678404,0.67540175
3.0207,0.029704291,0.011945819,0.736607,0.6755481
3.0307,0.029728323,0.012014272,0.7364953,0.6756878
3.0407999,0.029764548,0.01212044,0.73635423,0.6758634
3.0506,0.029838502,0.012214392,0.7361772,0.67600983
3.0602,0.029849825,0.012238181,0.73604155,0.6761811
3.0707,0.029873386,0.01229972,0.7358767,0.67638844
3.0806,0.029934615,0.012349034,0.7356758,0.67656636
3.0906,0.029925762,0.012460967,0.7354499,0.6767858
3.1006,0.029949315,0.012522463,0.73528504,0.67699313
3.1107,0.029997898,0.012527121,0.7350602,0.6772027
3.1206,0.030033672,0.012626353,0.734866,0.677446
3.1302,0.030094916,0.012675639,0.73466516,0.677624
3.1404,0.030105809,0.012692507,0.7344763,0.677863
3.1505,0.030167053,0.012741795,0.73427546,0.678041
3.1604,0.030272968,0.012778413,0.7341063,0.6782428
3.1706,0.030283844,0.012795304,0.7339175,0.6784818
3.1805,0.030332383,0.012799929,0.73369265,0.67869145
3.1905,0.030393647,0.012849232,0.7334918,0.6788695
3.2001,0.030404516,0.012866082,0.73330307,0.6791084
3.2106,0.030453099,0.012870741,0.73307824,0.6793181
3.2205,0.030463949,0.012887616,0.7328895,0.67955697
3.2305,0.030512035,0.012885341,0.73261154,0.67983437
3.2405,0.0305356,0.012946881,0.7324467,0.6800417
3.2504,0.030571945,0.012913831,0.73225117,0.6802153
3.2605,0.030595487,0.012975353,0.7320862,0.6804226
3.27,0.030656293,0.013017677,0.73183215,0.68066823
3.2804,0.030667624,0.013041507,0.73169655,0.68083954
3.2904,0.030716207,0.013046166,0.7314718,0.6810491
3.3005,0.030789686,0.013133163,0.7312416,0.6812632
3.3104,0.03080053,0.013150036,0.73105276,0.68150216
