elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
70.8086,572,126,-320,1720,-386,-170,-1127,-73
70.8091,572,125,-320,1720,-385,-170,-1127,-73
70.8096,572,125,-320,1720,-385,-170,-1127,-73
70.8101,572,125,-320,1720,-386,-170,-1127,-73
70.8106,572,125,-320,1720,-386,-170,-1126,-72
70.811104,572,126,-320,1720,-386,-170,-1127,-73
70.8116,572,125,-320,1720,-385,-170,-1127,-73
70.8121,572,125,-320,1720,-385,-170,-1127,-73
70.8126,572,125,-320,1720,-386,-170,-1126,-73
70.8131,572,125,-320,1720,-386,-170,-1126,-73
70.8136,572,125,-320,1720,-386,-170,-1126,-72
70.8141,572,125,-320,1720,-387,-170,-1126,-73
70.8146,572,125,-320,1720,-387,-170,-1127,-72
70.8151,573,125,-320,1721,-386,-170,-1126,-73
70.8156,572,125,-320,1721,-387,-170,-1126,-72
70.8161,572,126,-320,1720,-386,-170,-1127,-73
70.8166,572,125,-320,1720,-386,-170,-1126,-73
70.8171,572,126,-320,1720,-385,-170,-1127,-73
70.8176,572,125,-320,1719,-385,-170,-1127,-73
70.8181,572,126,-320,1720,-385,-170,-1127,-73
70.8186,572,126,-320,1719,-385,-170,-1127,-72
70.8191,572,125,-320,1720,-385,-170,-1126,-73
70.8196,572,126,-320,1720,-386,-170,-1126,-72
70.8201,572,126,-320,1719,-385,-170,-1126,-73
70.8206,572,125,-319,1720,-385,-170,-1127,-73
70.8211,572,126,-320,1720,-385,-170,-1126,-73
70.8216,572,125,-320,1720,-386,-170,-1127,-72
70.8221,572,126,-320,1720,-386,-170,-1126,-73
70.8226,572,126,-320,1720,-386,-170,-1126,-72
70.8231,572,125,-319,1720,-386,-170,-1126,-73
70.8236,572,125,-320,1720,-386,-170,-1126,-72
70.8241,572,125,-319,1719,-386,-170,-1127,-73
70.8246,572,125,-320,1720,-386,-170,-1127,-73
70.8251,572,126,-320,1720,-385,-170,-1127,-73
70.8256,572,125,-319,1720,-385,-170,-1127,-73
70.8261,572,126,-320,1720,-385,-170,-1127,-73
70.8266,572,125,-319,1719,-385,-170,-1127,-73
70.8271,572,125,-320,1720,-385,-170,-1127,-73
70.8276,572,125,-319,1720,-385,-170,-1127,-73
70.8281,572,125,-320,1719,-385,-170,-1127,-73
70.8286,572,125,-319,1720,-385,-170,-1127,-73
70.8291,572,125,-320,1719,-385,-170,-1126,-73
70.8296,572,126,-319,1720,-385,-170,-1127,-73
70.8301,572,125,-320,1719,-385,-170,-1127,-73
70.8306,572,125,-319,1720,-385,-170,-1127,-73
70.8311,572,126,-320,1720,-385,-170,-1127,-73
70.8316,572,125,-320,1720,-385,-170,-1127,-72
70.8321,572,125,-320,1720,-385,-170,-1127,-73
70.8326,572,125,-320,1720,-385,-170,-1126,-73
70.8331,572,125,-320,1720,-385,-170,-1127,-73
70.8336,572,125,-319,1720,-386,-170,-1126,-72
70.8342,572,125,-320,1720,-385,-170,-1127,-73
70.8347,572,126,-320,1719,-385,-170,-1126,-72
70.8352,572,125,-320,1720,-385,-170,-1127,-73
70.8357,572,126,-320,1720,-386,-170,-1127,-73
70.8362,572,126,-320,1720,-385,-170,-1127,-73
70.8367,572,125,-320,1720,-385,-170,-1127,-73
70.8372,572,126,-320,1720,-385,-170,-1126,-73
70.8377,572,125,-320,1720,-385,-170,-1127,-73
70.8382,572,125,-320,1720,-385,-170,-1126,-72
70.8387,572,125,-320,1720,-385,-170,-1126,-73
70.8392,572,125,-319,1720,-385,-170,-1126,-73
70.8397,572,125,-320,1720,-385,-170,-1127,-73
70.8402,572,126,-320,1720,-385,-170,-1126,-73
70.8407,572,125,-320,1720,-386,-170,-1126,-73
70.8412,572,126,-320,1720,-385,-170,-1127,-73
70.8417,572,125,-320,1720,-385,-170,-1127,-73
70.8422,572,126,-320,1720,-386,-170,-1127,-72
70.8427,572,125,-320,1720,-385,-170,-1127,-73
70.8432,572,126,-320,1720,-386,-170,-1127,-73
70.8437,572,125,-319,1720,-385,-170,-1126,-73
70.8442,572,125,-319,1720,-386,-170,-1126,-73
70.8447,572,125,-320,1720,-385,-170,-1127,-73
70.8452,572,126,-320,1720,-385,-170,-1127,-73
70.8457,572,126,-320,1720,-385,-170,-1127,-73
70.8462,572,125,-320,1720,-385,-170,-1126,-73
70.8467,572,125,-320,1720,-385,-170,-1127,-73
70.8472,572,125,-320,1720,-386,-170,-1127,-72
70.8477,572,125,-320,1720,-385,-170,-1126,-73
70.8482,572,125,-320,1720,-385,-170,-1127,-72
70.8487,572,126,-319,1720,-386,-170,-1126,-73
70.8492,572,126,-320,1720,-385,-170,-1126,-72
70.8497,573,125,-320,1720,-385,-170,-1127,-73
70.8502,572,125,-319,1720,-386,-170,-1126,-72
70.8507,572,125,-320,1720,-385,-170,-1127,-73
70.8512,572,125,-320,1720,-385,-170,-1127,-72
70.8517,572,125,-320,1720,-385,-170,-1127,-72
70.8522,572,125,-320,1720,-385,-170,-1127,-73
70.8527,572,125,-320,1720,-385,-170,-1127,-73
70.8532,572,125,-320,1720,-385,-170,-1126,-73
70.8537,573,125,-319,1720,-386,-171,-1126,-73
70.8542,572,125,-320,1720,-385,-170,-1126,-73
70.8547,572,125,-320,1720,-385,-170,-1126,-73
70.8552,572,125,-320,1720,-385,-170,-1126,-73
70.8557,572,125,-320,1720,-385,-170,-1126,-73
70.8562,572,125,-320,1720,-385,-170,-1126,-72
70.8567,572,125,-320,1720,-385,-170,-1127,-72
70.8572,572,125,-320,1720,-386,-170,-1126,-72
70.8577,573,125,-320,1720,-385,-170,-1126,-73
70.8582,572,125,-320,1720,-385,-170,-1126,-72
70.8587,572,125,-320,1720,-385,-170,-1126,-73
70.8592,572,126,-320,1720,-385,-170,-1126,-72
70.8597,572,125,-320,1720,-385,-170,-1126,-72
70.8602,572,125,-320,1720,-385,-170,-1126,-72
70.8607,572,126,-320,1720,-385,-170,-1126,-73
70.8612,572,125,-319,1720,-385,-170,-1126,-72
70.8617,572,125,-320,1720,-385,-170,-1127,-72
70.8622,572,125,-320,1720,-386,-170,-1127,-72
70.8627,572,125,-320,1720,-385,-170,-1126,-72
70.8632,572,126,-320,1720,-386,-170,-1127,-72
70.8637,573,125,-319,1720,-385,-170,-1126,-72
70.8642,572,126,-320,1720,-385,-170,-1127,-73
70.8647,572,125,-320,1720,-385,-170,-1126,-72
70.865204,572,126,-320,1720,-385,-170,-1126,-73
70.8657,572,126,-320,1720,-386,-170,-1126,-73
70.8662,572,125,-320,1720,-385,-170,-1126,-72
70.8667,572,125,-320,1720,-386,-170,-1126,-73
70.8672,572,126,-320,1720,-385,-170,-1126,-72
70.8677,572,125,-320,1720,-385,-170,-1126,-73
70.8682,572,126,-320,1720,-385,-170,-1126,-73
70.8687,572,126,-320,1720,-385,-170,-1126,-73
70.8692,572,125,-320,1720,-385,-170,-1126,-73
70.8697,572,125,-319,1720,-385,-170,-1126,-73
70.8702,572,125,-320,1720,-385,-170,-1126,-73
70.8707,572,126,-320,1720,-385,-170,-1126,-73
70.8712,572,125,-320,1720,-385,-170,-1127,-73
70.8717,572,125,-320,1720,-385,-170,-1127,-73
70.8722,572,125,-320,1720,-385,-170,-1127,-73
70.8727,572,126,-320,1720,-386,-170,-1126,-73
70.8732,572,125,-319,1719,-385,-170,-1126,-73
70.8737,572,126,-319,1720,-386,-170,-1126,-72
70.8742,572,125,-319,1720,-386,-170,-1126,-73
70.8747,572,126,-320,1720,-386,-170,-1126,-73
70.8752,572,125,-320,1720,-385,-170,-1126,-73
70.8757,572,125,-319,1720,-386,-170,-1126,-73
70.8762,572,126,-319,1720,-385,-170,-1126,-73
70.8767,572,125,-320,1720,-386,-170,-1126,-73
70.8772,572,125,-319,1720,-385,-170,-1126,-73
70.8777,572,125,-319,1720,-386,-170,-1126,-73
70.8782,572,125,-320,1720,-386,-170,-1126,-73
70.8787,572,125,-319,1720,-386,-170,-1126,-73
70.8792,572,125,-320,1720,-385,-170,-1126,-73
70.8797,572,126,-319,1720,-386,-170,-1126,-73
70.8802,572,125,-320,1720,-385,-170,-1126,-73
70.8807,572,125,-320,1720,-385,-170,-1126,-73
70.8812,572,125,-320,1720,-385,-170,-1126,-73
70.8817,572,126,-320,1720,-385,-170,-1127,-73
70.8822,572,126,-320,1720,-385,-170,-1126,-73
70.8827,572,125,-320,1720,-386,-170,-1126,-73
70.8832,572,126,-319,1720,-386,-170,-1126,-73
70.8837,572,125,-319,1720,-386,-170,-1126,-72
70.8842,572,125,-319,1720,-386,-170,-1126,-73
70.8847,572,125,-320,1720,-386,-170,-1126,-73
70.8852,572,125,-320,1720,-385,-170,-1126,-73
70.8857,572,126,-320,1720,-385,-170,-1126,-73
70.8862,572,126,-320,1720,-385,-170,-1126,-72
70.8867,572,125,-320,1720,-385,-170,-1126,-73
70.8872,572,125,-320,1720,-386,-170,-1126,-73
70.8877,572,125,-320,1720,-385,-170,-1126,-73
70.8882,572,126,-320,1720,-385,-170,-1126,-73
70.8887,572,125,-320,1720,-386,-170,-1126,-73
70.8892,572,125,-320,1720,-385,-170,-1126,-72
70.8897,572,126,-320,1720,-385,-170,-1126,-72
70.8902,572,126,-320,1720,-386,-170,-1126,-73
70.8907,572,126,-320,1720,-385,-170,-1126,-72
70.8912,572,126,-320,1720,-385,-170,-1127,-73
70.8917,572,125,-320,1720,-385,-170,-1126,-72
70.8922,572,125,-320,1720,-385,-170,-1126,-73
70.8927,572,126,-320,1720,-385,-170,-1126,-72
70.8932,572,126,-320,1720,-385,-170,-1126,-73
70.8937,572,126,-320,1720,-386,-170,-1126,-72
70.8942,572,125,-320,1720,-386,-170,-1126,-72
70.8947,572,125,-320,1720,-386,-170,-1127,-73
70.8952,572,125,-319,1720,-385,-170,-1126,-72
70.8957,572,125,-320,1720,-385,-170,-1126,-73
70.8962,572,125,-320,1720,-386,-170,-1127,-72
70.8967,572,126,-320,1720,-385,-170,-1126,-72
70.8972,572,126,-320,1720,-385,-170,-1126,-73
70.8977,572,126,-320,1720,-385,-170,-1126,-72
70.8982,572,126,-320,1720,-385,-170,-1126,-73
70.8987,572,125,-320,1720,-385,-171,-1126,-72
70.8992,572,126,-320,1720,-385,-170,-1126,-72
70.8997,572,126,-320,1720,-386,-170,-1126,-72
70.9002,572,125,-320,1720,-386,-170,-1126,-73
70.9007,573,125,-320,1720,-386,-170,-1126,-72
70.9012,572,125,-320,1720,-385,-170,-1126,-72
70.9017,572,126,-320,1720,-386,-170,-1126,-72
70.9022,572,125,-320,1720,-385,-170,-1126,-72
70.9027,572,125,-320,1720,-386,-170,-1126,-73
70.9032,572,125,-320,1720,-386,-170,-1126,-73
70.9037,572,125,-319,1720,-385,-170,-1126,-73
70.9042,572,126,-320,1720,-386,-170,-1126,-73
70.9047,572,125,-319,1720,-386,-170,-1126,-73
70.9052,572,125,-320,1720,-386,-170,-1126,-73
70.9057,572,126,-320,1720,-386,-170,-1126,-72
70.9062,572,125,-320,1720,-386,-170,-1127,-72
70.9067,573,126,-319,1719,-385,-170,-1126,-73
70.9072,572,125,-320,1720,-385,-170,-1126,-73
70.9077,572,125,-320,1720,-385,-170,-1126,-73
70.9082,572,125,-320,1720,-385,-170,-1126,-72
70.9087,572,126,-320,1720,-386,-170,-1126,-72
70.9092,572,125,-320,1720,-385,-170,-1126,-72
70.9097,573,126,-320,1720,-386,-170,-1126,-72
70.9102,572,126,-319,1720,-385,-170,-1126,-73
70.9107,572,125,-320,1720,-385,-170,-1126,-72
70.9112,572,126,-320,1720,-385,-170,-1127,-73
70.9117,572,125,-320,1720,-385,-170,-1127,-72
70.9122,572,125,-320,1720,-385,-170,-1127,-72
70.9127,572,125,-320,1720,-385,-171,-1126,-72
70.9132,573,126,-319,1720,-385,-170,-1126,-72
70.9138,572,126,-320,1720,-386,-170,-1126,-73
70.9143,572,125,-320,1720,-385,-170,-1126,-73
70.9148,572,126,-320,1720,-385,-170,-1126,-72
70.9153,572,125,-320,1720,-386,-170,-1126,-72
70.9158,573,125,-320,1720,-386,-170,-1126,-73
70.9163,572,126,-320,1720,-385,-170,-1126,-73
70.9168,573,126,-320,1720,-385,-170,-1126,-72
70.9173,573,126,-320,1720,-386,-170,-1126,-73
70.9178,572,125,-319,1720,-386,-170,-1126,-73
70.9183,572,125,-320,1720,-385,-170,-1126,-72
70.9188,572,125,-319,1720,-385,-170,-1126,-73
70.919304,572,125,-320,1720,-385,-170,-1126,-72
70.9198,573,126,-320,1720,-385,-170,-1126,-73
70.9203,572,125,-320,1720,-386,-170,-1126,-73
70.9208,573,125,-320,1720,-385,-170,-1126,-72
70.9213,572,126,-320,1720,-386,-170,-1126,-72
70.9218,572,125,-320,1720,-386,-170,-1126,-73
70.9223,572,125,-320,1720,-385,-170,-1126,-72
70.9228,572,125,-320,1720,-386,-170,-1126,-73
70.9233,572,125,-320,1720,-386,-170,-1126,-73
70.9238,573,125,-320,1720,-385,-170,-1126,-73
70.9243,572,126,-319,1720,-386,-170,-1126,-73
70.9248,572,125,-320,1720,-385,-170,-1126,-72
70.9253,572,125,-320,1720,-386,-170,-1126,-73
70.9258,572,125,-319,1720,-386,-170,-1126,-72
70.9263,572,125,-320,1720,-386,-170,-1126,-73
70.9268,572,125,-320,1720,-386,-170,-1126,-73
70.9273,573,125,-319,1720,-385,-170,-1126,-72
70.9278,572,125,-320,1720,-386,-170,-1126,-73
70.9283,572,126,-320,1720,-386,-170,-1126,-73
70.9288,572,126,-320,1720,-386,-170,-1126,-73
70.9293,572,125,-320,1720,-386,-170,-1126,-72
70.9298,572,125,-320,1720,-386,-170,-1126,-73
70.9303,572,125,-320,1720,-386,-170,-1126,-72
70.9308,572,125,-320,1720,-385,-170,-1126,-72
70.9313,572,125,-320,1720,-386,-170,-1126,-72
70.9318,572,126,-320,1720,-385,-170,-1126,-72
70.9323,572,125,-320,1720,-385,-170,-1126,-72
70.9328,572,125,-319,1720,-386,-170,-1126,-72
70.933304,572,126,-319,1720,-386,-170,-1126,-73
70.9338,572,125,-320,1720,-385,-170,-1126,-72
70.9343,572,126,-319,1720,-385,-170,-1126,-72
70.9348,572,125,-319,1719,-386,-170,-1126,-72
70.9353,572,125,-320,1720,-385,-170,-1126,-72
70.9358,572,125,-319,1719,-386,-170,-1126,-72
70.9363,572,125,-320,1720,-386,-170,-1126,-73
70.9368,572,125,-320,1720,-385,-170,-1126,-72
70.9373,572,125,-320,1720,-386,-170,-1126,-73
70.9378,572,126,-320,1720,-386,-171,-1126,-73
70.9383,573,125,-320,1720,-385,-171,-1126,-73
70.9388,572,125,-320,1720,-386,-170,-1126,-72
70.9393,572,126,-320,1720,-386,-170,-1126,-73
70.9398,572,126,-320,1720,-386,-170,-1126,-73
70.9403,572,126,-320,1720,-386,-170,-1126,-72
70.9408,572,126,-319,1720,-386,-170,-1126,-72
70.9413,572,126,-320,1720,-386,-170,-1126,-73
70.9418,572,126,-320,1719,-385,-170,-1126,-73
70.9423,572,125,-320,1719,-385,-170,-1126,-73
70.9428,572,125,-320,1719,-386,-170,-1126,-73
70.9433,572,125,-319,1720,-385,-171,-1126,-73
70.9438,572,125,-319,1720,-386,-170,-1126,-72
70.9443,572,125,-319,1720,-386,-170,-1126,-73
70.9448,572,126,-319,1720,-386,-170,-1126,-73
70.9453,572,125,-319,1720,-385,-170,-1126,-72
70.9458,572,125,-319,1720,-386,-170,-1126,-72
70.9463,572,126,-320,1720,-386,-170,-1125,-73
70.9468,572,125,-320,1720,-385,-170,-1126,-73
70.9473,572,125,-320,1720,-386,-170,-1126,-73
70.9478,572,126,-320,1720,-385,-170,-1126,-72
70.9483,572,126,-319,1720,-386,-170,-1126,-72
70.9488,572,125,-320,1720,-386,-170,-1126,-73
70.9493,572,125,-319,1719,-385,-170,-1126,-73
