elapsed_s,i,j,k,real
0.1626001,-0.033321954,-0.03346371,0.81250113,0.581096
0.1727001,-0.031903856,-0.033401635,0.8120339,0.581817
0.1826001,-0.0305411,-0.03332831,0.81152344,0.58258694
0.1922001,-0.029114496,-0.033268105,0.8109755,0.5833992
0.2026001,-0.027589,-0.033257168,0.8103154,0.5843878
0.2126001,-0.026113678,-0.033231568,0.8096174,0.5855113
0.2226001,-0.024571117,-0.033224333,0.8087961,0.58668244
0.2322001,-0.023100378,-0.0332645,0.80797523,0.58785975
0.2427001,-0.021514349,-0.033295266,0.8069986,0.58925617
0.2526001,-0.019954633,-0.03329175,0.8060161,0.5906099
0.2626001,-0.018431913,-0.03337175,0.80495924,0.5921037
0.2721001,-0.016973065,-0.033438645,0.8039399,0.5935552
0.2825001,-0.01540418,-0.033499416,0.80275923,0.59514
0.2927001,-0.013923593,-0.033666354,0.8016227,0.5966882
0.3026001,-0.012416698,-0.033867583,0.8004918,0.59827894
0.3124001,-0.011007937,-0.034081932,0.7993558,0.5998333
0.3228001,-0.009624891,-0.03432454,0.7980964,0.60148454
0.3328001,-0.008231971,-0.03466005,0.79688627,0.6031358
0.3428001,-0.0068785176,-0.035025302,0.7956282,0.604707
0.3526001,-0.0056161145,-0.035553876,0.7943825,0.6063759
0.3627001,-0.0044044266,-0.036167532,0.79313767,0.6080078
0.3725001,-0.0032479903,-0.036932014,0.79177094,0.6096565
0.3828001,-0.002148346,-0.03783352,0.7904592,0.6113973
0.3927001,-0.0011942768,-0.03883849,0.7890573,0.6130699
0.4027001,-0.00038985722,-0.040152516,0.7876316,0.6148517
0.4128001,0.00028411485,-0.04165955,0.7861704,0.61665124
0.4223001,0.0008565858,-0.04333666,0.7847108,0.61837673
0.4325001,0.001355242,-0.04534303,0.7830236,0.62035036
0.4425001,0.001774177,-0.047457397,0.78130007,0.6223787
0.4526001,0.002108764,-0.04974556,0.77941704,0.62451565
0.4628001,0.002380034,-0.052083034,0.7774538,0.6267499
0.4727001,0.0025076643,-0.05451539,0.7754916,0.6289966
0.4827001,0.0026517455,-0.056889042,0.7734858,0.6312861
0.4928001,0.002668064,-0.05939856,0.77147585,0.6334587
0.5026001,0.0025057234,-0.06180474,0.7696206,0.63554186
0.5125001,0.002247952,-0.064166896,0.7677917,0.6374541
0.5227001,0.0018675085,-0.0664995,0.766043,0.63936746
0.5326001,0.0015035607,-0.06877332,0.7642507,0.64132375
0.5428001,0.0012062509,-0.07100306,0.7624526,0.64318794
0.5525001,0.00090827607,-0.07317037,0.7607721,0.64491224
0.5629001,0.00064003654,-0.07537715,0.7590113,0.64668477
0.5726001,0.00026555918,-0.07749561,0.75728726,0.64850134
0.5828001,-0.000105537474,-0.07961926,0.75547725,0.6503232
0.5927001,-0.000566341,-0.0815959,0.7536601,0.65223193
0.6030001,-0.0011180043,-0.08349646,0.75162727,0.6542866
0.6127001,-0.0016242564,-0.08515328,0.74966705,0.6563246
0.6228001,-0.0021693744,-0.086740136,0.74762,0.65845436
0.6327001,-0.0028093867,-0.088183284,0.74556065,0.66058505
0.6423001,-0.0033749454,-0.08935966,0.7436114,0.6626072
0.6527001,-0.004017651,-0.090458475,0.74137086,0.6649526
0.6627001,-0.0046781823,-0.09136289,0.739123,0.66737866
0.6725001,-0.0052984655,-0.09206064,0.7365773,0.6700729
0.6823001,-0.005873982,-0.09248593,0.73385686,0.67298144
0.6926001,-0.0063460805,-0.09252691,0.7306325,0.6764637
0.7023001,-0.006561883,-0.09208549,0.72743535,0.6799966
0.7125001,-0.006436242,-0.09081078,0.7240789,0.6836596
0.7224001,-0.0060002785,-0.08877802,0.72110707,0.6870769
0.7328001,-0.0051584,-0.08579166,0.71826476,0.69046783
