elapsed_s,i,j,k,real
72.828,-0.053549092,-0.011116134,0.12716788,-0.9903522
72.8381,-0.05353924,-0.011209095,0.1272173,-0.9903523
72.8482,-0.053576846,-0.011230189,0.12726045,-0.9903519
72.8581,-0.053593334,-0.0112888925,0.12730408,-0.9903947
72.868004,-0.053601243,-0.011349481,0.12726712,-0.9903462
72.8781,-0.05363885,-0.011370579,0.1273103,-0.9903457
72.8882,-0.053710666,-0.011418058,0.12731075,-0.99033964
72.8981,-0.053727157,-0.011476755,0.12735432,-0.99038243
72.9082,-0.05377267,-0.011558445,0.12736061,-0.99033344
72.9182,-0.05377267,-0.011558445,0.12736061,-0.99033344
72.9282,-0.053810246,-0.011579592,0.12740377,-0.9903331
72.9381,-0.053882092,-0.011627018,0.12740427,-0.9903269
72.9482,-0.053893358,-0.01168238,0.12745318,-0.9902837
72.9581,-0.053872257,-0.011719953,0.12745363,-0.9903269
72.9681,-0.053909868,-0.011741055,0.12749681,-0.9903265
72.9783,-0.05394744,-0.0117622,0.12753999,-0.99032605
72.9882,-0.053971913,-0.011719406,0.12762552,-0.99028826
72.9981,-0.053983137,-0.011774808,0.12767446,-0.9902451
73.0081,-0.054058358,-0.011817016,0.12776086,-0.9902442
73.0182,-0.054095924,-0.011838159,0.12780407,-0.9902438
73.0282,-0.054136895,-0.011854025,0.12793317,-0.9902488
73.0383,-0.054140225,-0.01184885,0.1280191,-0.9902541
73.0481,-0.0541891,-0.011925314,0.12811124,-0.99021053
73.0575,-0.05425115,-0.011903632,0.12823999,-0.99017227
73.068,-0.05429209,-0.011919552,0.12836915,-0.9901772
73.0781,-0.054367304,-0.011961751,0.12845549,-0.9901763
73.0881,-0.0543819,-0.012011932,0.12859038,-0.9901386
73.0978,-0.054443985,-0.011990208,0.12871912,-0.99010026
73.108,-0.05448156,-0.012011355,0.12876227,-0.99009985
73.1181,-0.05452253,-0.012027228,0.12889141,-0.99010473
73.1282,-0.054563463,-0.012043146,0.12902057,-0.9901097
73.1378,-0.054612305,-0.012119662,0.12911269,-0.9900662
73.148,-0.054636776,-0.012076827,0.12919816,-0.99002826
73.1581,-0.054651417,-0.01212696,0.12933311,-0.9899905
73.1681,-0.054633625,-0.0121593755,0.12941942,-0.990039
73.1782,-0.054671235,-0.012180477,0.12946263,-0.9900386
