elapsed_s,i,j,k,real
0.16270009,-0.00073997956,-0.020710435,-0.8645468,-0.5021621
0.17260009,-0.0012995214,-0.01984378,-0.8644299,-0.5023706
0.18260008,-0.0018905699,-0.018912854,-0.86426747,-0.5027022
0.19270009,-0.0025639753,-0.017957002,-0.86410093,-0.50302833
0.20250009,-0.003344201,-0.017051648,-0.86387134,-0.50342107
0.21210009,-0.004086243,-0.016151574,-0.86362463,-0.50391084
0.22260009,-0.0049661314,-0.015230723,-0.86321634,-0.5046579
0.23250009,-0.0058381036,-0.014435742,-0.8626885,-0.5054891
0.24250008,-0.0067984415,-0.013601493,-0.8621178,-0.50650334
0.25260007,-0.0077568763,-0.012878659,-0.8613887,-0.50779027
0.2626001,-0.008727072,-0.012186619,-0.8605772,-0.5091807
0.2725001,-0.009745771,-0.011638449,-0.85959554,-0.5107829
0.28210008,-0.010726266,-0.011095582,-0.85859656,-0.5124819
0.2922001,-0.011837607,-0.01067162,-0.85742295,-0.5143873
0.30240008,-0.012986132,-0.01036774,-0.85621464,-0.516333
0.3125001,-0.014121387,-0.010151493,-0.8549837,-0.5183799
0.3220001,-0.015319704,-0.010012291,-0.8537646,-0.52033436
0.33240008,-0.016681314,-0.009941658,-0.85243165,-0.52248293
0.34260008,-0.01804805,-0.010048413,-0.8510562,-0.52461624
0.3522001,-0.019497538,-0.010276414,-0.84978414,-0.52667856
0.36250007,-0.021077856,-0.010623347,-0.84833723,-0.528947
0.37240008,-0.022651589,-0.011116909,-0.8469305,-0.5310966
0.3824001,-0.024414426,-0.011775298,-0.84551066,-0.5333095
0.3923001,-0.02620732,-0.012693364,-0.8440431,-0.53551155
0.40240008,-0.028157419,-0.013833562,-0.8425547,-0.53772116
0.41250008,-0.030252296,-0.015158193,-0.84107506,-0.5399025
0.4219001,-0.0323656,-0.016711768,-0.83963,-0.5419694
0.43220007,-0.034899,-0.018746201,-0.83797437,-0.54425335
0.44250008,-0.03750762,-0.021034611,-0.83635575,-0.54648286
0.4524001,-0.04029783,-0.023620585,-0.83465767,-0.54879194
0.46240008,-0.043270078,-0.026511017,-0.8329338,-0.5511129
0.47230008,-0.046335157,-0.029592006,-0.831066,-0.5533962
0.48230007,-0.049563363,-0.03288083,-0.82913905,-0.55587566
0.4921001,-0.052796885,-0.036207795,-0.82711494,-0.558338
0.5024001,-0.056361668,-0.039842308,-0.8247678,-0.5612409
0.5123001,-0.059654966,-0.043336976,-0.8224379,-0.56408614
0.52230006,-0.0631041,-0.046893712,-0.8198734,-0.5671399
0.5324001,-0.066444635,-0.050372224,-0.81715924,-0.57039773
0.5420001,-0.069689274,-0.0536779,-0.8142648,-0.57382596
0.55210006,-0.07310011,-0.057194766,-0.81094825,-0.5777713
0.5619001,-0.076407574,-0.060671553,-0.8073852,-0.5819034
0.5721001,-0.079729624,-0.06446103,-0.8034857,-0.58646446
0.5825001,-0.08295584,-0.06842251,-0.79956293,-0.5908589
0.59230006,-0.086045586,-0.07242556,-0.795961,-0.59479284
