elapsed_s,i,j,k,real
7.9883003,0.014581706,-0.011311102,0.00021749735,0.9998245
7.9977,0.0149577465,-0.011315928,0.00050389767,0.99983144
8.0081005,0.015353875,-0.011269637,0.00093498826,0.99979216
8.0184,0.015699634,-0.011255739,0.0013782084,0.99981385
8.0283,0.016020365,-0.011184983,0.0018812716,0.999833
8.0383005,0.016201846,-0.011114303,0.0023864508,0.999798
8.0482,0.016365383,-0.011126436,0.0029645562,0.99981153
8.0582,0.016496949,-0.011081247,0.0035349727,0.9997698
8.0677,0.016483108,-0.011088156,0.004097998,0.99982584
8.0783,0.01646966,-0.011088151,0.004714191,0.9998144
8.0882,0.016304364,-0.011132872,0.005308479,0.99978006
8.0982,0.016183699,-0.011190277,0.0059344172,0.9997697
8.1081,0.015923318,-0.011254737,0.0065092444,0.9997724
8.1183,0.015712894,-0.011293695,0.007018745,0.9997819
8.128201,0.015452539,-0.01135814,0.0075934827,0.9997847
8.1378,0.015242113,-0.01139712,0.008103013,0.99979424
8.1481,0.014994452,-0.01141693,0.008701652,0.9997653
8.1583,0.014816454,-0.011506274,0.009272099,0.99976265
8.1682005,0.0146384165,-0.0115956655,0.009842545,0.99976
8.1782,0.014522592,-0.011621849,0.010318369,0.9998001
8.1881,0.014449745,-0.011622121,0.010661334,0.9997937
8.1981,0.014407208,-0.0116411,0.01084736,0.9997724
8.2077,0.014447005,-0.011684998,0.011029154,0.99974585
8.2182,0.014573995,-0.011722615,0.011056483,0.9997643
8.2283,0.014796048,-0.011740509,0.011103272,0.99974567
8.2382,0.015022909,-0.011727187,0.010999978,0.9997775
8.2481,0.015242813,-0.011713406,0.0108290315,0.9997562
8.258,0.015480278,-0.011623752,0.010531843,0.99975365
8.2679,0.015722994,-0.01149595,0.010137737,0.9997341
8.2776,0.016002983,-0.011387322,0.009654433,0.999753
8.2879,0.0163308,-0.011221544,0.008888185,0.9997757
8.2982,0.016639002,-0.0110999495,0.008030295,0.9997769
8.3081,0.016952489,-0.0109402025,0.007075548,0.99976104
8.3181,0.017228365,-0.010907437,0.0061022937,0.9997724
8.328,0.017427174,-0.010811597,0.005036533,0.99977213
8.338,0.017563365,-0.01078587,0.004012108,0.99979675
8.3476,0.017649624,-0.010785608,0.0030530095,0.9998147
8.3581,0.017634338,-0.0107976785,0.0020599365,0.99974877
8.368,0.01755063,-0.010785764,0.0012065172,0.9997946
8.378,0.017442409,-0.010849227,0.00041168928,0.99976856
8.3880005,0.017291116,-0.010799375,-0.00019583106,0.99979085
8.3979,0.017084591,-0.010813192,-0.00064098835,0.99982363
8.4079,0.016885929,-0.010813555,-0.0009122491,0.9997744
8.4175005,0.016771255,-0.010877443,-0.0010233223,0.9997899
8.428,0.01661194,-0.010928676,-0.0011659563,0.9997817
8.4381,0.016516905,-0.010948414,-0.0011854768,0.9998187
8.4481,0.016365007,-0.010993144,-0.0012073517,0.9997959
8.4581,0.016257754,-0.011050561,-0.0011976063,0.9997969
8.468,0.016188178,-0.011120217,-0.0012238324,0.99976885
8.478,0.016137782,-0.01115263,-0.0012117028,0.99982953
8.4876,0.016137782,-0.01115263,-0.0012117028,0.99982953
8.4979,0.016125547,-0.011190338,-0.0011824071,0.9997936
8.508,0.016163258,-0.011202572,-0.0012184381,0.9997644
8.518,0.016232908,-0.011272115,-0.0012466311,0.99979067
8.5279,0.01631525,-0.011297044,-0.0012509823,0.9997852
8.5379,0.016454937,-0.011290027,-0.0011998117,0.99977195
8.5478,0.016581938,-0.011327636,-0.0011725128,0.9997904
8.5577,0.016741242,-0.011276412,-0.0010298789,0.9997986
8.5678005,0.016900558,-0.011225178,-0.00088718534,0.99980706
