elapsed_s,i,j,k,real
103.8265,-0.11606093,-0.01158151,0.79810536,0.5910978
103.8366,-0.11744477,-0.014496252,0.79491585,0.59504926
103.8466,-0.11876241,-0.017309815,0.7921782,0.59831226
103.8565,-0.12014419,-0.02010616,0.789888,0.60107523
103.8667,-0.1216933,-0.022849746,0.7880032,0.60308415
103.8767,-0.123544425,-0.02565597,0.7862962,0.60478204
103.8866,-0.12547353,-0.028729744,0.78447616,0.60658085
103.8967,-0.127601,-0.03238882,0.7822503,0.6088414
103.9067,-0.12991899,-0.03660962,0.779756,0.6113065
103.9167,-0.13239321,-0.041460734,0.7770906,0.61389244
103.9266,-0.13516545,-0.046983346,0.7742127,0.61648214
103.9365,-0.13846835,-0.053149156,0.77128744,0.61897093
103.9462,-0.14217614,-0.059905585,0.76809585,0.6214244
103.9565,-0.14670525,-0.067879334,0.7641797,0.62441057
103.9666,-0.15158646,-0.07645674,0.75963885,0.62777853
103.9767,-0.15681893,-0.0861813,0.7542117,0.63171494
103.9865,-0.16234371,-0.096747205,0.7480056,0.63616264
103.9969,-0.16843627,-0.10883427,0.74063015,0.64129055
104.0066,-0.17441198,-0.12104431,0.7328822,0.6463564
104.0167,-0.18104014,-0.13483587,0.7238859,0.6519365
104.0265,-0.18758364,-0.14907065,0.7145531,0.65721166
104.0361,-0.1938298,-0.16346219,0.7053078,0.66199243
104.0468,-0.20088214,-0.17968026,0.6952091,0.6663704
104.0565,-0.20768157,-0.19460654,0.6863614,0.66919756
104.0665,-0.21479426,-0.2096464,0.67811596,0.67086357
104.0761,-0.22148007,-0.22380462,0.6710728,0.6711519
104.0866,-0.22844926,-0.23836564,0.6650224,0.6698251
104.0967,-0.23508875,-0.25118718,0.6610132,0.66686285
104.1067,-0.2414957,-0.26238468,0.6586058,0.6626105
104.1163,-0.24796648,-0.27125508,0.65878785,0.6564493
104.1261,-0.2561349,-0.2790013,0.66204864,0.64672726
104.1364,-0.26596013,-0.28760055,0.6650131,0.63579047
104.1466,-0.26918525,-0.29571867,0.6612651,0.63467896
104.1563,-0.26768982,-0.30205408,0.65417075,0.63963425
104.1665,-0.26323545,-0.3057309,0.64799607,0.6459815
104.1766,-0.25941083,-0.30309704,0.6477219,0.6490775
104.1867,-0.25564462,-0.29580945,0.6507178,0.65088594
104.1966,-0.2503365,-0.2868389,0.653845,0.6538793
104.2066,-0.24509378,-0.27595505,0.657899,0.65639806
104.2165,-0.23928657,-0.2638405,0.6620665,0.6593832
104.2266,-0.23261417,-0.2476182,0.66826403,0.66180134
104.2366,-0.22506353,-0.22967309,0.6756764,0.6633308
104.2462,-0.21587452,-0.21060371,0.6834945,0.66472423
104.2565,-0.20413363,-0.18867424,0.6912625,0.6669396
104.2666,-0.19046322,-0.16550866,0.697649,0.67053074
104.2766,-0.17528187,-0.14203732,0.7021633,0.675296
104.2862,-0.15903759,-0.11850925,0.70503914,0.6808602
104.2963,-0.14093485,-0.09348199,0.7068893,0.68681
104.3066,-0.12177782,-0.06742594,0.7083269,0.6920004
104.3166,-0.1018043,-0.040761635,0.7100173,0.6955823
104.3261,-0.082278445,-0.01488496,0.7120026,0.6972078
104.3363,-0.06093446,0.0132205915,0.71440697,0.6969433
104.3467,-0.03875596,0.04159278,0.71747255,0.69422936
104.3566,-0.016674748,0.0687798,0.7212039,0.68907994
104.366,0.0052126944,0.094140224,0.7246616,0.6825819
104.3763,0.028835112,0.11992338,0.72758913,0.67485017
104.3867,0.051647943,0.14300221,0.73001623,0.6663311
104.3966,0.07229626,0.16257378,0.73274726,0.6568173
104.4062,0.08868537,0.17774221,0.7355099,0.64769644
104.4165,0.10203872,0.1903884,0.73782307,0.6394143
104.4266,0.10976472,0.19807123,0.7390167,0.63445127
104.4365,0.11272586,0.20160213,0.74041,0.6312673
104.4463,0.11121482,0.20084792,0.741531,0.630389
104.4565,0.10590915,0.19692522,0.7421782,0.63178897
104.4667,0.09716606,0.19106182,0.7425485,0.63456655
104.4766,0.088014536,0.18320373,0.73976886,0.6414316
104.4862,0.07747541,0.17573541,0.7360002,0.649108
104.4966,0.067357704,0.16801065,0.72934717,0.6597365
104.5063,0.05805913,0.15889114,0.7269724,0.66555303
104.5165,0.051121823,0.14929453,0.7296815,0.66532457
104.5262,0.04263928,0.13653499,0.7376572,0.6598238
104.5368,0.031025946,0.11994499,0.75099856,0.6485299
104.5466,0.016764339,0.10354988,0.76234317,0.6385672
104.5567,0.0025411472,0.09073318,0.7670177,0.6351607
104.5661,-0.0075035132,0.08172446,0.773326,0.6286311
104.5765,-0.018649489,0.07368462,0.781331,0.619443
104.5865,-0.02919373,0.06757794,0.78747964,0.61192125
104.5965,-0.03792347,0.061142392,0.7917918,0.6065285
104.6065,-0.046062585,0.053476483,0.79402053,0.6037508
104.6166,-0.052964527,0.046208553,0.7921742,0.60621285
104.6265,-0.059279833,0.039149605,0.78870344,0.61059564
104.6366,-0.06449665,0.03275423,0.784264,0.6162069
104.6466,-0.06869575,0.026709087,0.7795713,0.6219201
104.6567,-0.07255954,0.02086181,0.7759668,0.6262013
104.6661,-0.07531899,0.016293874,0.7753308,0.6267898
104.6765,-0.077531256,0.012887705,0.7762876,0.6254278
104.6867,-0.080160245,0.009286974,0.77774715,0.6233479
104.6968,-0.08297723,0.005564999,0.7791688,0.6212017
104.7065,-0.08566517,0.0018852465,0.7799072,0.6200162
104.7167,-0.08791226,-0.0012445338,0.7799839,0.6194827
104.7267,-0.08988048,-0.0042296685,0.7794587,0.6199818
104.7368,-0.091629185,-0.0073372014,0.7780983,0.6213481
104.7467,-0.09336865,-0.010756414,0.7762662,0.6233607
104.7567,-0.09505501,-0.014130995,0.77411854,0.6256593
104.7666,-0.0966336,-0.017338078,0.7719579,0.6280277
104.7765,-0.09848319,-0.020459495,0.76978195,0.63028604
104.7866,-0.10051024,-0.023859385,0.7674912,0.6326114
104.7966,-0.102690905,-0.027411614,0.76516235,0.6349988
104.8066,-0.10508368,-0.0313065,0.7627736,0.63724375
104.8167,-0.10757765,-0.035651226,0.76055926,0.6392623
104.8266,-0.11003043,-0.040289264,0.7586465,0.6409093
104.8366,-0.11260724,-0.045292493,0.7568624,0.6421533
104.8468,-0.11535765,-0.050695777,0.7551987,0.6432601
104.8562,-0.118150786,-0.05622455,0.7535503,0.6442029
104.8667,-0.12157327,-0.06291327,0.75149333,0.6454095
104.8765,-0.12518425,-0.069667116,0.7490346,0.646882
104.8866,-0.1292758,-0.077441275,0.74571574,0.64893025
104.8963,-0.133582,-0.085809425,0.74159056,0.6517318
104.9067,-0.13865401,-0.096188776,0.73583525,0.6557562
104.9167,-0.14375399,-0.10728799,0.72934985,0.6601345
104.9266,-0.14916685,-0.11945769,0.72197783,0.6649444
104.9362,-0.15446895,-0.13222069,0.7141864,0.6697543
104.9467,-0.16036396,-0.14761207,0.7050357,0.6748087
104.9567,-0.16619483,-0.16330248,0.69638735,0.678759
104.9666,-0.17269638,-0.17948252,0.68832594,0.6812919
104.9764,-0.1800332,-0.1955086,0.68109685,0.68223035
104.9862,-0.18820888,-0.21137305,0.6747859,0.68157744
104.9964,-0.19701399,-0.22728634,0.66951555,0.6791106
105.0065,-0.20606068,-0.2422571,0.6655929,0.67511153
105.0165,-0.2151095,-0.2556352,0.6625525,0.67034
105.0267,-0.22426106,-0.26767987,0.66045904,0.6647315
105.0367,-0.23334827,-0.27825838,0.66034186,0.65726006
105.0467,-0.24322775,-0.28805137,0.6618357,0.6479313
105.0567,-0.25069556,-0.2980075,0.65947074,0.64298654
105.0661,-0.2527961,-0.30442947,0.6555742,0.6430871
105.0766,-0.25140953,-0.30834594,0.65122956,0.64622617
105.0866,-0.24874353,-0.30731934,0.6511472,0.64785063
105.0967,-0.2469345,-0.30138138,0.65585613,0.6465231
105.1067,-0.24334075,-0.29289636,0.66150975,0.64600444
