elapsed_s,i,j,k,real
103.8234,0.027870808,-0.11514443,-0.8075742,-0.57774234
103.8331,0.032456726,-0.104576215,-0.8061782,-0.5813783
103.8433,0.03720483,-0.0935961,-0.80460346,-0.5851479
103.8533,0.041683525,-0.08306238,-0.80298406,-0.58869374
103.8633,0.04596381,-0.072912894,-0.80141073,-0.5918876
103.8728,0.04983824,-0.063876875,-0.8001194,-0.59433997
103.8832,0.053563945,-0.054787625,-0.79895276,-0.5964745
103.8931,0.056907788,-0.0463432,-0.7978956,-0.5983358
103.903,0.059783924,-0.03868068,-0.79663706,-0.6002294
103.9133,0.06242364,-0.031037882,-0.7948192,-0.60280806
103.9232,0.06464363,-0.023994286,-0.79235035,-0.6061178
103.9334,0.06667949,-0.016891599,-0.7889055,-0.610641
103.9433,0.06814765,-0.0099234395,-0.7843728,-0.61639863
103.9532,0.06910177,-0.003225932,-0.778915,-0.62326586
103.9633,0.06915366,0.0032522082,-0.77269435,-0.6309928
103.9729,0.06845304,0.00872419,-0.7664192,-0.63864756
103.9833,0.06697925,0.013575014,-0.7595645,-0.6467898
103.9928,0.06497081,0.01679562,-0.7538482,-0.65357417
104.003,0.062254634,0.019127697,-0.74842876,-0.6599777
104.0132,0.058929525,0.0204457,-0.7435124,-0.66579115
104.0233,0.05499129,0.020758448,-0.7390147,-0.67110205
104.0333,0.05040337,0.020025551,-0.734805,-0.6761273
104.0428,0.045300864,0.017820982,-0.731322,-0.68031853
104.0531,0.039209343,0.013460141,-0.72841763,-0.68387717
104.0632,0.032928284,0.00763765,-0.7264622,-0.6863627
104.0732,0.026978668,0.00012763962,-0.7259193,-0.6872065
104.0831,0.021493066,-0.009278392,-0.7274164,-0.6858078
104.093,0.016012795,-0.02056936,-0.730768,-0.6821345
104.1031,0.01058961,-0.033384062,-0.7361703,-0.6758311
104.1126,0.004840914,-0.04637439,-0.74175787,-0.668985
104.123,-0.0023368746,-0.061184987,-0.746951,-0.6620431
104.1331,-0.010044752,-0.07591693,-0.75072426,-0.6561652
104.1431,-0.017522478,-0.09026333,-0.7535056,-0.6510036
104.1532,-0.024660261,-0.104149215,-0.75543153,-0.64643264
104.1632,-0.03128572,-0.117548585,-0.75650966,-0.64250755
104.1733,-0.037334796,-0.130419,-0.7570891,-0.6390967
104.1827,-0.042680133,-0.14258192,-0.7571833,-0.6359878
104.1927,-0.048133142,-0.15489618,-0.7572587,-0.6326153
104.2029,-0.05411859,-0.16743363,-0.75755113,-0.6285554
104.2132,-0.060384244,-0.17947635,-0.7581255,-0.6240232
104.2232,-0.06637362,-0.19100688,-0.7587411,-0.6191942
104.2331,-0.07197249,-0.20210023,-0.75931275,-0.61429703
104.2431,-0.07721129,-0.21313997,-0.7598105,-0.6093405
104.2534,-0.081927896,-0.22384317,-0.7600051,-0.6045926
104.2632,-0.085936666,-0.23348013,-0.7597509,-0.6006998
104.2728,-0.08934316,-0.24213472,-0.7589961,-0.5977004
104.2829,-0.0925421,-0.250637,-0.75774914,-0.5953271
104.2931,-0.095302865,-0.25810555,-0.7562152,-0.5937
104.303,-0.09750918,-0.26446766,-0.75452924,-0.5926071
104.3131,-0.09910081,-0.26990795,-0.75259745,-0.59236276
104.3232,-0.09936346,-0.27384457,-0.7497654,-0.5940555
104.3331,-0.09852843,-0.276061,-0.7465982,-0.59721947
104.343,-0.096771955,-0.2772121,-0.74269456,-0.60182244
104.353,-0.09429991,-0.2768886,-0.7389737,-0.606913
104.363,-0.092185006,-0.27489418,-0.7369477,-0.6105607
104.3731,-0.090941,-0.27230385,-0.7369839,-0.61192673
104.3831,-0.08961572,-0.26910734,-0.7377074,-0.6126647
104.3929,-0.08777917,-0.2653733,-0.73814815,-0.61395127
104.403,-0.085135505,-0.26075697,-0.7378363,-0.6167168
104.4131,-0.08236605,-0.25568628,-0.7370116,-0.62022424
104.4229,-0.07911819,-0.25025553,-0.7346136,-0.6256464
104.4327,-0.075254515,-0.24510811,-0.73089194,-0.6324875
104.4428,-0.07144344,-0.24170321,-0.7292353,-0.6361327
104.453,-0.06919668,-0.24105431,-0.733557,-0.63162327
104.463,-0.066606075,-0.24135348,-0.73674935,-0.62805045
104.4729,-0.06366873,-0.24205053,-0.7365643,-0.6283382
104.483,-0.06112597,-0.2437302,-0.73463166,-0.63021094
104.4928,-0.05850575,-0.24623378,-0.7326335,-0.6317663
104.5029,-0.055059686,-0.2495476,-0.7317829,-0.6317849
104.5129,-0.05271504,-0.25128442,-0.73315215,-0.62969166
104.523,-0.052789316,-0.25112998,-0.7356689,-0.62682515
104.5328,-0.0558194,-0.25004998,-0.73771,-0.6245837
104.5429,-0.06074007,-0.2495247,-0.74007714,-0.6215156
