elapsed_s,i,j,k,real
121.30085,-0.036640123,0.035664346,0.16125214,0.9855449
121.31095,-0.036456943,0.03562136,0.1612193,0.98557246
121.32095,-0.036277294,0.03558606,0.16127226,0.9856031
121.33095,-0.036158934,0.03555879,0.16127992,0.9855938
121.34105,-0.035887532,0.035530824,0.16133782,0.9855727
121.35085,-0.03577274,0.03551126,0.16143131,0.9855665
121.36095,-0.03565792,0.035491705,0.16152483,0.9855603
121.37095,-0.035508454,0.035498753,0.16166097,0.9855513
121.38055,-0.035355464,0.035498105,0.16171116,0.98553944
121.39105,-0.03522138,0.03553564,0.16175562,0.9855708
121.40105,-0.035095006,0.035569627,0.16180319,0.9855163
121.41095,-0.035014816,0.03552342,0.16185412,0.98551273
121.42055,-0.034918927,0.035542045,0.16194189,0.98554987
121.43105,-0.03486538,0.035530485,0.1619902,0.9855039
121.44095,-0.03475056,0.035510898,0.16208375,0.9854977
121.45095,-0.03467394,0.035472427,0.16222057,0.98549724
121.46045,-0.03460467,0.035525687,0.16230562,0.98549175
121.47105,-0.034589313,0.035495214,0.16239724,0.98545146
121.48095,-0.034512695,0.03545671,0.16253409,0.9854511
121.49095,-0.034478053,0.035483345,0.16257662,0.9854483
121.50085,-0.03439789,0.03543715,0.16262758,0.9854448
121.51105,-0.034382526,0.03540667,0.16271919,0.9854045
121.52095,-0.034321263,0.035398673,0.1627644,0.9854443
121.53095,-0.034302365,0.03536048,0.16277009,0.98540103
121.54085,-0.034241073,0.03535246,0.16281533,0.98544097
121.55105,-0.03418397,0.03533319,0.16277787,0.9853918
121.56095,-0.034119163,0.03531747,0.16273725,0.9854286
121.57095,-0.03405433,0.035301764,0.16269666,0.9854654
121.58085,-0.03397058,0.03524784,0.16266185,0.98545885
121.59085,-0.033894192,0.03528567,0.16257519,0.9854473
121.60095,-0.03375655,0.035315495,0.16253379,0.98547566
121.61095,-0.033672817,0.035261564,0.16249898,0.9854692
121.62105,-0.03356979,0.035264768,0.16241512,0.9855002
121.63085,-0.033466786,0.035267968,0.16233116,0.9855312
121.64095,-0.033393953,0.035313513,0.16233039,0.9855228
121.65095,-0.033290945,0.035316713,0.1622465,0.98555386
121.66105,-0.03313439,0.03530835,0.16221082,0.98553884
121.67085,-0.033058003,0.035346184,0.16212428,0.9855274
121.68095,-0.032958522,0.035357077,0.16212618,0.9855614
121.69095,-0.03285552,0.035360277,0.16204232,0.9855926
121.70085,-0.0327445,0.03542473,0.16199824,0.9855783
121.71085,-0.032679677,0.03540902,0.16195762,0.98561513
121.72095,-0.032606848,0.035454568,0.16195682,0.98560655
121.73095,-0.032450296,0.035446204,0.16192123,0.98559165
121.74085,-0.032389034,0.035438206,0.16196647,0.98563147
121.75105,-0.032297287,0.035445563,0.16197136,0.9855797
121.76095,-0.032197822,0.035456453,0.16197339,0.9856138
121.77115,-0.032090347,0.03552863,0.16201514,0.9856026
121.78105,-0.03201016,0.03548242,0.16206613,0.9855991
121.79065,-0.031872522,0.035512246,0.1620248,0.9856274
121.80085,-0.03179969,0.03555779,0.16202396,0.985619
121.81105,-0.031715967,0.035503887,0.16198912,0.9856124
121.82105,-0.031616505,0.035514805,0.16199106,0.9856465
121.83045,-0.03154369,0.035560347,0.16199031,0.985638
121.84085,-0.031395115,0.035490707,0.16191489,0.9856683
121.85105,-0.031276748,0.03546343,0.16192251,0.9856591
121.86105,-0.031177288,0.035474353,0.16192442,0.9856932
121.87055,-0.031020707,0.03546594,0.16188887,0.9856782
121.88095,-0.030936968,0.03541204,0.16185394,0.98567176
121.89105,-0.030837517,0.03542295,0.16185594,0.98570573
121.90085,-0.030715594,0.035387963,0.16177776,0.98569345
121.91075,-0.030639205,0.035425793,0.16169113,0.985682
121.92115,-0.030539751,0.035436705,0.16169313,0.985716
121.93085,-0.03038317,0.035428323,0.16165748,0.9857011
121.94105,-0.030283723,0.035439238,0.16165942,0.9857352
121.95095,-0.030168917,0.03541968,0.16175297,0.985729
121.96095,-0.030096084,0.035465226,0.16175216,0.9857205
121.97105,-0.029943066,0.035464562,0.16180241,0.98570853
121.98095,-0.029828256,0.035444997,0.16189593,0.9857023
121.99095,-0.029793616,0.035471633,0.16193849,0.9856996
122.00115,-0.029713439,0.035425417,0.16198939,0.9856961
122.01085,-0.02964062,0.035470955,0.16198868,0.9856877
