elapsed_s,i,j,k,real
5.20165,0.033792667,0.053492926,0.10308638,0.992611
5.21185,0.033861935,0.053546183,0.10317138,0.99260557
5.22185,0.03385837,0.053553894,0.10325727,0.99260867
5.23185,0.033859257,0.05363061,0.103468716,0.9925693
5.24165,0.03385215,0.053646043,0.10364044,0.9925754
5.25185,0.033795953,0.05374198,0.103889525,0.9925853
5.26185,0.03372401,0.053773116,0.10410184,0.9925545
5.27205,0.03368671,0.053830888,0.10435659,0.99252117
5.28165,0.03362276,0.05392331,0.104608744,0.9924452
5.29175,0.03354727,0.05396217,0.10490683,0.9924174
5.30165,0.033471767,0.05400102,0.10520488,0.99238986
5.31145,0.03339627,0.05403988,0.10550302,0.99236214
5.32175,0.033320762,0.054078765,0.105801225,0.99233437
5.33185,0.03319171,0.054129202,0.106051,0.9923526
5.34185,0.033154394,0.054186966,0.10630584,0.9923192
5.35115,0.033086028,0.054210406,0.10643229,0.9922854
5.36195,0.032911062,0.05423837,0.106728464,0.9922236
5.37175,0.03280092,0.05425059,0.10698405,0.9921986
5.38165,0.03270653,0.054327607,0.10727641,0.9922143
5.39125,0.0325964,0.054339834,0.107532054,0.9921893
5.40165,0.032494266,0.05441335,0.107827455,0.9921191
5.41175,0.03238413,0.05442557,0.10808298,0.99209404
5.42185,0.03230864,0.05446443,0.10838112,0.99206644
5.43175,0.03214584,0.05456493,0.108799934,0.99204826
5.44165,0.031967312,0.054600604,0.10918203,0.9919895
5.45175,0.031922888,0.054673806,0.10960844,0.9919621
5.46175,0.03177902,0.05473609,0.110033065,0.9919007
5.4717503,0.031699944,0.05478268,0.11041695,0.991876
5.48175,0.03160519,0.054764416,0.110764205,0.9918107
5.49185,0.031491507,0.05478436,0.11110562,0.99178874
5.50175,0.03141956,0.054815497,0.11131784,0.99175805
5.51175,0.031393155,0.054773852,0.11153862,0.9917265
5.52185,0.03142422,0.05480819,0.11166704,0.99172676
5.53195,0.031386025,0.05478927,0.11171034,0.9917326
5.54165,0.031439584,0.054777686,0.11175862,0.9916865
5.55155,0.031466216,0.05474306,0.11176133,0.991729
5.56165,0.031481553,0.05471261,0.111852944,0.9916887
5.57175,0.031516183,0.054739237,0.11189544,0.99168605
5.58175,0.031531543,0.05470873,0.111986995,0.9916458
5.59185,0.031551067,0.054689545,0.1121614,0.9916944
5.60185,0.03156643,0.05465904,0.11225301,0.99165404
5.61175,0.031597506,0.054693375,0.11238137,0.9916544
5.62175,0.03159039,0.05470881,0.11255303,0.9916604
5.63165,0.03154092,0.05469404,0.11268529,0.99158335
5.64195,0.03153737,0.054701764,0.112771094,0.9915863
5.65195,0.03149561,0.054690555,0.1129002,0.99159527
5.66195,0.031453855,0.054679357,0.11302942,0.99160385
5.67185,0.031420115,0.054729413,0.11319837,0.99156743
5.68215,0.031397272,0.054680023,0.113333285,0.9915329
5.69185,0.031328898,0.05470346,0.113459736,0.9914992
5.70195,0.031283583,0.054699965,0.11367467,0.991511
5.71185,0.03117699,0.0547045,0.113844424,0.9914829
5.72145,0.03113168,0.054701008,0.11405939,0.9914948
5.73165,0.03111685,0.054712884,0.11423412,0.99141496
5.74165,0.031010289,0.0547174,0.11440387,0.9913869
5.75165,0.03093034,0.054687284,0.11457634,0.99140143
5.76125,0.030885028,0.054683793,0.11479133,0.9914133
5.77165,0.030778462,0.054688312,0.11496106,0.9913852
5.78165,0.03069079,0.054654628,0.115136564,0.99131405
5.79185,0.030645486,0.054651145,0.11535159,0.99132574
5.8014503,0.030538894,0.05465568,0.11552128,0.99129784
5.81175,0.030394135,0.054641284,0.11573434,0.9912754
5.82165,0.030317742,0.05460345,0.115821004,0.991287
5.8316503,0.030211175,0.054607965,0.11599073,0.991259
5.84165,0.030069966,0.054585844,0.116117954,0.99123365
5.85195,0.029955383,0.0545291,0.11624786,0.9912509
5.86175,0.029814199,0.054506995,0.11637509,0.9912256
5.87185,0.029737808,0.05446916,0.116461724,0.99123716
5.88175,0.02956194,0.054420434,0.11654636,0.99121445
5.89175,0.02948555,0.054382604,0.116633,0.99122596
5.90165,0.02941273,0.054337062,0.11663374,0.9912344
5.91175,0.02931327,0.054326147,0.116631836,0.9912003
5.92185,0.029221535,0.054318793,0.11662683,0.99125206
5.93175,0.029114075,0.054246616,0.116585106,0.9912633
5.94185,0.029044803,0.054193363,0.11650002,0.99126863
5.95185,0.028926443,0.05422064,0.11649233,0.991278
5.96185,0.028818978,0.054148458,0.11645061,0.99128914
5.9717503,0.028749708,0.0540952,0.11636549,0.99129456
5.98175,0.028696163,0.05410676,0.11631727,0.99134064
5.99185,0.028562078,0.054069217,0.11627272,0.99130917
6.00185,0.028527437,0.054042585,0.11623022,0.9913119
6.01175,0.028416418,0.05397813,0.1162743,0.99132615
6.0219502,0.028278757,0.053948324,0.11631572,0.9912977
6.03185,0.028183453,0.053948678,0.11639655,0.9913527
6.04185,0.02804581,0.053918853,0.11643788,0.9913243
6.05175,0.02796942,0.05388102,0.11652455,0.99133575
6.06175,0.027793575,0.05383227,0.116609186,0.9913132
6.07185,0.027720746,0.053786725,0.11660996,0.9913217
6.08185,0.027564175,0.053795114,0.116645634,0.9913367
6.09195,0.027391896,0.053738654,0.11664447,0.99131095
6.10195,0.0272655,0.053704694,0.11659694,0.99136555
6.1118503,0.027096763,0.053640544,0.116509974,0.9913368
6.12185,0.026909146,0.05361454,0.11641723,0.9913515
6.13215,0.026721504,0.053588577,0.116324425,0.9913662
6.14195,0.026533874,0.053562567,0.11623171,0.9913809
6.15185,0.026308028,0.05351769,0.11618221,0.99140126
6.16185,0.026116816,0.053499475,0.11617535,0.9914189
6.17145,0.02588744,0.053462263,0.11621177,0.9914424
6.18165,0.025631411,0.053459734,0.11624536,0.99142337
6.19175,0.025398478,0.05343023,0.11636767,0.9914497
6.20185,0.025192445,0.05342386,0.116535455,0.99138767
6.21155,0.024917724,0.053383205,0.11678687,0.9914229
6.22195,0.024635315,0.053338975,0.11704132,0.99137235
6.23185,0.024333954,0.053332977,0.11728999,0.9913649
6.24185,0.023967827,0.05334262,0.11757916,0.99132085
6.25165,0.023784855,0.053309333,0.11783561,0.9913044
6.26175,0.023556335,0.053348854,0.11808345,0.99128866
6.27185,0.023273923,0.053304624,0.1183379,0.991238
6.28175,0.023007236,0.05332521,0.11862916,0.991228
6.29185,0.022751458,0.05324635,0.11888623,0.9912199
6.30165,0.022488307,0.053259246,0.1190916,0.99120694
6.31185,0.022274252,0.053191602,0.1192196,0.9911901
6.32175,0.02198004,0.053170167,0.11929658,0.9911766
6.33185,0.02184239,0.053140335,0.119338006,0.99114835
6.34175,0.021716028,0.053106323,0.11929047,0.99120283
6.35195,0.021563012,0.053107023,0.119240195,0.9912149
6.36175,0.021459099,0.05302713,0.11911264,0.991223
6.37185,0.02140912,0.053030953,0.1189785,0.991266
6.38175,0.021378037,0.0529966,0.11885014,0.9912656
6.39175,0.02138517,0.052981183,0.11867845,0.9912596
6.40175,0.021418937,0.052931104,0.11850944,0.99129605
6.41175,0.02149086,0.052899957,0.11829722,0.9913268
6.42175,0.021562807,0.052868817,0.11808491,0.99135756
6.43185,0.021638295,0.05282996,0.117786795,0.9913852
6.44185,0.021748431,0.052817695,0.11753118,0.99141026
6.45175,0.02190765,0.052724972,0.11719829,0.99143136
6.46195,0.022047967,0.052670404,0.116859496,0.99149597
6.47195,0.022191852,0.05260809,0.11643499,0.99155736
6.48185,0.022301095,0.05251918,0.11596784,0.9916215
6.49195,0.02234552,0.052445985,0.11554137,0.99164885
6.50205,0.022409245,0.052429836,0.11506581,0.99171394
6.51185,0.022483855,0.052314296,0.11455622,0.9917809
6.52205,0.022547547,0.05229823,0.11408067,0.9918458
6.53185,0.022625728,0.05217495,0.11348519,0.9919096
6.54215,0.022623697,0.0520979,0.112838715,0.99197704
6.55185,0.022736505,0.05200128,0.11228579,0.992038
6.56205,0.022811128,0.05188571,0.11177614,0.99210507
6.57185,0.022920355,0.051796794,0.11130905,0.99216914
6.58145,0.023029596,0.05170788,0.11084196,0.9922334
6.59185,0.02313885,0.05161894,0.11037484,0.99229765
6.60185,0.023202196,0.05150753,0.10995412,0.9922818
6.6118503,0.023307879,0.05142633,0.10957289,0.9923489
6.62135,0.02341358,0.05134511,0.10919163,0.99241614
6.63165,0.023534637,0.05123342,0.10890198,0.9924431
6.64175,0.023663657,0.051183023,0.108652115,0.9924246
6.65185,0.023800425,0.051136136,0.10839924,0.9924922
6.66155,0.023879725,0.05101324,0.10823879,0.99252784
6.67185,0.024031833,0.05093591,0.10807744,0.99255514
6.68195,0.024153765,0.05090089,0.107999295,0.99254286
6.69175,0.024321236,0.050793093,0.10792959,0.99252987
6.70175,0.024469811,0.050723426,0.10785416,0.99256015
6.71185,0.024557099,0.05066184,0.10773349,0.9925506
6.7217503,0.024705656,0.05059219,0.10765803,0.9925808
6.73185,0.024819594,0.050495893,0.10754004,0.9926138
6.74185,0.024941515,0.050460935,0.10746187,0.99260163
6.75185,0.025017252,0.050345752,0.107387215,0.9926404
6.76195,0.025104545,0.050284132,0.107266575,0.99263084
6.77185,0.025233835,0.050157357,0.10724017,0.99262345
6.78185,0.025321115,0.050095767,0.10711947,0.9926139
6.79205,0.025396863,0.04998055,0.107044786,0.99265265
6.80175,0.025510779,0.049884345,0.1069268,0.9926857
6.81195,0.025598079,0.049822703,0.10680613,0.9926761
6.82185,0.0256392,0.04968086,0.10668889,0.9927176
6.83185,0.025772018,0.049546424,0.10657668,0.99270725
6.84175,0.025821112,0.049465887,0.106499255,0.99270344
6.85185,0.025896847,0.0493507,0.10642463,0.99274224
6.86195,0.025972579,0.049235545,0.106349915,0.9927809
6.87185,0.026040612,0.04911681,0.1062783,0.9927337
6.88195,0.026150987,0.049028248,0.1062462,0.9927697
6.89185,0.026161881,0.048928797,0.10621214,0.99277174
6.90185,0.026252978,0.04878314,0.10622904,0.99277014
6.91195,0.026328713,0.048667952,0.10615435,0.9928088
6.92195,0.026374247,0.04859513,0.10616282,0.99280804
6.93195,0.026468877,0.048441783,0.10609391,0.9928036
6.94185,0.02651444,0.04836891,0.10610241,0.99280274
6.95215,0.026551967,0.04823483,0.106070966,0.9928473
6.96195,0.026616432,0.048123833,0.10608521,0.99280316
6.97195,0.026623774,0.0480321,0.10613698,0.9928081
6.98185,0.026730604,0.047951233,0.10619071,0.9928471
6.99145,0.026756871,0.047821317,0.1062482,0.9928088
7.0019503,0.0267642,0.047729574,0.10629994,0.9928138
7.01205,0.026771568,0.04763782,0.10635173,0.99281883
7.02185,0.02674428,0.047519427,0.10636097,0.99282646
7.03145,0.026751637,0.047427703,0.10641274,0.99283147
7.04175,0.026720788,0.047317054,0.10650784,0.9928422
7.05185,0.026663313,0.04724104,0.106600165,0.99281037
7.06195,0.026594287,0.047111444,0.1067386,0.9928268
7.07155,0.026536813,0.047035426,0.106830895,0.992795
7.08195,0.02646777,0.046905864,0.1069693,0.99281156
7.09205,0.02633391,0.04679202,0.10714829,0.9927911
7.10195,0.026234679,0.046704795,0.10736984,0.99276805
7.11175,0.026139019,0.046609834,0.1075055,0.99274206
7.12205,0.025982691,0.046541885,0.10776457,0.99276805
7.1318502,0.02581865,0.046470385,0.10802668,0.992708
7.14185,0.025719423,0.046383165,0.108248174,0.99268496
7.15195,0.025616627,0.046303652,0.108555555,0.9926651
7.16185,0.025452586,0.046232156,0.1088177,0.9926053
7.17185,0.02529625,0.0461642,0.10907668,0.9926312
7.18185,0.025197046,0.04607696,0.10929823,0.99260825
7.19195,0.025101384,0.045982033,0.10943389,0.9925821
7.20195,0.024952156,0.04589865,0.10952133,0.992602
7.21185,0.024856493,0.04580372,0.10965696,0.9925759
7.22185,0.024707276,0.04572034,0.10974437,0.9925959
7.23195,0.024611607,0.04562541,0.10988003,0.9925698
7.24185,0.024481317,0.045503855,0.10997322,0.99254656
7.25185,0.024332091,0.04542047,0.11006054,0.9925665
7.26185,0.024179317,0.04534481,0.110233754,0.9925895
7.27175,0.024003474,0.045296066,0.11031848,0.9925668
7.28205,0.023869632,0.045182195,0.110497445,0.9925465
7.29195,0.02369024,0.045141168,0.110667974,0.9925269
7.30205,0.02350282,0.04503887,0.11079872,0.99255264
7.31195,0.02344535,0.04496285,0.110891044,0.9925208
7.32185,0.02326593,0.044921845,0.11106154,0.9925012
7.33195,0.02315491,0.044857386,0.11110565,0.9925154
7.34205,0.023024602,0.04473582,0.11119878,0.99249214
7.35195,0.02291359,0.044671368,0.11124286,0.9925064
7.36205,0.022840768,0.04462583,0.111243606,0.9925147
7.37195,0.022786845,0.04454209,0.11125016,0.9924799
7.38175,0.02277885,0.044480808,0.11121032,0.9925252
7.39195,0.022782415,0.044473097,0.111124545,0.9925221
7.40145,0.022774393,0.04441183,0.1110847,0.9925673
7.41195,0.022739764,0.044385202,0.11104214,0.99257004
7.42185,0.022788864,0.044304673,0.110964745,0.9925663
7.43185,0.022788864,0.044304673,0.110964745,0.9925663
7.4415503,0.022834413,0.04423183,0.11097321,0.9925655
7.45195,0.022907238,0.04427737,0.110972494,0.992557
7.46185,0.022952788,0.04420456,0.11098096,0.9925562
7.47195,0.023006331,0.044193,0.11102921,0.99251026
7.48155,0.023032978,0.044158347,0.11103192,0.99255276
7.49185,0.023113156,0.044112165,0.11108288,0.9925493
7.50205,0.023113156,0.044112165,0.11108288,0.9925493
7.51195,0.023162236,0.04403162,0.111005485,0.9925455
7.52165,0.02319242,0.04398928,0.110922396,0.99258494
7.53185,0.023230616,0.044008195,0.11087906,0.9925793
7.54205,0.023241535,0.043908723,0.11084497,0.99258125
7.55195,0.023245104,0.043901015,0.11075917,0.99257827
7.56185,0.023248654,0.043893293,0.11067328,0.9925752
7.57195,0.023240658,0.04383201,0.11063352,0.99262035
7.58205,0.023240658,0.04383201,0.11063352,0.99262035
7.59195,0.023224944,0.0437672,0.11059666,0.9925798
7.60195,0.023216922,0.04370593,0.11055687,0.992625
7.61195,0.023255117,0.04372485,0.11051357,0.9926193
7.62185,0.023255117,0.04372485,0.11051357,0.9926193
7.63195,0.02324712,0.0436636,0.11047378,0.9926645
7.64195,0.023266036,0.043625414,0.11047956,0.9926212
7.65195,0.023266036,0.043625414,0.11047956,0.9926212
7.6620502,0.023266036,0.043625414,0.11047956,0.9926212
7.67205,0.023231393,0.043598775,0.110437006,0.9926239
7.68195,0.023258014,0.04356414,0.11043972,0.9926665
7.69195,0.023258014,0.04356414,0.11043972,0.9926665
7.70185,0.023231393,0.043598775,0.110437006,0.9926239
7.71195,0.023231393,0.043598775,0.110437006,0.9926239
7.72205,0.023231393,0.043598775,0.110437006,0.9926239
7.73195,0.023158573,0.043553237,0.11043775,0.9926324
7.74205,0.02312393,0.043526605,0.11039519,0.9926351
7.75205,0.023035757,0.043511536,0.110304415,0.9926839
7.76185,0.023001114,0.043484904,0.11026186,0.9926865
7.77205,0.022905223,0.043466277,0.11017406,0.99264944
7.78205,0.022817038,0.043451205,0.11008331,0.9926982
7.79195,0.022717576,0.043440286,0.110081315,0.9926642
7.80205,0.022625826,0.04343296,0.11007634,0.99271595
7.81235,0.022553,0.043387413,0.11007708,0.9927244
