elapsed_s,i,j,k,real
87.9385,-0.015271786,0.030760054,0.061262846,0.9975041
87.9486,-0.017246626,0.030154634,0.05997759,0.9975722
87.9584,-0.01909831,0.029607318,0.058814287,0.9976305
87.9686,-0.020930737,0.029114021,0.057602465,0.9976464
87.9785,-0.022597136,0.028682943,0.056382686,0.99773806
87.9884,-0.024211919,0.028226022,0.055119306,0.9977826
87.9981,-0.025632609,0.027760506,0.053937733,0.9978107
88.0083,-0.027126618,0.027355302,0.052710354,0.99784696
88.0185,-0.02861598,0.02696314,0.051655084,0.9978801
88.0284,-0.03002325,0.026609778,0.050681084,0.99790686
88.0384,-0.031525016,0.026278174,0.049880564,0.997895
88.0485,-0.032985784,0.025966076,0.049120754,0.9978801
88.0585,-0.03445473,0.025705611,0.048531145,0.9979075
88.0678,-0.035867456,0.025432425,0.048070073,0.9978851
88.078,-0.037277855,0.025165765,0.04769495,0.99786115
88.0882,-0.03871174,0.024854004,0.047453195,0.9977922
88.0984,-0.040061235,0.024587588,0.04737869,0.99771523
88.1083,-0.041364945,0.024258692,0.04756874,0.99771535
88.1184,-0.04263178,0.02395798,0.047884166,0.99762475
88.1284,-0.043945566,0.023696162,0.048415095,0.9975785
88.138,-0.04516439,0.023434445,0.04902923,0.9974804
88.1484,-0.046529315,0.023220336,0.04986033,0.997391
88.1585,-0.047775775,0.023051398,0.050641447,0.99729466
88.1684,-0.04907628,0.02299676,0.051328152,0.9971638
88.1784,-0.05036384,0.023032408,0.051965863,0.99712175
88.1883,-0.05155932,0.023134697,0.05229205,0.99703646
88.1984,-0.052641004,0.023269132,0.052396268,0.99694717
88.208,-0.0535895,0.023394704,0.052281648,0.9968945
88.2184,-0.05442651,0.023545876,0.051858902,0.99683917
88.2283,-0.05506984,0.02366649,0.051261187,0.99685776
88.2385,-0.05564453,0.023713741,0.0505372,0.9968714
88.2484,-0.056180514,0.02377392,0.04976791,0.99688315
88.2583,-0.05662604,0.023726098,0.04896161,0.99692905
88.2683,-0.05715788,0.023648396,0.048158526,0.996894
88.2779,-0.057857424,0.023557827,0.04753506,0.99691176
88.2881,-0.05884377,0.023353286,0.046883553,0.99686205
88.2981,-0.060055964,0.023164116,0.046453744,0.99682593
88.308304,-0.061565522,0.022906197,0.046080142,0.9967664
88.3183,-0.06333371,0.022592396,0.04571727,0.99668145
88.3282,-0.065278485,0.022261597,0.045446634,0.9965646
88.3382,-0.06739979,0.021913722,0.04526806,0.99641585
88.3478,-0.06958151,0.02149264,0.0450975,0.9963128
88.3583,-0.07204355,0.021050116,0.044848442,0.99614525
88.3682,-0.07437186,0.020525698,0.04468903,0.99600697
88.3784,-0.076803416,0.019923901,0.044667542,0.995829
88.3883,-0.07919155,0.019347958,0.044772804,0.9956462
88.3983,-0.08157742,0.018778643,0.044964015,0.99546194
88.4083,-0.08398672,0.018164124,0.045288444,0.9952328
88.4186,-0.086484045,0.017569121,0.04578781,0.99505126
88.4282,-0.08873978,0.01707757,0.04635912,0.994853
88.4383,-0.09104076,0.016575402,0.04697436,0.99457055
88.4482,-0.09321446,0.01612264,0.04762706,0.9943657
88.4583,-0.09533419,0.015650515,0.0483222,0.99411225
88.4683,-0.097275056,0.015202045,0.0490112,0.99388933
88.4782,-0.099036984,0.014777005,0.04969415,0.9936969
88.4885,-0.10058365,0.014381912,0.050239563,0.99353445
88.4982,-0.10191506,0.014016788,0.050647408,0.9934022
88.5081,-0.102957815,0.013621166,0.05096367,0.993292
88.5181,-0.10372263,0.013335381,0.051220417,0.9931648
88.5283,-0.10422462,0.013096526,0.051381677,0.99315035
88.5382,-0.10457361,0.012924623,0.05153227,0.9930397
88.5482,-0.104629315,0.012864333,0.051712245,0.99308264
88.5582,-0.10457072,0.0128580555,0.05192685,0.99303114
88.5682,-0.104363084,0.012866609,0.052268118,0.9930966
88.5781,-0.10419837,0.012871187,0.052739263,0.9930763
88.588,-0.10412584,0.012904055,0.053469986,0.99301624
88.5982,-0.10402693,0.012915473,0.054462016,0.9929925
88.6082,-0.103933424,0.013006967,0.055966914,0.99291956
88.6181,-0.10396848,0.013120431,0.05786273,0.99280703
88.6282,-0.104088746,0.013281822,0.06027612,0.99265033
88.6382,-0.10440033,0.01348019,0.06295049,0.9924183
88.6482,-0.10484089,0.013678588,0.06575903,0.992237
88.6579,-0.10538486,0.013894644,0.06865358,0.99193263
88.6682,-0.10608417,0.014132198,0.07142109,0.9916428
88.6782,-0.10673474,0.014315534,0.07380235,0.9913975
88.6881,-0.10737984,0.014418725,0.07567072,0.9912016
88.6981,-0.10796833,0.014394,0.07672617,0.9910979
88.7081,-0.10837904,0.014315039,0.07726106,0.99098814
88.7175,-0.108682826,0.014153719,0.07736763,0.9909618
88.7279,-0.108853385,0.013983417,0.0772554,0.9909719
88.7381,-0.1089189,0.013746142,0.07688552,0.9909767
88.7481,-0.1089093,0.013528105,0.07633898,0.9909792
88.7579,-0.10885684,0.013314195,0.075662315,0.9910673
88.768,-0.108806655,0.013093647,0.0748997,0.9911568
88.7781,-0.10873954,0.012920562,0.074002504,0.99120533
88.788,-0.108552076,0.012777269,0.07288453,0.9913358
88.7977,-0.108330004,0.012560774,0.07185775,0.9914601
88.8079,-0.107941955,0.012277469,0.07087386,0.991526
88.818,-0.10742838,0.0119639635,0.07014984,0.99166393
88.8281,-0.10677591,0.011603434,0.06994429,0.9917381
88.8381,-0.106077164,0.011202294,0.07025984,0.9917989
88.8482,-0.10524136,0.010898411,0.07121366,0.9918413
88.8579,-0.10436995,0.010694146,0.072720975,0.9918312
88.8677,-0.103521094,0.010617685,0.074824035,0.99172974
88.878,-0.10264622,0.0108587,0.07802719,0.9915732
88.888,-0.10203131,0.01121017,0.081617594,0.99134636
88.898,-0.10151225,0.011749659,0.08575788,0.9910361
88.908,-0.101138845,0.012358699,0.09037185,0.99064434
88.918,-0.10081657,0.01301543,0.09528601,0.9902093
88.928,-0.10058045,0.013547223,0.10025522,0.9897765
88.9376,-0.1003495,0.013915077,0.10484666,0.98930264
88.9478,-0.10016602,0.0141709,0.10944784,0.98882926
88.9581,-0.100005254,0.014288481,0.11349726,0.9883629
88.9679,-0.099892944,0.014345128,0.1169914,0.9879945
88.978,-0.09974949,0.014468249,0.11987355,0.98763597
88.9878,-0.09957942,0.014549758,0.12202352,0.9873729
88.9981,-0.099412695,0.014675889,0.12352228,0.9872087
89.0076,-0.09925398,0.014833659,0.12419787,0.9871464
89.0178,-0.09894554,0.015008036,0.12426329,0.98717
