elapsed_s,i,j,k,real
5.2062,-0.099289775,-0.0022803023,0.12488979,0.9871509
5.2163,-0.09926394,-0.0022287406,0.124842584,0.9871945
5.2263002,-0.09916714,-0.0022439808,0.124755144,0.9872314
5.2361,-0.099113196,-0.0022633038,0.12479764,0.9871829
5.2462,-0.099014044,-0.002272047,0.12479618,0.9872184
5.2562,-0.09897302,-0.0022526197,0.12483689,0.9872152
5.2662,-0.09889968,-0.0023129843,0.12488264,0.9872072
5.2763,-0.09885865,-0.002293568,0.12492326,0.98720396
5.2862,-0.09881528,-0.0022676438,0.12504995,0.9871992
5.2961,-0.09873961,-0.0023214556,0.12518176,0.98718977
5.3061,-0.098696254,-0.002295535,0.12530851,0.9871851
5.3161,-0.09860954,-0.0022436455,0.12556183,0.9871757
5.3259,-0.09858093,-0.0021636337,0.1258573,0.9871275
5.3361,-0.09849419,-0.0021118,0.1261107,0.9871181
5.3462,-0.0984222,-0.0020058677,0.12653288,0.98706514
5.356,-0.09835257,-0.0019064359,0.126869,0.9870137
5.3662,-0.09829578,-0.0017683767,0.12720335,0.9870075
5.3761,-0.09824553,-0.0016278997,0.1275363,0.98691535
5.3862,-0.09821459,-0.0015414022,0.12791777,0.98686576
5.3958,-0.09815785,-0.00140322,0.12825203,0.98685956
5.4062,-0.09804716,-0.0012844615,0.12862891,0.98680484
5.4163003,-0.097999126,-0.0012454875,0.12892762,0.9867972
5.4262,-0.097938225,-0.0012452751,0.12922812,0.9867443
5.4361,-0.09789018,-0.0012063086,0.12952694,0.9867368
5.4461,-0.09778827,-0.0011866055,0.12986818,0.9866805
5.4561,-0.09772268,-0.0011733435,0.13034075,0.9866247
5.4657,-0.09769176,-0.0010867901,0.13072234,0.9865751
5.4762,-0.09758748,-0.0010606498,0.13114959,0.9865174
5.4862,-0.09759526,-0.0009869672,0.13157642,0.9864696
5.4961,-0.09756431,-0.00090045854,0.13195792,0.98641986
5.5061,-0.09763254,-0.0008051656,0.13234091,0.98633474
5.5162,-0.09765783,-0.00070588663,0.13259384,0.9863351
5.5262003,-0.09766795,-0.0006387606,0.13293463,0.98628867
5.5356,-0.09769143,-0.0006838329,0.1330679,0.9862437
5.546,-0.0976868,-0.0006707832,0.13323995,0.98624086
5.5561,-0.09772317,-0.0006771572,0.13337132,0.9862412
5.5662003,-0.097746655,-0.00072222576,0.13350457,0.9861963
5.5762,-0.097744316,-0.0007157251,0.13359058,0.98619485
5.5861,-0.09778072,-0.00072205067,0.13372198,0.9861952
5.5961,-0.097763166,-0.00074775144,0.13389581,0.98614705
5.6056,-0.097786665,-0.0007928312,0.13402906,0.98610216
5.616,-0.097782016,-0.00077977777,0.13420105,0.98609924
5.6261,-0.0978442,-0.0008377731,0.13437971,0.9860561
5.6361003,-0.097800866,-0.0008117929,0.13450637,0.9860513
5.646,-0.097824335,-0.0008569248,0.13463953,0.9860064
5.656,-0.097819686,-0.0008438751,0.13481164,0.9860035
5.6661,-0.09777632,-0.00081795454,0.13493833,0.98599887
5.6755,-0.097799815,-0.0008630194,0.13507149,0.985954
5.6858,-0.09779285,-0.0008434281,0.13532963,0.98594964
5.6959,-0.097788185,-0.0008303784,0.13550168,0.9859468
