elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
2.02615,418,-145,856,249,-336,-274,-1097,-486
2.02665,418,-144,856,248,-336,-275,-1097,-486
2.0271502,418,-144,856,249,-336,-277,-1097,-488
2.02765,418,-145,856,248,-336,-277,-1097,-489
2.02815,418,-145,856,249,-336,-278,-1097,-492
2.02865,418,-145,856,249,-336,-280,-1097,-492
2.02915,418,-145,856,248,-337,-280,-1098,-493
2.02965,418,-144,855,249,-336,-279,-1097,-493
2.0301502,418,-144,856,249,-336,-278,-1097,-492
2.0306501,418,-144,855,248,-337,-277,-1097,-491
2.03115,418,-144,855,248,-336,-276,-1098,-489
2.03165,418,-144,855,248,-336,-276,-1097,-489
2.03215,417,-144,855,249,-336,-276,-1097,-489
2.03265,418,-144,856,249,-336,-276,-1097,-489
2.03315,418,-144,856,249,-336,-276,-1097,-488
2.0336502,418,-144,856,249,-337,-275,-1097,-488
2.0341501,418,-145,855,249,-337,-275,-1097,-488
2.03465,418,-145,855,249,-336,-275,-1097,-487
2.03515,418,-144,855,249,-336,-275,-1097,-487
2.03565,418,-144,855,249,-336,-275,-1097,-486
2.03615,418,-144,856,249,-336,-275,-1097,-486
2.0366502,418,-144,855,249,-336,-276,-1097,-487
2.0371501,418,-144,856,249,-336,-275,-1097,-487
2.03765,418,-144,855,249,-336,-275,-1097,-487
2.03815,418,-144,855,249,-336,-275,-1097,-487
2.03865,419,-145,855,248,-336,-275,-1097,-488
2.03915,418,-145,856,249,-337,-274,-1097,-487
2.03965,418,-144,855,249,-337,-274,-1097,-487
2.0401502,418,-144,856,249,-337,-275,-1097,-486
2.0406501,418,-144,856,248,-337,-275,-1097,-487
2.04115,418,-144,855,248,-337,-276,-1097,-487
2.04165,419,-145,855,249,-336,-276,-1097,-487
2.04215,418,-144,855,248,-337,-277,-1097,-487
2.04265,418,-144,856,249,-337,-277,-1097,-487
2.0431502,418,-144,856,249,-337,-275,-1097,-487
2.0436502,418,-144,855,249,-337,-275,-1097,-486
2.04415,418,-144,855,249,-337,-276,-1097,-486
2.04465,419,-144,856,248,-337,-276,-1097,-486
2.04515,418,-145,855,248,-337,-276,-1097,-487
2.04565,418,-145,855,249,-336,-275,-1097,-487
2.04615,418,-144,856,249,-336,-275,-1097,-487
2.0466502,418,-145,856,248,-337,-276,-1097,-488
2.0471501,418,-145,855,249,-337,-278,-1097,-489
2.04765,418,-144,855,248,-337,-278,-1097,-489
2.04815,418,-144,855,249,-336,-278,-1097,-489
2.04865,417,-144,856,249,-337,-277,-1097,-489
2.04915,417,-145,855,249,-337,-276,-1097,-489
2.04965,418,-144,856,249,-337,-276,-1097,-489
2.0501502,418,-145,856,249,-337,-276,-1097,-490
2.0506501,418,-144,855,248,-337,-276,-1097,-489
2.05115,417,-145,855,248,-337,-276,-1097,-488
2.05165,418,-144,855,249,-337,-276,-1097,-487
2.05215,418,-144,856,249,-337,-275,-1097,-487
2.05265,418,-144,856,249,-337,-275,-1097,-487
2.0531502,418,-144,856,249,-337,-275,-1097,-488
2.0536501,418,-144,856,249,-337,-276,-1097,-488
2.05415,418,-144,856,249,-337,-276,-1097,-487
2.05465,418,-144,855,249,-336,-276,-1097,-487
2.05515,417,-144,856,249,-337,-276,-1097,-486
2.05565,417,-144,855,249,-337,-275,-1096,-486
2.05615,417,-144,856,249,-337,-275,-1097,-488
2.0566502,418,-144,856,248,-337,-276,-1097,-488
2.0571501,418,-145,856,249,-337,-276,-1097,-489
2.05765,418,-145,856,249,-337,-276,-1097,-489
2.05815,418,-145,855,249,-337,-276,-1097,-489
2.05865,418,-145,856,249,-337,-275,-1097,-489
2.05915,418,-145,856,249,-337,-276,-1097,-489
2.0596502,418,-145,855,248,-337,-277,-1097,-490
2.0601501,419,-144,855,249,-338,-278,-1097,-491
2.06065,419,-144,855,249,-337,-277,-1097,-490
2.06115,418,-145,855,249,-337,-277,-1097,-490
2.06165,418,-145,855,249,-337,-276,-1097,-489
2.06215,418,-145,856,248,-336,-276,-1097,-489
2.06265,418,-144,855,249,-337,-275,-1096,-488
2.0631502,418,-145,856,249,-337,-275,-1096,-488
2.0636501,418,-144,856,249,-337,-275,-1097,-488
2.06415,418,-144,855,248,-337,-275,-1096,-488
2.06465,419,-144,855,248,-338,-276,-1096,-489
2.06515,418,-145,855,249,-337,-276,-1096,-490
2.06565,419,-145,855,249,-337,-276,-1096,-489
2.06615,419,-145,856,249,-337,-276,-1096,-488
2.0666502,419,-145,856,249,-337,-275,-1095,-487
2.06715,418,-145,856,249,-337,-275,-1096,-487
2.06765,419,-145,856,249,-337,-275,-1096,-487
2.06815,418,-144,855,248,-337,-275,-1096,-487
2.06865,419,-145,855,249,-337,-276,-1097,-486
2.06915,418,-145,856,249,-337,-275,-1097,-487
2.0696502,419,-145,855,249,-337,-276,-1097,-488
2.0701501,418,-145,856,249,-337,-276,-1098,-489
2.07065,418,-145,855,249,-337,-276,-1097,-488
2.07115,418,-144,855,249,-337,-276,-1097,-488
2.07165,418,-144,856,249,-337,-276,-1097,-488
2.07215,418,-144,855,249,-337,-276,-1096,-488
2.07265,419,-144,855,249,-337,-276,-1096,-489
2.0731502,418,-144,855,249,-337,-276,-1097,-488
2.0736501,418,-144,855,249,-336,-276,-1097,-488
2.07415,418,-144,855,249,-337,-276,-1097,-487
2.07465,418,-144,855,249,-337,-276,-1096,-488
2.07515,418,-144,855,249,-337,-275,-1096,-487
2.07565,418,-144,855,249,-337,-275,-1096,-487
2.0761502,418,-144,855,249,-337,-276,-1096,-488
2.0766501,418,-144,855,249,-337,-276,-1096,-489
2.07715,418,-144,855,248,-337,-275,-1096,-488
2.07765,418,-144,855,249,-337,-275,-1097,-488
2.07815,418,-145,856,248,-337,-276,-1097,-488
2.07865,418,-145,856,249,-337,-276,-1097,-488
2.07915,418,-145,856,249,-337,-277,-1098,-488
2.0796502,419,-145,856,248,-336,-278,-1098,-489
2.0801501,419,-145,855,248,-337,-277,-1098,-489
2.08065,418,-145,855,249,-336,-276,-1098,-488
2.08115,418,-144,855,249,-336,-275,-1098,-487
2.08165,418,-144,855,248,-337,-275,-1098,-488
2.08215,418,-144,855,248,-336,-276,-1097,-488
2.0826502,418,-144,855,249,-337,-276,-1097,-489
2.0831501,419,-144,855,249,-337,-276,-1097,-489
2.08365,418,-144,856,249,-337,-275,-1097,-488
2.08415,418,-144,855,249,-337,-275,-1097,-488
2.08465,418,-144,856,249,-337,-275,-1097,-488
2.08515,418,-144,855,249,-337,-276,-1097,-488
2.08565,418,-144,856,249,-337,-276,-1096,-488
2.0861502,418,-145,856,249,-337,-277,-1097,-489
2.0866501,419,-145,855,250,-337,-279,-1097,-490
2.08715,419,-145,855,249,-337,-279,-1097,-490
2.08765,419,-145,855,249,-338,-278,-1097,-489
2.08815,419,-145,855,249,-337,-276,-1096,-487
2.08865,419,-145,856,249,-337,-276,-1097,-486
2.08915,419,-145,855,248,-338,-276,-1096,-486
2.0896502,419,-145,855,249,-337,-276,-1097,-486
2.09015,418,-145,856,249,-338,-276,-1096,-487
2.09065,418,-144,855,249,-337,-276,-1097,-486
2.09115,418,-145,856,248,-337,-275,-1097,-486
2.09165,418,-145,855,249,-337,-274,-1097,-486
2.09215,419,-144,856,249,-337,-273,-1097,-486
2.0926502,419,-145,856,249,-337,-272,-1097,-485
2.0931501,419,-145,856,249,-336,-271,-1097,-485
2.09365,419,-145,856,249,-336,-272,-1097,-486
2.09415,419,-145,856,248,-337,-274,-1098,-488
2.09465,419,-145,856,249,-337,-277,-1098,-490
2.09515,418,-145,856,249,-336,-279,-1098,-490
2.09565,418,-144,856,249,-337,-278,-1098,-490
2.0961502,418,-144,856,248,-337,-278,-1097,-489
2.0966501,418,-144,856,249,-336,-279,-1098,-490
2.09715,418,-144,856,248,-337,-279,-1097,-490
2.09765,418,-144,856,249,-337,-279,-1097,-491
2.09815,418,-144,856,249,-337,-277,-1097,-490
2.09865,418,-144,856,249,-337,-277,-1097,-489
2.0991502,418,-145,855,249,-337,-276,-1097,-488
2.0996501,419,-145,856,249,-337,-276,-1097,-487
2.10015,419,-144,856,249,-337,-276,-1097,-487
2.10065,418,-145,855,249,-336,-275,-1097,-486
2.10115,419,-145,855,249,-337,-274,-1097,-485
2.10165,418,-144,855,249,-337,-273,-1097,-485
2.10225,418,-144,855,249,-337,-274,-1097,-484
2.10275,419,-145,856,249,-337,-274,-1097,-485
2.10325,419,-144,856,249,-337,-273,-1097,-485
2.10375,419,-145,855,249,-336,-273,-1097,-485
2.10425,419,-145,855,249,-337,-274,-1097,-485
2.1047502,419,-144,855,249,-337,-275,-1097,-485
2.1052501,419,-145,855,249,-337,-276,-1097,-487
2.10575,419,-145,855,249,-337,-278,-1097,-489
2.10625,419,-145,856,249,-337,-278,-1097,-490
2.10675,419,-145,855,249,-337,-276,-1097,-489
2.10725,419,-145,855,249,-337,-275,-1097,-488
2.1077502,419,-145,856,249,-337,-276,-1097,-488
2.1082501,419,-145,856,249,-337,-276,-1097,-488
2.10875,419,-145,856,249,-337,-276,-1097,-488
2.10925,419,-145,856,249,-337,-276,-1097,-487
2.10975,419,-145,856,249,-337,-277,-1097,-487
2.11025,419,-145,856,249,-337,-277,-1097,-487
2.11075,418,-145,855,249,-337,-277,-1097,-487
