elapsed_s,i,j,k,real
30.13945,-0.13214412,-0.20010297,-0.6105984,-0.75475985
30.14895,-0.12798895,-0.19653313,-0.61033106,-0.75661266
30.15935,-0.122413695,-0.19103049,-0.6112238,-0.75825703
30.16945,-0.115685955,-0.18387829,-0.61376566,-0.75905544
30.179451,-0.10836839,-0.17586826,-0.6169038,-0.75948966
30.18915,-0.10201936,-0.16856074,-0.6198304,-0.75962716
30.19955,-0.096061274,-0.1624744,-0.62384397,-0.75842386
30.20945,-0.089953616,-0.15580077,-0.62993854,-0.7555533
30.21935,-0.082621396,-0.14797269,-0.6380431,-0.75112283
30.22935,-0.073133044,-0.13918984,-0.6452483,-0.7476771
30.239151,-0.06316367,-0.13003786,-0.6490364,-0.7468723
30.24925,-0.053993374,-0.12053469,-0.65029424,-0.74811643
30.25935,-0.045523398,-0.1114248,-0.65017164,-0.75018483
30.26945,-0.037171733,-0.10290681,-0.6494466,-0.75252455
30.27955,-0.02822002,-0.094930366,-0.65096194,-0.7526031
30.28945,-0.01802709,-0.08749394,-0.65493464,-0.7504167
30.299551,-0.007544374,-0.080052726,-0.6598334,-0.7471276
30.30945,0.0007531233,-0.07325293,-0.664816,-0.7434164
30.31895,0.007917084,-0.06719441,-0.6697504,-0.7395325
30.32925,0.015453352,-0.061116308,-0.6739876,-0.73607665
30.33965,0.022472963,-0.05544571,-0.6766361,-0.73386884
30.34925,0.028528053,-0.05030062,-0.6781222,-0.7326763
30.35945,0.034183536,-0.04532887,-0.6784898,-0.7324015
30.36935,0.039451472,-0.04055001,-0.6776221,-0.73329794
30.37955,0.044311617,-0.036002025,-0.6759457,-0.7347654
30.38955,0.04857792,-0.031896487,-0.6742081,-0.73628694
30.39965,0.05226877,-0.02832225,-0.6727278,-0.73756003
30.40945,0.05532425,-0.025472809,-0.67198205,-0.73805684
30.41945,0.057906713,-0.023164231,-0.67231184,-0.737661
30.42935,0.059929423,-0.021226453,-0.67317367,-0.7368164
30.43905,0.061600048,-0.019607207,-0.67424834,-0.73566467
30.44955,0.06309865,-0.017949289,-0.67563874,-0.7343311
30.45945,0.06411387,-0.016467774,-0.67669594,-0.73330927
30.46955,0.0648525,-0.014989678,-0.6767851,-0.7332234
30.47895,0.06533465,-0.013661131,-0.67616814,-0.73373973
30.48935,0.06593482,-0.01200243,-0.6748855,-0.734882
30.49945,0.06648041,-0.010153763,-0.6731868,-0.7364384
30.50945,0.06702724,-0.008100215,-0.6708748,-0.738508
30.51925,0.067592025,-0.0060588727,-0.6683416,-0.7407683
30.52925,0.06839314,-0.0036894204,-0.66549,-0.7432641
30.53935,0.06941901,-0.0011203624,-0.66276085,-0.74565905
30.54945,0.070688896,0.0016943514,-0.66031516,-0.74769163
30.55925,0.07213908,0.0047522057,-0.65820444,-0.74938834
30.56955,0.07386227,0.008146027,-0.6563949,-0.7507658
30.57945,0.07576644,0.011590885,-0.6550212,-0.75173604
30.58945,0.07783812,0.015233612,-0.65380055,-0.7525486
30.59945,0.08003491,0.01913052,-0.6524328,-0.7534101
30.60945,0.08229226,0.023285754,-0.6508862,-0.7543682
30.61955,0.08461575,0.027750641,-0.6492799,-0.75534886
30.62945,0.08691749,0.032304786,-0.647701,-0.7562325
30.63945,0.08937155,0.037075143,-0.6460669,-0.7571884
30.64945,0.0919525,0.041857034,-0.6442462,-0.75811213
30.65935,0.0947344,0.04687605,-0.64211005,-0.75931144
30.66945,0.097730875,0.052312516,-0.63968277,-0.760649
30.679451,0.100989655,0.05830928,-0.6370596,-0.7619271
30.68935,0.10454918,0.06481556,-0.6341327,-0.76344347
30.69935,0.108369604,0.07189546,-0.63084275,-0.76494247
30.70935,0.11259419,0.079828255,-0.6271291,-0.7666314
30.71905,0.11690894,0.088392705,-0.6227721,-0.7685838
30.72925,0.121770516,0.09820014,-0.61729884,-0.7710486
30.73955,0.12690713,0.10864595,-0.6110482,-0.77378035
30.74945,0.13209254,0.11969657,-0.6044768,-0.7764678
30.75945,0.13757713,0.13170755,-0.59654415,-0.7796627
30.76975,0.14273018,0.1445996,-0.5865351,-0.7840749
30.77955,0.1476351,0.1580177,-0.5753566,-0.7888104
30.78965,0.15339682,0.17206232,-0.5648321,-0.79242766
30.79915,0.16119738,0.18500467,-0.5581678,-0.79263765
30.80915,0.1710986,0.19752596,-0.5537906,-0.7906052
30.81935,0.183274,0.20917065,-0.5523493,-0.78586453
30.82935,0.19639352,0.21964997,-0.55288506,-0.7794422
30.83945,0.21006536,0.229406,-0.5545877,-0.7718715
30.84905,0.22195539,0.2386092,-0.5552746,-0.7651697
30.85955,0.23309186,0.24946827,-0.5538342,-0.759403
30.86955,0.24178293,0.25950646,-0.5507846,-0.7555819
30.87935,0.24696514,0.26766714,-0.5459088,-0.7545608
30.88905,0.24858281,0.27196985,-0.5432625,-0.75445163
30.89925,0.24864048,0.27182984,-0.5452976,-0.75300586
30.90925,0.24778974,0.26918128,-0.55059445,-0.7503801
30.91955,0.24523261,0.26476717,-0.5566625,-0.74830395
30.92935,0.24072725,0.25750872,-0.563323,-0.74728537
30.93955,0.23480716,0.24766771,-0.5727724,-0.7453437
30.94935,0.22684827,0.23424956,-0.58534753,-0.7423366
30.95935,0.21660513,0.21775381,-0.6002129,-0.73850334
30.96945,0.20390245,0.19927235,-0.6156451,-0.7346296
30.97955,0.18852192,0.17926669,-0.63090044,-0.730978
30.98935,0.17060907,0.15820462,-0.64507174,-0.7278814
30.99915,0.15097179,0.13705665,-0.65729743,-0.72553873
31.00935,0.12862867,0.11423874,-0.6681175,-0.72390234
31.01955,0.10472515,0.09042531,-0.67684036,-0.7230637
31.02935,0.07997612,0.06565467,-0.6831721,-0.7229304
31.03915,0.055496313,0.04027845,-0.687026,-0.7234365
31.04935,0.029872483,0.011822835,-0.68865925,-0.7243858
31.05955,0.0052132173,-0.018385064,-0.68814325,-0.7253573
31.06965,-0.018171685,-0.049860038,-0.6861576,-0.72553927
31.07905,-0.039859906,-0.08068756,-0.68280077,-0.72508943
31.08935,-0.06323205,-0.11334783,-0.6769968,-0.7244821
31.09955,-0.08549926,-0.14320518,-0.66984344,-0.7235208
31.10965,-0.105515234,-0.16912976,-0.6633699,-0.7212592
31.11915,-0.12174587,-0.19002461,-0.65920913,-0.7173275
31.12935,-0.13531083,-0.20818661,-0.6565234,-0.71227574
31.13945,-0.14384282,-0.220894,-0.6553702,-0.70786077
31.14945,-0.14718914,-0.22807236,-0.6577604,-0.7026523
31.15945,-0.14629884,-0.22956918,-0.6617762,-0.69853157
31.16935,-0.14239137,-0.22759251,-0.66621816,-0.6958201
31.17905,-0.13567002,-0.22310133,-0.6693953,-0.69554406
31.18935,-0.12535492,-0.21658203,-0.67073417,-0.6982626
31.19965,-0.113211766,-0.2086147,-0.6716065,-0.70192415
31.20935,-0.10231346,-0.19974995,-0.66617906,-0.7112744
31.21915,-0.093309924,-0.19084445,-0.6573988,-0.7230145
31.22935,-0.086898305,-0.1780294,-0.6565321,-0.7278154
