elapsed_s,i,j,k,real
2.0294,-0.055459127,-0.06264096,0.6429843,0.7613137
2.0394,-0.055348966,-0.062950365,0.64316887,0.76115346
2.0494,-0.055188704,-0.063181885,0.64339554,0.76092565
2.0595,-0.054989014,-0.06328029,0.64367765,0.7606945
2.0693002,-0.054838933,-0.06329846,0.64393926,0.7605064
2.0794,-0.054680515,-0.06321967,0.6441626,0.76030225
2.0894,-0.054496855,-0.063023075,0.64422977,0.7602656
2.0993001,-0.05429882,-0.06273228,0.6443311,0.7602593
2.1095002,-0.05414246,-0.062422432,0.64435244,0.76030445
2.1192,-0.05393038,-0.06194381,0.64433104,0.7603384
2.1294,-0.053562418,-0.06131348,0.6443094,0.7604421
2.1394,-0.053116485,-0.060481433,0.6442199,0.76057327
2.1493,-0.052539635,-0.05953662,0.64410895,0.76080775
2.1592002,-0.051957197,-0.05850092,0.64391345,0.76109874
2.1694,-0.051163606,-0.057302885,0.6436535,0.7614726
2.1792002,-0.0502925,-0.056061246,0.643304,0.7618985
2.1890001,-0.049312793,-0.054739833,0.6429585,0.76238906
2.1994002,-0.048183218,-0.053264007,0.6425403,0.76290286
2.2093,-0.04693444,-0.051763587,0.6421126,0.76341707
2.2193,-0.04567129,-0.05016905,0.64171934,0.76396173
2.2293,-0.044238858,-0.048471995,0.64135885,0.7644394
2.2394001,-0.042742435,-0.046761066,0.641053,0.7649043
2.2493,-0.04119595,-0.044972226,0.6407894,0.7653018
2.2589002,-0.03958326,-0.04332169,0.6406053,0.7656384
2.2692,-0.03782859,-0.041455433,0.6404081,0.76598984
2.2792,-0.036081962,-0.039606877,0.640448,0.76613164
2.2893,-0.034362845,-0.037724018,0.6406195,0.7661539
2.2992,-0.03260495,-0.035945088,0.6410022,0.76599586
2.3093002,-0.030838028,-0.034083646,0.6417028,0.765586
2.3194,-0.029118137,-0.032214895,0.6426066,0.7649452
2.3289,-0.027464278,-0.030380435,0.64376533,0.7641541
2.3392,-0.025745887,-0.028373577,0.6453768,0.7628987
2.3493001,-0.023971602,-0.026370473,0.6472803,0.7614207
2.3592,-0.022316262,-0.024312705,0.649392,0.75971633
2.3692,-0.020612922,-0.022197451,0.65185535,0.75778127
2.3793,-0.01890138,-0.020064194,0.65445805,0.7556287
2.3893,-0.01712328,-0.01798994,0.6573393,0.7531897
2.3989,-0.0154366605,-0.015895309,0.6602973,0.75064373
2.4092002,-0.013657166,-0.013598077,0.6637552,0.74771875
2.4193,-0.011905956,-0.01133102,0.667166,0.74470854
2.4292002,-0.010221949,-0.009242024,0.6704539,0.741808
2.4391,-0.008646809,-0.007312089,0.6735389,0.73906857
2.4492002,-0.0071252496,-0.0055305646,0.6763568,0.7365036
