elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
45.43225,282,-2,373,301,-575,-157,-931,-427
45.43275,282,-2,373,301,-576,-157,-931,-428
45.43325,282,-2,373,301,-576,-157,-931,-427
45.43375,282,-2,373,301,-576,-157,-931,-428
45.43425,282,-2,373,302,-576,-158,-931,-428
45.43475,282,-2,373,302,-576,-158,-931,-428
45.43525,282,-2,373,302,-576,-158,-931,-429
45.43575,282,-2,374,302,-576,-158,-931,-428
45.43625,282,-2,373,302,-576,-158,-931,-428
45.43675,282,-2,373,302,-576,-158,-931,-428
45.43725,282,-2,373,303,-576,-157,-931,-427
45.43775,282,-2,373,303,-576,-157,-931,-427
45.43825,282,-2,373,303,-576,-157,-930,-427
45.43875,282,-2,373,303,-576,-157,-930,-426
45.43925,282,-2,374,303,-577,-157,-931,-427
45.43975,282,-2,373,303,-577,-158,-931,-428
45.44025,283,-2,373,303,-577,-159,-931,-429
45.44075,283,-2,373,303,-577,-159,-931,-430
45.44125,282,-2,373,303,-576,-160,-931,-430
45.44175,282,-2,373,304,-577,-160,-931,-430
45.44225,282,-2,373,304,-577,-160,-931,-430
45.44275,282,-2,373,304,-577,-160,-931,-429
45.44325,282,-2,373,304,-577,-160,-931,-429
45.44375,282,-2,373,304,-577,-160,-931,-430
45.44425,282,-2,373,304,-577,-159,-931,-429
45.44475,282,-3,373,305,-577,-160,-931,-429
45.44525,282,-2,373,305,-577,-159,-931,-429
45.44575,282,-2,373,305,-577,-160,-931,-429
45.44625,282,-2,372,305,-577,-160,-931,-429
45.44675,282,-2,373,305,-577,-160,-931,-429
45.44725,282,-2,373,306,-577,-159,-931,-428
45.44775,282,-2,372,306,-577,-159,-930,-428
45.44825,283,-2,372,306,-577,-159,-930,-428
45.44875,282,-2,372,306,-577,-159,-930,-427
45.44925,282,-2,372,306,-577,-159,-931,-427
45.44975,282,-2,372,306,-577,-159,-931,-427
45.45025,282,-2,372,306,-577,-159,-931,-428
45.45075,282,-2,372,307,-577,-159,-931,-428
45.45125,282,-2,372,307,-577,-159,-931,-429
45.45175,282,-3,371,307,-577,-160,-931,-429
45.45225,282,-1,372,307,-577,-160,-931,-429
45.45275,282,-2,372,307,-577,-161,-930,-430
45.45325,282,-2,372,307,-577,-161,-931,-431
45.45375,282,-2,372,307,-577,-161,-931,-431
45.45425,283,-2,372,307,-577,-160,-930,-430
45.45475,282,-2,372,307,-578,-160,-931,-430
45.45525,282,-2,372,308,-578,-159,-930,-429
45.45575,282,-3,372,308,-577,-160,-931,-429
45.45625,282,-2,372,308,-576,-160,-931,-429
45.45675,282,-2,373,308,-577,-160,-931,-429
45.45725,282,-2,374,308,-577,-160,-931,-429
45.45775,282,-2,374,308,-577,-160,-930,-430
45.458252,282,-2,374,309,-577,-160,-931,-430
45.45875,282,-2,374,309,-577,-160,-931,-430
45.45925,282,-2,373,309,-577,-160,-931,-431
45.45985,282,-2,373,309,-577,-161,-931,-431
