elapsed_s,i,j,k,real
0.13635005,-0.003230705,0.017275851,-0.012736529,0.99979264
0.14605005,-0.0032045837,0.017288521,-0.012968808,0.99975955
0.15625006,-0.003176025,0.017237378,-0.013227642,0.99977815
0.16655006,-0.0031781532,0.017153103,-0.013525635,0.9998093
0.17645006,-0.0031827507,0.01713264,-0.013797015,0.99978876
0.18585005,-0.0031276406,0.017050147,-0.014064342,0.999763
0.19625005,-0.003161137,0.016939348,-0.01431793,0.9997858
0.20625006,-0.0031060432,0.016856829,-0.014585257,0.9997601
0.21645005,-0.0031081876,0.01677258,-0.01488325,0.9997912
0.22595006,-0.0031440957,0.016725576,-0.015110284,0.9997622
0.23635006,-0.0031510228,0.016583396,-0.015372336,0.99974054
0.24625005,-0.0031224978,0.016532257,-0.01563117,0.99975914
0.25645006,-0.003098757,0.016423242,-0.01585415,0.9997249
0.26615006,-0.003037768,0.016348023,-0.01601699,0.9997617
0.27635005,-0.0030718963,0.0162438,-0.016187176,0.9997634
0.28645006,-0.003075364,0.016172733,-0.016318187,0.9997526
0.29635006,-0.0030456847,0.01607097,-0.016436696,0.99978083
0.30635005,-0.0030498514,0.016006486,-0.01648426,0.999749
0.31635004,-0.003020205,0.015904728,-0.016602784,0.9997773
0.32645005,-0.0030243397,0.015840242,-0.016650349,0.9997455
0.33635005,-0.003027808,0.015769172,-0.016781405,0.99973464
0.34635004,-0.0029667849,0.015693948,-0.01694426,0.9997714
0.35655007,-0.0029123821,0.01561803,-0.017128095,0.9997246
0.36645004,-0.0029134385,0.015483163,-0.01728575,0.99976546
0.37635005,-0.0028855386,0.015438617,-0.017461166,0.9997631
0.38635007,-0.002857646,0.015394059,-0.017636523,0.9997608
0.39635006,-0.0027701303,0.015287504,-0.017807826,0.9997531
0.40625006,-0.0027429212,0.015249556,-0.017899767,0.9997298
0.41635007,-0.0026818994,0.015174333,-0.018062651,0.9997665
0.42625004,-0.0026853494,0.015103235,-0.018193647,0.9997557
0.43635005,-0.0025689187,0.01508699,-0.018382758,0.9997049
0.44625005,-0.0025386077,0.014978646,-0.018584758,0.99975413
0.45635006,-0.0025420578,0.014907549,-0.018715754,0.99974334
0.46645007,-0.0025141912,0.014863007,-0.018891111,0.99974096
0.47655004,-0.002458011,0.0147299245,-0.019018129,0.99972486
0.48625004,-0.0024880057,0.0146901915,-0.01914072,0.9997584
0.49635005,-0.002492164,0.014625721,-0.01918827,0.9997266
0.50635004,-0.002526991,0.014528086,-0.01927498,0.9997073
0.51575005,-0.002557668,0.014494965,-0.019314066,0.99971974
0.52625006,-0.0025286805,0.014399801,-0.019349113,0.999727
0.5363501,-0.0025593583,0.014366679,-0.019388258,0.9997396
0.54635006,-0.0025900344,0.014333556,-0.019427344,0.9997521
0.55595005,-0.0026255192,0.01424252,-0.019430548,0.99971175
0.56625,-0.0026868747,0.014176274,-0.019508794,0.9997369
0.57635003,-0.0027489278,0.014116617,-0.019503579,0.99974096
0.5863501,-0.0027530543,0.014052143,-0.019551143,0.9997091
0.5960501,-0.0028144093,0.013985899,-0.01962936,0.99973416
0.60625005,-0.00287578,0.013919629,-0.01970762,0.99975926
0.61635005,-0.0029437377,0.013852715,-0.019806802,0.9997008
0.62625,-0.0030051088,0.013786444,-0.019885048,0.99972594
0.63615006,-0.0030398953,0.0136888195,-0.019971728,0.9997066
0.64645004,-0.0030699153,0.013649102,-0.020094305,0.9997401
0.6563501,-0.0031047259,0.013551492,-0.02018097,0.9997208
0.6664501,-0.0031082025,0.013480411,-0.020311981,0.99970996
0.67635006,-0.0031381964,0.013440678,-0.020434618,0.99974346
0.68625003,-0.003110322,0.013396148,-0.020609975,0.99974114
0.69635004,-0.0030552535,0.013313645,-0.020877302,0.9997154
0.7062501,-0.003059818,0.013293181,-0.021148667,0.99969494
0.71645004,-0.0029733735,0.013237212,-0.021460384,0.9996777
0.72645,-0.002912797,0.013205986,-0.02184704,0.9997257
0.73635006,-0.0028587843,0.013174097,-0.022254646,0.9996903
0.74645007,-0.002745164,0.013080185,-0.022658259,0.99964964
0.7562501,-0.0026887304,0.012984514,-0.023092493,0.99966586
0.7662501,-0.002665436,0.012919493,-0.023539305,0.9996432
