elapsed_s,i,j,k,real
65.77165,-0.008668848,-0.09948131,0.59068847,0.8007367
65.78155,-0.010825578,-0.10196955,0.5915558,0.7997069
65.79165,-0.01285588,-0.10421165,0.5920307,0.7990826
65.80165,-0.014735326,-0.10617372,0.59185946,0.7988932
65.81155,-0.016776424,-0.10824265,0.5913625,0.7989357
65.82155,-0.018950483,-0.110304825,0.59077823,0.7990872
65.83165,-0.021301512,-0.11235986,0.59057283,0.79884773
65.84165,-0.02380234,-0.114270814,0.59083724,0.79831463
65.85165,-0.026514981,-0.116182655,0.5915437,0.79746723
65.86125,-0.029240506,-0.11802458,0.5925072,0.79636157
65.87155,-0.032432728,-0.1199416,0.5936642,0.7951197
65.88155,-0.035680056,-0.12182359,0.5947999,0.79382557
65.89165,-0.03896238,-0.12376067,0.59588325,0.7925527
65.90155,-0.04240796,-0.12577525,0.5969393,0.79126877
65.91155,-0.04594034,-0.12781565,0.5978863,0.79003215
65.92175,-0.049517423,-0.12984698,0.5990027,0.7886373
65.93125,-0.052943334,-0.13174549,0.60025424,0.7871167
65.94175,-0.05674509,-0.13370773,0.6020697,0.7851491
65.95185,-0.060574964,-0.13549212,0.6044008,0.78276366
65.96135,-0.06432625,-0.13696249,0.60710603,0.78013897
65.97175,-0.06859784,-0.1384434,0.61069244,0.7766981
65.98185,-0.073130235,-0.13969545,0.6148553,0.7727375
65.99195,-0.07818128,-0.14098737,0.6196011,0.76820374
66.00175,-0.08385463,-0.1422606,0.62481606,0.76314914
66.01195,-0.090929285,-0.14388566,0.6304145,0.7573978
66.02185,-0.09920284,-0.14580326,0.6357297,0.75154734
66.03175,-0.1089021,-0.14850703,0.64054775,0.7455221
66.04185,-0.11975913,-0.15199864,0.6444143,0.7398656
66.05195,-0.13204336,-0.15660042,0.6470633,0.7343982
66.06145,-0.14464006,-0.16198948,0.6488984,0.7292791
66.07175,-0.15908632,-0.16855526,0.6508784,0.722982
66.08195,-0.17452744,-0.17536888,0.6536916,0.715232
66.09185,-0.19030991,-0.18193476,0.6570782,0.70634836
66.10185,-0.206795,-0.189214,0.6596089,0.69743574
66.11235,-0.22382775,-0.19862568,0.6598122,0.68933535
66.12195,-0.23998371,-0.2089213,0.6580106,0.6824615
66.13195,-0.2560722,-0.22025536,0.6546352,0.676319
66.14195,-0.2708797,-0.23169531,0.649844,0.67132866
66.15205,-0.28384393,-0.24254201,0.6445099,0.6672948
66.16165,-0.29477668,-0.25205094,0.63928765,0.6640364
66.17185,-0.30568293,-0.26235032,0.6332641,0.660833
66.18165,-0.31484443,-0.27212727,0.62759346,0.65799165
66.19185,-0.32265085,-0.28042722,0.62301016,0.6551222
66.20205,-0.32914177,-0.2859332,0.6218835,0.6505417
66.21195,-0.33395487,-0.28597033,0.6270806,0.64306396
66.22195,-0.33661836,-0.28412667,0.63353884,0.6360602
66.23205,-0.335314,-0.28265575,0.6388522,0.6321468
66.24205,-0.33122656,-0.2826413,0.64029324,0.6328181
66.25165,-0.32527584,-0.28187355,0.6418872,0.6346754
66.26205,-0.31655324,-0.279936,0.64395815,0.63776267
66.27215,-0.30623582,-0.2767899,0.64675874,0.6413905
66.28215,-0.29325694,-0.27196229,0.6492235,0.64696807
66.29225,-0.2767864,-0.26455227,0.65274054,0.6537279
66.30175,-0.25932345,-0.25531578,0.65690947,0.66039866
66.31215,-0.23850098,-0.24300985,0.6620439,0.6676837
66.32225,-0.21657036,-0.22894105,0.6675668,0.6746089
66.33215,-0.19284296,-0.2128061,0.67337495,0.68126345
66.34185,-0.16836677,-0.19555105,0.6787747,0.6875469
66.35205,-0.1410836,-0.17584242,0.68362224,0.6941654
66.36235,-0.11230831,-0.15464516,0.6870829,0.7010595
66.37235,-0.08290568,-0.13222592,0.6887742,0.7079778
66.38185,-0.054138068,-0.10963806,0.6884845,0.7148482
66.39205,-0.022345146,-0.08363187,0.68534774,0.7231218
66.40235,0.009019641,-0.055992506,0.6800357,0.7309781
66.41245,0.038258694,-0.027820053,0.6742255,0.7370746
66.42245,0.06501066,0.00016579498,0.6659373,0.74318767
66.43195,0.088486195,0.026035618,0.65412635,0.75078034
66.44205,0.11128995,0.05149759,0.6390384,0.75936216
66.45235,0.1326336,0.07489329,0.6248146,0.7658224
66.46235,0.15163967,0.093834154,0.61544347,0.7677867
66.47255,0.16778544,0.10759661,0.610127,0.7668586
66.48185,0.17812078,0.112301156,0.6132377,0.76133674
66.49235,0.18298481,0.1108753,0.6223199,0.7529719
66.50185,0.18380404,0.10519238,0.63298947,0.744659
66.51225,0.1811278,0.09565959,0.6440807,0.73706603
66.52265,0.17530231,0.0834199,0.6537697,0.73133886
66.53255,0.16694129,0.06812121,0.6634373,0.7262444
66.54255,0.16015652,0.050843682,0.6784095,0.7152137
66.55245,0.16009095,0.042269036,0.6934157,0.7012756
66.56265,0.15750255,0.04297676,0.6850508,0.70995986
66.57225,0.1501047,0.04004751,0.67824996,0.7182878
66.58215,0.1405942,0.03301262,0.6730481,0.725369
66.59235,0.12962687,0.02380813,0.6634432,0.7365397
66.60255,0.11793789,0.013052657,0.6502418,0.7504689
66.61275,0.10405862,0.00015162583,0.63506377,0.7654357
66.62265,0.091132335,-0.011425667,0.62227833,0.7774547
66.63255,0.0813096,-0.022060044,0.61486185,0.7841427
66.64255,0.074823916,-0.031063424,0.61475736,0.78456485
66.65265,0.07014629,-0.03801179,0.6187842,0.781559
66.66215,0.0656461,-0.044383943,0.62236655,0.77871966
66.67235,0.060361646,-0.050567362,0.62319165,0.7781018
66.68285,0.055055533,-0.0559981,0.6236532,0.77780294
66.69265,0.0501911,-0.05990322,0.6239077,0.7776457
66.70275,0.046307705,-0.06302797,0.6237699,0.7777076
66.71275,0.043863107,-0.06574546,0.6221379,0.7789171
66.72265,0.042109024,-0.06849523,0.61920106,0.7811214
66.73275,0.040310856,-0.07179542,0.6151881,0.7840843
66.74285,0.03870635,-0.075234145,0.61068547,0.78737783
66.75235,0.036832996,-0.0783562,0.60724384,0.78980726
66.76285,0.033915672,-0.08153202,0.6067617,0.7899548
66.77275,0.030760136,-0.08434821,0.609185,0.78798246
66.78285,0.02720324,-0.08723556,0.61346775,0.78448623
66.79285,0.023458438,-0.09027558,0.61830765,0.7804309
66.80285,0.019195275,-0.09355569,0.62395006,0.7756495
66.81285,0.015177146,-0.09666202,0.62771225,0.7723491
66.82235,0.011403152,-0.099685915,0.6286202,0.7712234
66.83275,0.0074278656,-0.10290151,0.6280301,0.7713633
