elapsed_s,i,j,k,real
83.2422,-0.040506683,-0.01565986,-0.0041434392,0.99905413
83.2524,-0.040676847,-0.015917428,-0.004177153,0.9990747
83.2622,-0.04085828,-0.016134456,-0.004252292,0.9990801
83.2723,-0.04097103,-0.01646518,-0.0042662695,0.99905443
83.2823,-0.041100565,-0.016711485,-0.00428468,0.9990336
83.2925,-0.041297723,-0.01705905,-0.0042938143,0.9990124
83.3019,-0.041427303,-0.017305372,-0.0043122545,0.99899143
83.3122,-0.041490607,-0.017674368,-0.0043833107,0.9989828
83.3224,-0.04157079,-0.017958952,-0.004458852,0.9989787
83.3323,-0.041634157,-0.01832792,-0.004529901,0.99897
83.3423,-0.041703064,-0.018653078,-0.00456398,0.9989813
83.3524,-0.04176641,-0.019022083,-0.0046350732,0.9989725
83.3623,-0.041835316,-0.019347243,-0.004669152,0.9989838
83.372,-0.04186363,-0.01966111,-0.0046879277,0.99895364
83.3824,-0.041834403,-0.020001048,-0.00457152,0.9989328
83.3926,-0.04179947,-0.0203377,-0.0043766573,0.9989472
83.4026,-0.04167769,-0.020648586,-0.0040727854,0.9989142
83.4126,-0.04152768,-0.021037348,-0.0036075413,0.99894714
83.4226,-0.041345738,-0.021318184,-0.002939187,0.99893564
83.4325,-0.041100703,-0.02166892,-0.0021726042,0.99891335
83.4424,-0.040811647,-0.021966977,-0.001310721,0.9989837
83.4525,-0.040525932,-0.022259323,-0.00041342527,0.99897534
83.4626,-0.040240157,-0.022551714,0.0004838705,0.9989672
83.4726,-0.039853152,-0.022911627,0.0013807863,0.9989496
83.4826,-0.03956984,-0.023212962,0.0021642894,0.9989844
83.4926,-0.039229102,-0.023587411,0.0029674396,0.998973
83.5028,-0.03895151,-0.023892015,0.0036724806,0.9989725
83.5125,-0.03868762,-0.024164991,0.0042221397,0.99899966
83.5225,-0.03841262,-0.02452563,0.0046978816,0.9989866
83.5326,-0.03811631,-0.024799543,0.0050705373,0.99898
83.5426,-0.037912577,-0.025102574,0.0052557513,0.9989856
83.5523,-0.03767384,-0.025350455,0.0054932013,0.9989698
83.5628,-0.0374701,-0.025653442,0.0056784377,0.99897534
83.5728,-0.037204474,-0.02585846,0.0057758912,0.9989459
83.5827,-0.03698502,-0.02603092,0.0058950484,0.998978
83.5927,-0.036759987,-0.026247198,0.0059772283,0.99898994
83.6028,-0.036540523,-0.026419643,0.006096408,0.999022
83.6126,-0.036280505,-0.026580837,0.006230831,0.99901265
83.6224,-0.036020443,-0.026742011,0.006365344,0.9990034
83.6326,-0.03575228,-0.026890954,0.0066920817,0.99898636
83.6427,-0.035524648,-0.027051201,0.0070035607,0.9990108
83.6527,-0.03526201,-0.027156323,0.0073673204,0.99901384
83.6629,-0.034947537,-0.027290743,0.007787816,0.9989908
83.673,-0.034690466,-0.027352031,0.008188561,0.99901396
