elapsed_s,i,j,k,real
55.31975,0.029424254,-0.0816355,0.5862241,0.8054944
55.32945,0.028198645,-0.08309406,0.5847186,0.80647916
55.33965,0.026447328,-0.08504977,0.5837648,0.8069998
55.34995,0.024891468,-0.08644525,0.58466524,0.8062378
55.35985,0.023152549,-0.088011414,0.58667135,0.8046921
55.36985,0.020897314,-0.08985504,0.5893023,0.8026357
55.37985,0.018509392,-0.091686726,0.59241474,0.8001652
55.38995,0.01596025,-0.09372047,0.5950541,0.7980452
55.39945,0.013210509,-0.09601539,0.5963026,0.7968661
55.40955,0.010203661,-0.09850521,0.5967244,0.7962961
55.41985,0.0066712312,-0.10129744,0.59702575,0.7957638
55.43005,0.002916908,-0.10416146,0.5975479,0.79503554
55.43995,-0.0011369847,-0.10693204,0.5989374,0.793651
55.45015,-0.0055049583,-0.109672464,0.60115564,0.791568
55.45995,-0.0101387035,-0.11220994,0.60406005,0.7889072
55.46975,-0.014985507,-0.11461498,0.60765433,0.78575313
55.48005,-0.020566164,-0.117064245,0.6119882,0.7818844
55.48995,-0.026589911,-0.11964152,0.6163684,0.77787507
55.50015,-0.033405088,-0.12253224,0.62067133,0.7737054
55.50995,-0.041124765,-0.12603156,0.6247388,0.76947165
55.52005,-0.050057307,-0.13032165,0.6287552,0.7649416
55.53025,-0.06001862,-0.13496771,0.63278145,0.76013964
55.54015,-0.07096565,-0.1405288,0.63655365,0.7549814
55.54965,-0.08229053,-0.14703968,0.63990724,0.74972713
55.56005,-0.09496178,-0.15468514,0.64367795,0.74342227
55.57035,-0.10797121,-0.16251516,0.64772785,0.7364568
55.58035,-0.121291265,-0.17043716,0.6522731,0.72857195
55.590252,-0.13488561,-0.1782971,0.6575701,0.71946466
55.60025,-0.14875218,-0.18666801,0.66247064,0.70998716
55.61025,-0.16270068,-0.19610545,0.6653377,0.7017038
55.62025,-0.1767223,-0.20717031,0.66559803,0.6948293
55.62995,-0.18953848,-0.21900204,0.66364574,0.6896613
55.640152,-0.20246659,-0.23227163,0.6597314,0.6854817
55.649952,-0.21422254,-0.24381262,0.65567386,0.6817095
55.66005,-0.22534455,-0.25413588,0.6514516,0.67843205
55.67035,-0.23496205,-0.26552948,0.6452171,0.6767648
55.68035,-0.24316277,-0.27817455,0.63777775,0.67582506
55.69045,-0.2498334,-0.28997973,0.630918,0.6748681
55.70055,-0.25557873,-0.30022797,0.62545854,0.673245
