elapsed_s,i,j,k,real
2.09765,0.0067362413,0.00828328,0.71876085,0.695135
2.10785,0.0069082286,0.008187909,0.7187687,0.6952122
2.11785,0.0070518176,0.008124132,0.71873254,0.69520324
2.12785,0.0071938005,0.008065993,0.7187823,0.69519603
2.13785,0.0073373895,0.008002216,0.71874607,0.69518715
2.1479502,0.007503748,0.007905225,0.7187558,0.69517815
2.1579502,0.007606867,0.007822731,0.7188074,0.6951308
2.1679502,0.0076872306,0.0077734254,0.71881306,0.6950833
2.1779501,0.007862403,0.0077380985,0.71886307,0.6950302
2.1879501,0.007956678,0.0075939912,0.7188743,0.695027
2.19805,0.008106958,0.007439406,0.71893144,0.6949779
2.20825,0.008273317,0.007342415,0.71894115,0.694969
2.21795,0.008320461,0.0072703483,0.7189467,0.6949674
2.2280502,0.008423597,0.007187829,0.7189984,0.69492006
2.2381501,0.008589938,0.007090864,0.719008,0.6949111
2.2480502,0.008621005,0.0069612027,0.7190612,0.69486934
2.25795,0.008732969,0.006940323,0.71915305,0.6947778
2.26815,0.008790005,0.0068374677,0.7192942,0.6946058
2.2778502,0.008878657,0.006763012,0.71952164,0.69438976
2.2880502,0.008944523,0.006721796,0.71970314,0.69417375
2.29815,0.00899431,0.0066229855,0.71993226,0.6939175
2.30815,0.009105715,0.006515342,0.7202055,0.6937015
2.3182502,0.009179892,0.006377653,0.7203943,0.69344354
2.3282502,0.009275777,0.0062991786,0.7205338,0.69331175
2.3382502,0.009331752,0.006288751,0.7205796,0.69326603
2.3479502,0.009404866,0.00624349,0.7206733,0.69313425
2.35815,0.009492455,0.0062614633,0.7208054,0.6930444
2.36835,0.009588342,0.006182989,0.72094494,0.6929127
2.37835,0.0096703,0.006199342,0.7210788,0.6927367
2.38825,0.009711817,0.006196995,0.72130054,0.6925222
2.39825,0.009825407,0.0062417225,0.72152066,0.6923022
2.4083502,0.009947263,0.0061900537,0.7217481,0.6920403
2.41805,0.010027602,0.0062120715,0.7219681,0.69186616
2.4283502,0.010172785,0.0062139523,0.7220601,0.6917288
2.4383502,0.010260374,0.0062319255,0.72219217,0.6916389
2.44825,0.010372354,0.00621102,0.7222841,0.69154733
2.45825,0.010461548,0.006223354,0.72233015,0.6914557
2.4683502,0.010573512,0.006202474,0.72242206,0.69136417
2.4783502,0.010671001,0.00611836,0.72247535,0.6912306
2.48825,0.01074976,0.0060746935,0.7225672,0.6911849
2.4985502,0.010796907,0.0060026273,0.72257286,0.69118327
