elapsed_s,i,j,k,real
55.3183,0.012920573,-0.03460969,0.62886345,0.7766168
55.3286,0.007551903,-0.042171292,0.632139,0.7736541
55.3383,0.0026327698,-0.04887423,0.6339177,0.77188504
55.3487,-0.0028133583,-0.054925084,0.6344667,0.7709842
55.3589,-0.0084507,-0.059898265,0.63405955,0.77094
55.3689,-0.013982512,-0.063914016,0.63288814,0.77146244
55.3789,-0.019312058,-0.067653894,0.6311929,0.77239853
55.3888,-0.0242044,-0.071621865,0.6291763,0.77358645
55.3989,-0.028557979,-0.07605159,0.6270652,0.7747351
55.409,-0.03263797,-0.08080585,0.62531024,0.77548075
55.4189,-0.036706366,-0.085670665,0.6243123,0.7755781
55.4289,-0.040971607,-0.090598404,0.62402236,0.7750441
55.4389,-0.045662582,-0.09543428,0.62430793,0.7739811
55.449,-0.050781034,-0.10041365,0.62503463,0.77242136
55.459,-0.056457773,-0.10559313,0.6262469,0.7703611
55.469,-0.06257805,-0.11102493,0.62756866,0.76804996
55.4786,-0.06877598,-0.116746485,0.62847805,0.7659433
55.4888,-0.07495734,-0.12313819,0.6286925,0.76413375
55.4991,-0.08065635,-0.12975267,0.62832737,0.7628088
55.509,-0.08553365,-0.13592651,0.628011,0.7614804
55.5191,-0.08955276,-0.14089519,0.6282936,0.7598222
55.5291,-0.092394754,-0.1440242,0.62981784,0.7576548
55.5392,-0.093474194,-0.14519179,0.6316788,0.7556982
55.549,-0.09288353,-0.14437991,0.63217556,0.7555241
55.5592,-0.0912296,-0.14191163,0.6325977,0.7558553
55.5691,-0.08924469,-0.1386084,0.6338396,0.75566864
55.5793,-0.08672455,-0.13421941,0.63520694,0.7556366
55.5888,-0.08422075,-0.12895757,0.6371781,0.75513774
55.5992,-0.08082454,-0.12116696,0.6401922,0.7542691
55.6091,-0.07720567,-0.11215903,0.64370847,0.7530707
55.6191,-0.07289688,-0.10150921,0.64755994,0.75165707
55.6288,-0.06808862,-0.08984876,0.65172404,0.75005424
55.6388,-0.0622591,-0.076204464,0.656824,0.7475981
55.6491,-0.055068806,-0.060894646,0.6625526,0.744513
55.6594,-0.04595998,-0.044246912,0.6680913,0.7413745
55.6697,-0.034765624,-0.027016625,0.6726707,0.7385937
55.6793,-0.02249135,-0.010818331,0.67599165,0.7364866
55.6895,-0.008504726,0.005484838,0.67854935,0.7344778
55.6993,0.0055703856,0.020501174,0.68040013,0.7324969
55.7095,0.019396499,0.03452366,0.681681,0.7305786
55.719,0.031440496,0.046565242,0.68225056,0.7289344
55.7293,0.04308243,0.058518015,0.6825235,0.72723335
55.7394,0.053994924,0.070001945,0.68294716,0.72513187
55.7494,0.06452428,0.08108029,0.68352616,0.72254986
55.7597,0.07557908,0.092388034,0.68414736,0.7195394
55.7697,0.08591671,0.10300538,0.6843869,0.7166766
55.7794,0.09586665,0.11287743,0.6843064,0.713951
55.7896,0.105695665,0.12206094,0.68408525,0.71126837
55.7993,0.11477409,0.13001628,0.68378806,0.708739
55.8094,0.12354395,0.13735734,0.6833986,0.7062931
55.8197,0.1315428,0.14357738,0.68284965,0.7040853
55.8297,0.1384007,0.14850783,0.68220145,0.7023864
55.8397,0.14406535,0.15213066,0.6812166,0.7014555
55.8498,0.14857528,0.15439682,0.6796372,0.7015925
55.8596,0.15157673,0.1551222,0.6774523,0.7028899
55.8696,0.15335596,0.15468472,0.67502487,0.70490235
55.8796,0.15436271,0.15319034,0.67222464,0.7076513
55.8898,0.1546149,0.15028752,0.66938984,0.71090835
55.8995,0.15403306,0.14613119,0.6671002,0.7140642
55.9097,0.15247077,0.14032108,0.6652662,0.7172812
55.9197,0.15002781,0.1330837,0.66410816,0.720251
55.9298,0.1464808,0.12482822,0.6631819,0.72328335
55.9394,0.14207244,0.116775066,0.66247237,0.7261108
55.9497,0.13587368,0.10946053,0.66195273,0.72890425
