elapsed_s,i,j,k,real
2.094,-0.012414485,-0.00010250608,0.7362693,0.6765631
2.1039,-0.0122671425,-0.00019739647,0.7362516,0.6766131
2.1142,-0.012140363,-0.00025205378,0.7361435,0.6766938
2.1242,-0.012016356,-0.0002495204,0.73609936,0.6767646
2.1341,-0.011892587,-0.00031383365,0.7360481,0.67678124
2.1441,-0.011768609,-0.00031135994,0.7360039,0.67685205
2.154,-0.011526585,-0.0003257243,0.73602927,0.67686546
2.1642,-0.011398613,-0.00027872593,0.73604167,0.67680526
2.1741,-0.011247069,-0.0002622748,0.7360877,0.6767785
2.1842,-0.011031657,-0.00025580742,0.73613644,0.6766945
2.1941,-0.010882854,-0.00018219551,0.7362463,0.6766577
2.2043,-0.010724306,-0.00011162342,0.736292,0.67656404
2.2143,-0.010542184,-7.1568866e-05,0.7363713,0.67650366
2.2243,-0.010386437,5.6164085e-05,0.73648095,0.6764
2.2342,-0.010197341,0.00015036948,0.73656,0.6762728
2.2443001,-0.010011047,0.0003017059,0.7367029,0.67613566
2.2539,-0.009801388,0.000355708,0.7368724,0.67597765
2.2644,-0.009587705,0.0004541155,0.7370986,0.6756887
2.2743,-0.009407371,0.0005860805,0.73735523,0.6754233
2.2843,-0.009203702,0.0006206514,0.7376386,0.6751371
2.294,-0.008993,0.00070937315,0.7379217,0.67478406
2.3044,-0.008828582,0.0007581002,0.73834944,0.6743933
2.3145,-0.0086880345,0.0007705578,0.7387367,0.673915
2.3243,-0.008583726,0.00080682733,0.7392114,0.6733962
2.3341,-0.008479448,0.0008431267,0.7396861,0.67287755
2.3444,-0.00837815,0.00086971046,0.7402177,0.6722947
2.3546,-0.008304389,0.00088237657,0.7406591,0.67180943
2.3646,-0.008194121,0.0009380474,0.74101996,0.6714189
2.374,-0.008111419,0.0009798005,0.7412906,0.671126
2.3845,-0.0080257375,0.0010312395,0.7415043,0.6708972
2.3945,-0.007880123,0.0010282893,0.7416642,0.67074215
2.4045,-0.007825227,0.0009892781,0.7418376,0.6704927
2.4146,-0.00771615,0.000943323,0.742078,0.670243
2.4246001,-0.0076975534,0.00092815363,0.74233896,0.6699531
