elapsed_s,i,j,k,real
220.55875,0.0008735015,0.015185775,0.08417131,0.9963243
220.56845,0.0011634631,0.015255423,0.083776474,0.9963565
220.57855,0.0014562113,0.015267866,0.083317816,0.9963987
220.58855,0.0017489446,0.015280308,0.08285914,0.99644077
220.59865,0.0020417077,0.0152927805,0.08240047,0.9964829
220.60844,0.0022802902,0.015312184,0.08187492,0.9965253
220.61865,0.0024826033,0.015355397,0.08143689,0.9965272
220.62845,0.0026779277,0.015344519,0.08099905,0.9965959
220.63866,0.002867545,0.015381057,0.08068201,0.9965907
220.64874,0.0030375225,0.015356723,0.08048619,0.996645
220.65845,0.003191839,0.015316013,0.08046833,0.99662817
220.66875,0.0033463938,0.01534215,0.08045739,0.99666536
220.67876,0.0035006804,0.01530141,0.08043955,0.9966485
220.68864,0.0037424816,0.015220201,0.08045794,0.9966078
220.69885,0.0039176447,0.015206074,0.08053745,0.9966142
220.70885,0.0041703535,0.01508761,0.08071041,0.99659956
220.71886,0.0043870164,0.015059834,0.0809778,0.9965986
220.72865,0.0045880033,0.015015652,0.08142313,0.9965263
220.73885,0.004792,0.014981171,0.0818115,0.99651825
220.74886,0.0050265146,0.014970293,0.082233205,0.99647653
220.75885,0.00519697,0.01490251,0.08264524,0.9964379
220.76884,0.0054188035,0.014884956,0.08318795,0.996389
220.77875,0.005640667,0.014867358,0.08373067,0.99634016
220.78865,0.0058083646,0.014856733,0.08420649,0.9962915
220.79895,0.0060637705,0.014872484,0.08472557,0.99627316
220.80885,0.00621083,0.0149020925,0.08511099,0.99625534
220.81885,0.0064118467,0.014857881,0.08555631,0.9961832
220.82855,0.006615799,0.014823431,0.08594473,0.996175
220.83905,0.0067934357,0.014876628,0.086363405,0.9961236
220.84885,0.0069611333,0.014866034,0.086839244,0.99607503
220.85895,0.007128816,0.014855409,0.08731511,0.9960264
220.86865,0.0072532557,0.014814416,0.087878704,0.99600416
220.87904,0.007374715,0.014763797,0.0884992,0.9959178
220.88914,0.007483732,0.014773289,0.08924766,0.9958784
220.89896,0.0075592212,0.0147495065,0.0900197,0.9958085
220.90884,0.00764462,0.014789546,0.09073454,0.99573576
220.91895,0.007720109,0.014765749,0.091506645,0.99566585
220.92905,0.007738691,0.014806027,0.092275694,0.9955863
220.93906,0.007824104,0.014846096,0.09299061,0.99551356
220.94925,0.00791226,0.014828974,0.09364167,0.99545085
220.95915,0.007956188,0.014882693,0.09416866,0.9953856
220.96935,0.008026462,0.0148486905,0.09466539,0.9953636
220.97916,0.008137237,0.014902141,0.09513825,0.9953052
220.98915,0.00821745,0.014932003,0.095577836,0.9952804
220.99925,0.008207228,0.01499268,0.09603804,0.9952154
221.00935,0.008318018,0.015046146,0.0965109,0.9951571
221.01926,0.008395489,0.015133154,0.09701432,0.99512243
221.02914,0.0084856115,0.015226837,0.097396776,0.9950949
221.03935,0.0086398665,0.015377443,0.09778887,0.9950643
221.04926,0.008770505,0.015558641,0.09814744,0.99500054
221.05945,0.008927489,0.015652116,0.098475695,0.99498
221.06924,0.009060869,0.015776154,0.098770425,0.99492604
221.07945,0.009284744,0.01586939,0.0990445,0.99491245
221.08945,0.009418124,0.015993413,0.0993392,0.9948586
221.09935,0.009520957,0.016093846,0.09960061,0.99483824
221.10934,0.009655336,0.016116764,0.10010703,0.9948132
221.11925,0.009725371,0.016015913,0.100596815,0.994737
221.12946,0.009823466,0.016062628,0.101190686,0.9946715
221.13934,0.010036627,0.016259994,0.10131717,0.99468595
221.14944,0.010181928,0.016558718,0.10128613,0.99466455
221.15935,0.010221578,0.017005473,0.101467475,0.99464
221.16945,0.010060705,0.017452981,0.101811364,0.9945945
221.17915,0.009887181,0.017893773,0.10227622,0.994542
221.18945,0.009680038,0.01830126,0.102764726,0.99445873
221.19945,0.009408822,0.018651824,0.10324353,0.99437857
221.20955,0.009203052,0.018833693,0.103540674,0.99439204
