elapsed_s,i,j,k,real
222.71214,0.006833029,-0.009616664,0.074205354,0.9971669
222.72224,0.0061774673,-0.009540729,0.07463294,0.9971588
222.73215,0.0054774703,-0.009460844,0.074929595,0.997094
222.74185,0.004716349,-0.009428168,0.07515964,0.9970963
222.75195,0.0039624097,-0.009274462,0.075396374,0.9970859
222.76234,0.0031806645,-0.009201568,0.07553594,0.99711907
222.77225,0.0024086204,-0.0091316365,0.07561143,0.9970952
222.78255,0.0015490917,-0.0090212505,0.07565062,0.9970953
222.79225,0.00075642415,-0.008911027,0.07563563,0.99710226
222.80244,1.7937367e-05,-0.008807793,0.07568751,0.997109
222.81235,-0.0007747598,-0.008697631,0.07567255,0.99711597
222.82236,-0.0015368799,-0.008563848,0.07569085,0.99708945
222.83255,-0.002198611,-0.008397002,0.07563141,0.9971005
222.84235,-0.0028839451,-0.008199576,0.07553841,0.99707806
222.85245,-0.0034914957,-0.008039672,0.07554586,0.9970888
222.86246,-0.0041659074,-0.007879546,0.07560739,0.9970925
222.87254,-0.0047734724,-0.007719598,0.07561481,0.9971032
222.88255,-0.00529634,-0.007543049,0.07572235,0.9970801
222.89255,-0.0059402045,-0.0073592886,0.07581718,0.99705034
222.90256,-0.006493589,-0.0072063142,0.075891435,0.9970609
222.91264,-0.007016426,-0.0070297364,0.07599899,0.9970377
222.92245,-0.007559902,-0.0068129245,0.07601608,0.9970455
222.93256,-0.008103391,-0.0065961136,0.076033205,0.99705315
222.94266,-0.008546732,-0.0064130686,0.07596554,0.9970442
222.95265,-0.00901065,-0.006189745,0.07580747,0.99706614
222.96245,-0.009428613,-0.0059933187,0.075497806,0.9970715
222.97255,-0.009846546,-0.005796848,0.07518819,0.99707687
222.98265,-0.010197677,-0.0056006443,0.07482435,0.99708927
222.99255,-0.010448374,-0.00537136,0.0743828,0.99713916
223.00255,-0.010699101,-0.005142077,0.07394114,0.997189
223.01245,-0.010883013,-0.004913031,0.07344541,0.99724585
223.02275,-0.010948846,-0.0047008684,0.07301922,0.99724525
223.03255,-0.011014441,-0.004421859,0.07260005,0.9972988
223.04276,-0.010995353,-0.0041261604,0.07228096,0.9973186
223.05244,-0.010922069,-0.0038374355,0.07202874,0.9973382
223.06285,-0.010730576,-0.0034987465,0.07185303,0.99735445
223.07295,-0.010551702,-0.0031667189,0.071798384,0.9973636
223.08286,-0.01028816,-0.002818061,0.07184386,0.99733907
223.09235,-0.010034274,-0.0024663936,0.07195346,0.99737126
223.10295,-0.009601025,-0.00201754,0.07220614,0.9973333
223.11295,-0.009211032,-0.0015990406,0.07254656,0.9973216
223.12285,-0.008756904,-0.0011235736,0.072896704,0.9973069
223.13245,-0.008279456,-0.0007455604,0.07327345,0.9972714
223.14294,-0.00773786,-0.0003105948,0.07365988,0.99723285
223.15285,-0.007159993,0.00010054387,0.07395877,0.99723494
223.16295,-0.0066156397,0.00047834864,0.074281335,0.99720633
223.17325,-0.0060407827,0.0008797718,0.074637175,0.99714416
223.18304,-0.0055369604,0.0011700918,0.07498358,0.9971519
223.19315,-0.0049456228,0.0014199403,0.0753663,0.99713576
223.20296,-0.0045088846,0.0016436817,0.0757599,0.9970825
223.21315,-0.004071894,0.001934255,0.07616052,0.9970832
223.22314,-0.0037352918,0.0021917773,0.07663885,0.9970465
223.23296,-0.003386009,0.0024560052,0.07699619,0.9970169
223.24315,-0.0031704041,0.0027206945,0.07746184,0.99697345
223.25294,-0.0029185005,0.0029615425,0.07784,0.9969705
223.26315,-0.002723549,0.0032664952,0.07821524,0.9969579
223.27325,-0.002582972,0.0035115,0.07851665,0.9968913
223.28316,-0.0024630325,0.003796768,0.07872759,0.99685556
223.29315,-0.0023942492,0.0040987404,0.078814805,0.99688417
223.30334,-0.0023130681,0.004340497,0.07877405,0.9968657
223.31316,-0.0022497238,0.004565385,0.07857899,0.9968881
223.32326,-0.002163759,0.0048608156,0.078205734,0.9969148
223.33325,-0.001998297,0.005162713,0.07765736,0.99695563
