elapsed_s,i,j,k,real
159.71295,-0.02749011,-0.011583572,0.0010079741,0.9995692
159.72275,-0.027586699,-0.01165322,0.00013156235,0.9995616
159.73305,-0.02759856,-0.011706209,-0.00064465404,0.9995202
159.74306,-0.027596503,-0.01178675,-0.0013232976,0.99956906
159.75305,-0.027543247,-0.011883935,-0.0018781126,0.9995535
159.76355,-0.027371764,-0.011931127,-0.002356425,0.9995347
159.77315,-0.027286738,-0.012038982,-0.0026593357,0.9995688
159.78316,-0.027181089,-0.012187054,-0.0028717667,0.999572
159.79315,-0.027111739,-0.012311285,-0.0029967427,0.99953467
159.80325,-0.027052075,-0.012432536,-0.003057614,0.9995543
159.81325,-0.027059257,-0.012553548,-0.0030643046,0.99956703
159.82315,-0.027102739,-0.012650704,-0.0029835403,0.99953914
159.83325,-0.027176782,-0.012771493,-0.002936095,0.99954486
159.84335,-0.027243614,-0.0127712395,-0.0028819293,0.99953794
159.85315,-0.027331308,-0.0127976,-0.0029251426,0.99950767
159.86325,-0.027382702,-0.012847817,-0.0030558407,0.9995178
159.87325,-0.027488291,-0.01289109,-0.0032534301,0.9995283
159.88345,-0.027506426,-0.012974819,-0.0034146458,0.9995148
159.89325,-0.027611986,-0.013018107,-0.0036121905,0.9995252
159.90335,-0.027640056,-0.013165703,-0.0037163347,0.9995146
159.91335,-0.0276373,-0.013222849,-0.003780201,0.9995245
159.92336,-0.027647208,-0.013286715,-0.0037230402,0.9995272
159.93324,-0.027693447,-0.013326695,-0.0035783798,0.9994895
159.94334,-0.027728733,-0.0134039875,-0.003279239,0.99947786
159.95345,-0.02777372,-0.013478255,-0.0029159784,0.9995231
159.96346,-0.027790915,-0.013471788,-0.0024555027,0.99952495
159.97356,-0.027808066,-0.013465291,-0.0019950867,0.9995268
159.98344,-0.027758416,-0.013459047,-0.0015888363,0.99953556
159.99335,-0.02769905,-0.013455799,-0.0012466311,0.9994874
160.00345,-0.027548995,-0.01341649,-0.00091819465,0.99953365
160.01335,-0.027410101,-0.013406759,-0.00075118244,0.9994997
160.02345,-0.027147245,-0.013394525,-0.0006284416,0.99953645
160.03305,-0.026786964,-0.01335891,-0.00052651763,0.99954665
160.04346,-0.026490774,-0.013380233,-0.00043429434,0.9995599
160.05354,-0.026130464,-0.013344619,-0.0003323853,0.99956995
160.06345,-0.025739666,-0.013285432,-0.00019718707,0.99954665
160.07326,-0.02535851,-0.013223203,2.1457672e-06,0.9995802
160.08334,-0.02498011,-0.0131038595,0.00026530027,0.99960387
160.09364,-0.024578363,-0.013081895,0.00055500865,0.99960655
160.10365,-0.024266794,-0.012962313,0.0008723438,0.99962324
160.11385,-0.02393189,-0.012940124,0.0012162328,0.9996192
160.12366,-0.023630247,-0.0128843635,0.0015907437,0.99963856
160.13385,-0.023385555,-0.012764543,0.0019622445,0.9996483
160.14375,-0.023141101,-0.012711555,0.0023267865,0.99960387
160.15385,-0.022957489,-0.0126389265,0.0026316494,0.99968064
160.16365,-0.022831053,-0.01256907,0.002926588,0.99969363
160.17395,-0.02272822,-0.012468636,0.0031879991,0.99967325
160.18385,-0.022689492,-0.012425169,0.0034397244,0.9996559
160.19376,-0.022684038,-0.012348086,0.0037219971,0.9996622
160.20375,-0.022678643,-0.012271062,0.004004255,0.9996684
160.21385,-0.022642642,-0.012170404,0.004319817,0.9996412
160.22375,-0.022583067,-0.012100324,0.004668981,0.9996472
160.23395,-0.022620827,-0.012053579,0.005038947,0.9996798
160.24405,-0.022540614,-0.012023715,0.005478516,0.99965507
160.25395,-0.022493705,-0.011960296,0.005948648,0.9996539
160.26395,-0.022402555,-0.011967732,0.006542757,0.99965525
160.27396,-0.022283569,-0.011894343,0.007234052,0.9996131
160.28406,-0.022150725,-0.011848567,0.008022964,0.9996612
160.29405,-0.02205415,-0.011778949,0.008899376,0.9996688
160.30396,-0.021893725,-0.01171924,0.00977847,0.9996191
160.31406,-0.021787211,-0.01158574,0.010597751,0.9996241
160.32394,-0.02154702,-0.011452703,0.01130864,0.99964285
160.33415,-0.02129434,-0.011379836,0.011891589,0.9996146
160.34386,-0.02102603,-0.011290561,0.012296677,0.99965763
160.35416,-0.020738319,-0.011207249,0.012573481,0.9995868
160.36404,-0.020454586,-0.011168387,0.01279366,0.999647
160.37415,-0.020173848,-0.011139255,0.013070703,0.9996431
160.38425,-0.01989305,-0.011110108,0.013347805,0.99963915
160.39404,-0.019709721,-0.011104342,0.013645753,0.99966186
160.40414,-0.019408315,-0.011115471,0.0140132755,0.99962705
160.41435,-0.019173563,-0.011059487,0.014441937,0.9996396
160.42375,-0.018884614,-0.0110104475,0.014937416,0.99965185
160.43425,-0.01863198,-0.010937596,0.015520364,0.99962354
160.44415,-0.018389016,-0.010861704,0.016167402,0.9996522
160.45415,-0.018139139,-0.0107317045,0.016814232,0.999614
160.46465,-0.01793249,-0.010631971,0.01754874,0.99960226
160.47435,-0.017725825,-0.0105322525,0.018283293,0.99959046
160.48425,-0.01753977,-0.010392256,0.01892735,0.9996095
160.49445,-0.017344043,-0.010255329,0.019507304,0.9995715
160.50426,-0.017111767,-0.010075323,0.020006731,0.99962825
160.51434,-0.016903374,-0.009931646,0.020465702,0.99959743
160.52425,-0.016712818,-0.00980485,0.020770356,0.99960744
160.53435,-0.01649173,-0.009654468,0.02110827,0.9995839
160.54425,-0.016331974,-0.009618154,0.02137269,0.99957323
160.55444,-0.016151372,-0.009555226,0.021734506,0.999586
160.56435,-0.015991632,-0.009518927,0.021998882,0.99957526
160.57455,-0.015901495,-0.009425214,0.02238132,0.9995478
