elapsed_s,i,j,k,real
3.5676,-0.04900189,0.026515346,-0.69667643,-0.7152011
3.5776,-0.04900189,0.026515346,-0.69667643,-0.7152011
3.5876,-0.04900361,0.026451718,-0.6966913,-0.7151447
3.5978,-0.04903826,0.026429402,-0.6966489,-0.7151598
3.6077,-0.049015943,0.02639475,-0.696664,-0.71520215
3.6176002,-0.049015943,0.02639475,-0.696664,-0.71520215
3.6275,-0.049015943,0.02639475,-0.696664,-0.71520215
3.6375,-0.04902827,0.026337735,-0.69663656,-0.71525973
3.6476002,-0.049030274,0.026346346,-0.69655865,-0.71529543
3.6576002,-0.04907725,0.02626701,-0.69648886,-0.7153679
3.6678002,-0.049111906,0.026244683,-0.69644654,-0.715383
3.6777,-0.049111906,0.026244683,-0.69644654,-0.715383
3.6876001,-0.049146596,0.026222354,-0.69640404,-0.7153981
3.6976001,-0.049124286,0.026187705,-0.6964191,-0.7154406
3.7075,-0.049124286,0.026187705,-0.6964191,-0.7154406
3.7176,-0.04915695,0.026156751,-0.6964547,-0.71541977
3.7274,-0.04915695,0.026156751,-0.6964547,-0.71541977
3.737,-0.049123995,0.026115477,-0.69651204,-0.71534836
3.7474,-0.049122028,0.026106864,-0.69659007,-0.7153125
3.7576,-0.04909108,0.026074188,-0.6965693,-0.71527684
3.7674,-0.04912374,0.026043233,-0.69660497,-0.7152561
3.7773001,-0.049058124,0.026032913,-0.6966266,-0.71520543
3.7874,-0.049035776,0.02599825,-0.6966417,-0.7152478
3.7973,-0.049035776,0.02599825,-0.6966417,-0.7152478
3.8073,-0.04900113,0.026020564,-0.69668406,-0.71523273
3.8173,-0.04902347,0.02605523,-0.696669,-0.71519035
3.8273,-0.048988808,0.026077569,-0.6967114,-0.7151753
3.8374002,-0.049011122,0.02611222,-0.6966964,-0.71513283
3.8467002,-0.049007416,0.026167225,-0.6967596,-0.71515346
3.8572001,-0.049009122,0.026103608,-0.69677436,-0.71509707
3.8673,-0.04902949,0.026129674,-0.69683737,-0.7150188
3.8771,-0.048961915,0.026110727,-0.6969371,-0.7149324
3.8872,-0.04896166,0.026038487,-0.69702995,-0.7148401
3.8972,-0.04889405,0.02601954,-0.6971297,-0.7147537
3.9072,-0.048881464,0.02600433,-0.69724995,-0.71460396
3.917,-0.048877493,0.025987118,-0.69740605,-0.7145324
3.9272,-0.048844546,0.025945831,-0.6974633,-0.71446097
3.9373002,-0.04877696,0.0259269,-0.69756305,-0.7143744
3.9473002,-0.04884231,0.025865003,-0.6976343,-0.7143329
3.9572,-0.048799023,0.025889307,-0.6976409,-0.7142398
3.9671001,-0.048831712,0.025858365,-0.6976764,-0.7142191
3.9771001,-0.04879705,0.025880706,-0.6977189,-0.7142041
3.9872,-0.04879705,0.025880706,-0.6977189,-0.7142041
3.997,-0.048795052,0.025872096,-0.69779694,-0.7141682
4.0071,-0.048729442,0.025861748,-0.6978186,-0.71411747
