elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
344.5601,155,-136,109,243,-135,-210,87,-78
344.5606,155,-136,109,242,-135,-210,87,-78
344.5611,155,-136,109,242,-135,-209,87,-78
344.5616,155,-135,109,242,-134,-210,87,-78
344.5621,155,-136,110,242,-134,-210,87,-78
344.5626,155,-136,109,242,-135,-210,87,-78
344.5631,155,-136,109,242,-135,-209,87,-78
344.5636,155,-136,109,243,-135,-210,87,-78
344.5641,155,-136,109,243,-135,-210,87,-77
344.5646,155,-136,109,242,-135,-209,87,-78
344.5651,155,-136,109,241,-135,-210,87,-78
344.5656,155,-135,110,241,-135,-209,88,-78
344.5661,155,-136,110,241,-134,-210,88,-78
344.5666,155,-136,110,240,-134,-210,88,-78
344.5671,155,-136,110,241,-134,-210,88,-78
344.5676,155,-136,110,240,-134,-210,87,-78
344.56808,155,-136,110,241,-134,-209,88,-78
344.5686,155,-136,110,241,-134,-210,87,-78
344.5691,155,-136,110,241,-134,-210,88,-78
344.5696,155,-136,110,241,-134,-209,87,-78
344.5701,155,-136,110,241,-134,-209,87,-78
344.5706,155,-135,110,241,-135,-209,87,-78
344.5711,155,-136,110,241,-135,-210,88,-78
344.5716,155,-136,110,241,-134,-209,88,-78
344.5721,155,-136,110,241,-135,-210,88,-78
344.5726,155,-136,110,241,-134,-210,88,-78
344.5731,156,-136,110,241,-135,-210,88,-78
344.5736,155,-136,110,241,-135,-210,88,-78
344.5741,155,-136,109,241,-135,-209,88,-78
344.5746,155,-136,110,241,-135,-210,88,-78
344.5751,155,-136,109,242,-135,-209,87,-78
344.5756,155,-136,110,241,-135,-210,87,-78
344.5761,155,-136,110,242,-134,-209,87,-78
344.5766,155,-136,109,242,-134,-210,87,-78
344.5771,155,-136,109,242,-134,-209,87,-78
344.5776,155,-136,110,242,-134,-209,87,-78
344.5781,155,-136,110,242,-134,-210,87,-78
344.5786,155,-136,110,242,-134,-210,87,-78
344.5791,155,-136,110,242,-134,-210,87,-78
344.5796,155,-136,110,242,-135,-209,87,-77
344.5801,155,-136,110,242,-134,-209,88,-78
344.5806,155,-136,110,241,-135,-210,88,-78
344.5811,155,-136,110,242,-135,-210,88,-78
344.5816,155,-136,110,241,-135,-210,88,-78
344.5821,155,-135,110,241,-135,-210,88,-78
344.5826,155,-136,109,241,-135,-209,88,-78
344.5831,155,-136,110,242,-135,-209,88,-78
344.5836,155,-136,109,241,-135,-210,87,-78
344.5841,155,-136,109,242,-135,-209,87,-78
344.5846,155,-136,110,242,-135,-209,87,-78
344.5851,155,-136,109,242,-135,-209,87,-78
344.5856,155,-136,109,242,-135,-210,87,-78
344.5861,155,-136,109,241,-135,-210,87,-78
344.5866,155,-136,109,242,-135,-210,87,-78
344.5871,155,-136,110,242,-135,-209,87,-78
344.5876,155,-136,110,242,-135,-210,87,-78
344.5881,155,-136,110,242,-135,-210,87,-78
344.5886,155,-136,110,241,-135,-210,87,-78
344.5891,155,-136,110,242,-134,-210,87,-78
344.5896,155,-136,110,242,-135,-209,86,-78
344.5901,155,-136,110,242,-135,-209,86,-78
344.5906,155,-135,110,241,-135,-209,86,-78
344.5911,155,-136,110,242,-134,-210,86,-78
344.5916,155,-136,110,241,-134,-210,87,-78
344.5921,155,-136,110,241,-134,-209,87,-78
344.5926,155,-136,109,241,-135,-210,87,-78
344.5931,155,-136,109,242,-135,-209,87,-78
344.5936,155,-136,109,242,-135,-209,87,-78
344.5941,155,-136,109,242,-135,-209,88,-78
344.5946,155,-136,109,242,-134,-209,88,-78
344.5951,155,-136,110,242,-135,-210,87,-78
344.5956,155,-136,110,241,-135,-210,88,-78
344.5961,155,-136,110,242,-134,-209,88,-78
344.5966,155,-135,110,241,-134,-210,88,-78
344.5971,155,-136,110,241,-134,-209,88,-78
344.5976,155,-136,110,241,-135,-209,88,-78
344.5981,155,-135,110,241,-135,-209,88,-77
344.5986,155,-136,109,241,-135,-209,89,-78
