elapsed_s,i,j,k,real
260.35504,0.024488144,-0.042695127,0.03457211,0.998179
260.36505,0.024512466,-0.04273836,0.034478948,0.9981724
260.37515,0.024504121,-0.04281258,0.03435023,0.9981866
260.38504,0.024528438,-0.04285584,0.034257144,0.99818
260.39526,0.024542425,-0.042964734,0.034113362,0.9981518
260.40515,0.02454443,-0.042973343,0.034035325,0.99818754
260.41504,0.024537789,-0.04298394,0.03392148,0.9981454
260.42514,0.024539791,-0.042992555,0.033843428,0.99818116
260.43466,0.024507124,-0.04302351,0.03380783,0.9982019
260.44495,0.024564132,-0.043035828,0.03375034,0.9981745
260.45486,0.024564132,-0.043035828,0.03375034,0.9981745
260.46506,0.024574453,-0.04297021,0.03380105,0.9981962
260.47495,0.024539791,-0.042992555,0.033843428,0.99818116
260.48486,0.02457245,-0.042961597,0.033879086,0.9981605
260.49484,0.024550136,-0.04292695,0.033894107,0.99820286
260.50464,0.024519185,-0.042894285,0.03387338,0.9981672
260.51495,0.024515474,-0.04294929,0.03393653,0.9981877
260.52484,0.024515474,-0.04294929,0.03393653,0.9981877
260.53476,0.024505138,-0.04301487,0.033885837,0.9981661
260.54486,0.024505138,-0.04301487,0.033885837,0.9981661
260.55484,0.024494804,-0.043080516,0.033835143,0.9981445
260.56485,0.024472462,-0.04304585,0.033850223,0.9981868
260.57495,0.024472462,-0.04304585,0.033850223,0.9981868
260.58496,0.0244378,-0.04306819,0.033892587,0.99817175
260.59476,0.024491068,-0.04313551,0.033898294,0.998165
260.60464,0.024491068,-0.04313551,0.033898294,0.998165
260.61435,0.024458379,-0.043166444,0.033862635,0.9981857
260.62466,0.024511661,-0.043233797,0.033868313,0.99817896
260.63474,0.024479011,-0.043264724,0.0338327,0.99819976
260.64456,0.02450132,-0.043299392,0.033817634,0.9981573
260.65475,0.02450132,-0.043299392,0.033817634,0.9981573
260.66464,0.02450132,-0.043299392,0.033817634,0.9981573
260.67474,0.024511661,-0.043233797,0.033868313,0.99817896
260.68454,0.024511661,-0.043233797,0.033868313,0.99817896
260.69476,0.024530273,-0.043323442,0.033916444,0.9981571
260.70456,0.02449561,-0.04334578,0.033958852,0.99814206
260.71454,0.024528274,-0.043314826,0.03399445,0.9981213
260.72485,0.024502255,-0.043335166,0.034072682,0.9981843
260.73465,0.024524564,-0.04336983,0.034057632,0.9981418
260.74454,0.024489902,-0.043392174,0.034100026,0.99812675
260.75446,0.02450028,-0.04332657,0.03415072,0.99814844
