elapsed_s,i,j,k,real
13.70275,0.0070457733,0.00079993455,0.47158682,0.8818292
13.71285,0.007026996,0.00089376385,0.47161055,0.8817911
13.72305,0.007026996,0.00089376385,0.47161055,0.8817911
13.73295,0.0070000663,0.000926174,0.47169286,0.8817398
13.74285,0.0070000663,0.000926174,0.47169286,0.8817398
13.75315,0.006938902,0.0009327509,0.47175163,0.88172513
13.76315,0.006938902,0.0009327509,0.47175163,0.88172513
13.77325,0.006911632,0.0009666835,0.47178832,0.8817472
13.78335,0.006824751,0.001007536,0.47181052,0.8817089
13.79325,0.0068589794,0.0010332788,0.4718341,0.88167244
13.80325,0.006797828,0.0010398868,0.47189283,0.88165766
13.81325,0.006736687,0.0010465261,0.4719516,0.88164294
13.82325,0.0067027956,0.0010192904,0.47197366,0.8816062
13.8335495,0.006649791,0.0010873771,0.47197378,0.88160473
13.84345,0.006622542,0.001121252,0.47201052,0.8816267
13.85325,0.006562567,0.0011297817,0.47195038,0.8816397
13.86355,0.0065286784,0.0011025164,0.47197244,0.8816029
13.87345,0.006441461,0.0011448618,0.47194904,0.881638
13.88365,0.0064075724,0.0011175964,0.47197106,0.8816013
13.89355,0.0063733435,0.0010918538,0.4719475,0.8816378
13.90365,0.0062864623,0.0011327063,0.47196972,0.8815996
13.91355,0.006218361,0.0010796997,0.47196817,0.88159937
13.92375,0.006225308,0.001139344,0.4720284,0.881585
13.93365,0.006138087,0.001181719,0.47200504,0.88161993
13.94365,0.0060772747,0.0011868046,0.47210938,0.88153195
13.95355,0.0060242633,0.0012549504,0.47210953,0.8815304
13.96375,0.0060242633,0.0012549504,0.47210953,0.8815304
13.97375,0.005937057,0.001297327,0.47208613,0.88156533
13.98385,0.005903154,0.0012700602,0.4721082,0.8815287
13.99375,0.0058762124,0.001302439,0.4721905,0.8814774
14.00375,0.0058150715,0.0013090784,0.47224924,0.8814627
14.01355,0.0057811835,0.001281813,0.47227123,0.881426
14.02375,0.0057612206,0.0013738098,0.47241396,0.8813602
14.03375,0.005760035,0.0013719769,0.47253272,0.8813325
14.04385,0.0057334364,0.0014028037,0.4726606,0.8812079
14.05345,0.0057050018,0.0014348458,0.47281626,0.8812023
14.06375,0.0056441864,0.001439961,0.47292057,0.88111436
14.07385,0.005636364,0.0013769586,0.47302476,0.8810279
14.08395,0.0056012874,0.0013478901,0.47316563,0.88096344
14.09355,0.005566213,0.001318792,0.47330657,0.880899
14.10385,0.0055580693,0.001257284,0.47336516,0.8808859
14.11395,0.005516031,0.0011685698,0.47344574,0.880836
14.12405,0.0054891068,0.0012009208,0.47352806,0.88078475
14.13365,0.0054891068,0.0012009208,0.47352806,0.88078475
14.1439495,0.0053937384,0.0011818173,0.47356322,0.8808066
14.15415,0.005359836,0.0011545504,0.47358525,0.88076985
14.16405,0.0053340946,0.0011887637,0.47354868,0.8807463
14.17435,0.0053068316,0.001222637,0.47358543,0.88076836
14.18405,0.005272942,0.0011953717,0.47360745,0.88073164
14.19425,0.0052390513,0.001168136,0.47362947,0.8806949
14.20425,0.005143683,0.0011490327,0.47366467,0.88071674
14.21435,0.0051097954,0.0011217674,0.47368667,0.8806801
14.22415,0.0050755674,0.0010960246,0.4736631,0.8807165
14.23425,0.005007451,0.0010430166,0.47366154,0.88071644
14.2443495,0.0049474933,0.0010515183,0.47360143,0.8807294
14.25425,0.0048793736,0.0009985399,0.47359994,0.88072914
14.26445,0.004845164,0.000972769,0.47357637,0.8807658
14.27435,0.0047170753,0.0009282611,0.47351474,0.88077855
14.28445,0.004595644,0.0009448653,0.47346774,0.8808502
14.29435,0.004501465,0.00092756486,0.47338402,0.88089967
14.30435,0.0043815384,0.0009445371,0.47326377,0.88092566
14.31445,0.0042534643,0.00090003066,0.4732021,0.88093853
14.32445,0.004166225,0.00094243384,0.47317874,0.8809736
14.33455,0.0040638954,0.0008636846,0.47315362,0.8810099
14.34445,0.0039358283,0.00081911887,0.47309193,0.8810227
14.35455,0.0038147043,0.0008342271,0.4730906,0.881021
14.36455,0.0036784832,0.0007282422,0.47308755,0.8810207
14.37465,0.0035831034,0.0007091076,0.47312266,0.8810425
14.38475,0.0034281176,0.00069698325,0.4731433,0.88100404
14.3946495,0.0033669625,0.00070362096,0.47320205,0.8809893
14.40465,0.0032392137,0.0006575906,0.47318602,0.8809289
14.41475,0.0031099573,0.00061122177,0.4732432,0.88091403
14.42475,0.0029806863,0.00056485157,0.47330043,0.88089913
14.434649,0.002851415,0.00051848125,0.47335765,0.88088435
14.44455,0.0026622072,0.00048055482,0.47335473,0.8808823
14.45475,0.0025602144,0.00040031277,0.4733752,0.88084555
14.46475,0.0024227963,0.00029246398,0.473491,0.8808175
14.47485,0.0022254237,0.00019308724,0.47354662,0.88080245
14.48445,0.0020961524,0.00014671695,0.4736039,0.8807876
14.49475,0.0019941598,6.647482e-05,0.47362435,0.8807507
14.50495,0.0018652432,1.8583567e-05,0.4737272,0.88066256
14.51505,0.0017617014,-6.203114e-05,0.47382092,0.88067114
14.52465,0.0016666582,-8.265866e-05,0.4739017,0.8806197
14.53465,0.0015374136,-0.00012899618,0.4739589,0.8806049
14.54505,0.0014084821,-0.00017688907,0.47406173,0.88051677
14.55505,0.0012795656,-0.0002247803,0.47416452,0.8804285
14.56475,0.0010809953,-0.000326021,0.47433907,0.8803858
14.57475,0.00091817573,-0.0004011791,0.47446385,0.880261
14.58525,0.0007535055,-0.00047512332,0.47461638,0.880255
14.59505,0.00061760977,-0.00058263226,0.47465885,0.8801814
14.60545,0.0004813891,-0.0006886171,0.47465578,0.880181
14.61505,0.0003112685,-0.0008218984,0.47467473,0.8801439
14.62535,0.000113574,-0.0009197807,0.47468477,0.88020223
14.63525,-2.2676355e-05,-0.0010257687,0.47468168,0.8802018
14.64525,-0.00022699537,-0.0011847896,0.4746771,0.8802014
14.65525,-0.00039711903,-0.0013180412,0.47469604,0.88016427
14.66545,-0.000593291,-0.0014155839,0.47463286,0.8801769
14.67535,-0.0007107348,-0.001615398,0.47460598,0.88021463
14.685349,-0.00081307907,-0.0016941486,0.47458088,0.88025105
14.69535,-0.0008881416,-0.0018068008,0.47451907,0.88026536
14.70545,-0.0010655664,-0.0019981759,0.47443208,0.8803162
14.71545,-0.0012348144,-0.002128069,0.4742866,0.88038
14.72535,-0.0013359758,-0.0022049574,0.4741426,0.8804441
14.73545,-0.0014794796,-0.0023690937,0.47403365,0.88053155
14.74545,-0.0015806413,-0.002445982,0.47388968,0.8805956
14.75535,-0.0016475568,-0.0024971557,0.47376928,0.88062316
14.76565,-0.0016817878,-0.0025228688,0.4737457,0.88065976
14.77555,-0.0016887458,-0.0025825445,0.47368535,0.8806742
14.78575,-0.0016548578,-0.002555279,0.4736634,0.88071096
14.79545,-0.0016821098,-0.0025213745,0.47370008,0.88073295
14.80575,-0.0017078657,-0.0024871628,0.47366354,0.88070947
14.81565,-0.0016736526,-0.0024614218,0.4736871,0.8806729
14.82565,-0.0016666914,-0.002401776,0.47374737,0.8806584
14.83545,-0.001633971,-0.0023763715,0.47384426,0.8806674
14.84565,-0.001686654,-0.002309779,0.47389007,0.8805926
14.85555,-0.0016185379,-0.002256771,0.47389156,0.88059276
14.8658495,-0.0016454619,-0.0022244204,0.47397387,0.8805415
14.87535,-0.0016046156,-0.0021374798,0.47401208,0.8805637
14.88575,-0.0015703993,-0.0021117684,0.47403574,0.8805271
14.89585,-0.0015891675,-0.002017878,0.47405946,0.880489
14.90575,-0.0015822212,-0.0019582338,0.47411972,0.88047445
14.91555,-0.0015410288,-0.0018728749,0.47420356,0.8804234
14.92605,-0.0015528415,-0.0017194296,0.47428757,0.8803708
14.93595,-0.0014777641,-0.0016067758,0.4743494,0.88035643
14.94595,-0.0014556916,-0.0014260354,0.47441146,0.8803405
