elapsed_s,i,j,k,real
46.4588,-0.090745084,-0.053667255,0.7247174,0.6809566
46.4687,-0.0914298,-0.05278252,0.7274313,0.67799926
46.4786,-0.09230463,-0.052051496,0.7301917,0.6749477
46.4886,-0.09321923,-0.051585365,0.7324271,0.67238736
46.4987,-0.09421141,-0.051390577,0.73433316,0.670225
46.5086,-0.095223404,-0.051312175,0.735898,0.66836166
46.5184,-0.09626306,-0.051444612,0.7370224,0.66695815
46.5286,-0.09752615,-0.051681206,0.7379019,0.6658179
46.5381,-0.098962694,-0.05196148,0.7384254,0.6650027
46.5486,-0.10080353,-0.0525076,0.73882455,0.6641897
46.5588,-0.10292473,-0.052972972,0.7391552,0.6634607
46.5685,-0.105262905,-0.05337781,0.7395227,0.66273314
46.5787,-0.10801518,-0.05371546,0.73977256,0.6618824
46.5885,-0.11094251,-0.054058596,0.7400062,0.66114914
46.5986,-0.11398006,-0.05446547,0.7399894,0.6606585
46.6084,-0.11699046,-0.054904945,0.7397765,0.6603068
46.6186,-0.12016089,-0.05543644,0.73926675,0.6602428
46.6281,-0.12321229,-0.05588871,0.7385056,0.660516
46.6385,-0.12662861,-0.056403685,0.7373028,0.66113377
46.6484,-0.12993808,-0.05692554,0.73592144,0.66201293
46.6586,-0.13339685,-0.057500422,0.734244,0.6631342
46.6685,-0.13698493,-0.057830177,0.7324058,0.6644329
46.6784,-0.14038906,-0.058138933,0.7300819,0.6661943
46.6883,-0.14353639,-0.058779642,0.72737116,0.668461
46.6983,-0.14627747,-0.05981685,0.7244608,0.6709703
46.7083,-0.14885305,-0.06117185,0.72174656,0.6731674
46.7183,-0.15133502,-0.06257318,0.71968544,0.67470264
46.7282,-0.15385509,-0.06359432,0.71874297,0.67501885
46.7378,-0.15593022,-0.06362744,0.7187233,0.67458457
46.7482,-0.15815453,-0.062878184,0.7191854,0.6736493
46.7582,-0.16046172,-0.061389796,0.7199789,0.67235273
46.7683,-0.1625645,-0.059189267,0.7210103,0.67098296
46.7783,-0.16391104,-0.05639795,0.7221853,0.66964585
46.7884,-0.164321,-0.053153094,0.72348,0.6683474
46.7981,-0.16377504,-0.049646307,0.7249136,0.6671733
46.8077,-0.1622704,-0.045932822,0.72638726,0.6662387
46.8183,-0.15959705,-0.04182794,0.7279295,0.66542506
46.8282,-0.15578564,-0.037401866,0.72946465,0.6649904
46.8383,-0.15054771,-0.032576386,0.73084605,0.66490436
46.8481,-0.14417851,-0.027152173,0.7321285,0.66518754
46.8581,-0.13704786,-0.020741116,0.733232,0.6656761
46.8682,-0.129574,-0.013033062,0.73442936,0.6660518
46.8777,-0.12233488,-0.005292807,0.73551023,0.6663164
46.8882,-0.11400362,0.0029395,0.73633754,0.6669291
46.898,-0.10582474,0.010189254,0.7362378,0.66828424
46.908,-0.09786046,0.017232955,0.7352823,0.67046195
46.9175,-0.09118863,0.023066774,0.7330131,0.6736487
46.9279,-0.08533449,0.026618557,0.7278452,0.6798731
46.9379,-0.080243774,0.026747681,0.7207047,0.6880201
46.9481,-0.07571912,0.024798378,0.7128178,0.69677377
46.9578,-0.07492715,0.022663753,0.7076431,0.70216185
46.9679,-0.076053806,0.021288551,0.70340943,0.70637536
46.9774,-0.0766535,0.02027596,0.69905376,0.71061337
46.9878,-0.076332614,0.019166995,0.6938735,0.7157899
46.9979,-0.07618894,0.01749503,0.6880535,0.7214134
47.008,-0.07479594,0.015659448,0.6814399,0.72783214
47.0178,-0.07183291,0.014272163,0.6739,0.73515403
47.0282,-0.066719815,0.013882749,0.66489655,0.7438158
47.0379,-0.05969235,0.014834382,0.65628946,0.7519588
47.0477,-0.05052854,0.01741911,0.648615,0.7592398
47.0577,-0.039678514,0.021806177,0.64271986,0.7647303
47.0677,-0.027859244,0.027628897,0.63872415,0.7684391
47.0775,-0.015574469,0.033823118,0.636318,0.7704749
47.0877,-0.0018672235,0.0403345,0.63597834,0.77061397
47.0973,0.011797683,0.046660677,0.63852644,0.76809365
47.1078,0.026745826,0.053580377,0.64424074,0.76242656
47.1177,0.04023896,0.06008356,0.65153563,0.75510293
47.1277,0.052105602,0.06645195,0.6593037,0.74712527
47.1377,0.062501185,0.07260685,0.66706246,0.7387822
47.1478,0.0718165,0.07817668,0.6740507,0.7309799
47.1572,0.079766944,0.08268209,0.6796546,0.7244566
47.1675,0.08766914,0.08700355,0.6847634,0.7181658
47.1777,0.09494015,0.090852186,0.6892313,0.7125374
47.1877,0.10211534,0.09415751,0.6925799,0.70779335
47.1976,0.10943079,0.09690492,0.6938523,0.7051065
47.2072,0.11626634,0.099560365,0.69287145,0.70456445
47.2177,0.124097444,0.10254535,0.689865,0.70581675
47.2277,0.1324645,0.10570586,0.68585956,0.70773965
47.2375,0.14097565,0.10847291,0.6808919,0.7104891
47.2474,0.14930007,0.11050329,0.6754159,0.71361756
47.2575,0.15700853,0.1121212,0.67012715,0.7166589
47.2674,0.16356394,0.113317855,0.66573524,0.71916246
47.277,0.16827118,0.11404811,0.6629979,0.7204472
47.2875,0.17131884,0.11450386,0.66220856,0.7203994
47.2976,0.1720078,0.11429372,0.6632167,0.71933365
47.3074,0.17194606,0.11351766,0.66573095,0.7171378
