elapsed_s,i,j,k,real
13.698,0.007917844,-0.003575374,0.5768718,0.8167627
13.7081,0.007904376,-0.0035269058,0.57681257,0.81680024
13.7175,0.007915075,-0.003487829,0.5768132,0.8167546
13.7279,0.007903017,-0.0034244624,0.5768377,0.8168063
13.7382,0.007862524,-0.0033112431,0.5768173,0.816812
13.7481,0.007785706,-0.0032748948,0.57680976,0.81682503
13.7582,0.007822039,-0.003198066,0.57679677,0.8168175
13.7681,0.0077452203,-0.0031617181,0.5767893,0.8168305
13.7779,0.007718196,-0.0030969672,0.5768281,0.81679857
13.788,0.0077679893,-0.0030685654,0.5768744,0.8167535
13.7979,0.0077302484,-0.0030429158,0.5769125,0.8167672
13.808,0.007740964,-0.0030038143,0.5769132,0.8167216
13.8178,0.007703224,-0.0029781654,0.5769514,0.81673527
13.8274,0.007664146,-0.0029674664,0.5769057,0.81673455
13.8377,0.007716829,-0.0029944822,0.5768533,0.8168047
13.8479,0.0077033853,-0.0029460313,0.576794,0.8168422
13.8579,0.0076913126,-0.0030000594,0.5767096,0.81687367
13.8679,0.00767787,-0.002951608,0.5766503,0.81691116
13.8778,0.0076266606,-0.0028774913,0.5766293,0.8169623
13.8879,0.007576843,-0.002905876,0.57658297,0.8170073
13.8976,0.007576843,-0.002905876,0.57658297,0.8170073
13.9079,0.0075377654,-0.0028951766,0.5765374,0.81700665
13.9177,0.0075377654,-0.0028951766,0.5765374,0.81700665
13.9277,0.0075498186,-0.0028411255,0.5766218,0.81697536
13.9378,0.0074971598,-0.002814127,0.5766742,0.81690514
13.9478,0.0074836034,-0.0027978446,0.57677233,0.81683564
13.9577,0.0074309027,-0.0027708532,0.5768248,0.8167656
13.9677,0.0073931618,-0.0027452041,0.576863,0.81677914
13.9777,0.0074322633,-0.0027559204,0.5769086,0.8167798
13.9876995,0.0074066296,-0.0027936723,0.5769222,0.8167417
13.9977,0.0073796054,-0.0027289218,0.57696104,0.81670964
14.0073,0.0073660407,-0.0027125974,0.57705915,0.81664026
14.0175,0.0073026656,-0.0027247,0.57711095,0.8166157
14.0277,0.0072891046,-0.0027084234,0.57720906,0.8165461
14.0374,0.007275523,-0.002692124,0.5773071,0.8164766
14.0476,0.007261942,-0.0026758246,0.5774052,0.8164071
14.0575,0.0072092665,-0.00264885,0.5774576,0.816337
14.0677,0.0071849856,-0.0026716276,0.5775551,0.81631315
14.0775,0.0071323276,-0.002644629,0.5776076,0.81624293
14.0876,0.0071080546,-0.0026674483,0.5777049,0.8162191
14.0977,0.0071080546,-0.0026674483,0.5777049,0.8162191
14.1075,0.0070162695,-0.002629716,0.5777118,0.81614834
14.1177,0.00695287,-0.0026418017,0.5777637,0.81612366
14.1273,0.00695287,-0.0026418017,0.5777637,0.81612366
14.1374,0.006916496,-0.0027186377,0.5777767,0.81613123
14.1474,0.006916496,-0.0027186377,0.5777767,0.81613123
14.1575,0.006877419,-0.0027079391,0.577731,0.81613064
14.1675,0.006866703,-0.0027470407,0.5777304,0.8161761
14.1774,0.0068276254,-0.0027363412,0.5776848,0.8161756
14.187,0.0068169264,-0.0027754183,0.57768416,0.8162211
14.1975,0.006753544,-0.0027874794,0.57773596,0.81619656
14.2074,0.0067278855,-0.0028252145,0.5777496,0.8161584
14.2172,0.0066888086,-0.0028145148,0.5777039,0.8161578
14.2274,0.0066403267,-0.0028279508,0.5777415,0.81621706
14.2372,0.006575571,-0.0028549624,0.57770956,0.81617826
14.2472,0.006525753,-0.002883348,0.5776633,0.8162233
14.2573,0.0064759357,-0.002911733,0.57761705,0.81626827
14.2673,0.0063236896,-0.0029415388,0.577577,0.8162881
14.2772,0.0062995055,-0.0029321723,0.57751703,0.81637114
14.2872,0.0061715017,-0.0029391004,0.5773796,0.81641495
14.2967,0.006005764,-0.0029204208,0.57728016,0.81647223
14.3071,0.005881968,-0.002967842,0.5771278,0.81664544
14.3172,0.0057312,-0.0030679172,0.57690525,0.81676614
14.3272,0.0055426685,-0.0031423736,0.57672083,0.81690043
14.3371,0.0054296064,-0.003150669,0.5765691,0.817028
14.3472,0.005317894,-0.003261473,0.57639205,0.8171492
14.3571,0.005179132,-0.0033075097,0.57625395,0.8172385
14.367,0.0050538797,-0.0034020077,0.57617503,0.81729037
