elapsed_s,i,j,k,real
0.13334998,-0.010451341,-0.0039128875,-0.25302058,0.96742225
0.14324997,-0.010425598,-0.0039471155,-0.25298405,0.9674458
0.15344998,-0.0103656445,-0.0039555877,-0.25292394,0.9674329
0.16344997,-0.010339901,-0.003989816,-0.25288734,0.9674564
0.17344998,-0.010279914,-0.003998299,-0.25282717,0.96744347
0.18354999,-0.010228424,-0.0040667397,-0.25275406,0.9674905
0.19354998,-0.010160337,-0.004013735,-0.25275254,0.96749073
0.20344998,-0.010133077,-0.0040476387,-0.25278932,0.96746874
0.21354997,-0.0100392215,-0.0040288437,-0.2527512,0.96749234
0.22344998,-0.0100392215,-0.0040288437,-0.2527512,0.96749234
0.23364998,-0.009986213,-0.0040969453,-0.25275132,0.96749395
0.24334998,-0.009986213,-0.0040969453,-0.25275132,0.96749395
0.25364998,-0.0099250525,-0.0041035824,-0.25281012,0.9675087
0.26375,-0.0098977955,-0.0041374564,-0.2528469,0.9674866
0.27374998,-0.0098977955,-0.0041374564,-0.2528469,0.9674866
0.28324997,-0.00983784,-0.004145943,-0.2527868,0.9674738
0.29354998,-0.00983784,-0.004145943,-0.2527868,0.9674738
0.30384997,-0.009784839,-0.00421406,-0.2527869,0.9674753
0.31385,-0.009784839,-0.00421406,-0.2527869,0.9674753
0.32334998,-0.009784839,-0.00421406,-0.2527869,0.9674753
0.33354998,-0.009827212,-0.0043012965,-0.25275186,0.96749854
0.34374997,-0.009827212,-0.0043012965,-0.25275186,0.96749854
0.35375,-0.009801471,-0.0043355096,-0.25271535,0.96752214
0.36364996,-0.009767259,-0.0043097683,-0.2526918,0.96748567
0.37364998,-0.009706097,-0.0043163905,-0.25275055,0.9675004
0.38394997,-0.009646112,-0.004324874,-0.2526904,0.9674874
0.39415,-0.009612235,-0.00429764,-0.25271246,0.96752405
0.40424997,-0.0095522795,-0.004306127,-0.2526523,0.9675112
0.41404998,-0.009519575,-0.004280709,-0.25255546,0.9675201
0.42395,-0.009521091,-0.0042810333,-0.2524822,0.9675657
0.43414998,-0.009435364,-0.0043237302,-0.25238556,0.9675763
0.44394997,-0.009368762,-0.004271076,-0.25231066,0.9676221
0.45404997,-0.009343022,-0.004305289,-0.25227416,0.96764565
0.46404997,-0.0093157645,-0.004339163,-0.25231087,0.96762365
0.47425,-0.009255808,-0.0043476503,-0.2522507,0.96761066
0.48424998,-0.009194676,-0.00435429,-0.25230947,0.96762526
0.49414998,-0.009167418,-0.004388179,-0.25234622,0.96760327
0.50435,-0.009133515,-0.0043609124,-0.25236824,0.96764
0.51414996,-0.009072045,-0.00436906,-0.25238138,0.9675814
0.52414995,-0.009072045,-0.00436906,-0.25238138,0.9675814
0.53424996,-0.009072045,-0.00436906,-0.25238138,0.9675814
