elapsed_s,i,j,k,real
2.73935,-0.012022799,-0.005304163,-0.25413418,0.96710694
2.74935,-0.011995542,-0.0053380374,-0.25417092,0.967085
2.75955,-0.0119698,-0.0053722505,-0.25413433,0.96710855
2.76935,-0.011916799,-0.0054403823,-0.2541345,0.9671101
2.77945,-0.011863797,-0.005508499,-0.2541347,0.9671115
2.78945,-0.011810798,-0.0055766013,-0.25413486,0.967113
2.79945,-0.011783541,-0.0056104898,-0.2541716,0.9670911
2.80945,-0.011756276,-0.005644379,-0.25420833,0.9670691
2.81945,-0.011730532,-0.005678606,-0.2541718,0.9670927
2.82935,-0.011703273,-0.00571251,-0.2542085,0.9670707
2.83955,-0.011676016,-0.005746384,-0.2542452,0.9670486
2.84975,-0.011623017,-0.0058145016,-0.2542454,0.96705014
2.85965,-0.011630003,-0.0058741197,-0.25430563,0.9670646
2.86925,-0.0116027435,-0.0059080236,-0.25434238,0.9670426
2.87955,-0.011575487,-0.0059418976,-0.2543791,0.9670206
2.8896499,-0.011582441,-0.006001543,-0.2544394,0.9670352
2.89965,-0.011555175,-0.006035431,-0.2544762,0.96701306
2.90945,-0.011527917,-0.00606932,-0.2545129,0.96699107
2.91955,-0.011466756,-0.006075942,-0.2545716,0.9670057
2.92965,-0.011379543,-0.006118318,-0.25454825,0.96697074
2.93965,-0.011353792,-0.0061525446,-0.2545117,0.96699435
2.9493499,-0.011300793,-0.006220662,-0.25451183,0.96699584
2.95965,-0.011239632,-0.00622727,-0.25457057,0.9670107
2.96985,-0.01118663,-0.006295401,-0.2545707,0.96701217
2.97975,-0.011132115,-0.0063631795,-0.25464422,0.9669681
2.99035,-0.011070975,-0.006369819,-0.254703,0.96698284
2.99995,-0.010983731,-0.0064121913,-0.25467953,0.96694773
3.00995,-0.010957989,-0.0064464193,-0.254643,0.9669713
3.01985,-0.01090499,-0.0065145213,-0.25464317,0.9669729
3.03015,-0.0108111305,-0.006495741,-0.2546051,0.9669966
3.04025,-0.01075813,-0.006563858,-0.2546053,0.9669982
3.05015,-0.010698175,-0.00657233,-0.25454518,0.96698517
3.06015,-0.010611294,-0.006613183,-0.2545673,0.96702343
3.07025,-0.010584037,-0.0066470713,-0.2546041,0.96700144
3.08025,-0.01046289,-0.006662178,-0.2546027,0.9670032
3.09035,-0.010435634,-0.0066960515,-0.25463945,0.9669811
3.10005,-0.010375678,-0.0067045386,-0.25457937,0.9669681
3.1101499,-0.010288792,-0.0067454353,-0.2546015,0.9670065
3.12015,-0.010227322,-0.0067535685,-0.25461465,0.9669478
3.1303499,-0.010174322,-0.0068216855,-0.2546148,0.96694934
3.1403499,-0.010113162,-0.0068282927,-0.2546736,0.96696407
3.15045,-0.010085903,-0.0068621966,-0.25471038,0.966942
3.16025,-0.009997514,-0.006902711,-0.2548058,0.9669347
3.17045,-0.009909095,-0.006943222,-0.2549012,0.96692735
3.18045,-0.009881828,-0.006977125,-0.25493792,0.96690536
3.19045,-0.009854571,-0.007010999,-0.25497472,0.9668833
3.20035,-0.009759226,-0.0069918977,-0.25500986,0.9668615
3.21045,-0.009672321,-0.007032763,-0.2550321,0.9668997
3.22035,-0.0096380785,-0.0070070187,-0.25500846,0.96686316
3.23055,-0.009551174,-0.007047869,-0.25503075,0.9669015
3.24065,-0.009463961,-0.0070902295,-0.25500727,0.96686643
3.25045,-0.009368617,-0.007071114,-0.2550425,0.96684456
3.26045,-0.009334714,-0.007043847,-0.25506452,0.96688133
3.27055,-0.009281713,-0.007111964,-0.25506467,0.9668829
3.28055,-0.009186329,-0.007092874,-0.2550999,0.96686107
3.29065,-0.009159072,-0.007126763,-0.25513658,0.966839
3.30025,-0.009065207,-0.007107967,-0.2550985,0.9668627
3.31055,-0.008969862,-0.007088851,-0.25513363,0.96684086
3.3206499,-0.008910217,-0.0070958124,-0.25511912,0.96690124
3.33075,-0.008848715,-0.0071039572,-0.2551323,0.96684253
3.34035,-0.008763018,-0.007146657,-0.2550357,0.96685314
3.3508499,-0.008703402,-0.007153622,-0.25502118,0.9669134
3.36075,-0.008643448,-0.007162093,-0.254961,0.96690047
3.37085,-0.008590446,-0.007230225,-0.25496116,0.966902
3.38045,-0.00849507,-0.0072111217,-0.25499636,0.96688014
3.39075,-0.008433938,-0.007217761,-0.25505504,0.96689487
3.40085,-0.008379421,-0.0072855386,-0.25512856,0.9668509
3.41095,-0.008318254,-0.0072921603,-0.25518733,0.9668655
3.42115,-0.008222849,-0.007273039,-0.25522247,0.96684366
3.43085,-0.008187457,-0.0072454647,-0.25531778,0.96683484
3.44105,-0.008125987,-0.0072536133,-0.25533095,0.96677625
3.45105,-0.008066341,-0.007260574,-0.25531638,0.9668366
3.46115,-0.007970998,-0.0072414586,-0.25535157,0.96681464
3.47115,-0.0079110125,-0.0072499267,-0.2552914,0.96680164
3.48115,-0.00787711,-0.0072226604,-0.2553135,0.9668383
3.49115,-0.007849853,-0.0072565493,-0.25535023,0.96681637
3.50115,-0.007781765,-0.007203544,-0.25534874,0.96681666
3.51125,-0.007781765,-0.007203544,-0.25534874,0.96681666
3.5211499,-0.007660643,-0.007218698,-0.25534734,0.9668183
3.53125,-0.007660643,-0.007218698,-0.25534734,0.9668183
3.54125,-0.00760069,-0.00722717,-0.25528717,0.96680534
3.5513499,-0.0076021994,-0.007227493,-0.25521392,0.9668509
3.5613499,-0.0075764563,-0.007261721,-0.2551773,0.9668744
3.57135,-0.007516471,-0.00727019,-0.25511724,0.9668615
3.58135,-0.007492246,-0.0073047425,-0.25500736,0.96693057
3.59125,-0.0074322904,-0.007313229,-0.2549473,0.96691763
3.60135,-0.007459547,-0.00727934,-0.25491062,0.96693957
