elapsed_s,i,j,k,real
85.7839,-0.005667868,-0.011861101,-0.17074382,0.9852219
85.7939,-0.0057812454,-0.011864519,-0.17129904,0.985103
85.8037,-0.005929623,-0.01192985,-0.17175746,0.9850058
85.8138,-0.0059755263,-0.011993796,-0.17222199,0.98493373
85.8238,-0.006059163,-0.012032094,-0.1726484,0.98487544
85.8337,-0.0060659586,-0.012106761,-0.17306745,0.984804
85.8436,-0.0060606897,-0.012127385,-0.17340192,0.9847012
85.8537,-0.00600139,-0.012160083,-0.17370519,0.9846828
85.8636,-0.005966369,-0.012215596,-0.17391092,0.98464054
85.8733,-0.0059299935,-0.012256173,-0.17403293,0.9846127
85.8836,-0.0058652405,-0.012346564,-0.17410988,0.984631
85.8938,-0.005788398,-0.01238293,-0.1741024,0.98461807
85.9036,-0.0056831893,-0.012469102,-0.17404997,0.9846512
85.9135,-0.0055658966,-0.012501243,-0.17391312,0.98465306
85.9236,-0.005305668,-0.012527783,-0.17365304,0.98469514
85.9336,-0.0050049634,-0.0125501165,-0.17326352,0.98475206
85.9434,-0.0047029355,-0.012557529,-0.17279023,0.9848232
85.9537,-0.004270006,-0.012613326,-0.17227817,0.9849659
85.9637,-0.003927494,-0.012733918,-0.17178437,0.9850315
85.9736,-0.0035188552,-0.012812562,-0.17117482,0.9851502
85.9837,-0.0031372518,-0.012826445,-0.1705265,0.985237
85.9935,-0.0026868097,-0.012885928,-0.16970381,0.985385
86.0036,-0.0021972898,-0.012838736,-0.16872653,0.98555386
86.0136,-0.0017050309,-0.012879066,-0.16769052,0.9857312
86.0235,-0.0011373158,-0.012853267,-0.16662198,0.9859015
86.0335,-0.0006180559,-0.012840952,-0.16551596,0.9861311
86.0434,-7.5979624e-05,-0.0128529,-0.16443369,0.9862633
86.053,0.00048105558,-0.012866188,-0.16336581,0.9864792
86.0632,0.0010892441,-0.012953592,-0.16227674,0.98664397
86.0733,0.0016988125,-0.013143491,-0.16121292,0.9868025
86.0833,0.0023069961,-0.013230894,-0.16012388,0.9869673
86.0932,0.0029435705,-0.013368116,-0.1589899,0.98717844
86.1035,0.0035895137,-0.013481177,-0.15793905,0.9873295
86.1132,0.004161342,-0.013645427,-0.15683705,0.98750174
86.1232,0.0048733866,-0.01383394,-0.15577939,0.98768556
86.1334,0.005531417,-0.014010353,-0.15475303,0.98778486
86.1434,0.0061652716,-0.01417744,-0.1537866,0.98796725
86.1532,0.0067721196,-0.014397205,-0.1528903,0.9880973
86.1636,0.007378978,-0.014616938,-0.15199402,0.9882273
86.1733,0.007907617,-0.014815264,-0.15118903,0.988356
86.1832,0.008448345,-0.0149595635,-0.15029958,0.98845345
86.1932,0.009017453,-0.015153678,-0.14936516,0.9885971
86.2031,0.009612223,-0.015310026,-0.14844438,0.98877895
86.2132,0.010266138,-0.015413872,-0.14756054,0.98885584
86.2232,0.010870246,-0.015546072,-0.14672285,0.9889778
86.2328,0.011448709,-0.015716018,-0.14587158,0.98906153
86.243,0.012075745,-0.01584034,-0.14521518,0.9891932
86.2532,0.0127526205,-0.01605371,-0.14462146,0.9892591
86.2631,0.01342673,-0.016179532,-0.14408645,0.98931706
86.2731,0.013989053,-0.016448282,-0.14357087,0.9893893
86.2832,0.014599809,-0.016703602,-0.14309299,0.9894022
86.2929,0.0151500385,-0.017026413,-0.14266196,0.9895059
86.3031,0.015711049,-0.017544918,-0.14244819,0.98952276
86.3131,0.016308405,-0.01810402,-0.14235637,0.98951197
86.3231,0.016940752,-0.018601235,-0.14236146,0.9894792
86.3329,0.017534029,-0.01908772,-0.14241204,0.98944575
86.3432,0.01815428,-0.019521542,-0.14239249,0.989465
86.353,0.0187205,-0.01982588,-0.14229533,0.98942006
86.3631,0.01935281,-0.02008824,-0.14208245,0.98942834
86.3731,0.01987058,-0.020288585,-0.14183882,0.98946327
86.383,0.020351961,-0.02044838,-0.1414732,0.98952615
86.393,0.020883162,-0.020579789,-0.14106143,0.98954403
86.4029,0.021287702,-0.020703215,-0.1407032,0.9896199
86.4126,0.021740675,-0.020813208,-0.14038265,0.98963654
86.423,0.022153217,-0.020927407,-0.14019147,0.98963827
86.4329,0.022525297,-0.020928401,-0.14002076,0.98964536
86.4427,0.02281918,-0.021025386,-0.1400502,0.98963094
86.4527,0.023032129,-0.021013413,-0.14022952,0.9896071
86.463,0.023205971,-0.020990716,-0.14045444,0.9895826
86.4728,0.02327464,-0.020999257,-0.14084086,0.98950434
86.4828,0.023328483,-0.020974297,-0.14137027,0.98944926
86.4929,0.02331621,-0.020873837,-0.1419065,0.98936164
86.5029,0.02330393,-0.020773415,-0.14244276,0.9892741
86.5128,0.023253907,-0.020647336,-0.14294085,0.98920023
86.5222,0.023271384,-0.020581769,-0.14334834,0.98917305
86.5326,0.023260478,-0.020466382,-0.14380077,0.98909986
86.5428,0.023276549,-0.020298375,-0.14418304,0.9890789
86.5527,0.02328181,-0.020201582,-0.14440867,0.9889966
86.5627,0.023303369,-0.020091215,-0.14456469,0.9890125
86.5727,0.023376077,-0.019937553,-0.1445907,0.9889976
86.5827,0.023374699,-0.019835094,-0.14456561,0.9890037
86.5923,0.023412423,-0.019743318,-0.14449477,0.9890106
86.6026,0.023411043,-0.019640824,-0.14446959,0.9890168
86.6125,0.023448773,-0.019549053,-0.14439881,0.98902357
86.6225,0.023411013,-0.019406017,-0.1442517,0.9890578
86.6325,0.023412362,-0.01927366,-0.14405894,0.98909265
86.6426,0.023348946,-0.019168358,-0.14389816,0.9890885
86.6527,0.023350298,-0.019036006,-0.14370543,0.9891233
86.6625,0.023312546,-0.018892936,-0.14355838,0.98915744
86.6726,0.023315266,-0.01886307,-0.14339074,0.989186
86.6824,0.023353,-0.018771302,-0.1433199,0.9891928
86.6924,0.023428459,-0.01870517,-0.14328733,0.9891859
86.702,0.02356866,-0.01872946,-0.1433317,0.9891975
86.7125,0.023784347,-0.018687598,-0.14334348,0.98920226
86.7226,0.023898888,-0.018632205,-0.14326528,0.98919606
86.7324,0.024080921,-0.018637318,-0.14309639,0.98923683
86.7424,0.024275037,-0.018588398,-0.14284316,0.98924613
86.7523,0.024318213,-0.018554311,-0.14254609,0.98928964
86.7624,0.024323659,-0.018494586,-0.14221093,0.98934674
86.7721,0.024252262,-0.018398495,-0.14188325,0.98941696
86.7823,0.024077032,-0.018318724,-0.1416331,0.9894476
86.7924,0.023899062,-0.018151391,-0.14144158,0.98947024
86.8024,0.023644272,-0.018065125,-0.14136651,0.9894854
86.8118,0.023452872,-0.017966758,-0.14134324,0.9895251
86.8222,0.023245173,-0.017881965,-0.14138949,0.9894666
86.8324,0.023129243,-0.01783489,-0.14144254,0.989479
86.8423,0.023088781,-0.017839108,-0.141572,0.98946416
86.8521,0.02307669,-0.017775718,-0.1415475,0.9895159
86.8622,0.023090139,-0.017706761,-0.14137927,0.9894988
86.8722,0.02312923,-0.01760006,-0.14122465,0.98951995
86.8818,0.023134671,-0.017540328,-0.14088947,0.9895772
86.8923,0.023141472,-0.017465666,-0.14047047,0.9896486
86.9022,0.023110531,-0.017365355,-0.14001334,0.98973364
86.9122,0.023078244,-0.017279988,-0.13964003,0.98980445
86.9221,0.023095774,-0.017283645,-0.13932931,0.98980975
86.932,0.023059394,-0.017243063,-0.13920736,0.98983765
86.9422,0.023097105,-0.017151315,-0.13913661,0.9898445
86.9519,0.0231362,-0.017162029,-0.13909096,0.98984516
86.962,0.023134828,-0.017059539,-0.1390658,0.98985136
86.972,0.02313618,-0.0170446,-0.13898203,0.98986566
86.982,0.02311053,-0.016964927,-0.13885942,0.98984796
86.9921,0.02299868,-0.016873058,-0.13866106,0.9899032
87.002,0.022924561,-0.01680683,-0.13850102,0.9899448
87.012,0.022850452,-0.016740607,-0.13834089,0.9899863
87.022,0.022750692,-0.016712125,-0.13816702,0.9899899
87.0319,0.022714311,-0.016671542,-0.1380451,0.99001765
87.0421,0.022637479,-0.016635187,-0.13805252,0.99003077
87.0519,0.02261046,-0.01657044,-0.13801375,0.98999876
87.0615,0.022533625,-0.016534079,-0.13802114,0.9900117
87.072,0.022420427,-0.016574562,-0.13801566,0.9900322
87.0818,0.022280209,-0.016550297,-0.13797125,0.9900207
87.0919,0.022139985,-0.016526032,-0.13792688,0.9900092
87.102,0.02187312,-0.016493795,-0.13793626,0.9900558
87.112,0.021618351,-0.016407505,-0.1378611,0.9900709
87.1218,0.0213622,-0.016336165,-0.1378698,0.99007165
87.1318,0.021066945,-0.016254108,-0.13792416,0.990072
87.1418,0.020771693,-0.016172055,-0.13797843,0.99007225
87.1519,0.020510092,-0.016043026,-0.1382134,0.99003637
87.1619,0.020197317,-0.015957316,-0.13857836,0.9900312
87.1719,0.019893894,-0.015847437,-0.1390265,0.9899663
87.1818,0.01967004,-0.015861474,-0.13940856,0.9898963
87.1916,0.019481193,-0.015813604,-0.13988736,0.98980474
87.2017,0.019320711,-0.015815537,-0.14032131,0.9897593
87.2118,0.019083414,-0.015781123,-0.14076263,0.98972696
87.2218,0.01889456,-0.01573325,-0.14124143,0.9896352
87.2316,0.018619519,-0.015673181,-0.1416446,0.98961645
87.2412,0.018433373,-0.015595466,-0.14195588,0.9895533
