elapsed_s,i,j,k,real
2.746,-0.017627582,-0.015733201,-0.13502261,0.9905353
2.7554,-0.017627582,-0.015733201,-0.13502261,0.9905353
2.7659001,-0.017627582,-0.015733201,-0.13502261,0.9905353
2.7758,-0.017627582,-0.015733201,-0.13502261,0.9905353
2.7859,-0.017627582,-0.015733201,-0.13502261,0.9905353
2.7959,-0.017626222,-0.015718268,-0.1349388,0.9905497
2.8058,-0.017597843,-0.015768081,-0.13489386,0.9905958
2.8157,-0.01755874,-0.015778799,-0.13484827,0.99059653
2.8254,-0.017507559,-0.015852898,-0.13482714,0.9905453
2.8359,-0.017507559,-0.015852898,-0.13482714,0.9905453
2.8457,-0.017518273,-0.015891999,-0.13482776,0.99059093
2.8558,-0.017480532,-0.01591765,-0.13486594,0.9905773
2.8657,-0.017481891,-0.01593258,-0.13494974,0.990563
2.8758001,-0.017444158,-0.015958227,-0.13498792,0.9905493
2.8857,-0.017406423,-0.015983872,-0.13502616,0.99053574
2.8957,-0.017407782,-0.015998801,-0.1351099,0.9905214
2.9057,-0.017370049,-0.016024448,-0.13514808,0.99050766
2.9156,-0.017305288,-0.016114844,-0.13522509,0.9905261
2.9256,-0.017305288,-0.016114844,-0.13522509,0.9905261
2.9351,-0.017305288,-0.016114844,-0.13522509,0.9905261
2.9455001,-0.017266186,-0.01612556,-0.13517943,0.9905268
2.9555001,-0.017264832,-0.016110625,-0.13509563,0.99054104
2.9656,-0.017225739,-0.016121335,-0.13505,0.9905417
2.9756,-0.017224358,-0.01622383,-0.13507515,0.9905354
2.9855,-0.017159611,-0.016196802,-0.13504314,0.99057424
2.9956,-0.017121876,-0.016222447,-0.13508135,0.9905606
3.0052,-0.017084142,-0.016248092,-0.13511953,0.99054694
3.0156,-0.0170464,-0.01627374,-0.1351577,0.9905333
3.0255,-0.017008664,-0.016299386,-0.13519588,0.99051964
3.0355,-0.016969569,-0.016310098,-0.13515025,0.99052024
3.0456,-0.016969569,-0.016310098,-0.13515025,0.99052024
3.0555,-0.016968207,-0.016295165,-0.13506648,0.99053466
3.0654001,-0.016890012,-0.016316595,-0.13497514,0.99053586
3.0754,-0.016899373,-0.016340759,-0.13489205,0.9905958
3.0853,-0.016860275,-0.016351478,-0.13484642,0.9905964
3.0954,-0.016858913,-0.016336543,-0.13476261,0.9906107
3.1054,-0.016819818,-0.016347256,-0.13471699,0.9906114
3.1148,-0.016780715,-0.016357973,-0.13467139,0.9906119
3.1254,-0.016742982,-0.016383618,-0.13470957,0.99059826
3.1352,-0.01670524,-0.016409267,-0.13474774,0.99058473
3.1452,-0.016602766,-0.016407883,-0.13475391,0.9906098
