elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
0.1615,-274,268,135,-56,32,-2793,5471,-12
0.16200002,-274,267,135,-56,33,-2793,5471,-12
0.16250001,-274,267,135,-58,34,-2793,5470,-12
0.16300002,-274,267,136,-58,33,-2793,5471,-12
0.16350001,-274,268,136,-58,34,-2793,5470,-12
0.164,-274,267,136,-57,34,-2793,5470,-12
0.16450001,-274,268,136,-58,36,-2793,5470,-12
0.165,-274,268,136,-57,36,-2792,5471,-12
0.16550002,-275,268,135,-57,35,-2793,5471,-12
0.16600001,-274,268,135,-56,34,-2793,5471,-12
0.16650002,-275,268,134,-56,34,-2793,5471,-12
0.16700001,-274,267,134,-57,34,-2793,5471,-12
0.1675,-274,268,134,-56,34,-2793,5471,-12
0.16800001,-274,267,134,-56,33,-2793,5471,-12
0.1685,-274,268,134,-56,33,-2793,5471,-12
0.16900001,-274,268,135,-57,32,-2792,5471,-12
0.16950001,-274,268,136,-57,33,-2793,5471,-12
0.17000002,-275,268,137,-57,34,-2792,5470,-12
0.17050001,-274,268,136,-57,34,-2792,5471,-12
0.171,-274,268,137,-56,33,-2792,5471,-12
0.17150001,-274,268,136,-56,33,-2792,5471,-12
0.172,-274,268,136,-57,33,-2792,5470,-12
0.17250001,-274,268,135,-56,33,-2793,5471,-12
0.17300001,-274,268,136,-56,33,-2793,5471,-12
0.17350002,-274,268,135,-56,33,-2793,5471,-12
0.17400001,-274,268,136,-56,33,-2793,5470,-12
0.1745,-274,268,136,-57,33,-2794,5470,-12
0.17500001,-275,268,136,-57,34,-2794,5470,-12
0.1755,-275,268,136,-58,34,-2794,5470,-13
0.17600001,-274,268,136,-57,34,-2794,5470,-13
0.17650001,-274,268,135,-57,34,-2793,5471,-12
0.17700002,-274,268,135,-56,34,-2793,5471,-13
0.17750001,-274,268,134,-56,33,-2794,5471,-13
0.17800002,-274,268,135,-56,34,-2794,5471,-14
0.17850001,-274,267,134,-56,33,-2794,5471,-14
0.179,-274,267,134,-56,33,-2794,5471,-14
0.17950001,-274,267,133,-56,33,-2794,5471,-15
0.18,-274,267,133,-56,32,-2794,5470,-15
0.18050002,-275,267,133,-55,32,-2794,5471,-14
0.18100001,-275,267,134,-56,32,-2794,5471,-15
0.18150002,-274,267,135,-56,33,-2794,5471,-14
0.18200001,-274,267,135,-56,34,-2794,5470,-14
0.1825,-274,267,136,-57,33,-2793,5470,-14
0.18300001,-275,267,136,-57,34,-2793,5470,-13
0.1835,-274,267,136,-57,35,-2793,5470,-13
0.18400002,-274,267,136,-56,34,-2793,5469,-13
0.18450001,-274,267,137,-57,34,-2794,5470,-13
0.18500002,-274,267,137,-57,34,-2794,5470,-13
0.18550001,-274,267,135,-57,33,-2794,5471,-13
0.186,-275,267,135,-56,33,-2794,5471,-14
0.18650001,-275,267,135,-56,33,-2794,5471,-13
0.187,-274,267,135,-56,33,-2794,5471,-12
0.18750001,-275,267,136,-56,33,-2793,5471,-11
0.18800001,-274,268,136,-57,33,-2792,5470,-10
0.18850002,-275,268,136,-57,34,-2793,5471,-10
0.18900001,-275,268,136,-58,32,-2792,5471,-10
0.1895,-275,268,135,-57,33,-2793,5470,-10
0.19000001,-274,268,136,-57,33,-2793,5470,-11
0.1905,-275,267,135,-57,34,-2793,5470,-11
0.19100001,-274,267,135,-57,34,-2793,5471,-12
0.19150001,-274,267,135,-57,33,-2793,5471,-12
0.19200002,-274,267,135,-57,33,-2794,5471,-13
0.19250001,-274,267,135,-57,34,-2793,5471,-12
0.193,-274,267,135,-57,34,-2794,5470,-13
0.19350001,-274,267,135,-58,34,-2793,5471,-13
0.194,-274,267,135,-58,33,-2794,5470,-13
0.19450001,-275,267,136,-58,33,-2794,5470,-13
0.19500001,-274,267,135,-57,33,-2794,5470,-13
0.19550002,-274,267,135,-56,33,-2794,5470,-13
0.19600001,-274,267,136,-55,33,-2794,5471,-13
