elapsed_s,i,j,k,real
96.0812,-0.0048203785,-0.033715226,-0.042211026,0.99854815
96.0913,-0.0048565837,-0.0336978,-0.042165875,0.9985567
96.1013,-0.004836864,-0.03365628,-0.042158693,0.9985171
96.1114,-0.0048556216,-0.033602647,-0.042122006,0.9985708
96.1213,-0.004872081,-0.033543684,-0.042069644,0.9985396
96.1314,-0.004871141,-0.03344855,-0.042025775,0.99855375
96.1414,-0.0048340242,-0.033370897,-0.042027056,0.9985593
96.1515,-0.0048287082,-0.033373177,-0.041942358,0.998575
96.1614,-0.0048451917,-0.03331423,-0.041889995,0.9985439
96.1715,-0.004863931,-0.033260573,-0.04185331,0.99859756
96.1815,-0.0049228873,-0.033277087,-0.041884392,0.9985452
96.1914,-0.004959074,-0.033259638,-0.041839212,0.99855363
96.2015,-0.0049952725,-0.033242214,-0.04179403,0.99856204
96.2116,-0.005036787,-0.033222515,-0.04183361,0.9985548
96.2215,-0.0050411215,-0.033125058,-0.04187438,0.99855334
96.2315,-0.005082636,-0.03310536,-0.041913927,0.99854624
96.2415,-0.0051067043,-0.03304945,-0.04196188,0.9985843
96.2514,-0.0051110806,-0.03295204,-0.042002708,0.99858266
96.2618,-0.005115425,-0.032854617,-0.042043507,0.9985811
96.2718,-0.0051734233,-0.032775972,-0.04203075,0.99854285
96.2818,-0.005156,-0.032739785,-0.042039126,0.9985881
96.2913,-0.005213976,-0.032661118,-0.04202637,0.99854976
96.3016,-0.005213028,-0.032565992,-0.041982442,0.99856395
96.3118,-0.0052907234,-0.032528847,-0.04197681,0.9985652
96.3216,-0.0052897856,-0.032433715,-0.04193291,0.99857926
96.3313,-0.00536748,-0.032396566,-0.041927278,0.9985806
96.3417,-0.005404625,-0.032474276,-0.041926026,0.9985749
96.3517,-0.0054823253,-0.032437123,-0.041920364,0.99857616
96.3617,-0.005543527,-0.032458894,-0.041967064,0.99860847
96.3714,-0.0056024883,-0.032475397,-0.041998178,0.9985562
96.3818,-0.0056265565,-0.03241949,-0.0420461,0.9985942
96.3921,-0.005685498,-0.032435976,-0.042077214,0.99854183
96.4018,-0.005714858,-0.032377772,-0.042209923,0.9985642
96.4121,-0.005714858,-0.032377772,-0.042209923,0.9985642
96.422,-0.005720176,-0.032375492,-0.04229459,0.9985486
96.432,-0.0057616904,-0.032355793,-0.04233417,0.9985414
96.4422,-0.0057442654,-0.032319605,-0.042342573,0.9985866
96.4522,-0.005785764,-0.032299876,-0.04238206,0.99857944
96.4621,-0.005785764,-0.032299876,-0.04238206,0.99857944
96.4722,-0.005827277,-0.032280177,-0.04242161,0.9985723
96.482,-0.0057910737,-0.032297604,-0.04246676,0.99856377
96.4921,-0.0057910737,-0.032297604,-0.04246676,0.99856377
96.5022,-0.0058325855,-0.032277904,-0.042506307,0.9985567
96.5121,-0.0058369506,-0.032180503,-0.042547137,0.9985551
96.5221,-0.0058007725,-0.03219795,-0.042592287,0.99854666
96.5321,-0.0058060642,-0.03219565,-0.042677015,0.99853104
96.5423,-0.005831085,-0.032234866,-0.042768866,0.9985549
96.5524,-0.0058363955,-0.032232594,-0.042853564,0.9985393
96.5624,-0.0058417106,-0.032230314,-0.042938232,0.9985237
96.5723,-0.005866741,-0.032269556,-0.043030083,0.99854755
96.5824,-0.0058720587,-0.03226728,-0.04311478,0.99853194
96.5923,-0.0058773663,-0.032265004,-0.04319945,0.9985164
96.6025,-0.005882684,-0.032262728,-0.043284178,0.99850076
96.6125,-0.005902387,-0.03230422,-0.04329139,0.9985402
96.6225,-0.005907681,-0.03230192,-0.04337606,0.99852467
96.6324,-0.005871499,-0.032319367,-0.04342124,0.99851614
96.6424,-0.0059129978,-0.032299645,-0.043460757,0.99850905
96.6524,-0.0059129978,-0.032299645,-0.043460757,0.99850905
96.6625,-0.0058768103,-0.032317095,-0.043505907,0.9985006
96.6726,-0.0058768103,-0.032317095,-0.043505907,0.9985006
96.6821,-0.005882119,-0.03231482,-0.043590635,0.99848497
96.6927,-0.005865625,-0.032373738,-0.043642968,0.99851596
96.7026,-0.005883054,-0.03240992,-0.043634474,0.9984709
96.7127,-0.0058665723,-0.032468863,-0.043686837,0.998502
96.7223,-0.005903716,-0.03254657,-0.043685526,0.99849635
96.7328,-0.0058622165,-0.03256629,-0.043646038,0.99850345
96.7428,-0.0058622165,-0.03256629,-0.043646038,0.99850345
96.7528,-0.005863186,-0.032661438,-0.043689936,0.9984894
96.7624,-0.005821691,-0.032681163,-0.04365039,0.9984966
96.7727,-0.0058587994,-0.03275882,-0.043649107,0.9984908
96.7829,-0.0058587994,-0.03275882,-0.043649107,0.9984908
96.7929,-0.0058182664,-0.032873698,-0.04365349,0.99848413
96.8031,-0.0057767527,-0.032893397,-0.04361391,0.9984913
96.8128,-0.0058138967,-0.032971106,-0.04361266,0.99848557
96.823,-0.005772399,-0.03299083,-0.04357314,0.9984927
96.833,-0.005730884,-0.033010527,-0.043533623,0.9985
96.843,-0.00568939,-0.033030253,-0.043494076,0.9985071
96.8531,-0.00568939,-0.033030253,-0.043494076,0.9985071
96.8631,-0.00568939,-0.033030253,-0.043494076,0.9985071
96.8731,-0.0056478726,-0.033049952,-0.043454587,0.9985143
96.8831,-0.0056478726,-0.033049952,-0.043454587,0.9985143
96.893,-0.0056653023,-0.03308614,-0.043446124,0.99846905
96.9031,-0.005643526,-0.033147376,-0.0434137,0.9985158
96.9132,-0.005643526,-0.033147376,-0.0434137,0.9985158
96.9231,-0.0056194505,-0.033203293,-0.043365806,0.99847776
96.9333,-0.0056194505,-0.033203293,-0.043365806,0.99847776
96.9432,-0.0055779563,-0.033223014,-0.04332623,0.99848497
96.9533,-0.005609761,-0.03330294,-0.04324025,0.99849486
96.9632,-0.005609761,-0.03330294,-0.04324025,0.99849486
96.9732,-0.005604445,-0.03330522,-0.04315555,0.9985106
96.9833,-0.0055629313,-0.033324923,-0.043116063,0.99851763
96.9933,-0.005575043,-0.033363383,-0.04302293,0.9984882
97.0033,-0.005533547,-0.03338311,-0.042983353,0.99849534
97.0135,-0.0054920353,-0.033402808,-0.042943865,0.9985025
97.0235,-0.0054505346,-0.033422533,-0.042904317,0.9985097
97.0333,-0.0054452177,-0.03342481,-0.04281962,0.9985253
97.0434,-0.005403705,-0.033444513,-0.04278013,0.9985325
97.0534,-0.005403705,-0.033444513,-0.04278013,0.9985325
97.0634,-0.0053425217,-0.033422764,-0.04273337,0.99850017
97.0732,-0.0053010248,-0.03344249,-0.042693794,0.9985073
97.0837,-0.0052223643,-0.033384483,-0.042655617,0.99852014
97.0935,-0.0051808525,-0.033404183,-0.04261607,0.9985273
97.1035,-0.0051808525,-0.033404183,-0.04261607,0.9985273
97.1133,-0.0051393546,-0.033423908,-0.04257649,0.9985345
97.1234,-0.0051393546,-0.033423908,-0.04257649,0.9985345
97.1337,-0.005115282,-0.03347982,-0.04252857,0.9984965
97.1438,-0.005079083,-0.033497244,-0.04257372,0.998488
97.1532,-0.00505729,-0.03355846,-0.042541355,0.9985347
97.1634,-0.00505729,-0.03355846,-0.042541355,0.9985347
97.1739,-0.005094422,-0.033636138,-0.042540103,0.9985291
97.1838,-0.005052925,-0.033655863,-0.042500585,0.9985362
97.194,-0.005053865,-0.033750996,-0.042544454,0.99852216
97.2038,-0.0050713113,-0.0337872,-0.04253599,0.9984771
97.2138,-0.005049538,-0.033848442,-0.042503625,0.9985237
97.2238,-0.005049538,-0.033848442,-0.042503625,0.9985237
97.2341,-0.0050866827,-0.03392615,-0.042502373,0.9985181
97.2439,-0.0051041106,-0.03396233,-0.04249394,0.99847287
97.254,-0.0050461283,-0.034041002,-0.042506725,0.9985111
97.2641,-0.0051050745,-0.034057483,-0.04253778,0.99845874
97.2739,-0.0051247617,-0.034098953,-0.04254493,0.9984983
97.284,-0.005120408,-0.034196384,-0.04250416,0.9985
97.2939,-0.0051937327,-0.034256645,-0.04245773,0.99850273
97.3039,-0.005230899,-0.03433437,-0.042456478,0.99849707
97.314,-0.005189405,-0.03435409,-0.04241693,0.9985042
97.3241,-0.005189405,-0.03435409,-0.04241693,0.9985042
97.3341,-0.0051478893,-0.034373794,-0.042377383,0.99851143
97.3442,-0.0051840935,-0.034356367,-0.042332202,0.9985199
97.3541,-0.0051840935,-0.034356367,-0.042332202,0.9985199
97.3642,-0.0051787794,-0.034358647,-0.042247534,0.9985355
97.3741,-0.0051962007,-0.034394834,-0.04223907,0.99849033
97.3843,-0.0051962007,-0.034394834,-0.04223907,0.99849033
97.3943,-0.005232404,-0.034377407,-0.04219392,0.9984988
97.4045,-0.0052739037,-0.034357686,-0.042233467,0.99849147
97.4142,-0.0053351037,-0.034379452,-0.042280167,0.9985239
97.4243,-0.0053404104,-0.03437718,-0.042364806,0.99850833
97.4344,-0.0054190857,-0.034435175,-0.042403102,0.9984956
97.4446,-0.0054244,-0.034432895,-0.04248777,0.99847996
97.4544,-0.0054244,-0.034432895,-0.04248777,0.99847996
97.4642,-0.005465896,-0.034413174,-0.042527318,0.9984728
97.4745,-0.005490929,-0.034452416,-0.04261917,0.99849665
97.4846,-0.005490929,-0.034452416,-0.04261917,0.99849665
97.4945,-0.00550835,-0.034488603,-0.042610765,0.9984515
97.5041,-0.0055498667,-0.034468904,-0.042650253,0.9984443
97.5144,-0.0055695875,-0.034510422,-0.042657465,0.9984839
97.5245,-0.005605776,-0.03449297,-0.042612314,0.9984923
97.5346,-0.005605776,-0.03449297,-0.042612314,0.9984923
97.5442,-0.0056013893,-0.03459035,-0.042571455,0.9984937
97.5545,-0.0056013893,-0.03459035,-0.042571455,0.9984937
97.5647,-0.005618834,-0.03462656,-0.04256296,0.9984486
97.5747,-0.0056800516,-0.034648355,-0.04260969,0.99848104
97.585,-0.0056800516,-0.034648355,-0.04260969,0.99848104
97.5946,-0.005685363,-0.03464608,-0.04269439,0.99846536
97.6048,-0.005631741,-0.034627315,-0.042747974,0.99850214
97.6148,-0.005673237,-0.034607593,-0.042787552,0.9984949
97.6249,-0.00563703,-0.034625016,-0.042832702,0.9984865
97.6349,-0.0056959884,-0.034641527,-0.042863786,0.99843407
97.645,-0.005757206,-0.034663323,-0.042910486,0.99846643
97.6549,-0.005757206,-0.034663323,-0.042910486,0.99846643
97.6649,-0.0057943575,-0.03474102,-0.042909235,0.9984608
97.675,-0.0057996707,-0.034738746,-0.042993903,0.9984453
97.685,-0.0058367997,-0.03481643,-0.04299265,0.9984396
97.695,-0.0058367997,-0.03481643,-0.04299265,0.9984396
97.705,-0.005915464,-0.034874428,-0.043030858,0.9984268
97.7151,-0.005947293,-0.034954414,-0.04294488,0.99843675
97.7251,-0.0059670145,-0.03499593,-0.04295209,0.99847627
97.7351,-0.0059670145,-0.03499593,-0.04295209,0.99847627
97.7451,-0.00598446,-0.03503214,-0.042943627,0.9984312
97.7547,-0.00598446,-0.03503214,-0.042943627,0.9984312
97.7648,-0.006016259,-0.03511207,-0.042857647,0.99844116
97.7752,-0.006016259,-0.03511207,-0.042857647,0.99844116
97.7851,-0.0060524587,-0.035094645,-0.042812526,0.99844956
