elapsed_s,i,j,k,real
23.7727,-0.0026381481,-0.04374134,-0.03524193,0.99838376
23.783,-0.002620697,-0.043705136,-0.035250306,0.99842906
23.7927,-0.002662195,-0.043685406,-0.035289854,0.9984218
23.8024,-0.0026250482,-0.043607704,-0.035291135,0.9984274
23.8129,-0.0026294123,-0.0435103,-0.035331994,0.9984259
23.8229,-0.0026172847,-0.043471813,-0.035425097,0.99845546
23.833,-0.0026029162,-0.043428067,-0.035502642,0.9984003
23.842701,-0.0026684944,-0.043352455,-0.035590142,0.99843115
23.853,-0.002656363,-0.043313973,-0.035683244,0.99846077
23.8632,-0.0026834756,-0.04325048,-0.035800338,0.9983984
23.8731,-0.002671335,-0.043211997,-0.03589344,0.998428
23.8832,-0.0027181525,-0.04318999,-0.036017746,0.99840504
23.8931,-0.0027846787,-0.043209516,-0.036149085,0.9984219
23.9031,-0.0027528517,-0.043129526,-0.036235064,0.9984119
23.9133,-0.0027943682,-0.043109823,-0.036274582,0.99840474
23.9233,-0.0027581602,-0.043127254,-0.036319733,0.9983963
23.9334,-0.002799673,-0.043107554,-0.03635928,0.9983891
23.9433,-0.0027822256,-0.043071344,-0.036367744,0.99843425
23.9531,-0.0027625058,-0.04302983,-0.03636056,0.99839467
23.9632,-0.002703568,-0.04301334,-0.036329478,0.99844706
23.9733,-0.0026838481,-0.042971827,-0.036322325,0.9984076
23.9833,-0.0026664156,-0.042935643,-0.03633076,0.99845266
23.9935,-0.0026467312,-0.04289417,-0.036323607,0.9984132
24.0033,-0.0026292875,-0.04285796,-0.03633204,0.9984583
24.0134,-0.0026095696,-0.042816438,-0.03632489,0.9984188
24.0236,-0.0026095696,-0.042816438,-0.03632489,0.9984188
24.0335,-0.0026457757,-0.04279901,-0.03627968,0.9984273
24.0436,-0.0026457757,-0.04279901,-0.03627968,0.9984273
24.0537,-0.0026632138,-0.04283523,-0.036271274,0.9983821
24.0635,-0.0026819576,-0.04278157,-0.036234558,0.99843574
24.0736,-0.0026819576,-0.04278157,-0.036234558,0.99843574
24.0837,-0.0026404578,-0.04280129,-0.03619501,0.9984429
24.0938,-0.0026404578,-0.04280129,-0.03619501,0.9984429
24.1036,-0.002718158,-0.042764146,-0.036189377,0.9984442
24.1135,-0.002718158,-0.042764146,-0.036189377,0.9984442
24.1236,-0.002718158,-0.042764146,-0.036189377,0.9984442
24.1337,-0.002718158,-0.042764146,-0.036189377,0.9984442
24.1437,-0.002739951,-0.04270293,-0.036221743,0.9983974
24.1533,-0.002758706,-0.04264929,-0.036184996,0.99845105
24.1637,-0.0027577635,-0.042554162,-0.036141157,0.9984652
24.1737,-0.0027621277,-0.04245676,-0.036181927,0.9984636
24.1838,-0.0027611833,-0.042361632,-0.036138028,0.99847776
24.1934,-0.0027414616,-0.042320114,-0.036130875,0.99843824
24.204,-0.0027819928,-0.042205237,-0.036126554,0.9984451
24.214,-0.0027448814,-0.042127583,-0.036127806,0.99845076
24.2239,-0.0027810838,-0.04211016,-0.036082655,0.9984592
24.2335,-0.0028225817,-0.042090435,-0.036122113,0.99845207
24.2438,-0.0028828587,-0.042017102,-0.036124945,0.99849844
24.254,-0.0028631408,-0.041975576,-0.036117792,0.99845886
24.264,-0.0029046517,-0.04195588,-0.03615731,0.99845177
24.2742,-0.0029461477,-0.04193616,-0.036196858,0.9984445
24.2841,-0.0029658694,-0.041977674,-0.03620401,0.99848413
24.2941,-0.0030435696,-0.041940525,-0.036198378,0.99848545
24.3041,-0.0030797683,-0.0419231,-0.036153227,0.9984939
24.3141,-0.0030797683,-0.0419231,-0.036153227,0.9984939
24.324,-0.003096247,-0.041864157,-0.036100894,0.99846274
24.3341,-0.003053777,-0.041788705,-0.036017478,0.99848396
24.3442,-0.003070239,-0.04172974,-0.035965145,0.99845284
24.3542,-0.0030649453,-0.04173204,-0.035880417,0.99846846
24.3641,-0.0030586626,-0.041639164,-0.03575185,0.99849826
24.3742,-0.0030162185,-0.041563764,-0.035668433,0.9985195
24.3843,-0.0030317511,-0.0414097,-0.03557223,0.9985025
24.3943,-0.0029530916,-0.04135169,-0.035533965,0.99851537
24.404501,-0.0029521566,-0.04125659,-0.035490096,0.9985294
24.4142,-0.0028952938,-0.041137364,-0.035484195,0.9984956
24.4245,-0.002894327,-0.041042216,-0.035440326,0.9985095
24.4344,-0.0028157048,-0.040984258,-0.03540203,0.9985225
24.4443,-0.002798276,-0.040948074,-0.035410494,0.9985676
24.4545,-0.0027611144,-0.040870342,-0.035411745,0.9985733
24.4645,-0.0027413927,-0.040828828,-0.035404623,0.99853367
24.4745,-0.0026627257,-0.04077083,-0.035366356,0.9985464
24.4847,-0.0026627257,-0.04077083,-0.035366356,0.9985464
24.4945,-0.0026256181,-0.040693168,-0.035367608,0.9985522
24.5045,-0.0025894307,-0.04071062,-0.03541279,0.9985437
24.5146,-0.0025107507,-0.04065259,-0.035374552,0.9985565
24.5245,-0.002473604,-0.04057489,-0.035375834,0.99856216
24.5347,-0.002473604,-0.04057489,-0.035375834,0.99856216
24.5444,-0.0024538822,-0.04053337,-0.03536865,0.9985226
24.5546,-0.0024364535,-0.040497188,-0.035377085,0.9985678
24.5646,-0.0023805853,-0.040473163,-0.035415083,0.9985198
24.5747,-0.0024046414,-0.040417228,-0.035463065,0.9985578
24.5843,-0.0024099518,-0.040414955,-0.035547763,0.9985422
24.5945,-0.0024152696,-0.040412676,-0.03563246,0.9985266
24.605,-0.002341913,-0.0403524,-0.035678923,0.9985237
24.6147,-0.002329789,-0.04031391,-0.035772055,0.9985533
24.6244,-0.002329789,-0.04031391,-0.035772055,0.9985533
24.6347,-0.0022979565,-0.04023393,-0.035858005,0.99854326
24.645,-0.0022979565,-0.04023393,-0.035858005,0.99854326
24.655,-0.0022979565,-0.04023393,-0.035858005,0.99854326
24.6651,-0.002322046,-0.04017804,-0.035905987,0.99858123
24.675,-0.0023023244,-0.040136524,-0.035898775,0.9985417
24.6851,-0.0023076218,-0.04013422,-0.035983473,0.99852604
24.6951,-0.0023906343,-0.0400948,-0.03606257,0.99851173
24.705,-0.0024156664,-0.04013404,-0.03615445,0.99853575
24.715,-0.002445044,-0.040075857,-0.03628713,0.99855804
24.7251,-0.0024865419,-0.04005613,-0.036326647,0.99855095
24.735,-0.0024918579,-0.040053856,-0.036411345,0.9985353
24.745,-0.0025333706,-0.040034156,-0.036450893,0.99852806
24.7551,-0.0025748685,-0.04001443,-0.03649038,0.998521
24.7651,-0.0026361048,-0.04003625,-0.03653711,0.9985533
24.7751,-0.0026535504,-0.04007246,-0.036528677,0.99850816
24.7851,-0.0026535504,-0.04007246,-0.036528677,0.99850816
24.7954,-0.0026535504,-0.04007246,-0.036528677,0.99850816
24.8052,-0.0026950482,-0.040052734,-0.036568195,0.9985009
24.8153,-0.002677599,-0.040016524,-0.03657663,0.9985461
24.8252,-0.0027191155,-0.039996825,-0.036616176,0.998539
24.8353,-0.0027191155,-0.039996825,-0.036616176,0.998539
24.8455,-0.0027606124,-0.0399771,-0.036655664,0.9985318
24.8554,-0.0028021252,-0.0399574,-0.036695212,0.9985246
24.8655,-0.0028021252,-0.0399574,-0.036695212,0.9985246
24.8754,-0.002843624,-0.039937675,-0.03673476,0.9985174
24.8854,-0.002843624,-0.039937675,-0.03673476,0.9985174
24.8954,-0.0028851405,-0.039917976,-0.036774278,0.9985103
24.9054,-0.0028851405,-0.039917976,-0.036774278,0.9985103
24.9155,-0.0028851405,-0.039917976,-0.036774278,0.9985103
24.9255,-0.0030000024,-0.039958555,-0.036767364,0.9985059
24.9351,-0.0030000024,-0.039958555,-0.036767364,0.9985059
24.9455,-0.0030000024,-0.039958555,-0.036767364,0.9985059
24.9558,-0.0030611856,-0.0399803,-0.036814064,0.99853826
24.9656,-0.0030786106,-0.040016487,-0.0368056,0.9984931
24.9752,-0.0031398442,-0.040038303,-0.03685233,0.99852544
24.9858,-0.0031398442,-0.040038303,-0.03685233,0.99852544
24.9959,-0.0032131793,-0.04009856,-0.03680587,0.99852824
25.0058,-0.0032131793,-0.04009856,-0.03680587,0.99852824
25.0153,-0.0032493863,-0.04008113,-0.036760688,0.9985367
25.0257,-0.0032078875,-0.04010085,-0.03672117,0.9985439
25.0358,-0.0031828517,-0.040061615,-0.03662932,0.99851996
25.0458,-0.0031775413,-0.040063888,-0.03654459,0.99853563
25.056,-0.0031525036,-0.040024653,-0.03645277,0.99851173
25.066,-0.0031722244,-0.040066168,-0.036459953,0.99855125
25.0759,-0.003166913,-0.04006844,-0.036375225,0.99856687
25.0859,-0.003166913,-0.04006844,-0.036375225,0.99856687
25.0959,-0.0031843558,-0.040104654,-0.03636679,0.9985217
25.1061,-0.0031843558,-0.040104654,-0.03636679,0.9985217
25.116,-0.0032040766,-0.040146172,-0.036373943,0.99856126
25.126,-0.0032215072,-0.040182356,-0.03636551,0.998516
25.136,-0.0032215072,-0.040182356,-0.03636551,0.998516
25.1459,-0.0032586688,-0.040260084,-0.036364228,0.9985104
25.1561,-0.0032783542,-0.040301554,-0.03637138,0.99854994
25.1661,-0.003295783,-0.040337738,-0.036362916,0.9985049
25.1763,-0.0033691283,-0.04039802,-0.036316514,0.99850756
25.1861,-0.0034062937,-0.04047575,-0.036315233,0.9985018
25.1961,-0.0034260135,-0.040517263,-0.036322385,0.9985415
