elapsed_s,i,j,k,real
28.02685,-0.04550065,0.017987888,0.6648212,0.74535406
28.03675,-0.047153756,0.014221006,0.66430354,0.7457603
28.04695,-0.048917126,0.009979378,0.66386,0.7461139
28.05665,-0.050687976,0.005575739,0.6637937,0.74614024
28.06675,-0.052672885,0.00072831474,0.66408944,0.7457497
28.07675,-0.05489306,-0.004725769,0.66466093,0.7450608
28.08675,-0.0574165,-0.010531982,0.6655412,0.74408937
28.09665,-0.060276076,-0.016850235,0.66656995,0.74277604
28.10685,-0.06339108,-0.023734333,0.667876,0.74112356
28.11635,-0.06651112,-0.030709077,0.6692361,0.73938465
28.126749,-0.0700875,-0.038961504,0.67079043,0.7372376
28.13675,-0.07359579,-0.047358934,0.67244744,0.73491484
28.14685,-0.07721637,-0.056552123,0.67416644,0.7323087
28.15665,-0.081021294,-0.066392556,0.67585045,0.7295084
28.16675,-0.08497377,-0.07696593,0.67741007,0.72658944
28.17665,-0.08914406,-0.08804471,0.67851675,0.7238021
28.18685,-0.09361215,-0.099801786,0.67867815,0.7215423
28.19685,-0.098300226,-0.1116878,0.67781174,0.7199539
28.206749,-0.10335971,-0.1241901,0.67604285,0.71890223
28.21665,-0.10867903,-0.13674727,0.67315763,0.7185205
28.22625,-0.114105925,-0.1489316,0.66953194,0.71862864
28.23655,-0.11996931,-0.16222098,0.66504854,0.7189994
28.24685,-0.12576625,-0.17593208,0.6599708,0.71943855
28.256649,-0.13156238,-0.18938744,0.65438795,0.72011364
28.26675,-0.13775758,-0.20223324,0.6484416,0.72085124
28.27665,-0.1441049,-0.21415986,0.64227974,0.7216628
28.28675,-0.15058222,-0.22483511,0.6353194,0.7232145
28.29665,-0.15731746,-0.23473129,0.62717736,0.72581303
28.30635,-0.16368365,-0.2429602,0.61882776,0.728796
28.31665,-0.17057042,-0.2505805,0.60918844,0.73278034
28.326849,-0.17691016,-0.25663415,0.598919,0.73758423
28.33625,-0.18188113,-0.26086864,0.58853334,0.74325764
28.34675,-0.18561363,-0.26408848,0.5749917,0.75177485
28.35685,-0.18711716,-0.2656812,0.55912423,0.7626516
28.36665,-0.18607098,-0.26515153,0.54260147,0.7750109
28.376749,-0.18269989,-0.2619757,0.52728736,0.7873665
28.38635,-0.17898332,-0.25658712,0.5162269,0.7972729
28.39645,-0.17582855,-0.2469758,0.5119453,0.8037301
28.40655,-0.17340142,-0.236854,0.5133523,0.8063431
28.41665,-0.16985431,-0.22361878,0.5172458,0.8084232
28.42675,-0.16467728,-0.20809436,0.5224072,0.8103052
28.43665,-0.1581173,-0.19134545,0.52852255,0.8117613
28.446249,-0.15021524,-0.1752752,0.5354967,0.8123611
28.45635,-0.14036736,-0.15863381,0.5417717,0.8133646
28.46705,-0.12855196,-0.14137542,0.54720616,0.81489277
28.47685,-0.11693569,-0.12587948,0.551808,0.81599647
28.48675,-0.10397677,-0.109371364,0.55771655,0.81612813
28.49685,-0.09041552,-0.09273003,0.565126,0.8147797
28.50655,-0.07638167,-0.07591466,0.57387847,0.8117747
28.51635,-0.061891302,-0.05899757,0.58383393,0.80731803
28.52675,-0.046023853,-0.040765896,0.59521645,0.80117166
28.53685,-0.030354869,-0.022899788,0.6065637,0.79402035
28.54625,-0.0154402405,-0.005665587,0.61734796,0.78649294
28.55615,-0.0003958689,0.0124466205,0.62806225,0.7780374
28.56675,0.014112574,0.030959057,0.63784,0.76938623
28.57665,0.026897334,0.048465006,0.6456897,0.7615091
28.586649,0.038906705,0.0653605,0.6524052,0.75399876
28.59675,0.05048752,0.0812477,0.65706486,0.7477125
28.60635,0.059990037,0.09492123,0.6587568,0.7438725
28.61645,0.06796317,0.108228385,0.65824056,0.7418017
28.62625,0.07370004,0.11936042,0.6558348,0.74169695
28.63665,0.07761361,0.1289848,0.6503835,0.74452734
28.64685,0.07884726,0.13548958,0.64350677,0.7491641
28.65675,0.0779853,0.1392603,0.63658357,0.7544769
28.66655,0.0756074,0.14007106,0.63103217,0.7591827
28.67665,0.07228864,0.13856632,0.627349,0.76283836
28.68655,0.06795968,0.13517727,0.62529343,0.76553535
28.69655,0.06302765,0.13015017,0.62488973,0.76713604
28.706749,0.05745723,0.12365731,0.62608737,0.76764596
28.71665,0.051743694,0.11616257,0.6287981,0.7670982
28.72665,0.045642413,0.1077562,0.6329586,0.76524353
28.73625,0.040137373,0.09953448,0.6376432,0.7628409
28.74615,0.038832523,0.09693171,0.6390964,0.7619409
28.75645,0.040089857,0.10089747,0.636906,0.7631959
28.76665,0.040854327,0.10591139,0.64021206,0.75973773
28.77665,0.03974025,0.107599266,0.64755625,0.7533008
28.78675,0.037008397,0.10838786,0.6538113,0.7479118
28.79655,0.031349044,0.10722303,0.6562093,0.74625933
28.80665,0.02782545,0.10490616,0.653635,0.7489703
28.81665,0.024914607,0.10279832,0.6495545,0.75290096
28.82655,0.021566,0.10108782,0.6451598,0.75697726
28.83675,0.018737067,0.09983698,0.64274824,0.75932086
28.84615,0.016996361,0.09910948,0.6432228,0.75901556
28.85645,0.013673652,0.09813248,0.6455684,0.75721323
28.86665,0.009980757,0.09686376,0.64987916,0.753731
28.87655,0.0071982555,0.09561382,0.6560908,0.7485168
28.88665,0.0046994686,0.09451277,0.66298175,0.7426051
28.89665,0.0027880967,0.093807444,0.66734374,0.73880535
28.90655,0.0010288656,0.09376461,0.6669176,0.739161
28.91635,-0.0009396784,0.093951024,0.664779,0.74106544
28.92655,-0.0025981925,0.09393473,0.66194415,0.7435924
28.93665,-0.0044587404,0.09351595,0.65886056,0.74635506
28.94665,-0.006507568,0.09275306,0.6567206,0.74835384
28.95625,-0.008506708,0.09135577,0.6558091,0.74928135
28.96675,-0.010403857,0.08972165,0.6560553,0.7492336
28.97655,-0.012899086,0.08731079,0.6560866,0.7494271
28.98655,-0.015671317,0.08447279,0.65605164,0.74978495
28.99655,-0.018556822,0.08103879,0.6557772,0.75032353
29.006649,-0.021502804,0.07750824,0.65523595,0.7510593
29.01655,-0.024605917,0.07370129,0.6546166,0.7519591
29.02645,-0.02766119,0.069790155,0.6541017,0.75264287
29.03655,-0.03068803,0.065537065,0.6539227,0.75307393
29.04605,-0.03342221,0.061572015,0.65376997,0.75337493
29.05635,-0.036240384,0.05716666,0.6534523,0.7539103
29.06685,-0.038847398,0.05278984,0.6528082,0.7546312
29.07665,-0.04117182,0.048813667,0.65194887,0.7555139
29.08655,-0.043438252,0.04480512,0.65095055,0.75651306
29.09665,-0.045590267,0.04075482,0.64995027,0.7575047
29.10645,-0.04766924,0.036759663,0.64913446,0.758248
29.11655,-0.049656436,0.032692283,0.6486417,0.75870264
29.12665,-0.051708035,0.028370462,0.6483456,0.7590334
29.13605,-0.05364526,0.024116402,0.6481829,0.75919724
29.14665,-0.05585795,0.019118235,0.6480278,0.7593004
29.15655,-0.058215298,0.013911886,0.6478486,0.75935674
29.16655,-0.06079534,0.0083514545,0.647514,0.7595283
29.17655,-0.0636081,0.002255667,0.6471317,0.759642
29.18645,-0.06676305,-0.0042431,0.6466503,0.7597916
29.19655,-0.07026517,-0.011235412,0.6461234,0.7598909
29.20655,-0.0741342,-0.01857859,0.6455968,0.75981945
29.216549,-0.078454785,-0.02648622,0.64526886,0.7594129
29.22615,-0.08289584,-0.034317926,0.6453165,0.7586076
29.23615,-0.08786693,-0.043146208,0.6458729,0.75708413
29.24605,-0.09290758,-0.05210054,0.6469513,0.75503117
29.25655,-0.098405674,-0.06209822,0.6486794,0.75209093
29.26665,-0.104160376,-0.0723754,0.65054715,0.74872744
29.27655,-0.110285066,-0.0830152,0.6522374,0.74526745
29.28645,-0.1165272,-0.09408602,0.65323675,0.7421378
29.29645,-0.1230445,-0.10620814,0.65317905,0.7395115
29.30645,-0.12979423,-0.119172916,0.65200925,0.73739153
29.31655,-0.13694376,-0.13270597,0.6499504,0.73559594
29.32625,-0.14429763,-0.14617857,0.64723134,0.734027
29.33645,-0.15218939,-0.1606539,0.6436192,0.7325974
29.34645,-0.16000223,-0.17529832,0.6389816,0.7316499
29.35625,-0.16746613,-0.18909918,0.63383627,0.7309893
29.36655,-0.17533648,-0.20348415,0.62753814,0.7307212
29.37645,-0.18284184,-0.21676882,0.6203875,0.7311598
29.386549,-0.19019681,-0.22955656,0.61197305,0.7325219
29.39665,-0.19740103,-0.24163584,0.60247487,0.73456854
29.40605,-0.2041403,-0.25223327,0.5929502,0.7369564
29.41625,-0.21132468,-0.26228002,0.58248246,0.73971343
29.42645,-0.21828753,-0.27068928,0.57244194,0.7425575
29.43665,-0.22418311,-0.27693006,0.56242067,0.74613595
29.44635,-0.22872315,-0.28130844,0.5511346,0.7515043
29.45655,-0.23187746,-0.28398335,0.537502,0.75936043
29.46615,-0.2325497,-0.28450808,0.5228836,0.7691143
29.47625,-0.22994107,-0.28249133,0.507753,0.7806903
29.48615,-0.225804,-0.2782083,0.49569803,0.79106927
29.49625,-0.22276214,-0.2688547,0.49014264,0.79864705
29.50635,-0.22090209,-0.25835833,0.49088615,0.8021672
29.516449,-0.21804512,-0.24485907,0.4933576,0.80562353
29.52665,-0.21325094,-0.22853756,0.49629688,0.8098745
29.53625,-0.20723675,-0.2118564,0.50042707,0.813471
29.54655,-0.19902182,-0.19404614,0.5056516,0.81669533
29.55655,-0.18904388,-0.17644435,0.50973046,0.8205289
29.566349,-0.17742503,-0.15947083,0.5120708,0.8251358
29.57675,-0.16376814,-0.141954,0.5133497,0.83033264
29.58625,-0.15037724,-0.12606432,0.5148316,0.83449155
29.59635,-0.13481307,-0.10833269,0.5180245,0.83765805
29.60655,-0.1183411,-0.0901407,0.5233642,0.83899784
29.61655,-0.10144813,-0.07188037,0.53099865,0.83818114
29.62615,-0.084482625,-0.053868517,0.5406088,0.8352326
29.63635,-0.06548563,-0.033848107,0.55324805,0.829749
29.64605,-0.046838716,-0.014403965,0.56697786,0.8222525
29.65635,-0.026968472,0.005874972,0.58265525,0.8122227
29.66625,-0.008251087,0.024188943,0.59785295,0.80113596
29.67615,0.010982589,0.041706137,0.61288,0.7889829
29.68655,0.03026795,0.057853486,0.62738013,0.7759541
29.69635,0.047411818,0.0714465,0.6402391,0.7633711
29.70595,0.06211374,0.08306128,0.65165234,0.75132906
29.71615,0.07529926,0.094076335,0.66116923,0.7404605
29.72655,0.08530643,0.10349871,0.6660604,0.7336925
