elapsed_s,i,j,k,real
3.83125,-0.02494769,-0.009740054,0.6574302,0.7529919
3.8413498,-0.024802133,-0.009437608,0.65740657,0.75303924
3.8513498,-0.024697375,-0.009155389,0.6573424,0.75308496
3.8613498,-0.024571985,-0.0088121,0.6573204,0.7530918
3.8713498,-0.024447555,-0.008563,0.65734637,0.75309795
3.88125,-0.024281299,-0.008199521,0.6573649,0.7531066
3.89145,-0.024176586,-0.007917257,0.6573007,0.75315225
3.9013498,-0.02401035,-0.007553789,0.6573193,0.7531607
3.9112499,-0.023864761,-0.0072513623,0.6572956,0.75320816
3.9210498,-0.023801353,-0.0069816327,0.6572829,0.75317216
3.9313498,-0.023557983,-0.0066760555,0.6573446,0.7531775
3.9414499,-0.023432568,-0.006332755,0.65732265,0.7531843
3.95135,-0.023308154,-0.0060836924,0.65734863,0.7531906
3.96115,-0.023203904,-0.0057937847,0.65737605,0.75315624
3.9714499,-0.022985207,-0.0055456907,0.65740156,0.7531146
3.9814498,-0.022881933,-0.0053500086,0.6574771,0.7530796
3.99135,-0.022798844,-0.0051135197,0.6575542,0.7530042
4.00125,-0.022716727,-0.00497126,0.6576794,0.75292814
4.0113497,-0.02267949,-0.004845619,0.6577699,0.75276446
4.02135,-0.02263461,-0.00471944,0.6579404,0.7526926
4.03095,-0.022598345,-0.0046880255,0.6580787,0.7525283
4.04105,-0.022578692,-0.0046117213,0.6583046,0.7523294
4.05125,-0.022596333,-0.0045515187,0.658576,0.75213474
4.06135,-0.022675918,-0.0045648934,0.6588563,0.7518971
4.07135,-0.0226986,-0.00459537,0.6591815,0.7516159
4.0812497,-0.022819553,-0.004621274,0.659513,0.7512965
4.09125,-0.022904178,-0.0047253314,0.65984714,0.7509725
4.10135,-0.02292686,-0.004755808,0.66017234,0.7506913
4.11135,-0.023047801,-0.004781739,0.660504,0.75037193
4.12145,-0.023107722,-0.0048282985,0.6608746,0.75009483
4.13125,-0.023192374,-0.0049323644,0.6612087,0.7497709
4.14105,-0.023293126,-0.004999131,0.6615386,0.74949217
4.1511497,-0.023393894,-0.0050659375,0.6618685,0.74921346
4.1612496,-0.023400426,-0.0051336633,0.6621979,0.7488868
4.17135,-0.02350118,-0.00520043,0.6625278,0.7486081
4.18125,-0.023585834,-0.005304495,0.6628619,0.748284
