elapsed_s,i,j,k,real
310.5244,0.0032165886,0.009827027,0.08042273,0.99668574
310.5342,0.0029796208,0.009808241,0.08030331,0.996688
310.5443,0.002729617,0.009838432,0.08035731,0.9966614
310.5543,0.0024625375,0.00981166,0.080455154,0.9966798
310.5644,0.0021415476,0.009813709,0.08068603,0.9966676
310.5743,0.0017621354,0.0097462125,0.08101174,0.9966185
310.5838,0.001399366,0.009633806,0.08124986,0.996604
310.5941,0.0008848924,0.009547057,0.08153561,0.99660105
310.6042,0.00052211573,0.009434646,0.08177367,0.9965867
310.6143,0.000100901816,0.009252749,0.08210686,0.9965353
310.6242,-0.00027587637,0.009095093,0.08256641,0.99649155
310.6341,-0.00073077995,0.008901127,0.08303076,0.9964501
310.6444,-0.0010838001,0.008706717,0.08357462,0.9964529
310.6541,-0.0014781496,0.00849973,0.084169716,0.9963739
310.6642,-0.0018886302,0.008330031,0.084760666,0.99634033
310.6741,-0.0023166866,0.008111,0.08548695,0.9962714
310.6843,-0.002703906,0.007912178,0.08625403,0.99620426
310.6944,-0.0030130062,0.0077496637,0.087016225,0.9961345
310.7041,-0.0032682135,0.0075583565,0.08764541,0.9960953
310.7142,-0.0034861572,0.0073831733,0.08822927,0.9960517
310.7243,-0.0037112217,0.0071998304,0.088641256,0.9959965
310.7341,-0.003861778,0.0070487903,0.088962436,0.9959327
310.7442,-0.004011792,0.006890011,0.089191765,0.99594903
310.7544,-0.004182038,0.0067721466,0.08942279,0.99592483
310.7638,-0.0042539546,0.0066497307,0.08964738,0.9959384
310.7743,-0.004367224,0.0065147597,0.08992326,0.99587053
310.7842,-0.0044381963,0.00648659,0.09009993,0.99588484
310.7942,-0.0044930503,0.006421161,0.0902808,0.9958538
310.8044,-0.0044904407,0.006331024,0.09041461,0.9958592
310.8143,-0.004528649,0.006220621,0.090507925,0.99586284
310.8241,-0.004546238,0.0061713164,0.090643376,0.9958276
310.8342,-0.004597493,0.0061099194,0.090910226,0.9958025
310.8441,-0.0046654,0.0060934927,0.091264725,0.9957427
310.8543,-0.0047503896,0.0060201026,0.091662884,0.9957278
310.8641,-0.0048146956,0.006007676,0.09210324,0.9956739
310.8739,-0.004899687,0.005934286,0.09250143,0.99565893
310.8841,-0.0050245486,0.0059348783,0.09281111,0.9956428
310.8943,-0.005120239,0.0058492403,0.09295139,0.99561006
310.9042,-0.005211398,0.005861908,0.093129784,0.9955838
310.9142,-0.005285945,0.0058296844,0.09322056,0.9955923
310.9243,-0.0053232173,0.0058135577,0.09326586,0.9955965
310.9343,-0.005307099,0.005776298,0.09327006,0.99555105
310.9442,-0.0052123517,0.005767689,0.09317765,0.9955833
310.9542,-0.0051247664,0.0057509374,0.09291339,0.99560356
310.9641,-0.004959057,0.005770525,0.092644244,0.99562144
310.974,-0.004776721,0.005745165,0.09228748,0.99567384
310.9838,-0.0045737466,0.0057808775,0.09197298,0.9956874
310.9941,-0.004390463,0.0058497656,0.09156838,0.9957404
311.0042,-0.0041335933,0.0058566555,0.09112099,0.9957845
311.014,-0.003930619,0.005892368,0.090806454,0.99579805
311.0241,-0.003748279,0.0058670095,0.09044975,0.99585056
311.0343,-0.0036269892,0.005862333,0.090054035,0.9958607
311.0442,-0.0034446558,0.005836971,0.08969739,0.99591315
311.0541,-0.0034140325,0.0058373297,0.08938822,0.99597716
311.0641,-0.0033672801,0.005800402,0.08908337,0.99599576
311.0741,-0.0033613925,0.0057432856,0.088737905,0.9960127
311.0842,-0.0033519014,0.005690202,0.088478416,0.9960355
311.0936,-0.0034008361,0.0055676056,0.08831382,0.9960214
311.1039,-0.0035031755,0.0054661995,0.08819041,0.996057
311.1143,-0.003623075,0.005315436,0.08820248,0.99605715
311.1242,-0.003735846,0.005172836,0.088386506,0.99606925
