elapsed_s,i,j,k,real
405.80453,0.012661532,0.01731397,0.01239717,0.9996796
405.81454,0.012606382,0.017388571,0.012473762,0.99965894
405.82455,0.012615051,0.017461296,0.012604088,0.9996604
405.83466,0.01262369,0.017534021,0.012734413,0.9996618
405.84454,0.012541337,0.017594399,0.012963206,0.99968565
405.85446,0.012483196,0.017613037,0.013099462,0.99969226
405.86456,0.012482121,0.01762086,0.01318121,0.9996657
405.87466,0.012414232,0.017574597,0.013268918,0.9996443
405.88464,0.012357144,0.01758543,0.013323486,0.9996775
405.89444,0.012347421,0.017520513,0.013274938,0.9996494
405.90454,0.012347421,0.017520513,0.013274938,0.9996494
405.91446,0.012345489,0.017456705,0.013252914,0.99970305
405.92465,0.012372697,0.017470926,0.0131007135,0.99965876
405.93475,0.012406645,0.017494066,0.013056874,0.9996694
405.94464,0.012464786,0.017475426,0.012920588,0.9996629
405.95444,0.012531597,0.01752951,0.012914598,0.9996577
405.96466,0.012562528,0.01749665,0.012930483,0.9996956
405.97476,0.012595393,0.017527595,0.012968391,0.9996797
405.98465,0.0125943255,0.017535433,0.013050109,0.99965316
405.99475,0.012632868,0.017583087,0.0132780075,0.99966586
406.00464,0.012617307,0.01769758,0.0135008395,0.9996845
406.01465,0.012558075,0.017724019,0.013718873,0.9996645
406.02466,0.012595509,0.0177795,0.014028549,0.9996506
406.03455,0.012570225,0.017829072,0.014202744,0.99964136
406.04456,0.012575888,0.017845811,0.014392793,0.99966997
406.05466,0.012517741,0.017864438,0.014529109,0.9996765
406.06476,0.012482724,0.017849136,0.014654726,0.9996392
406.07455,0.0123917125,0.017836813,0.014753163,0.9996618
406.08475,0.012323817,0.017790541,0.014840841,0.99964035
406.09476,0.012322741,0.017798364,0.014922619,0.9996137
406.10474,0.012264601,0.017817002,0.015058905,0.99962026
406.11475,0.012271357,0.017825887,0.015167266,0.99967545
406.12476,0.012236344,0.017810583,0.015292823,0.99963814
406.13464,0.012211036,0.017860174,0.015467048,0.9996289
406.14474,0.012209959,0.017868,0.015548736,0.9996023
406.15466,0.012185759,0.017909763,0.015641183,0.99961966
406.16486,0.012216691,0.0178769,0.015657067,0.9996575
406.17484,0.012186835,0.017901938,0.015559465,0.9996461
406.18475,0.012177087,0.017837038,0.015510857,0.9996181
406.19485,0.012178171,0.017829228,0.015429109,0.9996448
406.20486,0.012202397,0.017787445,0.015336692,0.9996275
406.21475,0.012170617,0.017748687,0.015217066,0.99966985
406.22485,0.012130989,0.017708844,0.015070856,0.9996307
406.23486,0.012132062,0.017701022,0.014989108,0.99965715
406.24484,0.0121562695,0.01765927,0.014896661,0.9996399
406.25516,0.012089459,0.017605187,0.014902651,0.999645
406.26486,0.012089459,0.017605187,0.014902651,0.999645
406.27496,0.012065262,0.017646948,0.014995068,0.9996624
406.28494,0.011997365,0.017600672,0.015082777,0.99964094
406.29486,0.011939217,0.017619299,0.015219092,0.99964756
406.30484,0.011817223,0.017639872,0.015301645,0.999632
406.31485,0.011726212,0.01762755,0.015400052,0.9996545
406.32495,0.01162546,0.01755034,0.015449822,0.999649
406.33505,0.011558657,0.017496267,0.015455872,0.9996541
406.34494,0.011403836,0.017485831,0.015500516,0.99965453
406.35516,0.011337035,0.017431758,0.015506506,0.9996597
406.36484,0.011246024,0.017419437,0.015604943,0.9996822
406.37515,0.011178136,0.017373174,0.015692621,0.99966073
406.38495,0.011119964,0.017391818,0.015828937,0.9996673
406.39514,0.011117808,0.017407464,0.015992433,0.9996141
406.40494,0.011133203,0.017489078,0.01623106,0.99967074
406.41495,0.011106842,0.017546475,0.016487032,0.999635
406.42496,0.011090208,0.017668787,0.016791523,0.9996271
406.43506,0.011097796,0.017749323,0.017003626,0.9996018
406.44504,0.0111034755,0.01776603,0.017193705,0.99963045
406.45496,0.011044243,0.017792469,0.017411679,0.9996104
406.46494,0.011017043,0.017778257,0.01756388,0.999655
406.47516,0.010982018,0.017762944,0.017689496,0.99961764
406.48505,0.0109578185,0.017804705,0.017781973,0.9996349
406.49515,0.010922787,0.017789379,0.01790753,0.99959767
406.50494,0.0108888475,0.017766256,0.017951459,0.99958694
406.51514,0.0108888475,0.017766256,0.017951459,0.99958694
406.52505,0.010831783,0.01777707,0.018005937,0.99962
406.53494,0.010798919,0.017746123,0.017968059,0.9996359
406.54504,0.010732111,0.017692037,0.017974019,0.99964106
406.55524,0.01066829,0.017693967,0.017920285,0.99961907
406.56494,0.01059174,0.017574994,0.017877698,0.99959624
406.57526,0.010504787,0.017610852,0.017834634,0.99961805
406.58505,0.010437975,0.017556764,0.017840594,0.99962324
406.59534,0.0103073595,0.017504582,0.01779285,0.99960643
406.60516,0.010241631,0.017442685,0.017717034,0.9996382
406.61526,0.01014494,0.017413655,0.017625391,0.99963194
406.62524,0.010079212,0.01735176,0.017549634,0.9996637
406.63535,0.010039616,0.01731191,0.017403424,0.9996245
406.64514,0.0100078285,0.01727314,0.017283827,0.9996669
406.65515,0.009968209,0.017233307,0.017137647,0.9996276
406.66516,0.0099595655,0.017160565,0.017007262,0.9996262
406.67545,0.009863958,0.017123722,0.016833901,0.99964654
406.68506,0.009832161,0.017084938,0.016714275,0.99968904
406.69525,0.00982543,0.017076038,0.016605943,0.99963385
