elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
2.0860503,-170,218,10,633,-104,-326,-6458,-434
2.0865502,-170,218,10,633,-104,-326,-6457,-434
2.0870502,-170,218,10,633,-104,-327,-6457,-434
2.0875502,-170,218,10,634,-104,-326,-6458,-434
2.0880501,-171,219,10,634,-104,-326,-6457,-434
2.08855,-171,218,10,634,-103,-327,-6458,-434
2.0890503,-171,219,10,633,-104,-326,-6458,-434
2.0895503,-171,218,10,633,-103,-326,-6458,-434
2.0900502,-171,218,10,634,-103,-326,-6458,-434
2.0905502,-171,218,10,634,-103,-326,-6457,-434
2.0910501,-171,218,10,633,-103,-326,-6457,-434
2.09155,-171,218,10,634,-103,-326,-6456,-434
2.09205,-171,218,10,633,-103,-326,-6457,-434
2.0925503,-171,218,10,634,-103,-326,-6457,-434
2.0930502,-171,218,10,633,-103,-326,-6457,-434
2.0935502,-171,218,10,634,-103,-327,-6457,-434
2.0940502,-171,217,10,633,-103,-326,-6457,-434
2.0945501,-171,218,10,633,-103,-326,-6457,-434
2.09505,-171,218,10,633,-103,-326,-6458,-433
2.0955503,-171,217,10,633,-102,-326,-6457,-434
2.0960503,-171,218,10,633,-102,-326,-6458,-434
2.0965502,-171,218,10,634,-103,-326,-6457,-434
2.0970502,-171,218,11,633,-102,-326,-6457,-434
2.0975502,-171,218,10,633,-102,-326,-6457,-434
2.09805,-171,218,11,633,-102,-326,-6457,-434
2.09855,-171,218,10,633,-102,-326,-6457,-434
2.0990503,-171,218,10,633,-102,-327,-6457,-434
2.0995502,-170,218,10,633,-102,-326,-6457,-434
2.1000502,-170,218,11,633,-102,-327,-6457,-434
2.1005502,-170,218,11,633,-102,-326,-6457,-434
2.1010501,-170,219,11,633,-102,-326,-6456,-435
2.10155,-170,218,10,633,-102,-327,-6456,-434
2.10205,-171,218,10,633,-101,-326,-6457,-434
2.1025503,-171,218,10,633,-102,-326,-6457,-434
2.1030502,-170,218,11,633,-102,-326,-6457,-434
2.1035502,-171,218,11,633,-102,-326,-6457,-434
2.1040502,-171,218,11,633,-101,-326,-6457,-434
2.1045501,-171,219,11,633,-102,-326,-6457,-434
2.10505,-171,218,11,633,-102,-326,-6457,-434
2.1055503,-171,218,10,633,-101,-326,-6457,-434
2.1060503,-171,218,10,633,-102,-327,-6457,-434
2.1065502,-170,218,11,633,-102,-327,-6457,-434
2.1070502,-170,217,11,633,-102,-327,-6456,-434
2.1075501,-170,218,10,633,-101,-327,-6456,-435
2.10805,-170,218,11,633,-101,-327,-6457,-435
2.10855,-170,218,11,633,-101,-327,-6457,-434
2.1090503,-170,218,11,633,-102,-327,-6457,-434
2.1095502,-171,218,11,632,-102,-326,-6457,-434
2.1100502,-171,218,11,633,-101,-326,-6457,-434
2.1105502,-171,218,11,633,-102,-326,-6457,-434
2.1110501,-171,218,11,633,-101,-326,-6456,-434
2.11155,-171,218,11,633,-101,-326,-6457,-434
2.1120503,-170,218,10,633,-101,-326,-6457,-434
2.1125503,-171,218,10,633,-101,-326,-6457,-435
2.1130502,-170,218,11,633,-101,-326,-6457,-434
2.1135502,-171,218,11,633,-101,-326,-6456,-434
2.1140501,-171,218,11,633,-101,-326,-6456,-435
2.11455,-171,218,11,633,-100,-326,-6456,-434
2.11505,-171,218,11,633,-100,-327,-6457,-434
2.1155503,-171,218,11,633,-101,-327,-6457,-434
