elapsed_s,i,j,k,real
2.0893502,0.013888448,-0.01524204,0.727293,0.686035
2.09945,0.013883425,-0.015181639,0.7272497,0.6860786
2.1093502,0.013845682,-0.015092598,0.727207,0.68607926
2.1193502,0.013840658,-0.015032196,0.7271637,0.6861229
2.12945,0.013771149,-0.014915504,0.7272074,0.6861675
2.13945,0.013733429,-0.01482648,0.7271647,0.68616825
2.14945,0.013668019,-0.014770174,0.72716534,0.6861689
2.1593502,0.013658917,-0.014648456,0.72716546,0.6861701
2.1694503,0.01365391,-0.014588031,0.72712207,0.68621373
2.17895,0.013555762,-0.014504015,0.72712296,0.6862578
2.1892502,0.013518043,-0.014414994,0.7270803,0.6862585
2.1995502,0.013480326,-0.0143259745,0.7270375,0.68625927
2.20935,0.013447609,-0.014298286,0.72703767,0.6863027
2.2192502,0.013409909,-0.014209243,0.7269949,0.6863035
2.22935,0.013377193,-0.014181553,0.72699493,0.6863469
2.23935,0.013344478,-0.014153864,0.72699517,0.68639034
2.2494502,0.013311784,-0.014125245,0.7269957,0.6863474
2.2593503,0.013279068,-0.014097557,0.7269959,0.686391
2.2693503,0.013185039,-0.014073947,0.72695374,0.686391
2.2794502,0.013185039,-0.014073947,0.72695374,0.686391
2.2889502,0.013119607,-0.01401762,0.72695446,0.6863916
2.2992501,0.013086893,-0.013989931,0.7269546,0.68643504
2.3094501,0.013025561,-0.0139949415,0.72691196,0.6864779
2.3194501,0.013025561,-0.0139949415,0.72691196,0.6864779
2.3293502,0.012931533,-0.013971331,0.7268697,0.68647796
2.3395503,0.0129029155,-0.014004936,0.7268264,0.68656373
2.34945,0.0129029155,-0.014004936,0.7268264,0.68656373
2.35945,0.012846589,-0.014070371,0.7268271,0.686563
2.3693502,0.012846589,-0.014070371,0.7268271,0.686563
2.3792503,0.012817971,-0.014103068,0.7267842,0.6865625
2.38945,0.012822052,-0.014164386,0.7267407,0.68660474
2.3990502,0.0127943605,-0.0141971,0.7267842,0.6866045
2.4091501,0.012798438,-0.014258416,0.7267407,0.68664694
2.4194503,0.012746213,-0.014385145,0.7266979,0.6866885
2.4294503,0.01275029,-0.014446462,0.7266545,0.68673074
2.4394503,0.012726678,-0.0145404935,0.7266546,0.68677294
2.44935,0.012703085,-0.014633592,0.726655,0.68672884
2.4594502,0.012679473,-0.014727622,0.726655,0.68677086
2.46915,0.012655879,-0.014820723,0.7266555,0.68672675
2.4792502,0.012600515,-0.014885217,0.72674274,0.68664014
2.48935,0.012638259,-0.014973348,0.7267859,0.6865531
2.49935,0.012643263,-0.015033772,0.7268292,0.6865095
2.5089502,0.012648285,-0.015094173,0.72687256,0.6864659
2.5192502,0.0126492325,-0.015093257,0.7269593,0.68637997
2.5293503,0.012654255,-0.015153658,0.7270026,0.6863364
2.5393503,0.012655199,-0.015152741,0.7270893,0.68625057
2.5492501,0.012660221,-0.015213143,0.7271327,0.68620694
2.5594501,0.012656124,-0.015151849,0.72717613,0.6861646
2.56925,0.012656124,-0.015151849,0.72717613,0.6861646
2.5794501,0.01268884,-0.015180446,0.7271755,0.68620753
2.5893502,0.012721535,-0.015208155,0.7271754,0.68616396
2.59925,0.012721535,-0.015208155,0.7271754,0.68616396
2.60925,0.01275425,-0.015236753,0.72717476,0.6862068
2.6188502,0.012786946,-0.015264463,0.72717464,0.68616337
2.6290503,0.012818735,-0.015293047,0.7270878,0.686206
2.63945,0.012851432,-0.015321666,0.72708714,0.6862488
2.6493502,0.012855511,-0.015382984,0.72704375,0.68629104
2.6593502,0.01285959,-0.0154443,0.72700036,0.6863334
2.6692502,0.012925023,-0.015500629,0.72699964,0.68633276
2.6792502,0.012961816,-0.015589634,0.72695607,0.6863316
2.6892502,0.013027228,-0.015645942,0.7269553,0.6863309
2.6994503,0.013064947,-0.015734963,0.7269981,0.6863302
2.70935,0.013069971,-0.015795365,0.7270415,0.6862866
2.71935,0.013079073,-0.015917083,0.7270413,0.6862853
2.7296503,0.013116773,-0.016006127,0.72708404,0.68628466
2.73935,0.013154513,-0.016094215,0.7271272,0.6861975
2.7492502,0.013159541,-0.016154658,0.7271706,0.686154
2.7593503,0.013197278,-0.016242748,0.7272137,0.686067
2.7692502,0.013174609,-0.016335864,0.7273004,0.6860232
2.7792501,0.013183715,-0.016457582,0.7273003,0.6860218
2.7892501,0.013221453,-0.016545672,0.7273435,0.6859348
2.79905,0.013226476,-0.016606072,0.7273869,0.6858913
2.80925,0.013236485,-0.01672692,0.7274734,0.685804
2.8193502,0.013241532,-0.01678734,0.7275167,0.68576044
2.8293502,0.013274248,-0.01681503,0.72751653,0.685717
2.8394501,0.013307885,-0.016842732,0.7276028,0.68567395
2.84925,0.01331291,-0.016903134,0.72764605,0.68563044
2.8591502,0.013317935,-0.016963536,0.7276894,0.6855868
2.8692503,0.013290261,-0.016995316,0.72773325,0.68550026
2.8791502,0.013351573,-0.01699033,0.727776,0.6854574
2.8892503,0.013385214,-0.017018033,0.7278621,0.6854144
2.89945,0.013417931,-0.017045721,0.72786194,0.685371
2.9090502,0.013417931,-0.017045721,0.72786194,0.685371
2.9193501,0.013479285,-0.017040731,0.7279047,0.685328
2.9294503,0.013479285,-0.017040731,0.7279047,0.685328
2.9393501,0.01351198,-0.01706935,0.7279041,0.6853709
2.94935,0.013483363,-0.01710205,0.72786117,0.6853704
2.95935,0.013483363,-0.01710205,0.72786117,0.6853704
2.9692502,0.013516079,-0.017129738,0.7278611,0.68532693
2.9792502,0.013521101,-0.017190138,0.72790444,0.6852833
2.9892502,0.013526124,-0.01725054,0.7279478,0.6852397
2.99935,0.01353113,-0.017310962,0.72799104,0.68519616
3.0091503,0.013537079,-0.01737047,0.72812104,0.6850666
3.01885,0.013542102,-0.017430872,0.7281643,0.685023
3.0291502,0.013548094,-0.017490378,0.72829443,0.68489355
3.0391502,0.013553118,-0.017550778,0.7283377,0.68485
3.0492501,0.013619455,-0.017606191,0.72842366,0.68476343
3.0594501,0.013564071,-0.01767071,0.7285111,0.68467695
3.06925,0.013597731,-0.017697481,0.7285977,0.6845474
3.0791502,0.013570058,-0.017729264,0.72864157,0.684461
3.0893502,0.01360368,-0.01775699,0.7287277,0.6844181
3.0991502,0.013604645,-0.017756093,0.72881436,0.68433213
3.10925,0.013604645,-0.017756093,0.72881436,0.68433213
3.1192503,0.013665978,-0.01775108,0.7288571,0.6842892
3.1286502,0.013665978,-0.01775108,0.7288571,0.6842892
3.1393502,0.013660952,-0.01769068,0.7288138,0.68433285
3.1492503,0.013688645,-0.01765797,0.7287703,0.684333
3.1592503,0.013684525,-0.017597562,0.72881335,0.68437696
3.1692502,0.013716295,-0.017626166,0.7287265,0.68441945
3.1793501,0.01371129,-0.017565744,0.72868323,0.684463
3.1892502,0.013739003,-0.017533008,0.7286397,0.68446314
3.1992502,0.0137389805,-0.01753394,0.72863925,0.68454945
3.2092502,0.013766654,-0.017502157,0.7285955,0.6846359
3.21935,0.013765727,-0.017502144,0.7285091,0.6846355
3.2290502,0.0137934,-0.01747036,0.7284652,0.6847219
3.2389503,0.013759761,-0.017442659,0.72837913,0.68476504
3.2489502,0.013792477,-0.017471254,0.72837853,0.6848079
3.2593503,0.01376384,-0.017504884,0.72833526,0.6848936
3.2693503,0.013791531,-0.017472172,0.7282918,0.6848937
3.2793503,0.013791531,-0.017472172,0.7282918,0.6848937
3.2893503,0.013796555,-0.017532572,0.72833514,0.6848502
3.2993503,0.013796555,-0.017532572,0.72833514,0.6848502
3.30925,0.01382925,-0.017561192,0.7283346,0.684893
3.3191502,0.013767937,-0.017565269,0.7282922,0.6848496
3.3293502,0.013767937,-0.017565269,0.7282922,0.6848496
3.33925,0.013767937,-0.017565269,0.7282922,0.6848496
3.34875,0.0137679195,-0.0175662,0.72829187,0.6849359
3.35925,0.013795609,-0.017533487,0.7282484,0.68493605
3.3692503,0.013762895,-0.0175058,0.72824854,0.68497944
3.3792503,0.013790585,-0.017473087,0.7282051,0.6849796
3.3891501,0.013757871,-0.017445398,0.7282052,0.68502307
3.3992503,0.013752826,-0.017384978,0.72816193,0.6850667
