elapsed_s,i,j,k,real
2.0941,-0.009070236,-0.006534964,0.7602496,0.6495504
2.1042001,-0.009073902,-0.0064777657,0.76023924,0.64961404
2.1142,-0.009110834,-0.006457736,0.76014495,0.649637
2.1236,-0.00916791,-0.006468025,0.76014113,0.6497008
2.1343,-0.00916791,-0.006468025,0.76014113,0.6497008
2.1442,-0.009194557,-0.006505073,0.76011074,0.6497276
2.1543,-0.009221204,-0.006542121,0.7600803,0.6497544
2.1639001,-0.009251546,-0.0065219747,0.7600394,0.6498449
2.1742,-0.009251434,-0.006528587,0.759972,0.6498983
2.1843002,-0.009251319,-0.006535192,0.75990444,0.6499517
2.1943002,-0.0092778485,-0.006578856,0.7598066,0.65003186
2.2037,-0.009244358,-0.0065549137,0.7597554,0.6501794
2.2142,-0.00921759,-0.006524478,0.75971836,0.650206
2.2243001,-0.009190712,-0.006500655,0.7596139,0.65028614
2.2343001,-0.009194378,-0.0064434567,0.7596035,0.65034986
2.2437,-0.00920466,-0.0063863704,0.75953966,0.65034604
2.2543,-0.009235118,-0.006359608,0.75956637,0.65038306
2.2643,-0.00920824,-0.0063357884,0.7594618,0.6504631
2.2744,-0.009275626,-0.006288995,0.7593941,0.6505231
2.2840002,-0.009305939,-0.006268845,0.7593533,0.65061355
2.2945,-0.009332467,-0.006312509,0.75925535,0.6506937
2.3043,-0.009389427,-0.0063294107,0.75918406,0.65081096
2.3144002,-0.009389315,-0.006336023,0.75911653,0.65086436
2.3240001,-0.009442609,-0.006410123,0.7590557,0.6509179
2.3345,-0.009458717,-0.006517467,0.7589541,0.6510553
2.3444002,-0.0094586015,-0.006524083,0.75888664,0.6511087
2.3544002,-0.009511894,-0.006598179,0.7588257,0.6511622
2.364,-0.0095015,-0.0066618742,0.75882214,0.6512194
2.3746002,-0.009595649,-0.0066455165,0.75879157,0.65125275
2.3844001,-0.009595649,-0.0066455165,0.75879157,0.65125275
2.3945,-0.009663152,-0.0065921107,0.75879145,0.6512594
2.4041002,-0.009730626,-0.006538675,0.7587913,0.651266
2.4146001,-0.009794317,-0.00654908,0.75873405,0.65126234
2.4245,-0.009824745,-0.0065223174,0.75876075,0.6512994
2.4345,-0.009824745,-0.0065223174,0.75876075,0.6512994
2.4441001,-0.009824745,-0.0065223174,0.75876075,0.6512994
2.4544,-0.00986179,-0.006495675,0.7587339,0.65126896
2.4645002,-0.009861905,-0.0064890627,0.75880146,0.65121555
2.4745002,-0.009888668,-0.0065195058,0.75883853,0.6511889
2.4841,-0.009888783,-0.0065128934,0.758906,0.6511355
2.4946,-0.00985859,-0.0065264273,0.75901437,0.6509917
2.5045002,-0.0098818,-0.0066074487,0.7591293,0.6508479
2.5144,-0.0099620875,-0.006698763,0.75924045,0.650768
2.5239,-0.0100223515,-0.0067531373,0.75932854,0.6505937
2.5344,-0.010075988,-0.006807396,0.75947016,0.650487
2.5445,-0.01019332,-0.006872067,0.75955456,0.6503766
2.5546,-0.010216387,-0.006959701,0.759602,0.6502863
2.5642002,-0.010243157,-0.0069901366,0.7596391,0.6502597
2.5747,-0.010323217,-0.007094672,0.75961524,0.6502865
2.5847,-0.010282392,-0.0071851257,0.7595849,0.6503067
2.5946002,-0.010298645,-0.0072858687,0.7595508,0.6503906
2.6042001,-0.010294864,-0.0073496792,0.7594937,0.65038043
2.6145,-0.010311114,-0.0074504223,0.7594596,0.65046436
2.6246002,-0.010337761,-0.0074874703,0.75942916,0.6504911
2.6347,-0.010364411,-0.0075245183,0.7593987,0.6505179
2.6442,-0.010353899,-0.0075948257,0.7593276,0.65062845
2.6547,-0.010380546,-0.0076318737,0.7592972,0.6506552
2.6646001,-0.010407196,-0.0076689217,0.75926673,0.650682
2.6746001,-0.010370029,-0.007702211,0.75922596,0.65076584
2.6843002,-0.010366248,-0.0077660214,0.7591689,0.6507556
2.6946,-0.010393018,-0.007796457,0.759206,0.65072894
2.7047,-0.010352248,-0.007880298,0.75924313,0.6506956
2.7147,-0.010405773,-0.007941177,0.7593173,0.65064234
2.7243001,-0.010375461,-0.007961327,0.75935805,0.65055186
2.7346,-0.010429099,-0.008015582,0.75949967,0.65044516
2.7447002,-0.010462742,-0.008032912,0.7596182,0.6502442
2.7548,-0.01048962,-0.008056743,0.75972277,0.6501641
2.7643,-0.010523085,-0.008080652,0.75977385,0.6500166
2.7747002,-0.010576721,-0.008134911,0.7599155,0.64990985
2.7848,-0.010603607,-0.0081587415,0.76002,0.6498298
2.7948,-0.0106000565,-0.0082093235,0.7600979,0.64971274
2.8044002,-0.010663979,-0.0082065035,0.76017565,0.64960223
2.8147001,-0.010633666,-0.008226654,0.7602166,0.6495118
2.8248,-0.010713961,-0.008317968,0.76032776,0.6494318
2.8348,-0.0107000135,-0.008432245,0.76040196,0.6493719
2.8444002,-0.0107230805,-0.008519879,0.76044935,0.64928156
2.8547,-0.010776605,-0.00858075,0.76052344,0.6492283
2.8648,-0.0107730515,-0.008631339,0.7606013,0.64911115
2.8748002,-0.010796156,-0.008718973,0.7606487,0.64902085
2.8842,-0.010849681,-0.008779844,0.7607228,0.64896756
2.8947,-0.010872863,-0.008860873,0.7608378,0.6488238
2.9048002,-0.0109634325,-0.008895103,0.7608851,0.64874005
2.9148002,-0.011013184,-0.009019785,0.7609021,0.6486765
2.9244,-0.011002902,-0.0090768635,0.76096594,0.64868027
2.9347,-0.011056315,-0.009144351,0.7609726,0.6486804
2.9448001,-0.0110792965,-0.009238597,0.76095253,0.64864343
2.9549,-0.011132706,-0.009306088,0.76095915,0.64864355
2.9645002,-0.011186115,-0.009373575,0.76096576,0.6486437
2.9748,-0.011212878,-0.009404011,0.76100284,0.648617
2.9849,-0.01123598,-0.009491675,0.7610503,0.6485266
2.9949,-0.011236211,-0.009478446,0.7611852,0.6484198
3.0045002,-0.011296438,-0.009532832,0.76127344,0.64824563
3.015,-0.011333825,-0.009486347,0.76144916,0.648055
3.0249002,-0.011397982,-0.009470306,0.7616619,0.6478377
3.0348,-0.011435375,-0.009423822,0.7618376,0.64764696
3.0445,-0.011431942,-0.009467792,0.761983,0.6474765
3.0549002,-0.011442598,-0.009390879,0.76212156,0.64731246
3.065,-0.011439048,-0.009441465,0.76219946,0.6471954
3.075,-0.011465924,-0.009465288,0.762304,0.64711535
3.0845,-0.011435581,-0.009485435,0.76234484,0.6470249
3.0949001,-0.011462344,-0.00951587,0.76238185,0.6469982
3.1049001,-0.011458801,-0.0095664635,0.76245975,0.6468811
3.115,-0.011485564,-0.009596899,0.7624968,0.64685446
3.1246002,-0.011485675,-0.009590287,0.76256436,0.64680105
3.1351001,-0.01148201,-0.009647485,0.7625747,0.64673734
3.1449,-0.01148201,-0.009647485,0.7625747,0.64673734
3.155,-0.01150866,-0.009684533,0.7625442,0.6467641
3.1646001,-0.011538973,-0.009664383,0.7625035,0.6468546
3.1749,-0.011471355,-0.009724405,0.7624361,0.6469013
3.1850002,-0.011407433,-0.009727217,0.76235825,0.6470118
3.1951,-0.011370154,-0.009767089,0.7622501,0.64714915
3.2047,-0.011332879,-0.009806957,0.7621418,0.64728636
3.2152002,-0.011306001,-0.009783138,0.7620373,0.6473664
3.2251,-0.011309555,-0.009732544,0.76195943,0.6474835
3.2351,-0.011309439,-0.009739157,0.761892,0.64753693
3.2445002,-0.011282554,-0.009715337,0.7617875,0.647617
3.255,-0.011312982,-0.009688575,0.76181406,0.64765406
3.2651,-0.01128622,-0.009658139,0.761777,0.6476807
3.2751,-0.011259573,-0.009621087,0.76180744,0.64765394
3.2848,-0.011259573,-0.009621087,0.76180744,0.64765394
3.2952,-0.011236621,-0.009526841,0.76182747,0.6476909
3.3051002,-0.011206163,-0.009553604,0.76180077,0.6476538
3.3152,-0.01118321,-0.009459358,0.7618209,0.6476908
3.3246,-0.011156447,-0.009428922,0.76178384,0.6477175
3.3351002,-0.0111298,-0.00939187,0.7618143,0.6476907
3.3451002,-0.011140082,-0.009334784,0.76175046,0.6476869
3.3552,-0.01117051,-0.0093080215,0.76177716,0.6477239
3.3647,-0.011180792,-0.009250943,0.76171327,0.64772016
3.3751001,-0.011184458,-0.0091937445,0.7617029,0.6477838
3.3852,-0.011157688,-0.009163309,0.7616659,0.64781046
3.3952,-0.011161383,-0.009106111,0.76165545,0.6478741
3.4049,-0.011107858,-0.00904524,0.76158136,0.6479274
3.4153001,-0.011054333,-0.008984361,0.7615073,0.6479807
3.4252,-0.0110312365,-0.008896697,0.7614598,0.64807105
3.4352,-0.011034902,-0.008839499,0.7614494,0.64813477
3.4447,-0.010981485,-0.008772016,0.7614428,0.6481347
3.4552002,-0.010981485,-0.008772016,0.7614428,0.6481347
3.4653,-0.0109281875,-0.008697916,0.7615037,0.6480812
3.4753,-0.010992002,-0.008701708,0.76151395,0.6480241
3.4850001,-0.010965355,-0.00866466,0.76154435,0.6479973
3.4954002,-0.01096547,-0.008658048,0.7616119,0.6479439
3.5053,-0.010998994,-0.0086819865,0.761663,0.6477964
3.5153,-0.011056185,-0.008685667,0.76172674,0.64780676
3.5248,-0.011056185,-0.008685667,0.76172674,0.64780676
3.5354002,-0.011119992,-0.00868943,0.761737,0.64774966
3.5453,-0.011119992,-0.00868943,0.761737,0.64774966
3.5553,-0.011119992,-0.00868943,0.761737,0.64774966
3.5648,-0.011146754,-0.008719865,0.76177406,0.647723
3.5752,-0.011120107,-0.008682817,0.76180446,0.64769626
3.5853,-0.011120107,-0.008682817,0.76180446,0.64769626
3.5953002,-0.011183914,-0.00868661,0.7618147,0.6476392
3.6049001,-0.0112142265,-0.0086664595,0.76177394,0.64772964
3.6152,-0.011244569,-0.008646313,0.76173306,0.64782006
3.6255002,-0.011254735,-0.008595839,0.76160175,0.6478697
3.6354,-0.011285048,-0.008575689,0.7615609,0.6479602
3.6449,-0.011284936,-0.008582305,0.76149344,0.6480136
3.6553001,-0.011261951,-0.008488055,0.7615135,0.64805055
3.6656,-0.011272464,-0.008417752,0.7615847,0.64793986
3.6753001,-0.011309739,-0.00837788,0.7616928,0.64780265
3.6849,-0.011347156,-0.008331403,0.7618686,0.647612
3.6955001,-0.011380885,-0.008342117,0.7620546,0.6473576
3.7054,-0.011445038,-0.008326046,0.76226735,0.6471402
3.7154,-0.011546239,-0.008283354,0.7624534,0.6468925
3.7250001,-0.011579961,-0.008294079,0.76263946,0.64663815
3.7357001,-0.011671025,-0.008301858,0.76295674,0.6463407
3.7454002,-0.011677958,-0.008282136,0.76310575,0.64611304
3.7555,-0.011741992,-0.008272674,0.76325107,0.6459492
3.7651,-0.011779275,-0.00823281,0.76335925,0.6458119
3.7756002,-0.011843197,-0.00822999,0.76343703,0.6457014
3.7856002,-0.011816662,-0.008186325,0.76353496,0.6456212
3.7955,-0.011880584,-0.008183505,0.76361275,0.64551073
3.805,-0.011880815,-0.008170277,0.7637477,0.6454039
3.8154001,-0.011918116,-0.008130416,0.7638559,0.64526665
3.8255,-0.011941452,-0.0082048215,0.7640383,0.64506954
3.8355,-0.011948526,-0.008178495,0.76425487,0.6447883
3.845,-0.011971857,-0.00825293,0.76443726,0.64459115
3.8554,-0.012005664,-0.008257039,0.7646909,0.6442834
3.8655,-0.012066044,-0.008304771,0.76484656,0.6440558
3.8756,-0.012156844,-0.008325782,0.7650288,0.6438652
3.8851001,-0.012247413,-0.00836001,0.76507616,0.64378154
3.8954,-0.012274183,-0.008390445,0.76511323,0.6437549
3.9057,-0.01230083,-0.008427493,0.76508284,0.64378166
3.9156,-0.012331136,-0.008407343,0.76504195,0.6438721
3.9253001,-0.012330905,-0.008420572,0.764907,0.6439789
3.9357002,-0.012334488,-0.008369986,0.7648291,0.64409596
3.9458,-0.012334257,-0.008383207,0.76469415,0.6442028
3.9556,-0.012300644,-0.008365851,0.7645755,0.6444039
3.9654,-0.012304194,-0.008315265,0.76449764,0.64452094
3.9757001,-0.01237132,-0.008281693,0.76429504,0.6446878
3.9856,-0.012401551,-0.008268157,0.76418674,0.6448316
3.9957001,-0.012431741,-0.008254623,0.7640784,0.6449754
4.0052,-0.012404978,-0.008224187,0.7640413,0.6450021
4.0155,-0.012472481,-0.008170782,0.76404124,0.6450088
4.0258,-0.012482878,-0.00810709,0.7640449,0.6449515
4.0357003,-0.012483116,-0.008093862,0.7641798,0.6448447
4.0453,-0.012493625,-0.008023558,0.7642511,0.6447341
4.0556,-0.012530902,-0.007983686,0.76435924,0.6445969
4.0656,-0.0125577785,-0.008007517,0.7644638,0.6445168
4.0757003,-0.01265193,-0.0079911295,0.7644332,0.6445502
4.0852003,-0.012678575,-0.008028178,0.76440275,0.64457697
4.0956,-0.012721587,-0.008159386,0.7644058,0.6446343
4.1057,-0.012774885,-0.008233482,0.76434493,0.64468783
4.1157002,-0.012801532,-0.008270534,0.7643145,0.6447146
4.1256,-0.012828179,-0.008307582,0.764284,0.64474136
4.1358,-0.012851246,-0.0083952155,0.7643314,0.644651
4.1457,-0.012915175,-0.008392366,0.76440924,0.6445405
4.1557,-0.012942169,-0.00840958,0.76458126,0.644407
4.1654,-0.012949012,-0.008396475,0.7646628,0.6442327
4.1757,-0.012976013,-0.008413682,0.7648348,0.64409924
4.1857,-0.01303627,-0.008468067,0.76492286,0.643925
4.1958003,-0.013127096,-0.008489067,0.7651053,0.64373446
4.2054,-0.013096876,-0.008502601,0.76521355,0.64359057
4.2157,-0.013150513,-0.008556867,0.76535517,0.6434839
4.2258,-0.0131202005,-0.008577017,0.765396,0.64339346
4.2358003,-0.013146963,-0.008607453,0.7654331,0.6433668
4.2455,-0.013147078,-0.008600837,0.76550055,0.6433134
4.2557,-0.013116766,-0.008620987,0.7655414,0.643223
4.2658,-0.0131806955,-0.008618167,0.76561916,0.6431125
4.2759,-0.013177257,-0.0086621735,0.76576453,0.6429419
4.2855,-0.01314703,-0.008675711,0.7658729,0.64279807
4.2958,-0.013211064,-0.008666275,0.7660181,0.6426341
4.3058,-0.013211302,-0.008653054,0.76615304,0.6425273
4.3159,-0.013244908,-0.008670354,0.7662717,0.64232635
4.3256,-0.013298433,-0.0087312255,0.7663458,0.642273
4.3358,-0.013325196,-0.008761661,0.7663828,0.64224637
4.3461,-0.013325196,-0.008761661,0.7663828,0.64224637
4.3559003,-0.013321303,-0.008832084,0.76625824,0.6422895
4.3658,-0.013284143,-0.008865373,0.7662175,0.64237344
4.376,-0.01327363,-0.008935677,0.7661464,0.642484
4.3859,-0.013273403,-0.008948905,0.76601136,0.6425908
4.3959002,-0.013266671,-0.008955399,0.76599735,0.6427117
4.4056,-0.013239786,-0.008931572,0.7658928,0.64279175
4.4159,-0.013269987,-0.008918034,0.7657845,0.64293563
4.426,-0.013179272,-0.008890418,0.7656697,0.6430727
4.4358,-0.01311535,-0.008893242,0.7655919,0.64318335
4.4458003,-0.013024658,-0.008865619,0.7654771,0.64332044
4.4561,-0.012997668,-0.008848412,0.76530504,0.6434539
4.466,-0.012869824,-0.008854074,0.76514953,0.64367485
4.4759,-0.01277902,-0.008833075,0.7649672,0.6438654
4.4857,-0.012661573,-0.008775016,0.76481533,0.6440292
4.4959,-0.012597613,-0.00877784,0.7647376,0.6441397
4.506,-0.012574546,-0.008690206,0.76469016,0.64423
4.5162,-0.012510739,-0.008686414,0.76467985,0.64428717
4.5259,-0.012521137,-0.008622719,0.7646835,0.6442299
4.5361,-0.012547899,-0.008653155,0.76472056,0.64420325
4.546,-0.012558326,-0.008589463,0.76472425,0.6441461
4.556,-0.012585089,-0.008619899,0.7647613,0.64411944
4.566,-0.012585204,-0.008613287,0.7648288,0.64406604
4.5761,-0.012544319,-0.00870374,0.76479846,0.6440862
4.5862,-0.012544319,-0.00870374,0.76479846,0.6440862
4.596,-0.012533922,-0.008767432,0.76479477,0.6441434
4.606,-0.012533922,-0.008767432,0.76479477,0.6441434
4.616,-0.0125302635,-0.00882463,0.76480514,0.6440797
4.6261,-0.012557026,-0.008855065,0.76484215,0.64405304
4.6363,-0.012540776,-0.008754326,0.76487637,0.6439691
4.6461,-0.012540888,-0.00874771,0.76494384,0.6439157
4.6562,-0.012514241,-0.008710662,0.7649743,0.64388895
4.6663003,-0.012487594,-0.008673614,0.7650047,0.6438622
4.6761003,-0.012434296,-0.008599514,0.7650656,0.64380866
4.6861,-0.012407649,-0.008562466,0.765096,0.6437819
4.6963,-0.012391429,-0.008461723,0.7651301,0.6436979
4.7061,-0.012391545,-0.008455118,0.7651975,0.6436445
4.7161,-0.012338247,-0.008381017,0.76525843,0.643591
4.7262,-0.012375407,-0.008347763,0.7652992,0.6435071
4.7361,-0.012416232,-0.008257309,0.76532954,0.643487
4.7462,-0.012416344,-0.008250693,0.7653971,0.6434336
4.7564,-0.012389697,-0.008213645,0.7654275,0.6434068
4.7662,-0.012386031,-0.008270843,0.7654378,0.64334315
4.7763,-0.012386031,-0.008270843,0.7654378,0.64334315
4.7862,-0.012318559,-0.008324247,0.7654379,0.6433365
4.7964,-0.012251172,-0.00837104,0.76550555,0.64327645
4.8061,-0.012251288,-0.008364424,0.76557297,0.64322305
4.8162003,-0.012220982,-0.008384574,0.7656139,0.64313257
4.8263,-0.012153592,-0.008431368,0.76568156,0.64307255
4.8364,-0.012153592,-0.008431368,0.76568156,0.64307255
4.8463,-0.012153592,-0.008431368,0.76568156,0.64307255
4.8564,-0.012116313,-0.008471236,0.7655732,0.6432098
4.8663,-0.012052275,-0.008480672,0.76542807,0.64337367
4.8764,-0.012045316,-0.008500416,0.765279,0.6436015
4.8863,-0.012007922,-0.0085469,0.7651032,0.64379215
4.8965,-0.01197397,-0.008549403,0.7647822,0.64415336
4.9063,-0.01194001,-0.008551918,0.7644611,0.6445145
4.9163003,-0.011811815,-0.0085773915,0.7641031,0.6448958
4.9264,-0.011677012,-0.008602779,0.7637985,0.6453444
4.9365,-0.011495493,-0.008554157,0.7635014,0.6456721
4.9463,-0.011377923,-0.008502714,0.76328206,0.6458893
4.9563003,-0.011317667,-0.008448336,0.7631939,0.6460635
4.9664,-0.011264142,-0.008387465,0.7631198,0.6461168
4.9765,-0.011184085,-0.00828293,0.7631436,0.6460899
4.9863,-0.01119829,-0.008155428,0.76320434,0.646043
4.9965,-0.011208802,-0.0080851205,0.7632755,0.6459324
5.0064,-0.011245962,-0.008051865,0.7633163,0.6458485
5.0165,-0.011223095,-0.007950973,0.7634038,0.64583206
5.0266,-0.011249857,-0.007981408,0.7634408,0.6458054
5.0364003,-0.011192782,-0.007971153,0.7634446,0.6457416
5.0465,-0.011219544,-0.008001588,0.7634817,0.64571494
5.0563,-0.011246305,-0.008032024,0.7635187,0.6456883
5.0664,-0.0111893155,-0.008015122,0.76359,0.6455711
5.0766,-0.011216197,-0.008038953,0.7636945,0.64549106
5.0865,-0.011186,-0.008052487,0.7638028,0.64534724
5.0966,-0.011192989,-0.008032765,0.7639519,0.6451194
5.1064,-0.011193335,-0.008012932,0.7641544,0.6449592
5.1165,-0.011173626,-0.007956162,0.76433384,0.64470476
5.1265,-0.011143541,-0.007963084,0.7645096,0.6445075
5.1366,-0.0111134555,-0.007970013,0.7646855,0.64431024
5.1467,-0.011110026,-0.008013986,0.7648308,0.64413965
