elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
0.16054998,4,1724,72,1593,-15,-349,-6240,-446
0.16104999,4,1724,72,1593,-15,-349,-6240,-447
0.16154999,4,1723,72,1593,-15,-349,-6240,-446
0.16205,4,1724,72,1593,-15,-350,-6240,-446
0.16254999,4,1724,72,1592,-16,-350,-6240,-447
0.16304998,4,1724,72,1593,-15,-349,-6240,-447
0.16354999,4,1724,72,1592,-15,-349,-6240,-447
0.16404998,4,1724,72,1593,-15,-349,-6240,-447
0.16454999,4,1724,72,1592,-15,-350,-6240,-447
0.16504999,4,1723,72,1592,-15,-350,-6240,-447
0.16555,4,1723,72,1592,-15,-350,-6240,-447
0.16604999,4,1723,72,1592,-15,-350,-6239,-447
0.16654998,3,1724,72,1593,-15,-350,-6239,-447
0.16704999,3,1723,72,1593,-15,-350,-6239,-447
0.16754998,4,1724,72,1593,-16,-350,-6239,-447
0.16804999,4,1724,72,1593,-15,-350,-6239,-447
0.16854998,4,1724,72,1593,-16,-350,-6240,-447
0.16905,4,1724,72,1593,-15,-349,-6240,-446
0.16954999,4,1724,72,1593,-15,-350,-6241,-447
0.17004998,4,1723,72,1592,-16,-349,-6240,-447
0.17054999,4,1724,72,1592,-14,-350,-6241,-447
0.17104998,4,1723,72,1592,-15,-350,-6241,-447
0.17154999,4,1724,72,1593,-15,-350,-6241,-447
0.17204998,3,1724,72,1592,-15,-350,-6241,-447
0.17255,3,1724,72,1593,-15,-349,-6240,-447
0.17304999,4,1724,72,1593,-15,-350,-6240,-446
0.17354998,3,1724,72,1592,-15,-350,-6239,-447
0.17404999,3,1724,72,1593,-16,-349,-6240,-447
0.17454998,3,1724,72,1593,-15,-349,-6240,-447
0.17504999,3,1724,72,1593,-15,-350,-6239,-447
0.17554998,3,1725,72,1593,-16,-350,-6239,-447
0.17604999,3,1725,72,1592,-15,-350,-6239,-447
0.17654999,3,1725,72,1593,-16,-350,-6239,-447
0.17704998,3,1724,72,1593,-15,-350,-6239,-447
0.17754999,3,1724,72,1592,-15,-350,-6240,-447
0.17804998,3,1724,72,1592,-15,-350,-6240,-447
0.17854999,3,1725,72,1592,-15,-350,-6240,-447
0.17904998,3,1724,72,1592,-15,-349,-6240,-447
0.17954999,3,1724,72,1592,-15,-350,-6240,-447
0.18004999,4,1724,72,1592,-15,-349,-6240,-447
0.18054998,4,1723,72,1592,-15,-350,-6240,-447
0.18104999,5,1722,72,1592,-15,-350,-6239,-447
0.18154998,5,1722,72,1592,-15,-350,-6239,-447
0.18204999,5,1723,72,1593,-15,-350,-6239,-447
0.18254998,4,1722,72,1593,-15,-349,-6239,-447
0.18304999,4,1723,72,1593,-15,-349,-6239,-447
0.18354999,4,1723,72,1592,-15,-349,-6240,-447
0.18405,4,1723,72,1593,-15,-350,-6240,-447
0.18454999,4,1723,72,1593,-16,-349,-6240,-447
0.18504998,4,1724,72,1593,-15,-350,-6240,-447
0.18554999,3,1724,72,1593,-15,-349,-6240,-447
0.18604998,3,1724,72,1593,-15,-350,-6240,-447
0.18654999,3,1724,72,1592,-15,-350,-6241,-447
0.18704998,3,1724,72,1592,-15,-349,-6241,-447
0.18755,3,1724,72,1592,-15,-350,-6241,-447
0.18804999,3,1724,72,1592,-15,-350,-6241,-447
0.18854998,3,1724,72,1592,-15,-350,-6240,-447
0.18904999,3,1724,72,1592,-15,-350,-6239,-447
0.18954998,3,1724,72,1593,-15,-350,-6239,-447
0.19004999,4,1723,72,1592,-15,-350,-6240,-447
0.19054998,4,1723,72,1593,-15,-350,-6239,-447
0.19105,4,1723,72,1593,-15,-350,-6239,-447
0.19154999,4,1723,72,1592,-15,-350,-6240,-447
0.19204998,5,1723,72,1593,-16,-350,-6240,-447
0.19254999,4,1723,72,1592,-15,-350,-6240,-447
0.19304998,4,1723,72,1593,-15,-349,-6240,-447
0.19354999,3,1724,72,1593,-15,-350,-6239,-447
0.19404998,3,1724,72,1592,-15,-349,-6240,-447
0.19455,4,1724,72,1592,-15,-350,-6240,-446
0.19504999,4,1724,72,1592,-15,-350,-6240,-446
0.19554998,3,1725,73,1592,-15,-349,-6239,-447
0.19604999,3,1725,73,1592,-14,-350,-6239,-446
0.19654998,3,1725,72,1592,-14,-350,-6239,-447
0.19704999,3,1724,73,1592,-15,-350,-6239,-447
0.19754998,3,1724,72,1593,-15,-350,-6240,-447
0.19804999,3,1724,72,1592,-15,-350,-6240,-447
0.19854999,3,1723,72,1593,-15,-350,-6240,-447
0.19904998,3,1723,72,1592,-15,-350,-6240,-447
0.19954999,4,1723,72,1593,-15,-350,-6240,-447
0.20004998,4,1723,72,1593,-15,-350,-6240,-447
0.20054999,4,1723,72,1592,-15,-350,-6240,-447
0.20104998,4,1723,72,1593,-15,-350,-6240,-447
0.20154999,3,1724,72,1592,-15,-350,-6240,-447
0.20204999,4,1724,72,1592,-15,-350,-6239,-447
0.20255,3,1724,72,1593,-15,-350,-6239,-447
0.20304999,3,1724,72,1592,-15,-349,-6239,-447
0.20354998,3,1725,72,1593,-15,-350,-6239,-447
0.20404999,3,1725,72,1592,-15,-350,-6240,-447
0.20454998,3,1724,72,1593,-15,-349,-6240,-447
0.20504999,3,1725,72,1592,-15,-349,-6240,-447
0.20554999,3,1725,72,1592,-15,-350,-6240,-447
0.20605,4,1724,72,1592,-15,-350,-6239,-447
0.20654999,4,1724,72,1592,-15,-349,-6240,-447
0.20704998,5,1723,72,1592,-15,-350,-6240,-447
0.20754999,5,1723,72,1592,-15,-350,-6240,-447
0.20804998,5,1724,72,1593,-15,-350,-6240,-447
0.20854999,5,1724,72,1592,-15,-350,-6240,-447
0.20904998,4,1723,73,1592,-15,-350,-6240,-447
0.20955,4,1724,72,1592,-15,-349,-6240,-447
0.21004999,4,1723,73,1592,-15,-350,-6240,-447
0.21054998,5,1724,72,1592,-15,-350,-6240,-447
0.21104999,4,1723,72,1592,-15,-350,-6240,-447
0.21154998,4,1724,72,1593,-16,-350,-6239,-446
0.21204999,4,1724,72,1593,-15,-350,-6240,-447
0.21254998,3,1724,72,1593,-15,-350,-6240,-447
0.21305,3,1724,72,1592,-15,-350,-6240,-447
0.21354999,3,1724,72,1592,-15,-350,-6239,-447
