elapsed_s,i,j,k,real
0.16174999,-0.0033980596,-0.006013582,0.0065094233,0.99996644
0.17164999,-0.0036028605,-0.0061208326,0.0066411495,0.99996585
0.18174998,-0.0038076618,-0.006228083,0.006772727,0.9999652
0.19195,-0.0040124627,-0.006335333,0.0069044232,0.9999647
0.20184998,-0.004160954,-0.0063771703,0.007035494,0.99996483
0.21174999,-0.0043616593,-0.00654481,0.007124126,0.99992037
0.22174999,-0.0045664604,-0.00665206,0.0072557926,0.9999199
0.23184998,-0.004743568,-0.0067265956,0.0073439777,0.99991935
0.24184999,-0.004888,-0.006829728,0.0074315965,0.9999618
0.25125,-0.005004702,-0.00689924,0.0074762404,0.9999181
0.26154998,-0.0050896276,-0.0069973497,0.0074339807,0.99991685
0.27185,-0.005141856,-0.007124078,0.007391125,0.9999584
0.28184998,-0.005227705,-0.007222172,0.0072625875,0.9999567
0.29165,-0.0052572433,-0.007254851,0.0071333945,0.9999558
0.30194998,-0.005226354,-0.007282528,0.0069606304,0.9999116
0.31184998,-0.0051668854,-0.0072784126,0.006830275,0.99995404
0.32165,-0.005112421,-0.0072129644,0.0066571236,0.9999539
0.33185,-0.005052937,-0.0072079236,0.0065271854,0.9999103
0.34195,-0.004909465,-0.0071056783,0.006352812,0.99995357
0.35175,-0.0048263846,-0.007007534,0.0062224567,0.9999541
0.36194998,-0.0046501993,-0.006932981,0.0060479343,0.999954
0.37164998,-0.0045671198,-0.006834836,0.0059176087,0.99995446
0.38175,-0.0045117317,-0.0067694047,0.0058306754,0.99995476
0.39174998,-0.0044849617,-0.0067366734,0.005700916,0.9999545
0.40175,-0.004429574,-0.0066712424,0.0056140125,0.9999548
0.41184998,-0.004458191,-0.006703941,0.005571127,0.9999542
0.42174998,-0.004490889,-0.006675325,0.005571753,0.99991137
0.43155,-0.0045789885,-0.006713063,0.0056587756,0.9999545
0.44195,-0.00472748,-0.006754901,0.005789846,0.99995464
0.45165,-0.0048432588,-0.0068244296,0.005920738,0.9999115
0.46175,-0.005075775,-0.006964374,0.0060958266,0.99991083
0.47204998,-0.0052519604,-0.0070389276,0.006270379,0.99991083
0.48174998,-0.005518091,-0.0071511837,0.006359309,0.9999531
0.49165,-0.0057515083,-0.0072911335,0.00644812,0.9999519
0.50165,-0.005924519,-0.007426057,0.0064932704,0.99990755
0.51164997,-0.0061588604,-0.007565988,0.006495774,0.999906
0.52175,-0.00633689,-0.0076405057,0.006497681,0.9999052
0.53174996,-0.0065662256,-0.007841768,0.00654307,0.99994636
0.54144996,-0.00677195,-0.007949002,0.0065883696,0.9999454
0.55165,-0.0070380876,-0.008060314,0.0066777766,0.9999014
0.56175,-0.007271506,-0.008200263,0.006766528,0.99990034
0.57175,-0.007532594,-0.008372945,0.0068988204,0.999899
0.58185,-0.007766011,-0.008512895,0.0069876015,0.99989784
0.59185,-0.008028045,-0.0086855395,0.0070335567,0.9998962
0.60175,-0.008253284,-0.008947192,0.007035911,0.9998934
0.61175,-0.008487625,-0.009087123,0.007038355,0.9998919
0.62175,-0.008721964,-0.009227052,0.0070408583,0.9998904
0.63165,-0.008956306,-0.009366984,0.0070433617,0.9998888
0.64164996,-0.009157933,-0.009534606,0.007045716,0.99984396
0.65134996,-0.009330959,-0.009670456,0.007090479,0.9998857
0.66144997,-0.009508066,-0.009744991,0.007178664,0.9998854
0.67165,-0.009653386,-0.009847201,0.0071804225,0.9998411
0.68165,-0.009796872,-0.009950371,0.0073543787,0.9998839
0.69165,-0.009941265,-0.010052595,0.0074424148,0.99984014
0.70175,-0.010057059,-0.010123052,0.007572949,0.99988306
0.71165,-0.010200532,-0.010225294,0.0077472925,0.9998396
0.72155,-0.010283612,-0.01032344,0.007877648,0.99983925
0.73184997,-0.010399405,-0.010393893,0.008008152,0.99988216
0.74175,-0.010487489,-0.010430707,0.008095622,0.99983907
0.75175,-0.010571494,-0.010528836,0.00813964,0.99983823
0.76135,-0.0105991885,-0.010561552,0.008183122,0.9998381
0.77185,-0.010655497,-0.010626964,0.008183688,0.9998374
0.78174996,-0.010716826,-0.01063197,0.008140981,0.9998803
0.79175,-0.010746365,-0.010664651,0.008011818,0.99987924
0.80175,-0.010779986,-0.010636017,0.007926106,0.999836
0.81165,-0.010809526,-0.010668698,0.0077969134,0.999835
0.82155,-0.010810448,-0.01066868,0.007710606,0.99983466
0.83155,-0.010871822,-0.010673648,0.007667929,0.9998775
0.84174997,-0.010933137,-0.010677729,0.00762558,0.9998341
0.85165,-0.010961752,-0.010710427,0.007582724,0.9998336
0.86175,-0.011083474,-0.010719531,0.0075840354,0.9998334
0.87145,-0.011139782,-0.010784944,0.0075846016,0.99983275
0.88145,-0.011228805,-0.010822666,0.0075853765,0.9998754
0.89185,-0.011313733,-0.010920778,0.007543057,0.99987423
0.90174997,-0.011431357,-0.010990271,0.0075013638,0.99983007
0.91185,-0.011544898,-0.011121079,0.0074162185,0.9998283
