elapsed_s,i,j,k,real
158.2659,-0.009966336,0.017699305,0.0432508,0.998899
158.276,-0.009821378,0.017673288,0.043029293,0.9988945
158.2859,-0.009623013,0.017714772,0.042801127,0.99889
158.2958,-0.009387739,0.01773614,0.04266727,0.99886245
158.3059,-0.009115286,0.017724339,0.042492628,0.9989188
158.316,-0.00890664,0.017708693,0.042328328,0.998918
158.3259,-0.008671187,0.017723475,0.042126924,0.99894387
158.3359,-0.008489199,0.017670814,0.04193215,0.9989699
158.3459,-0.008397646,0.017577324,0.04171726,0.99896556
158.3558,-0.008336566,0.017510552,0.041528985,0.9989983
158.3659,-0.008271776,0.017386619,0.04135114,0.9989673
158.3759,-0.008267887,0.017316166,0.04122655,0.99901044
158.386,-0.00823354,0.017218996,0.04107532,0.99901646
158.396,-0.008236252,0.017148469,0.040897354,0.99899215
158.406,-0.00819812,0.016987432,0.040689066,0.9989879
158.4159,-0.008170299,0.016883526,0.04041694,0.99897987
158.426,-0.008074855,0.016719598,0.040077433,0.99901867
158.436,-0.0079794135,0.01655567,0.039737985,0.99905753
158.446,-0.007826751,0.016395409,0.039334774,0.9990859
158.456,-0.007647475,0.016272146,0.03896202,0.9990875
158.4661,-0.0074006673,0.016095538,0.038589403,0.9990827
158.4761,-0.007147407,0.015925609,0.038337678,0.9990916
158.4861,-0.006897932,0.015819542,0.038143024,0.99911106
158.496,-0.0066991206,0.015716515,0.03813301,0.9991549
158.506,-0.0064737108,0.015650533,0.03815332,0.999172
158.516,-0.006275137,0.015560739,0.038278267,0.999109
158.5261,-0.00604323,0.015501492,0.038419545,0.99914014
158.536,-0.0057911174,0.015472524,0.038470343,0.99913055
158.5461,-0.0054981904,0.015353166,0.03849086,0.99914104
158.5562,-0.0052830772,0.0153442845,0.03844744,0.9991543
158.5661,-0.0050706463,0.015264804,0.03822601,0.9991433
158.576,-0.0048211413,0.015158707,0.038031384,0.9991627
158.5862,-0.0046047913,0.015008831,0.037685394,0.99919474
158.5962,-0.004368279,0.014889294,0.03724894,0.99918604
158.6061,-0.0041214116,0.014706099,0.03680885,0.99923444
158.616,-0.0039180703,0.014542753,0.036221072,0.9992384
158.6261,-0.003718514,0.014443243,0.035690382,0.99925256
158.6362,-0.0034513655,0.014283683,0.035092294,0.99931353
158.6463,-0.0032517943,0.014184173,0.034561634,0.9993278
158.6561,-0.00293133,0.01409876,0.034024417,0.99933517
158.666,-0.0027051452,0.014036324,0.033524156,0.99932265
158.676,-0.0024151234,0.013977613,0.033013612,0.99936724
158.6861,-0.0021148054,0.013861863,0.03256689,0.9994155
158.6963,-0.0018249182,0.0138097685,0.032123834,0.99940664
158.7062,-0.0015285192,0.013764469,0.031801686,0.9994119
158.7161,-0.0012587334,0.013682125,0.03144911,0.99944377
158.7263,-0.001113775,0.013656078,0.031227544,0.9994394
158.7362,-0.0009051289,0.0136404615,0.031063244,0.99943864
158.7461,-0.00069648284,0.013624817,0.030898914,0.99943787
158.7561,-0.00051841396,0.013642579,0.030828714,0.9994207
158.7662,-0.00038710487,0.013592958,0.030818552,0.9994711
158.7762,-0.0002624119,0.013543218,0.030754983,0.99945414
158.7861,-0.00019493935,0.013489813,0.030755103,0.9994475
158.7962,-0.00012743703,0.013436377,0.030755192,0.9994409
158.8062,-6.374947e-05,0.013446778,0.030812383,0.9994446
158.8162,1.0219952e-05,0.013400078,0.030933425,0.99945205
158.8262,0.000110877314,0.013390511,0.031084865,0.9994328
158.8362,0.00012385621,0.013403922,0.031326637,0.99946094
158.8463,0.00019393634,0.013427675,0.031572238,0.9994253
158.8563,0.00023358825,0.01347816,0.031844452,0.9994266
158.8664,0.00030365348,0.013501912,0.03209001,0.999391
158.8764,0.00037385285,0.013519049,0.032268167,0.9994087
158.8863,0.00041728973,0.013505757,0.032483324,0.99939984
158.8964,0.00046071172,0.013492405,0.032698452,0.99939096
158.9064,0.00045072805,0.013411641,0.03292018,0.9993822
158.9164,0.00055515545,0.013338178,0.03301458,0.99935263
158.9263,0.0005719343,0.013287842,0.033199266,0.99937046
158.9363,0.0005822162,0.013230741,0.033263072,0.9993743
158.9462,0.0006230455,0.013140291,0.033232763,0.99939436
158.9563,0.0006165486,0.013133585,0.03311187,0.99938035
158.9665,0.00067116134,0.013060093,0.032802686,0.99939895
158.9763,0.0006887448,0.0130132735,0.032466784,0.99938715
