elapsed_s,i,j,k,real
1.5819002,-0.041886874,-0.003581144,0.7893822,0.6124487
1.5919002,-0.041886248,-0.0035859365,0.7893975,0.612364
1.6015002,-0.041868642,-0.0035309922,0.78944945,0.6123263
1.6116002,-0.041906625,-0.0034536347,0.78944886,0.6123216
1.6217002,-0.041870344,-0.0034349523,0.7894936,0.61232877
1.6319002,-0.041908335,-0.003357593,0.78949285,0.61232406
1.6418002,-0.04186727,-0.0033382848,0.78945285,0.6123161
1.6519002,-0.041868966,-0.0032422747,0.78949696,0.6123185
1.6617002,-0.041847184,-0.0031818654,0.7894489,0.6123505
1.6718001,-0.0418109,-0.003163185,0.7894938,0.6123578
1.6817002,-0.041810274,-0.0031679943,0.789509,0.6122729
1.6918002,-0.041792702,-0.0031130407,0.78956103,0.6122354
1.7018002,-0.041755795,-0.0030991733,0.789621,0.6121578
1.7114002,-0.041738197,-0.0030442066,0.789673,0.61212015
1.7217002,-0.041701294,-0.0030303262,0.789733,0.6120426
1.7317002,-0.0416795,-0.0029699448,0.7896851,0.61207473
1.7418002,-0.041698184,-0.0029336642,0.78969234,0.6120299
1.7519002,-0.041698184,-0.0029336642,0.78969234,0.6120299
1.7616001,-0.04164014,-0.0028546099,0.78968924,0.6120692
1.7717001,-0.04164014,-0.0028546099,0.78968924,0.6120692
1.7816002,-0.041618355,-0.0027942155,0.78964114,0.61210126
1.7919002,-0.04158207,-0.0027755331,0.789686,0.6121084
1.8018003,-0.0415966,-0.0027338304,0.7895933,0.61213326
1.8118002,-0.04157792,-0.0027700942,0.789586,0.61217815
1.8222002,-0.041597225,-0.0027290173,0.78957796,0.6122182
1.8317002,-0.04157544,-0.0026686378,0.78953004,0.6122502
1.8418002,-0.04155676,-0.0027049184,0.7895228,0.612295
1.8518002,-0.04157606,-0.0026638415,0.7895149,0.612335
1.8618002,-0.041516315,-0.002680814,0.7894675,0.61237186
1.8719002,-0.04151213,-0.0026753843,0.78936756,0.61244154
1.8817002,-0.041512765,-0.0026705712,0.7893523,0.61252636
1.8914002,-0.041490976,-0.0026101768,0.7893044,0.61255836
1.9016002,-0.04146814,-0.0026410334,0.7891971,0.6126728
1.9117002,-0.041488066,-0.0025951583,0.78917396,0.61279774
1.9217002,-0.041483887,-0.0025897287,0.78907394,0.6128673
1.9319001,-0.041480355,-0.0025794934,0.78895885,0.6130218
1.9416002,-0.041420586,-0.0025964566,0.78891146,0.6130586
1.9517002,-0.04145746,-0.0026103351,0.78885156,0.6131363
1.9617002,-0.041494362,-0.0026242137,0.7887914,0.6132137
1.9717002,-0.041435216,-0.0026363842,0.7887291,0.6133355
1.9818002,-0.041472122,-0.0026502535,0.7886691,0.61341316
1.9918002,-0.041449286,-0.0026811082,0.7885618,0.61352754
2.0014002,-0.04146751,-0.002731245,0.78849447,0.61364996
2.0117002,-0.04148511,-0.002786206,0.78844243,0.6136875
2.0218003,-0.041466437,-0.0028224867,0.7884352,0.61373234
2.0317001,-0.04140666,-0.0028394517,0.788388,0.6137692
2.0419002,-0.041442916,-0.0028581247,0.78834325,0.61376196
2.0518003,-0.041424237,-0.0028944071,0.7883359,0.6138068
2.0616002,-0.04136449,-0.0029113796,0.7882887,0.6138436
2.0717,-0.041305345,-0.0029235464,0.7882263,0.6139654
2.0816002,-0.041301187,-0.0029181223,0.78812635,0.6140349
2.0916002,-0.041261345,-0.0028892122,0.7880559,0.6141967
2.1017003,-0.04123848,-0.0029200446,0.7879485,0.61431116
2.1111002,-0.041198045,-0.00289594,0.78789335,0.61438805
2.1216002,-0.04113827,-0.002912905,0.7878462,0.6144248
2.1317003,-0.041097835,-0.0028888024,0.78779095,0.6145018
2.1417003,-0.041019384,-0.002942048,0.7877365,0.6145834
2.1517003,-0.0409831,-0.0029233638,0.78778124,0.6145906
2.1616,-0.040923327,-0.002940327,0.7877341,0.6146275
2.1715002,-0.040864214,-0.002952505,0.78767157,0.61474913
2.1817002,-0.04084243,-0.0028921124,0.7876235,0.6147812
2.1917002,-0.04083827,-0.0028866883,0.7875235,0.6148509
2.2018,-0.04077913,-0.0028988402,0.7874611,0.61497253
2.2115002,-0.040738665,-0.0028747283,0.78740585,0.61504936
2.2212002,-0.040698223,-0.002850635,0.7873507,0.6151263
2.2315001,-0.040638447,-0.0028676149,0.78730345,0.6151632
2.2416003,-0.040639076,-0.0028627887,0.7872883,0.61524796
