elapsed_s,i,j,k,real
34.9453,-0.012173842,0.00078229746,0.8045157,0.59385943
34.9555,-0.015184808,-0.005517286,0.8040895,0.5943031
34.9658,-0.017632399,-0.0103075905,0.80309343,0.59548944
34.9755,-0.02007879,-0.013176484,0.8022773,0.59647965
34.9857,-0.02256717,-0.014978627,0.8023591,0.596284
34.9958,-0.024817973,-0.016655803,0.8029069,0.5954048
35.0059,-0.026947346,-0.018700065,0.8035979,0.5942714
35.0157,-0.028987736,-0.021055333,0.804489,0.5928778
35.0259,-0.031000063,-0.02385478,0.80543053,0.5913763
35.0357,-0.033075985,-0.02683805,0.80615044,0.5901312
35.0458,-0.035181925,-0.030051108,0.80671215,0.58912915
35.0557,-0.03712026,-0.03301344,0.80702186,0.5884356
35.0658,-0.038950056,-0.035577834,0.8070946,0.5880236
35.0759,-0.040558957,-0.037679657,0.8069424,0.58800644
35.0858,-0.04209163,-0.039327405,0.80661,0.5882648
35.0958,-0.043515556,-0.040634494,0.80638427,0.5884073
35.1061,-0.044915423,-0.041879945,0.80639666,0.58813757
35.115902,-0.046225064,-0.043032564,0.8066725,0.5876323
35.1258,-0.047469847,-0.04435481,0.8071785,0.5867413
35.1358,-0.04872309,-0.045895696,0.8076923,0.5857856
35.1461,-0.05001955,-0.047649577,0.80819887,0.5848636
35.1558,-0.051273327,-0.049296983,0.80851865,0.5841865
35.1659,-0.05257682,-0.05103851,0.8086599,0.5836966
35.1758,-0.05382636,-0.052634288,0.80858564,0.58348686
35.1861,-0.05512696,-0.05436459,0.80838114,0.58354926
35.1958,-0.056327388,-0.05591567,0.8079476,0.58382833
35.2059,-0.057581328,-0.05765172,0.8073119,0.584484
35.2158,-0.058936834,-0.059519775,0.80644137,0.58533996
35.2262,-0.060365647,-0.061436974,0.80534863,0.58651674
35.2358,-0.061692696,-0.063394815,0.8040541,0.5879656
35.2459,-0.06304656,-0.06559821,0.80243075,0.58974665
35.2559,-0.06427641,-0.067927636,0.8006979,0.59175104
35.2656,-0.065423444,-0.07028519,0.7988447,0.5937676
35.2758,-0.066568844,-0.07286273,0.7970185,0.59583944
35.2859,-0.06784904,-0.075246856,0.79552484,0.5973743
35.2959,-0.06925391,-0.077438906,0.7943832,0.5984923
35.3056,-0.07065865,-0.07929442,0.7935284,0.5992568
35.3157,-0.072239146,-0.08106195,0.7927271,0.59981126
35.326,-0.07394926,-0.082738295,0.7921338,0.60015756
35.3359,-0.07566133,-0.0843585,0.7916628,0.6003295
35.3454,-0.077255234,-0.08593646,0.7914489,0.60020244
35.3558,-0.07887614,-0.08758727,0.7913426,0.5999352
35.365902,-0.080314614,-0.089078136,0.7914727,0.5993058
35.376,-0.08160416,-0.09005698,0.7922311,0.59804004
35.3857,-0.08268936,-0.09033759,0.7933537,0.59633285
35.396,-0.083859324,-0.089803755,0.7949493,0.5941299
35.4059,-0.08479044,-0.088156834,0.7966925,0.5918945
35.416,-0.08528567,-0.08541644,0.7983521,0.5899261
35.4255,-0.085054174,-0.08178545,0.7998659,0.5885191
35.4359,-0.08387135,-0.07690094,0.8013574,0.58729714
35.4459,-0.08171513,-0.07118473,0.80263174,0.58656454
35.456,-0.07837214,-0.06491007,0.8036299,0.5864036
35.4656,-0.07411468,-0.058413588,0.8043711,0.5865515
35.476,-0.06869515,-0.05081464,0.8053956,0.5865984
35.4861,-0.06303012,-0.042948198,0.8065155,0.5862397
35.496,-0.057462413,-0.03465298,0.8077302,0.58572304
35.5057,-0.052217208,-0.026164904,0.80882174,0.5851001
35.5159,-0.046456594,-0.016392881,0.81014776,0.5841298
35.5261,-0.040019877,-0.0061090654,0.8118733,0.5824851
35.5361,-0.032873012,0.0040472774,0.81385756,0.58011717
35.5457,-0.024999592,0.013619481,0.81600416,0.57734644
35.5559,-0.015909484,0.023089597,0.8179593,0.57456595
35.5656,-0.0068699676,0.031292383,0.819025,0.57291377
35.576,0.0031302907,0.03924135,0.8190967,0.57233244
35.5858,0.012562129,0.04610624,0.81808907,0.5731106
35.5961,-0.022621315,-0.05280115,-0.8157438,-0.5755403
35.6062,-0.03205015,-0.058738567,-0.81235486,-0.57933205
35.6162,-0.040720344,-0.06405003,-0.8080822,-0.5841927
35.6258,-0.048666827,-0.06867271,-0.8032849,-0.58962613
35.636,-0.056397535,-0.073008925,-0.79775125,-0.5959076
35.6457,-0.0630802,-0.0768176,-0.7922038,-0.6021495
35.656,0.06950612,0.080774106,0.78619623,0.60867506
35.6659,0.07478118,0.084539786,0.78071153,0.6146207
35.6763,0.07959468,0.08888788,0.7751616,0.62043524
35.6862,0.08332902,0.093314156,0.7703297,0.6252936
35.6962,0.0862267,0.097898714,0.76621366,0.62923884
35.7058,0.08819643,0.10245108,0.76294196,0.6321939
35.7161,0.08950639,0.10750781,0.7602277,0.6344055
35.7263,-0.08978486,-0.11242597,-0.75841355,-0.6357182
35.7363,-0.08915756,-0.117226645,-0.7575356,-0.63599217
35.7459,-0.08783797,-0.121636584,-0.7575351,-0.6353093
35.7562,-0.08596269,-0.12633964,-0.75845534,-0.6335338
35.7663,-0.083972275,-0.13087921,-0.7602215,-0.6307606
35.7762,-0.08178544,-0.1354877,-0.76275647,-0.6270113
35.7861,-0.0798359,-0.13966364,-0.76596344,-0.62241554
35.796402,-0.07812199,-0.14402065,-0.7697586,-0.61696196
35.8059,-0.07735627,-0.14779624,-0.7733055,-0.61164975
35.816,-0.07764098,-0.15156549,-0.7773198,-0.6056465
35.826,-0.07887037,-0.15502928,-0.7811806,-0.59955513
35.8362,-0.08047723,-0.15874666,-0.7848257,-0.5936249
35.8463,-0.08171488,-0.16237094,-0.78755486,-0.5888657
35.8562,-0.0826228,-0.16568775,-0.78906524,-0.58578634
35.8661,-0.08317422,-0.16864215,-0.7887033,-0.5853013
35.8763,-0.08330966,-0.17099644,-0.7871265,-0.58674794
35.8862,-0.082948074,-0.17334993,-0.78437626,-0.5897292
35.8962,-0.08232981,-0.17561778,-0.78106606,-0.59359735
35.9061,-0.08149339,-0.1778852,-0.7772347,-0.5980644
35.9163,-0.08025028,-0.17960301,-0.7732188,-0.60280704
35.9264,-0.078735374,-0.18063611,-0.7698095,-0.607095
