elapsed_s,i,j,k,real
159.8829,-0.051696476,0.03748371,0.058760613,0.996206
159.8926,-0.051636808,0.037510306,0.05836624,0.996222
159.9028,-0.051540866,0.037555616,0.05801645,0.9962454
159.913,-0.051500496,0.03762331,0.05761391,0.9963014
159.9228,-0.051440824,0.037649903,0.057219446,0.9963175
159.9331,-0.051385958,0.037675932,0.05690965,0.996349
159.9429,-0.05137216,0.037682556,0.05664,0.9963881
159.9528,-0.051335968,0.037744828,0.056337535,0.9963746
159.9628,-0.05138195,0.03776848,0.05611509,0.996377
159.973,-0.051348843,0.03773407,0.055853456,0.99637634
159.9827,-0.05139963,0.037757114,0.0557158,0.9963938
159.9929,-0.051486693,0.037761476,0.05553341,0.99640423
160.0024,-0.051537465,0.037784465,0.05539584,0.9964218
160.0127,-0.051624518,0.037788823,0.05521345,0.9964322
160.0229,-0.051711563,0.037793167,0.05503106,0.99644256
160.0327,-0.051743045,0.03777512,0.05490133,0.99642
160.043,-0.05179382,0.037798166,0.054763734,0.9964377
160.053,-0.05180352,0.037840493,0.054586142,0.9964473
160.0629,-0.051835004,0.037822448,0.054456472,0.9964249
160.0729,-0.051885758,0.03784544,0.054318964,0.99644256
160.0827,-0.051859178,0.037906446,0.054186076,0.99645936
160.0928,-0.051830895,0.037871428,0.0540092,0.99647385
160.1029,-0.05184541,0.03791315,0.053916454,0.9964987
160.1123,-0.051835783,0.037914395,0.05374679,0.9964683
160.1227,-0.05180922,0.03797543,0.05361399,0.9964851
160.1328,-0.051782645,0.038036436,0.05348119,0.996502
160.1428,-0.05169568,0.038075667,0.053316325,0.9964709
160.1528,-0.051631123,0.03805936,0.05318424,0.9964925
160.163,-0.051599722,0.03812095,0.052966595,0.9964943
160.1728,-0.05154966,0.03814631,0.052741736,0.9965408
160.1828,-0.05148201,0.03822666,0.052568883,0.9965497
160.1928,-0.051390868,0.038271338,0.052304,0.9965881
160.2029,-0.051340166,0.038291886,0.05209428,0.9965499
160.2127,-0.051308792,0.038353525,0.051876664,0.9965514
160.2223,-0.051222432,0.038397513,0.0516966,0.9966053
160.2326,-0.051153082,0.03838181,0.051479697,0.9966117
160.2429,-0.051126484,0.03844282,0.051346898,0.9966285
160.2529,-0.05102085,0.03844577,0.05117473,0.99664223
160.2629,-0.050951477,0.038430076,0.05095789,0.9966489
160.2728,-0.050883826,0.03851039,0.050785035,0.9966576
160.2827,-0.050778177,0.03851337,0.050612956,0.9966714
160.2929,-0.05067253,0.03851632,0.05044079,0.996685
160.3029,-0.050604876,0.03859664,0.050267994,0.99669397
160.3128,-0.050540317,0.038580306,0.05013591,0.9967157
160.3228,-0.05045815,0.038618896,0.05005589,0.9966997
160.3323,-0.050417062,0.03863821,0.050015867,0.9966918
160.3429,-0.050357305,0.038621247,0.04996857,0.99672866
160.3528,-0.05031623,0.03864056,0.049928546,0.9967207
160.3628,-0.050260648,0.038618147,0.049981296,0.9966879
160.3728,-0.050265443,0.038617514,0.050066173,0.9967031
160.3826,-0.050229166,0.038636193,0.050110966,0.9967104
160.3927,-0.050154913,0.038577504,0.050156504,0.99672234
160.4027,-0.0501597,0.03857687,0.05024132,0.9967375
160.4129,-0.050067842,0.038573135,0.050338954,0.9967119
160.4226,-0.05007266,0.038572505,0.05042371,0.9967271
160.4328,-0.050094444,0.03851218,0.050471753,0.99669504
160.4424,-0.050099246,0.038511552,0.05055651,0.9967103
160.4525,-0.050099246,0.038511552,0.05055651,0.9967103
160.4628,-0.050140325,0.03849224,0.050596625,0.9967183
160.4728,-0.050140325,0.03849224,0.050596625,0.9967183
160.4826,-0.050200082,0.038509205,0.05064386,0.99668145
