elapsed_s,i,j,k,real
26.6595,-0.04681798,0.036533043,0.091391325,0.9940152
26.6691,-0.04670434,0.03658969,0.091440946,0.9940218
26.6794,-0.046626993,0.03662768,0.091445744,0.99402094
26.6895,-0.04654964,0.03666567,0.09145054,0.9940203
26.6995,-0.046472285,0.03670366,0.09145528,0.9940195
26.7095,-0.046450492,0.03676402,0.09140733,0.99405164
26.7195,-0.046409413,0.036783326,0.091367275,0.9940436
26.7297,-0.046404615,0.036783956,0.09128252,0.9940285
26.7395,-0.046382852,0.03684436,0.091234535,0.9940605
26.7497,-0.046433605,0.03686735,0.09109691,0.9940781
26.7596,-0.046428815,0.036867984,0.09101203,0.9940629
26.7696,-0.046443306,0.036909714,0.090919316,0.9940877
26.7798,-0.046461985,0.03694599,0.09092656,0.9940429
26.7895,-0.04650308,0.03692668,0.09096658,0.99405086
26.7996,-0.046507876,0.036926046,0.0910514,0.994066
26.8096,-0.046548963,0.036906764,0.091091424,0.9940739
26.8195,-0.046548963,0.036906764,0.091091424,0.9940739
26.8297,-0.046590038,0.036887452,0.09113148,0.994082
26.8395,-0.04657073,0.036846355,0.091139406,0.9940419
26.8493,-0.04653445,0.03686504,0.09118417,0.9940493
26.8595,-0.04653445,0.03686504,0.09118417,0.9940493
26.8696,-0.046539247,0.036864407,0.091269016,0.99406433
26.8796,-0.046562735,0.036900055,0.091361076,0.9940348
26.8897,-0.04651199,0.036877062,0.0914987,0.99401724
26.8995,-0.046538554,0.036816023,0.0916315,0.99400043
26.9097,-0.04648777,0.03679301,0.0917691,0.99398273
26.9196,-0.04641522,0.03683037,0.091858685,0.9939972
26.9296,-0.04640072,0.036788672,0.09195155,0.9939724
26.9397,-0.046290167,0.036748633,0.09204191,0.9939916
26.9496,-0.046253905,0.036767337,0.09208664,0.9939989
26.959301,-0.046275675,0.03670696,0.092134714,0.9939667
26.9697,-0.0462346,0.036726274,0.09209466,0.99395883
26.9797,-0.046215914,0.036689967,0.09208736,0.99400365
26.9895,-0.04621111,0.036690593,0.09200251,0.9939884
26.9997,-0.046223905,0.03663627,0.09186563,0.9940108
27.0096,-0.046200424,0.03660062,0.0917736,0.99404055
27.0195,-0.04619561,0.036601223,0.09168875,0.99402523
27.0296,-0.04621322,0.036546294,0.09163678,0.99406284
27.0397,-0.046230186,0.03648652,0.09159988,0.99401563
27.0496,-0.04624779,0.03643159,0.09154782,0.9940531
27.0596,-0.04624608,0.036335565,0.09150374,0.99405074
27.0692,-0.04628236,0.036316887,0.09145895,0.9940435
27.0796,-0.046295132,0.03626253,0.091322064,0.9940659
27.0894,-0.046307933,0.0362082,0.09118521,0.9940883
27.0994,-0.04632072,0.036153875,0.0910483,0.99411076
27.1097,-0.046311114,0.036155112,0.090878665,0.9940804
27.1195,-0.04634321,0.036141846,0.090733856,0.9941426
27.1295,-0.046389185,0.036165524,0.09051138,0.99414504
27.1394,-0.04643826,0.036092516,0.090329766,0.99416023
27.149601,-0.046469733,0.036074467,0.09020004,0.99413776
27.1597,-0.046523597,0.036000833,0.09010321,0.99416816
27.1695,-0.046615455,0.036004532,0.090005666,0.9941937
27.1792,-0.046633046,0.035949573,0.08995357,0.99423134
27.1894,-0.046705604,0.035912212,0.089863956,0.9942168
27.1995,-0.046778154,0.03587485,0.08977434,0.9942023
27.2095,-0.046776447,0.035778828,0.0897302,0.9941999
27.2194,-0.046776447,0.035778828,0.0897302,0.9941999
27.2296,-0.046853803,0.035740834,0.089725465,0.9942006
27.2395,-0.04683512,0.035704557,0.08971822,0.9942454
27.2495,-0.046815813,0.035663463,0.08972624,0.99420536
27.2596,-0.046738457,0.035701457,0.08973098,0.99420464
27.2694,-0.04670048,0.035624113,0.08973175,0.9942094
27.279501,-0.04666421,0.03564279,0.089776486,0.9942167
27.2892,-0.04658515,0.035584755,0.08973727,0.9942136
27.2993,-0.04654887,0.03560344,0.08978206,0.99422073
27.3094,-0.046489112,0.03558647,0.08973479,0.9942577
