elapsed_s,i,j,k,real
156.374,-0.008151979,0.028401053,0.019913882,0.99938416
156.3842,-0.00824168,0.028414827,0.019844592,0.999341
156.394,-0.008314428,0.02847224,0.01981631,0.9993833
156.404,-0.008398518,0.028490426,0.019816786,0.9993903
156.4142,-0.008436493,0.028542155,0.019803733,0.99933404
156.4241,-0.008468822,0.028598303,0.019860506,0.99932826
156.4341,-0.008456354,0.028647568,0.01995185,0.9993439
156.4442,-0.008522216,0.028749797,0.019945234,0.9993515
156.4542,-0.008522216,0.028749797,0.019945234,0.9993515
156.4642,-0.008567078,0.028756687,0.019910574,0.99933
156.4741,-0.008651156,0.028774884,0.019911021,0.99933696
156.4841,-0.008690373,0.028786171,0.019946188,0.99936575
156.494,-0.008722723,0.028842343,0.020002931,0.9993598
156.5045,-0.008805602,0.028870566,0.020123452,0.9993475
156.5141,-0.008825421,0.028975975,0.02027148,0.9993573
156.5241,-0.008874748,0.02895807,0.02045545,0.9993314
156.5341,-0.008893399,0.029073516,0.020723611,0.9993218
156.5444,-0.008969431,0.029116161,0.021034062,0.9993402
156.5542,-0.009049864,0.02916445,0.02139476,0.9992889
156.5643,-0.009124737,0.029217161,0.021825343,0.999288
156.5741,-0.00923191,0.02932601,0.022312492,0.99928117
156.5838,-0.009273179,0.029332586,0.022806406,0.99926674
156.5942,-0.009398549,0.029357335,0.023300707,0.9992595
156.6041,-0.009439837,0.029363927,0.023794621,0.99924487
156.6142,-0.009520365,0.029381834,0.024323612,0.9992593
156.6237,-0.009587099,0.0294894,0.024895787,0.9992043
156.6342,-0.009750461,0.029535523,0.025545418,0.9992061
156.6443,-0.009908181,0.029616442,0.026096433,0.9991929
156.6541,-0.010077219,0.029658135,0.026676267,0.99914443
156.6637,-0.010286656,0.029701093,0.027171105,0.99914426
156.6742,-0.010410805,0.02973589,0.02778551,0.99911743
156.6844,-0.010586712,0.029732719,0.028343707,0.99910384
156.6942,-0.010794912,0.02978573,0.028958678,0.99908423
156.7039,-0.010958321,0.029831816,0.02960819,0.9990861
156.7142,-0.011126106,0.02988356,0.030308127,0.99901825
156.7243,-0.011270124,0.030023757,0.03107065,0.9990012
156.7344,-0.011432287,0.030079907,0.031840324,0.9989836
156.7438,-0.011504705,0.030152695,0.032510996,0.9989438
156.7543,-0.011564667,0.030274719,0.03327301,0.99891955
156.7642,-0.011688789,0.030309528,0.033887476,0.9988929
156.7742,-0.011751122,0.030411491,0.034409344,0.9989075
156.7838,-0.011734999,0.030490836,0.03486097,0.9988649
156.7943,-0.011822353,0.030494254,0.03520015,0.9988482
156.8045,-0.011904017,0.03053253,0.035440803,0.99881655
156.8143,-0.011929492,0.03060311,0.035687268,0.99884146
156.8239,-0.011978817,0.030585228,0.035871267,0.99881554
156.8342,-0.012054871,0.030627893,0.03618166,0.99883413
156.8443,-0.012084807,0.030704122,0.03647852,0.99878913
156.8543,-0.012153954,0.030791631,0.036810547,0.99877316
156.8639,-0.01217827,0.030872239,0.037177235,0.99877864
156.8744,-0.012297975,0.030931829,0.03757304,0.99875605
156.8845,-0.012416464,0.03100147,0.038089037,0.99871415
156.8943,-0.012491265,0.031054167,0.0385195,0.99871314
156.9039,-0.012661473,0.031085825,0.038979262,0.9986842
156.9144,-0.012819204,0.031166738,0.039530367,0.998671
156.9243,-0.012948973,0.031197129,0.040075004,0.99859387
156.9344,-0.013074341,0.031221898,0.040569395,0.99858654
156.9438,-0.013199699,0.031246683,0.041063696,0.9985792
156.9543,-0.0133250905,0.03127143,0.041558087,0.99857193
156.9644,-0.013488402,0.03134794,0.042039394,0.99850833
156.9744,-0.013602472,0.031411942,0.042504996,0.99853617
156.9839,-0.013688611,0.031425435,0.04296425,0.9985001
156.9945,-0.013756555,0.03152296,0.04341635,0.99846447
157.0046,-0.01374733,0.03155748,0.0438464,0.9984564
157.0146,-0.013764746,0.031682957,0.044234663,0.9984272
157.0241,-0.013833903,0.031770475,0.04456666,0.9984112
157.0344,-0.013820181,0.03182977,0.04477814,0.9984073
157.0444,-0.013818999,0.031839818,0.04489824,0.9983879
157.0544,-0.013812123,0.031884648,0.04491979,0.99835324
157.0642,-0.013851342,0.031895936,0.044954926,0.9983819
157.0745,-0.013903059,0.03185799,0.04489872,0.9983951
157.0844,-0.0139604295,0.03181562,0.044772685,0.99835783
157.0945,-0.0140525745,0.031778924,0.04463148,0.99841905
157.1043,-0.014149175,0.03174785,0.044540614,0.9984104
157.1146,-0.014265132,0.03162263,0.044336766,0.9984209
157.1244,-0.014458289,0.031560477,0.044155,0.9984037
157.1346,-0.014613483,0.031446587,0.04398626,0.99844295
157.1443,-0.014801037,0.031388856,0.043874264,0.99847615
157.1546,-0.014966341,0.031245751,0.043854356,0.99846077
157.1647,-0.015215701,0.031120842,0.043834955,0.99845254
157.1746,-0.015420222,0.03098907,0.043850154,0.99846584
157.1844,-0.01566841,0.030874193,0.043950796,0.9984382
157.1946,-0.015870519,0.030762477,0.044206202,0.9984124
157.2045,-0.016022077,0.030678688,0.04439777,0.9983932
157.2145,-0.016123205,0.030592425,0.04469371,0.99844587
157.2245,-0.016273562,0.030518679,0.04500538,0.9984073
157.2347,-0.01641144,0.030494189,0.045408368,0.9983843
157.2445,-0.016515788,0.030423574,0.045874715,0.99834776
157.2547,-0.016620072,0.030352995,0.04634106,0.9983112
157.2646,-0.01666824,0.03031472,0.04681331,0.9983313
157.2746,-0.016764488,0.030298999,0.047421366,0.99824077
157.2845,-0.016843783,0.030326916,0.04807049,0.9982356
157.2945,-0.016832113,0.030381499,0.048740655,0.9981886
157.3046,-0.016859721,0.030447392,0.049446017,0.99817026
157.3147,-0.016905455,0.030429192,0.05015847,0.9981516
157.3248,-0.016938645,0.030490663,0.050794005,0.998083
157.3347,-0.016978724,0.030507289,0.051407963,0.9980491
157.3447,-0.01707055,0.030485949,0.051965714,0.9980282
157.3547,-0.017195929,0.03051073,0.052460045,0.9980209
157.3646,-0.017261017,0.030428825,0.052891284,0.9979557
157.3746,-0.017354034,0.030397449,0.05332893,0.9979543
157.3847,-0.017459553,0.030316813,0.053675234,0.9979372
157.3949,-0.017598655,0.030282257,0.053958118,0.9979336
157.4048,-0.017671851,0.030145492,0.054247677,0.9979225
157.4148,-0.01772681,0.030092774,0.054530054,0.9979119
157.4248,-0.017776147,0.030074883,0.054714024,0.99788594
157.4348,-0.01774829,0.029993968,0.05487591,0.9978876
157.4449,-0.017766468,0.029909896,0.054883063,0.9978872
157.4548,-0.01768238,0.029891683,0.054882586,0.99788
157.4648,-0.01755466,0.029856598,0.054796636,0.99791396
157.47481,-0.017484313,0.029779114,0.054584682,0.99791056
157.4847,-0.017318558,0.029722674,0.05434358,0.9979352
