elapsed_s,i,j,k,real
159.8866,-0.017127706,0.023542905,0.03480026,0.99897635
159.8965,-0.017021716,0.02342401,0.03419295,0.9990026
159.9066,-0.016954899,0.023346841,0.03345242,0.998992
159.9165,-0.016876856,0.023278473,0.032851607,0.9990823
159.9266,-0.01680884,0.023211304,0.03223118,0.9990524
159.9366,-0.01672391,0.0231878,0.031651855,0.99910784
159.9467,-0.01668262,0.023181247,0.03115803,0.99912226
159.9565,-0.01665264,0.023135412,0.030692846,0.99910164
159.9666,-0.016532967,0.023075856,0.030296981,0.99912417
159.9764,-0.016445648,0.02307239,0.02995786,0.9991408
159.9866,-0.016306534,0.023106935,0.029674947,0.9991444
159.9966,-0.016174363,0.023096608,0.029370457,0.99918246
160.0068,-0.016035272,0.023131132,0.029087573,0.99918616
160.0165,-0.015851364,0.023158753,0.02883929,0.9992112
160.0266,-0.015711073,0.023203302,0.02867645,0.9991953
160.0366,-0.015611238,0.02324918,0.028428644,0.99922764
160.0468,-0.015470947,0.023293728,0.028265893,0.99921167
160.0567,-0.0153824035,0.023300325,0.028046787,0.9992088
160.0668,-0.01533309,0.0233182,0.027862906,0.9992347
160.0766,-0.015243325,0.02333484,0.027763873,0.9992123
160.0867,-0.015193976,0.023352744,0.027579933,0.9992382
160.0967,-0.015137786,0.023415491,0.0274176,0.9992293
160.1068,-0.015099769,0.023394136,0.02726245,0.9992202
160.1167,-0.015050434,0.02341203,0.02707845,0.99924594
160.1267,-0.015051635,0.023402007,0.026958376,0.9992655
160.1365,-0.01505848,0.023387542,0.026768506,0.9992346
160.1468,-0.015009144,0.023405435,0.026584566,0.9992604
160.1567,-0.014983639,0.023334842,0.026338011,0.9992355
160.167,-0.014986032,0.023314761,0.026097864,0.99927443
160.1768,-0.0150332935,0.023301601,0.025823087,0.99929166
160.1866,-0.014996478,0.023270244,0.025547773,0.9993021
160.1967,-0.01503809,0.02329185,0.02517441,0.9993042
160.2069,-0.014995566,0.023295287,0.024800628,0.99929905
160.2166,-0.01501052,0.02322598,0.024469018,0.9993223
160.2267,-0.0149680395,0.02322944,0.024095267,0.9993174
160.2365,-0.014880676,0.023226012,0.023756146,0.999334
