elapsed_s,i,j,k,real
26.6521,-0.017613523,0.021528643,0.054162204,0.998124
26.662,-0.017568681,0.021521758,0.054196835,0.99814564
26.6719,-0.017568681,0.021521758,0.054196835,0.99814564
26.6819,-0.017516922,0.02155972,0.05425307,0.9981327
26.6919,-0.017518178,0.021549689,0.05413297,0.9981521
26.702,-0.017485827,0.021493519,0.054076225,0.99815804
26.7119,-0.017396059,0.02151016,0.05397725,0.99813575
26.7219,-0.017313182,0.021481937,0.05385673,0.998148
26.732,-0.017251367,0.021549106,0.053764135,0.9981896
26.7418,-0.017150315,0.021604965,0.05363646,0.9982024
26.7519,-0.017112277,0.02158363,0.05348125,0.99819314
26.762001,-0.017022533,0.021600252,0.053382188,0.9981707
26.7723,-0.01695381,0.021712258,0.05331132,0.9981777
26.7821,-0.016858442,0.021733323,0.053282112,0.9982056
26.792,-0.016858442,0.021733323,0.053282112,0.9982056
26.8019,-0.0167562,0.021799194,0.053274453,0.99819905
26.8123,-0.016750596,0.021803617,0.05334422,0.99824935
26.8221,-0.016743708,0.02184848,0.053365797,0.9982147
26.832,-0.016691938,0.021886427,0.053422034,0.9982016
26.842001,-0.01667945,0.021935672,0.053513467,0.9982173
26.8522,-0.016638998,0.021934438,0.053598374,0.99816906
26.8619,-0.016678236,0.021945747,0.05363348,0.9981978
26.8722,-0.016677026,0.02195578,0.053753614,0.99817836
26.882,-0.016682701,0.021920975,0.05385211,0.9981935
26.8923,-0.016681492,0.021930967,0.053972155,0.99817413
26.9021,-0.016698487,0.021856936,0.05409941,0.9981542
26.912,-0.016781341,0.021885173,0.05421993,0.99814194
26.922,-0.016787007,0.021850336,0.054318458,0.9981571
26.9323,-0.016836332,0.021832451,0.054502398,0.9981312
26.9422,-0.016842008,0.021797668,0.054600865,0.99814636
26.9521,-0.016885668,0.021814555,0.054686308,0.9981053
26.962101,-0.016885668,0.021814555,0.054686308,0.9981053
26.9717,-0.016885668,0.021814555,0.054686308,0.9981053
26.9822,-0.01680277,0.021786356,0.054565787,0.9981176
26.9921,-0.016759152,0.021769427,0.054480314,0.9981586
27.0021,-0.016721126,0.021748083,0.054325104,0.99814945
27.0116,-0.016638268,0.021719884,0.054204494,0.99816173
27.0222,-0.016600229,0.02169855,0.054049373,0.9981525
27.0321,-0.01656788,0.02164238,0.0539926,0.99815834
27.0421,-0.016472535,0.021663422,0.053963393,0.9981864
27.0517,-0.016472535,0.021663422,0.053963393,0.9981864
27.062,-0.016440162,0.02160727,0.05390668,0.9981923
27.0723,-0.016440162,0.02160727,0.05390668,0.9981923
27.082201,-0.016389634,0.02163522,0.053842813,0.99819875
27.0918,-0.016318088,0.021567788,0.05375102,0.9981759
27.1022,-0.016286938,0.02150159,0.053574145,0.9982012
27.1122,-0.016288139,0.021491542,0.05345416,0.9982209
27.1222,-0.01625701,0.021425372,0.053277314,0.99824625
27.1318,-0.016218984,0.02140403,0.053122103,0.9982369
27.1423,-0.016136106,0.021375807,0.053001463,0.9982492
27.1522,-0.016098099,0.021354508,0.052846342,0.9982399
27.1622,-0.015970394,0.02131937,0.052760422,0.9982739
27.1718,-0.015887493,0.021291168,0.052639812,0.9982862
27.1821,-0.015752899,0.02130091,0.0525755,0.99828553
27.1924,-0.015618293,0.021310667,0.052511185,0.99828464
27.202301,-0.0155285485,0.021327283,0.052412212,0.9982624
27.2118,-0.015440049,0.021303488,0.05236146,0.99832505
27.2224,-0.015350305,0.021320106,0.052262425,0.99830276
27.2323,-0.015317975,0.021263957,0.05220571,0.9983086
27.2423,-0.015285622,0.021207828,0.05214894,0.9983145
27.2519,-0.015337371,0.021169856,0.05209276,0.9983277
27.2624,-0.01534866,0.02113064,0.05212149,0.9982925
27.272501,-0.015355526,0.021085797,0.052099884,0.99832714
27.2823,-0.015366835,0.021046558,0.052128613,0.998292
27.2919,-0.0154185835,0.021008607,0.052072346,0.99830514
27.3022,-0.015436759,0.020924527,0.0520795,0.99830467
27.3125,-0.015443625,0.020879686,0.052057922,0.9983393
27.3223,-0.0154225845,0.020784277,0.052029878,0.99831
27.3319,-0.015390255,0.020728128,0.051973224,0.99831605
27.3422,-0.015390255,0.020728128,0.051973224,0.99831605
27.3525,-0.015349814,0.020726884,0.05205813,0.99826777
27.3624,-0.0153106395,0.02068516,0.052191287,0.9983045
27.3718,-0.015348644,0.020706521,0.052346498,0.99831384
27.3823,-0.0152957365,0.020754522,0.05252281,0.9982813
27.3923,-0.015378572,0.02078274,0.05264336,0.998269
27.402401,-0.015371779,0.020797176,0.05283329,0.99829996
27.4121,-0.015370557,0.020807222,0.052953362,0.9982804
27.4225,-0.015419883,0.020789314,0.053137302,0.99825454
27.4324,-0.015451012,0.020855488,0.05331403,0.99822915
27.4424,-0.015489038,0.020876832,0.0534693,0.9982384
27.452,-0.0155201685,0.020943007,0.053646058,0.99821305
27.4623,-0.015563892,0.020929523,0.053899825,0.9982375
27.4724,-0.015595008,0.020995747,0.054076582,0.99821216
27.4824,-0.015592586,0.021015795,0.05431673,0.9981732
27.4922,-0.015662976,0.021093259,0.054528713,0.99817646
27.5025,-0.015660552,0.021113304,0.05476886,0.9981376
27.5124,-0.015730906,0.021190839,0.054980785,0.99814093
27.522501,-0.015768947,0.021212133,0.055135995,0.9981502
27.5321,-0.015722863,0.021215288,0.05529076,0.9981524
27.5426,-0.01576531,0.021242253,0.055496275,0.9980919
27.5525,-0.015803328,0.021263564,0.055651486,0.9981012
27.5625,-0.015795248,0.021318482,0.055793136,0.99804705
27.5722,-0.015795313,0.021288069,0.05596146,0.9981125
27.5824,-0.01579409,0.021298112,0.056081474,0.99809307
27.592701,-0.015787203,0.02134293,0.05610311,0.9980584
27.6024,-0.01579289,0.021308115,0.056201637,0.9980737
27.6124,-0.01574805,0.021301229,0.056236237,0.9980953
27.6224,-0.01575245,0.02130687,0.056286573,0.9980253
27.6325,-0.015746815,0.021311281,0.05635634,0.99807566
27.6427,-0.015695088,0.021349257,0.056412578,0.9980627
27.652401,-0.015661536,0.021303128,0.056475937,0.9980492
27.6627,-0.015609829,0.021341082,0.056532174,0.9980361
27.6727,-0.015564978,0.021334207,0.056566805,0.9980576
27.6826,-0.015564978,0.021334207,0.056566805,0.9980576
27.6926,-0.015520126,0.02132733,0.056601465,0.99807924
27.7027,-0.015513219,0.02137217,0.0566231,0.9980446
27.7126,-0.015518894,0.021337362,0.05672154,0.9980598
27.7226,-0.015518894,0.021337362,0.05672154,0.9980598
27.7324,-0.015517704,0.021347376,0.05684164,0.99804044
27.7426,-0.015465977,0.021385351,0.05689788,0.9980273
27.7526,-0.015516501,0.021357443,0.056961775,0.9980209
27.7626,-0.015464761,0.021395428,0.05701801,0.99800783
27.7727,-0.015464761,0.021395428,0.05701801,0.99800783
27.7828,-0.015408624,0.021427747,0.057023942,0.9980646
27.7927,-0.0153693855,0.021416437,0.056988746,0.99803585
27.8029,-0.015318859,0.02144439,0.05692491,0.9980423
27.8128,-0.015318859,0.02144439,0.05692491,0.9980423
27.8226,-0.015229114,0.021461006,0.056825906,0.99802
27.8327,-0.01521213,0.021535052,0.05669868,0.99803984
27.842701,-0.015161602,0.021563001,0.056634843,0.9980463
27.8528,-0.015117964,0.02154605,0.05654943,0.99808735
27.8629,-0.01507305,0.021569567,0.056415796,0.99804336
27.8727,-0.015029433,0.021552637,0.056330353,0.9980845
27.8827,-0.0149732195,0.021615382,0.05616805,0.9980756
27.892601,-0.014922672,0.02164331,0.056104153,0.9980821
27.9027,-0.0148397945,0.02161509,0.055983603,0.99809444
27.9128,-0.0147892665,0.02164304,0.055919737,0.99810076
27.9227,-0.014738741,0.02167095,0.05585593,0.9981072
27.9329,-0.014727432,0.021710187,0.05582723,0.99814236
27.9429,-0.014688212,0.021698898,0.055792063,0.9981136
27.9528,-0.014637688,0.021726806,0.055728227,0.99812007
27.962801,-0.01458716,0.021754758,0.05566436,0.99812645
27.9729,-0.014530959,0.021817492,0.055502057,0.9981177
27.9829,-0.014492972,0.021796172,0.055346787,0.9981084
27.993,-0.014482854,0.021825355,0.055198014,0.998163
28.0027,-0.014489668,0.021810899,0.055008113,0.99813217
28.012701,-0.014440365,0.021828782,0.054824203,0.998158
